validation,holdout,specification,n,brier,log_loss,auc,calibration_mae
leave_state_out,GA,logit_margin_incumbency,430,0.039399654789828896,0.13619500941449542,0.9883095238095239,0.024960432143525838
leave_state_out,GA,normal_margin,430,0.04720306551133686,0.18233347675329994,0.9874285714285713,0.0599595378889235
leave_state_out,GA,spline_margin_incumbency,430,0.042160604195685104,0.15240832546140504,0.9846666666666666,0.026383186315724172
leave_state_out,TN,isotonic_margin,246,0.016363649432934085,0.06997592556978889,0.9839285714285715,0.042528971525667536
leave_state_out,TN,logit_demographic_reactivity,246,0.02966741377681323,0.1225674967362238,0.9716269841269842,0.03801531271316461
leave_state_out,TN,logit_margin,246,0.01929656612090533,0.0931549074525541,0.9793650793650792,0.021428808192884227
leave_state_out,TN,logit_margin_chamber,246,0.019641682400838505,0.09416377791931994,0.9788359788359787,0.02134974230725771
leave_state_out,TN,logit_margin_incumbency,246,0.015306525811569877,0.0695243107088572,0.9879629629629629,0.020091846176013516
leave_state_out,TN,normal_margin,246,0.017539303648109177,0.09216633748193964,0.9806878306878306,0.02721349000223152
leave_state_out,TN,spline_margin_incumbency,246,0.013561362562613415,0.05399954127851069,0.9956349206349207,0.014559155995993079
leave_state_out,TX,isotonic_margin,410,0.040453332747958766,0.14977035262371238,0.9908027189705271,0.0961376836724438
leave_state_out,TX,logit_demographic_reactivity,410,0.05327107634040974,0.18351573879298153,0.9892590286425903,0.07420910075229534
leave_state_out,TX,logit_margin,410,0.040429144655935396,0.1471101553993976,0.9924761311747614,0.05450503381710945
leave_state_out,TX,logit_margin_chamber,410,0.04069968542273843,0.1478617424039713,0.9924501867995018,0.054855048286651276
leave_state_out,TX,logit_margin_incumbency,410,0.02965726293661453,0.10799057306708759,0.9959786218347861,0.04120565662731833
leave_state_out,TX,normal_margin,410,0.033342630982612316,0.12019279398419898,0.9924761311747614,0.03623485332037885
leave_state_out,TX,spline_margin_incumbency,410,0.02820387461897665,0.09965005262102526,0.9967569530925695,0.03944330048829149
