scenario,cycle,chamber,district,polling_federal_margin,generic_downballot_lag,incumbency_adjustment,fundraising_adjustment,expected_cmo_adjustment,adjustment_weight,predicted_dem_margin,dem_win_probability,finance_complete,finance_model_applied,model_used,fundraising_treatment,dem_fundraising,rep_fundraising,fundraising_gap_log50,fundraising_gap_structural_expectation,fundraising_gap_residualized,fundraising_gap_within_cycle_expectation,fundraising_gap_within_cycle_residualized,dem_finance_status,rep_finance_status,incumbency_balance,current_national_poll_margin,current_national_pollsters,poll_average_as_of
uniform_polling_federal_orthogonal,2026,senate,29,-50.27004247506444,2.7607857456582856,-8.845753773052643,-5.769265588148564,-11.85423361554292,1.0,-62.12427609060737,5.8918039885599036e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,1430.18,672400.0,-2.642353842419295,-1.920849432739038,-0.7215044096802572,-2.1168245415305313,-0.5255293008887638,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal,2026,senate,32,-45.65301687245227,2.7607857456582856,-8.845753773052643,-7.459671409050366,-13.544639436444722,1.0,-59.197656308896995,7.432965058405539e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,3094.85,825022.04,-2.8021691378847744,-1.869262560061098,-0.9329065778236765,-2.0979859706465356,-0.7041831672382388,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,2,-57.7715265283442,1.522667804127276,-6.634315329789482,3.5776033014274216,-1.5340442242347845,0.75,-59.30557075257898,7.368174013991502e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,4433.57,57843.26,-0.6836978175524621,-1.280251288383375,0.5965534708309129,-1.5318196069332772,0.8481217893808152,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,4,-24.20020779159042,1.522667804127276,-6.634315329789482,0.6891653633571728,-4.422482162305034,0.75,-28.622689953895453,0.002091703610635353,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,19323.3,102782.88,-0.7902367595474207,-0.905152795465415,0.11491603591799437,-1.3948405814468814,0.6046038218994607,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,5,-36.10211566040613,1.522667804127276,-6.634315329789482,-0.6992979419313514,-5.810945467593558,0.75,-41.91306112799968,0.00038023248637722304,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,4547.92,123091.47,-1.1547406016976214,-1.038134991948319,-0.11660560974930245,-1.4434032177282612,0.2886626160306398,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,8,-19.800616217233625,1.522667804127276,0.0,-3.3535781304386645,-1.8309103263113884,0.75,-21.631526543545014,0.0065652070282659365,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,0.0,79275.0,-0.9499189128541391,-0.3907208953943446,-0.5591980174597945,-0.5936298813219608,-0.3562890315321783,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,10,9.08855033235305,1.522667804127276,6.634315329789484,6.457981443987418,14.614964577904177,0.75,23.703514910257226,0.9954235377270857,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,316793.05,28796.0,1.5379355583932934,0.4610885967876812,1.0768469616056122,0.4488413800188089,1.0890941783744845,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,15,-7.143356864562538,1.522667804127276,-6.634315329789482,-2.75659541867316,-7.868242944335366,0.75,-15.011599808897904,0.02381437649425507,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,10047.43,144291.84,-1.174226608647971,-0.7145734760522054,-0.45965313259576546,-1.3252445421559647,0.15101793350799375,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,16,-67.3003927157419,1.522667804127276,-6.634315329789482,0.9976270107914236,-4.1140205148707825,0.75,-71.4144132306127,2.999036006969358e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,2310.29,127250.0,-1.2203680641720198,-1.3867190555311901,0.1663509913591703,-1.570699664478083,0.35033160030606325,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,19,41.39846953785087,1.522667804127276,6.634315329789484,1.308182149090925,9.465165283007684,0.75,50.86363482085856,0.9998465821407607,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,132809.76,1500.0,1.2668642416099754,1.0487292121594312,0.2181350294505442,1.0831293430727515,0.1837348985372238,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,20,-15.79004305594924,1.522667804127276,-6.634315329789482,-9.360955496630712,-14.47260302229292,0.75,-30.262646078242163,0.0016452642024177826,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,8030.92,572080.0,-2.3720927298864853,-0.8111844845310849,-1.5609082453554004,-1.3605250939111786,-1.0115676359753067,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,21,-10.447827836392346,1.522667804127276,-6.634315329789482,-7.7707806084893996,-12.882428134151604,0.75,-23.330255970543952,0.004876849904853218,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,2397.56,355900.0,-2.0472467984875298,-0.7514949354427031,-1.2957518630448268,-1.3387275756054007,-0.7085192228821291,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,25,3.692638075152973,1.522667804127276,-6.634315329789482,-3.8260921402905588,-8.937739665952765,0.75,-5.245101590799793,0.2017526187476441,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,6257.2,137827.0,-1.2055872935150738,-0.5675991339283106,-0.6379881595867631,-1.2236063917590037,0.018019098243929887,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,28,-18.064312676075136,1.522667804127276,-6.634315329789482,1.07650923409919,-4.035138291563016,0.75,-22.099450967638152,0.006041035024382658,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,17490.97,80201.7,-0.6570909753732053,-0.8365953155350032,0.17950434016179795,-1.3698046589679156,0.7127136835947103,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,32,10.625381061180722,1.522667804127276,0.0,-0.09953389765846388,1.423133906468812,0.75,12.048514967649535,0.9548602588756232,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,27000.0,26450.0,0.007168489478612594,0.023765436403889284,-0.01659694692527669,-0.30424784023749596,0.31141632971610855,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,37,-36.98281486352502,1.522667804127276,0.0,-2.391066440761131,-0.868398636633855,0.75,-37.85121350015888,0.0006073133677594477,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,12499.04,116759.78,-0.9814031371261225,-0.5827007478326383,-0.3987023892934842,-0.6637373693458362,-0.3176657677802863,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,38,-34.46729368818795,1.522667804127276,-6.634315329789482,-2.796744178735067,-7.908391704397273,0.75,-42.375685392585225,0.0003613742393336393,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,3352.23,185835.0,-1.486216631650254,-1.0198688266309328,-0.46634780501932127,-1.4367327523124052,-0.049483879337848924,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,40,-53.83423778082775,1.522667804127276,-6.634315329789482,-3.7033002589390325,-8.814947784601237,0.75,-62.649185565428986,5.657398443120607e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,5483.71,304200.0,-1.8537722611933798,-1.236259240082949,-0.6175130211104307,-1.5157545253104066,-0.33801773588297324,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,41,-37.86327812853512,1.522667804127276,-6.634315329789482,-1.8216895752162243,-6.93333710087843,0.75,-44.796615229413554,0.00027901284533519706,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,3045.25,157000.0,-1.3615734703856945,-1.0578127827660988,-0.30376068761959574,-1.4505891826437058,0.0890157122580113,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,43,-34.288739798266306,1.522667804127276,-6.634315329789482,-3.1138130897819103,-8.225460615444117,0.75,-42.51420041371043,0.0003559448708947497,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,5920.099999999999,210086.87,-1.537091804403116,-1.0178738113162402,-0.5192179930868759,-1.4360042096528196,-0.1010875947502965,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,45,-34.761152934980046,1.522667804127276,-6.634315329789482,-1.3170774056544803,-6.428724931316686,0.75,-41.18987786629673,0.000412101553790271,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,19084.04,189390.04,-1.2427704537616027,-1.0231521698164077,-0.219618283945195,-1.4379317684598312,0.1951613146982285,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,47,-6.948190807709683,1.522667804127276,-6.634315329789482,-1.7531777846426977,-6.864825310304903,0.75,-13.813016118014586,0.030724303551182743,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,47125.26,215265.42,-1.004729423993485,-0.7123928499538299,-0.2923365740396551,-1.3244482178743553,0.3197187938808703,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,50,-51.34935801312233,1.522667804127276,0.0,0.14433709738751566,1.6670049015147916,0.75,-49.68235311160753,0.00017147901163616484,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,7948.25,68950.01999999999,-0.7191530340039841,-0.7432207657119203,0.02406773170793619,-0.7223563081987097,0.003203274194725547,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,63,-8.18205819223839,1.522667804127276,-6.634315329789482,-4.575825001144477,-9.687472526806683,0.75,-17.869530719045073,0.013309333025188417,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,14515.73,236028.59,-1.4891827008208376,-0.7261790762271115,-0.7630036245937261,-1.329482692487566,-0.15970000833327158,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,68,9.44688142031833,1.522667804127276,6.634315329789484,-3.3334137577701064,4.8235693761466525,0.75,14.270450796464983,0.9721415901270142,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,67900.0,78775.0,-0.08822988790832365,0.4676057873661992,-0.5558356752745228,0.4558759100168204,-0.544105797925144,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,69,17.332860634907874,1.522667804127276,6.634315329789484,2.5891341653060476,10.746117299222806,0.75,28.07897793413068,0.9977300352386452,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,135030.31,15219.41,1.0427625254807693,0.6110330008171598,0.4317295246636095,0.6106884819980154,0.4320740434827539,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,70,48.01764103709803,1.522667804127276,6.634315329789484,-0.4224686212503448,7.734514512666414,0.75,55.752155549764446,0.9999009073528322,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,112250.0,4080.16,1.0986709652739857,1.1691162050308612,-0.07044523975687556,1.2130727446844705,-0.1144017794104848,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,74,38.525345278325226,1.522667804127276,0.0,2.385807114983463,3.908474919110739,0.75,42.43382019743596,0.999640916332921,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,88629.13,4750.0,0.9290248691360812,0.5311994549520638,0.3978254141840174,0.24346666687768237,0.6855582022583988,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,75,-18.959038717299137,1.522667804127276,-6.634315329789482,-1.949058421721561,-7.060705947383767,0.75,-26.019744664682904,0.003126558411224006,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,4165.88,124800.0,-1.1715912733021367,-0.8465922534649437,-0.32499901983719304,-1.3734553556285145,0.20186408232637776,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,80,-25.420156274172147,1.522667804127276,-6.634315329789482,-4.192901794086945,-9.30454931974915,0.75,-34.7247055939213,0.0008966194495475069,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,2131.1,212880.0,-1.617935954638148,-0.9187835032979608,-0.6991524513401872,-1.3998182636046188,-0.21811769103352918,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,82,40.24543724717232,1.73897544291074,6.911818015896355,0.0,8.650793458807094,0.75,48.89623070597941,0.9998150946945523,False,False,polling_federal_plus_incumbency,orthogonal,181900.0,,,,,,,single_official_state_record_with_activity,unverified_live_summary_zero,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,85,-17.360088101277302,1.522667804127276,-6.634315329789482,-4.741581673462701,-9.853229199124907,0.75,-27.21331730040221,0.0025917008100734005,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,4039.4,222893.96,-1.6193698846764297,-0.8287268853802693,-0.7906429992961604,-1.3669312539421616,-0.2524386307342681,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,96,-36.43579716463081,1.522667804127276,0.0,-2.965850608928406,-1.44318280480113,0.75,-37.878979969431946,0.0006052880410506605,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,2751.32,103964.7,-1.0711345596195394,-0.5765888188952137,-0.49454574072432567,-0.6615054060468697,-0.4096291535726697,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,99,37.56468037576528,1.73897544291074,6.911818015896355,0.0,8.650793458807094,0.75,46.21547383457237,0.999758889634931,False,False,polling_federal_plus_incumbency,orthogonal,148550.0,,,,,,,single_official_state_record_with_activity,unverified_live_summary_zero,1,7.554772105617104,6,2026-08-17
uniform_polling_federal_orthogonal_shrunk75_sensitivity,2026,house,101,-20.402616793423974,1.522667804127276,-6.634315329789482,-6.599975040458021,-11.711622566120226,0.75,-32.1142393595442,0.0012689288090743937,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,15578.11,417073.9,-1.9632455380218856,-0.8627216157044741,-1.1005239223174115,-1.3793455001185675,-0.5839000379033181,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
