state,chamber,district_2022,prior_year,prior_party,prior_candidate,normalized_name,normalized_surname,uncont,exper,candid
TX,lower,131.0,2022,D,"allen, alma a",ALMA A ALLEN,ALLEN,0,inc,268785
TX,lower,130.0,2022,R,"oliverson, tom",TOM OLIVERSON,OLIVERSON,1,inc,376174
TX,lower,129.0,2022,R,"paul, dennis",DENNIS PAUL,PAUL,0,inc,333790
TX,lower,128.0,2022,R,"cain, briscoe",BRISCOE CAIN,CAIN,0,inc,333786
TX,lower,127.0,2022,R,"cunningham, charles",CHARLES CUNNINGHAM,CUNNINGHAM,1,none,418975
TX,lower,126.0,2022,R,"harless, e sam",E SAM HARLESS,HARLESS,1,inc,389765
TX,lower,125.0,2022,D,"lopez, ray",RAY LOPEZ,LOPEZ,0,inc,403739
TX,lower,124.0,2022,D,"garcia, josey",JOSEY GARCIA,GARCIA,0,none,418971
TX,lower,123.0,2022,D,"bernanl, diego",DIEGO BERNANL,BERNAL,0,inc,376162
TX,lower,122.0,2022,R,"dorazio, mark",MARK DORAZIO,DORAZIO,0,none,418966
TX,lower,121.0,2022,R,"allison, steve",STEVE ALLISON,ALLISON,0,inc,389755
TX,lower,120.0,2022,D,"gervinhawkins, barbara",BARBARA GERVINHAWKINS,GERVINHAWKINS,0,inc,376158
TX,lower,119.0,2022,D,"campos, elizabeth (liz)",ELIZABETH LIZ CAMPOS,CAMPOS,1,inc,403726
TX,lower,118.0,2022,R,"lujan, john",JOHN LUJAN,LUJAN,0,none,376155
TX,lower,117.0,2022,D,"cortez, philip",PHILIP CORTEZ,CORTEZ,0,inc,319809
TX,lower,116.0,2022,D,"martinezfischer, trey",TREY MARTINEZFISCHER,MARTINEZFISCHER,1,inc,221489
TX,lower,115.0,2022,D,"johnson, julie",JULIE JOHNSON,JOHNSON,0,inc,389744
TX,lower,114.0,2022,D,"bryant, john",JOHN BRYANT,BRYANT,0,pastinc,227715
TX,lower,113.0,2022,D,"andrewsbowers, rhetta",RHETTA ANDREWSBOWERS,BOWERS,1,inc,376144
TX,lower,112.0,2022,R,"chenbutton, angie c",ANGIE C CHENBUTTON,CHENBUTTON,0,inc,292180
TX,lower,111.0,2022,D,"davis, yvonne",YVONNE DAVIS,DAVIS,0,inc,221375
TX,lower,110.0,2022,D,"rose, toni",TONI ROSE,ROSE,1,inc,319797
TX,lower,109.0,2022,D,"sherman, carl",CARL SHERMAN,SHERMAN,1,inc,389735
TX,lower,108.0,2022,R,"meyer, morgan",MORGAN MEYER,MEYER,0,inc,333751
TX,lower,107.0,2022,D,"neave, victoria",VICTORIA NEAVE,NEAVECRIADO,1,inc,376133
TX,lower,106.0,2022,R,"patterson, jared",JARED PATTERSON,PATTERSON,1,inc,333761
TX,lower,105.0,2022,D,"meza, thresa (terry)",THRESA TERRY MEZA,MEZA,0,inc,333738
TX,lower,104.0,2022,D,"gonzalez, jessica",JESSICA GONZALEZ,GONZALEZ,1,inc,389725
TX,lower,103.0,2022,D,"anchia, rafael m",RAFAEL M ANCHIA,ANCHIA,1,inc,268743
TX,lower,102.0,2022,D,"ramos, anamaria",ANAMARIA RAMOS,RAMOS,0,inc,389722
TX,lower,101.0,2022,D,"turner, chris",CHRIS TURNER,TURNER,1,inc,292143
TX,lower,100.0,2022,D,"jones, venton c",VENTON C JONES,JONES,1,none,418929
TX,lower,99.0,2022,R,"geren, charlie",CHARLIE GEREN,GEREN,0,inc,227249
TX,lower,98.0,2022,R,"capriglione, giovanni",GIOVANNI CAPRIGLIONE,CAPRIGLIONE,0,inc,319775
TX,lower,97.0,2022,R,"goldman, craig",CRAIG GOLDMAN,GOLDMAN,0,inc,319773
TX,lower,96.0,2022,R,"cook, david",DAVID COOK,COOK,1,inc,403681
TX,lower,95.0,2022,D,"collier, nicole",NICOLE COLLIER,COLLIER,0,inc,319768
TX,lower,94.0,2022,R,"tinderholt, tony",TONY TINDERHOLT,TINDERHOLT,0,inc,333720
TX,lower,93.0,2022,R,"schatzline, nate",NATE SCHATZLINE,SCHATZLINE,0,none,418916
TX,lower,92.0,2022,D,"bhojani, salman",SALMAN BHOJANI,BHOJANI,0,none,418914
TX,lower,91.0,2022,R,"klick, stephanie",STEPHANIE KLICK,KLICK,1,inc,319759
TX,lower,90.0,2022,D,"romero, ramon, jr",RAMON ROMERO,ROMERO,1,inc,333711
TX,lower,89.0,2022,R,"noble, candy",CANDY NOBLE,NOBLE,1,inc,389692
TX,lower,88.0,2022,R,"king, ken",KEN KING,KING,1,inc,319756
TX,lower,87.0,2022,R,"price, four",FOUR PRICE,PRICE,1,inc,305806
TX,lower,86.0,2022,R,"smithee, john",JOHN SMITHEE,SMITHEE,1,inc,225957
TX,lower,85.0,2022,R,"kitzman, stan",STAN KITZMAN,KITZMAN,0,none,418905
TX,lower,84.0,2022,R,"tepper, carl",CARL TEPPER,TEPPER,1,none,418902
TX,lower,83.0,2022,R,"burrows, dustin",DUSTIN BURROWS,BURROWS,1,inc,354028
TX,lower,82.0,2022,R,"craddick, tom",TOM CRADDICK,CRADDICK,1,inc,226038
TX,lower,81.0,2022,R,"landgraf, brooks",BROOKS LANDGRAF,LANDGRAF,1,inc,333696
TX,lower,80.0,2022,D,"king, tracy o",TRACY O KING,KING,1,inc,224457
TX,lower,79.0,2022,D,"ordazperez, claudia",CLAUDIA ORDAZPEREZ,ORDAZPEREZ,1,inc,403645
TX,lower,78.0,2022,D,"moody, joseph e 2",JOSEPH E 2 MOODY,MOODY,1,inc,292109
TX,lower,77.0,2022,D,"ortega, evelina (lina)",EVELINA LINA ORTEGA,ORTEGA,1,inc,376083
TX,lower,76.0,2022,D,"lalani, suleman",SULEMAN LALANI,LALANI,0,none,418894
TX,lower,75.0,2022,D,"gonzalez, mary e",MARY E GONZALEZ,GONZALEZ,1,inc,319739
TX,lower,74.0,2022,D,"morales, eddie",EDDIE MORALES,MORALES,0,inc,403642
TX,lower,73.0,2022,R,"isaac, carrie",CARRIE ISAAC,ISAAC,0,none,403587
TX,lower,72.0,2022,R,"darby, drew",DREW DARBY,DARBY,1,inc,280283
TX,lower,71.0,2022,R,"lambert, stan",STAN LAMBERT,LAMBERT,0,inc,376076
TX,lower,70.0,2022,D,"plesa, mihaela e",MIHAELA E PLESA,PLESA,0,none,418883
TX,lower,69.0,2022,R,"frank, james b",JAMES B FRANK,FRANK,0,inc,319731
TX,lower,68.0,2022,R,"spiller, david",DAVID SPILLER,SPILLER,1,none,418878
TX,lower,67.0,2022,R,"leach, jeff",JEFF LEACH,LEACH,0,inc,319728
TX,lower,66.0,2022,R,"shaheen, matt",MATT SHAHEEN,SHAHEEN,0,inc,333669
TX,lower,65.0,2022,R,"thimesch, kronda",KRONDA THIMESCH,THIMESCH,0,none,403626
TX,lower,64.0,2022,R,"stucky, lynn",LYNN STUCKY,STUCKY,1,inc,376061
TX,lower,63.0,2022,R,"bumgarner, ben",BEN BUMGARNER,BUMGARNER,0,none,418869
TX,lower,62.0,2022,R,"smith, reggie",REGGIE SMITH,SMITH,1,inc,389647
TX,lower,61.0,2022,R,"frazier, frederick",FREDERICK FRAZIER,FRAZIER,0,none,418866
TX,lower,60.0,2022,R,"rogers, glenn",GLENN ROGERS,ROGERS,1,inc,403615
TX,lower,59.0,2022,R,"slawson, shelby",SHELBY SLAWSON,SLAWSON,1,inc,403614
TX,lower,58.0,2022,R,"burns, dewayne",DEWAYNE BURNS,BURNS,1,inc,333646
TX,lower,57.0,2022,R,"hayes, richard",RICHARD HAYES,HAYES,1,none,418862
TX,lower,56.0,2022,R,"anderson, charles (doc)",CHARLES DOC ANDERSON,ANDERSON,0,inc,268673
TX,lower,55.0,2022,R,"shine, hugh d",HUGH D SHINE,SHINE,0,inc,220442
TX,lower,54.0,2022,R,"buckley, brad",BRAD BUCKLEY,BUCKLEY,0,inc,389635
TX,lower,53.0,2022,R,"murr, andrew s",ANDREW S MURR,MURR,0,inc,333635
TX,lower,52.0,2022,R,"harris, caroline",CAROLINE HARRIS,HARRIS,0,none,418851
TX,lower,51.0,2022,D,"flores, maria l (lulu)",MARIA L LULU FLORES,FLORES,0,none,418849
TX,lower,50.0,2022,D,"talarico, james",JAMES TALARICO,TALARICO,0,inc,389632
TX,lower,49.0,2022,D,"hinojosa, gina",GINA HINOJOSA,HINOJOSA,0,inc,376037
TX,lower,48.0,2022,D,"howard, donna",DONNA HOWARD,HOWARD,1,inc,280231
TX,lower,47.0,2022,D,"goodwin, vikki",VIKKI GOODWIN,GOODWIN,0,inc,389624
TX,lower,46.0,2022,D,"cole, sheryl",SHERYL COLE,COLE,0,inc,389621
TX,lower,45.0,2022,D,"zwiener, erin",ERIN ZWIENER,ZWIENER,0,inc,389620
TX,lower,44.0,2022,R,"kuempel, john",JOHN KUEMPEL,KUEMPEL,0,inc,319685
TX,lower,43.0,2022,R,"lozano, jm m 1",JM M 1 LOZANO,LOZANO,1,inc,305725
TX,lower,42.0,2022,D,"penaraymond, richard p",RICHARD P PENARAYMOND,RAYMOND,0,inc,224372
TX,lower,41.0,2022,D,"guerra, robert (bobby)",ROBERT BOBBY GUERRA,GUERRA,0,inc,319681
TX,lower,40.0,2022,D,"canales, terry 2",TERRY 2 CANALES,CANALES,1,inc,319679
TX,lower,39.0,2022,D,"martinez, armando m (mando)",ARMANDO M MANDO MARTINEZ,MARTINEZ,0,inc,268648
TX,lower,38.0,2022,D,"gamez, erin e",ERIN E GAMEZ,GAMEZ,1,none,418823
TX,lower,37.0,2022,R,"lopez, janie",JANIE LOPEZ,LOPEZ,0,none,418821
TX,lower,36.0,2022,D,"munoz, sergio, jr 2",SERGIO 2 MUNOZ,MUNOZ,1,inc,308487
TX,lower,35.0,2022,D,"longoria, oscar",OSCAR LONGORIA,LONGORIA,0,inc,319671
TX,lower,34.0,2022,D,"herrero, abel",ABEL HERRERO,HERRERO,0,inc,268642
TX,lower,33.0,2022,R,"holland, justin m",JUSTIN M HOLLAND,HOLLAND,0,inc,354159
TX,lower,32.0,2022,R,"hunter, todd a",TODD A HUNTER,HUNTER,1,inc,223624
TX,lower,31.0,2022,R,"guillen, ryan",RYAN GUILLEN,GUILLEN,0,inc,223550
TX,lower,30.0,2022,R,"morrison, geanie w",GEANIE W MORRISON,MORRISON,1,inc,223504
TX,lower,29.0,2022,R,"thompson, ed",ED THOMPSON,THOMPSON,1,inc,319661
TX,lower,28.0,2022,R,"gates, gary",GARY GATES,GATES,0,inc,403561
TX,lower,27.0,2022,D,"reynolds, ronald (ron)",RONALD RON REYNOLDS,REYNOLDS,0,inc,305706
TX,lower,26.0,2022,R,"jetton, jacey",JACEY JETTON,JETTON,0,inc,403557
TX,lower,25.0,2022,R,"vasut, cody t",CODY T VASUT,VASUT,1,inc,403555
TX,lower,24.0,2022,R,"bonnen, greg",GREG BONNEN,BONNEN,0,inc,319652
TX,lower,23.0,2022,R,"leowilson, terri",TERRI LEOWILSON,LEOWILSON,0,none,418798
TX,lower,22.0,2022,D,"hayes, christian (manuel)",CHRISTIAN MANUEL HAYES,HAYES,0,none,418795
TX,lower,21.0,2022,R,"phelan, dade",DADE PHELAN,PHELAN,1,inc,333591
TX,lower,20.0,2022,R,"wilson, terry m",TERRY M WILSON,WILSON,0,inc,375992
TX,lower,19.0,2022,R,"troxclair, ellen",ELLEN TROXCLAIR,TROXCLAIR,0,none,418790
TX,lower,18.0,2022,R,"bailes, ernest",ERNEST BAILES,BAILES,1,inc,375989
TX,lower,17.0,2022,R,"gerdes, stan",STAN GERDES,GERDES,0,none,418788
TX,lower,16.0,2022,R,"metcalf, will",WILL METCALF,METCALF,1,inc,333576
TX,lower,15.0,2022,R,"toth, steve",STEVE TOTH,TOTH,0,inc,319640
TX,lower,14.0,2022,R,"raney, john",JOHN RANEY,RANEY,1,inc,319638
TX,lower,13.0,2022,R,"orr, angelia",ANGELIA ORR,ORR,0,none,418779
TX,lower,12.0,2022,R,"kacal, kyle j",KYLE J KACAL,KACAL,1,inc,319634
TX,lower,11.0,2022,R,"clardy, travis",TRAVIS CLARDY,CLARDY,1,inc,319632
TX,lower,10.0,2022,R,"harrison, brian m",BRIAN M HARRISON,HARRISON,1,none,376201
TX,lower,9.0,2022,R,"ashby, trent",TRENT ASHBY,ASHBY,0,inc,319710
TX,lower,8.0,2022,R,"harris, cody",CODY HARRIS,HARRIS,1,inc,389556
TX,lower,7.0,2022,R,"dean, jay",JAY DEAN,DEAN,1,inc,375975
TX,lower,6.0,2022,R,"schaefer, matt",MATT SCHAEFER,SCHAEFER,0,inc,319625
TX,lower,5.0,2022,R,"hefner, cole",COLE HEFNER,HEFNER,1,inc,375973
TX,lower,4.0,2022,R,"bell, keith",KEITH BELL,BELL,1,inc,389549
TX,lower,3.0,2022,R,"bell, cecil, jr",CECIL BELL,BELL,1,inc,319621
TX,lower,2.0,2022,R,"slaton, bryan",BRYAN SLATON,SLATON,1,inc,403516
TX,lower,1.0,2022,R,"vandeaver, gary",GARY VANDEAVER,VANDEAVER,1,inc,333545
TN,upper,33.0,2022,D,"lamar, london p",LONDON P LAMAR,LAMAR,0,other,389496
TN,upper,31.0,2022,R,"taylor, brent",BRENT TAYLOR,TAYLOR,0,none,418758
TN,upper,29.0,2022,D,"akbari, raumesh a",RAUMESH A AKBARI,AKBARI,1,inc,333485
TN,upper,27.0,2022,R,"johnson, jack",JACK JOHNSON,JOHNSON,1,inc,279943
TN,upper,25.0,2022,R,"jackson, ed",ED JACKSON,JACKSON,1,inc,333313
TN,upper,23.0,2022,R,"roberts, kerry",KERRY ROBERTS,ROBERTS,1,inc,333308
TN,upper,21.0,2022,D,"yarbro, jeff",JEFF YARBRO,YARBRO,1,inc,333301
TN,upper,19.0,2022,D,"oliver, charlane",CHARLANE OLIVER,OLIVER,0,none,418749
TN,upper,17.0,2022,R,"pody, mark a",MARK A PODY,PODY,1,inc,305527
TN,upper,15.0,2022,R,"bailey, paul",PAUL BAILEY,BAILEY,1,inc,212965
TN,upper,13.0,2022,R,"white, dawn",DAWN WHITE,WHITE,0,inc,319459
TN,upper,11.0,2022,R,"watson, bo",BO WATSON,WATSON,1,inc,268465
TN,upper,9.0,2022,R,"southerland, steve",STEVE SOUTHERLAND,SOUTHERLAND,0,inc,212755
TN,upper,7.0,2022,R,"briggs, richard",RICHARD BRIGGS,BRIGGS,0,inc,333286
TN,upper,5.0,2022,R,"mcnally, james r (randy)",JAMES R RANDY MCNALLY,MCNALLY,1,inc,213782
TN,upper,3.0,2022,R,"crowe, rusty",RUSTY CROWE,CROWE,0,inc,305420
TN,upper,1.0,2022,R,"lowe, j adam",J ADAM LOWE,LOWE,0,none,333358
TN,lower,99.0,2022,R,"leatherwood, tom",TOM LEATHERWOOD,LEATHERWOOD,1,inc,213666
TN,lower,98.0,2022,D,"parkinson, antonio",ANTONIO PARKINSON,PARKINSON,1,inc,319556
TN,lower,97.0,2022,R,"gillespie, john",JOHN GILLESPIE,GILLESPIE,0,inc,403481
TN,lower,96.0,2022,D,"thompson, dwayne",DWAYNE THOMPSON,THOMPSON,1,inc,333497
TN,lower,95.0,2022,R,"vaughan, kevin",KEVIN VAUGHAN,VAUGHAN,0,inc,389503
TN,lower,94.0,2022,R,"gant, ron m",RON M GANT,GANT,1,inc,375930
TN,lower,93.0,2022,D,"hardaway, goffrey a, sr",GOFFREY A HARDAWAY,HARDAWAY,1,inc,291908
TN,lower,92.0,2022,R,"warner, todd",TODD WARNER,WARNER,0,inc,403472
TN,lower,91.0,2022,D,"harris, torrey c",TORREY C HARRIS,HARRIS,1,inc,403469
TN,lower,90.0,2022,D,"johnson, gloria",GLORIA JOHNSON,JOHNSON,0,inc,319416
TN,lower,89.0,2022,R,"lafferty, justin",JUSTIN LAFFERTY,LAFFERTY,0,inc,389493
TN,lower,88.0,2022,D,"miller, larry j",LARRY J MILLER,MILLER,1,inc,218984
TN,lower,87.0,2022,D,"camper, karen d",KAREN D CAMPER,CAMPER,1,inc,291901
TN,lower,86.0,2022,D,"cooper, barbara",BARBARA COOPER,COOPER,1,inc,218874
TN,lower,85.0,2022,D,"chism, jesse",JESSE CHISM,CHISM,1,inc,389489
TN,lower,84.0,2022,D,"towns, joe, jr",JOE TOWNS,TOWNS,1,inc,218743
TN,lower,83.0,2022,R,"white, mark",MARK WHITE,WHITE,1,inc,305602
TN,lower,82.0,2022,R,"hurt, chris",CHRIS HURT,HURT,1,inc,389485
TN,lower,81.0,2022,R,"moody, debra f",DEBRA F MOODY,MOODY,1,inc,319535
TN,lower,80.0,2022,D,"shaw, johnny w",JOHNNY W SHAW,SHAW,1,inc,218534
TN,lower,79.0,2022,R,"martin, brock",BROCK MARTIN,MARTIN,0,none,418705
TN,lower,78.0,2022,R,"littleton, mary",MARY LITTLETON,LITTLETON,0,inc,319530
TN,lower,77.0,2022,R,"grills, rusty",RUSTY GRILLS,GRILLS,1,inc,403449
TN,lower,76.0,2022,R,"darby, tandy",TANDY DARBY,DARBY,1,inc,403448
TN,lower,75.0,2022,R,"burkhart, jeff",JEFF BURKHART,BURKHART,1,none,418698
TN,lower,74.0,2022,R,"reedy, jay d",JAY D REEDY,REEDY,1,inc,333458
TN,lower,73.0,2022,R,"todd, chris",CHRIS TODD,TODD,0,inc,389469
TN,lower,72.0,2022,R,"haston, kirk",KIRK HASTON,HASTON,1,inc,389466
TN,lower,71.0,2022,R,"capley, kip",KIP CAPLEY,CAPLEY,0,none,418693
TN,lower,70.0,2022,R,"doggett, clay",CLAY DOGGETT,DOGGETT,1,inc,389461
TN,lower,69.0,2022,R,"barrett, jody",JODY BARRETT,BARRETT,0,none,418689
TN,lower,68.0,2022,R,"johnson, curtis g",CURTIS G JOHNSON,JOHNSON,1,inc,268521
TN,lower,67.0,2022,D,"glynn, ronnie l",RONNIE L GLYNN,GLYNN,0,none,403502
TN,lower,66.0,2022,R,"kumar, sabi (doc)",SABI DOC KUMAR,KUMAR,1,inc,333445
TN,lower,65.0,2022,R,"whitson, sam",SAM WHITSON,WHITSON,1,inc,375833
TN,lower,64.0,2022,R,"cepicky, scott e",SCOTT E CEPICKY,CEPICKY,0,inc,389446
TN,lower,63.0,2022,R,"mccalmon, jake",JAKE MCCALMON,MCCALMON,0,none,418678
TN,lower,62.0,2022,R,"marsh, pat",PAT MARSH,MARSH,1,inc,305561
TN,lower,61.0,2022,R,"bulso, gino",GINO BULSO,BULSO,0,none,418675
TN,lower,60.0,2022,D,"jernigan, darren",DARREN JERNIGAN,JERNIGAN,0,inc,319498
TN,lower,59.0,2022,D,"hemmer, caleb",CALEB HEMMER,HEMMER,0,none,418671
TN,lower,58.0,2022,D,"love, harold m, jr 2",HAROLD M 2 LOVE,LOVE,1,inc,319494
TN,lower,57.0,2022,R,"lynn, susan m",SUSAN M LYNN,LYNN,1,inc,217019
TN,lower,56.0,2022,D,"freeman, bob",BOB FREEMAN,FREEMAN,1,inc,389432
TN,lower,55.0,2022,D,"rayclemmons, john r",JOHN R RAYCLEMMONS,RAYCLEMMONS,1,inc,333423
TN,lower,54.0,2022,D,"dixie, vincent",VINCENT DIXIE,DIXIE,1,inc,389429
TN,lower,53.0,2022,D,"powell, jason",JASON POWELL,POWELL,0,inc,319488
TN,lower,52.0,2022,D,"jones, justin",JUSTIN JONES,JONES,1,none,418663
TN,lower,51.0,2022,D,"beck, bill",BILL BECK,BECK,1,inc,333414
TN,lower,50.0,2022,D,"mitchell, bo",BO MITCHELL,MITCHELL,1,inc,319483
TN,lower,49.0,2022,R,"sparks, mike",MIKE SPARKS,SPARKS,0,inc,305533
TN,lower,48.0,2022,R,"terry, bryan",BRYAN TERRY,TERRY,0,inc,333408
TN,lower,47.0,2022,R,"bricken, rush",RUSH BRICKEN,BRICKEN,1,inc,389415
TN,lower,46.0,2022,R,"boyd, clark",CLARK BOYD,BOYD,1,inc,333296
TN,lower,45.0,2022,R,"garrett, johnny c",JOHNNY C GARRETT,GARRETT,1,inc,389412
TN,lower,44.0,2022,R,"lamberth, william g",WILLIAM G LAMBERTH,LAMBERTH,0,inc,319473
TN,lower,43.0,2022,R,"sherrell, paul",PAUL SHERRELL,SHERRELL,0,inc,375785
TN,lower,42.0,2022,R,"williams, ryan d",RYAN D WILLIAMS,WILLIAMS,1,inc,305519
TN,lower,41.0,2022,R,"butler, ed",ED BUTLER,BUTLER,1,none,375772
TN,lower,40.0,2022,R,"hale, michael",MICHAEL HALE,HALE,0,none,418644
TN,lower,39.0,2022,R,"rudder, iris",IRIS RUDDER,RUDDER,0,inc,389401
TN,lower,38.0,2022,R,"keisling, kelly t",KELLY T KEISLING,KEISLING,1,inc,305509
TN,lower,37.0,2022,R,"baum, charlie",CHARLIE BAUM,BAUM,0,inc,389396
TN,lower,36.0,2022,R,"powers, dennis h",DENNIS H POWERS,POWERS,1,inc,215715
TN,lower,35.0,2022,R,"slater, william",WILLIAM SLATER,SLATER,1,none,418637
TN,lower,34.0,2022,R,"rudd, tim",TIM RUDD,RUDD,0,inc,375736
TN,lower,33.0,2022,R,"ragan, john d",JOHN D RAGAN,RAGAN,0,inc,305502
TN,lower,32.0,2022,R,"fritts, monty",MONTY FRITTS,FRITTS,0,none,418632
TN,lower,31.0,2022,R,"travis, ron",RON TRAVIS,TRAVIS,0,inc,319447
TN,lower,30.0,2022,R,"helton, esther",ESTHER HELTON,HELTON,1,inc,389382
TN,lower,29.0,2022,R,"vital, greg",GREG VITAL,VITAL,1,none,418627
TN,lower,28.0,2022,D,"hakeem, yusuf a",YUSUF A HAKEEM,HAKEEM,1,inc,389378
TN,lower,27.0,2022,R,"hazlewood, patsy",PATSY HAZLEWOOD,HAZLEWOOD,1,inc,333366
TN,lower,26.0,2022,R,"martin, greg",GREG MARTIN,MARTIN,0,none,418623
TN,lower,25.0,2022,R,"sexton, cameron",CAMERON SEXTON,SEXTON,0,inc,305491
TN,lower,24.0,2022,R,"raper, kevin d",KEVIN D RAPER,RAPER,1,none,418619
TN,lower,23.0,2022,R,"cochran, mark",MARK COCHRAN,COCHRAN,1,inc,389368
TN,lower,22.0,2022,R,"howell, dan",DAN HOWELL,HOWELL,1,inc,333357
TN,lower,21.0,2022,R,"russell, lowell",LOWELL RUSSELL,RUSSELL,1,inc,389366
TN,lower,20.0,2022,R,"richey, bryan",BRYAN RICHEY,RICHEY,1,none,418615
TN,lower,19.0,2022,R,"wright, dave",DAVE WRIGHT,WRIGHT,0,inc,389362
TN,lower,18.0,2022,R,"davis, elaine",ELAINE DAVIS,DAVIS,0,none,403351
TN,lower,17.0,2022,R,"ellisfarmer, andrew e",ANDREW E ELLISFARMER,ELLISFARMER,1,inc,319424
TN,lower,16.0,2022,R,"carringer, michele",MICHELE CARRINGER,CARRINGER,1,inc,403357
TN,lower,15.0,2022,D,"mckenzie, sam",SAM MCKENZIE,MCKENZIE,0,inc,403354
TN,lower,14.0,2022,R,"zachary, jason",JASON ZACHARY,ZACHARY,0,inc,375679
TN,lower,13.0,2022,R,"stevens, robert",ROBERT STEVENS,STEVENS,0,none,333411
TN,lower,12.0,2022,R,"carr, dale",DALE CARR,CARR,1,inc,319413
TN,lower,11.0,2022,R,"faison, jeremy",JEREMY FAISON,FAISON,1,inc,305471
TN,lower,10.0,2022,R,"eldridge, rick",RICK ELDRIDGE,ELDRIDGE,1,inc,389341
TN,lower,9.0,2022,R,"hicks, gary w, jr",GARY W HICKS,HICKS,1,inc,375663
TN,lower,8.0,2022,R,"moon, jerome",JEROME MOON,MOON,0,inc,389338
TN,lower,7.0,2022,R,"alexander, rebecca k",REBECCA K ALEXANDER,ALEXANDER,1,inc,403342
TN,lower,6.0,2022,R,"hicks, tim",TIM HICKS,HICKS,1,inc,403341
TN,lower,5.0,2022,R,"hawk, david b",DAVID B HAWK,HAWK,1,inc,216519
TN,lower,4.0,2022,R,"holsclaw, john b, jr",JOHN B HOLSCLAW,HOLSCLAW,1,inc,333328
TN,lower,3.0,2022,R,"campbell, scotty",SCOTTY CAMPBELL,CAMPBELL,1,inc,305455
TN,lower,2.0,2022,R,"hulsey, bud",BUD HULSEY,HULSEY,1,inc,333323
TN,lower,1.0,2022,R,"crawford, john",JOHN CRAWFORD,CRAWFORD,1,inc,375646
GA,upper,56.0,2022,R,"albers, john e",JOHN E ALBERS,ALBERS,0,inc,296941
