family,scale,df,brier,log_loss
student_t,1.5,3.0,0.0339666918470403,0.14228292759918768
student_t,1.75,3.0,0.033325387502467704,0.1327147517514814
student_t,2.0,3.0,0.032743155494738205,0.12528646443270897
student_t,2.25,3.0,0.03222561099129552,0.11944497663111404
student_t,2.5,3.0,0.03177215929954179,0.11481908654985302
student_t,2.75,3.0,0.031379108438428636,0.11114964255984988
student_t,3.0,3.0,0.03104154734836143,0.10824973900656208
student_t,3.25,3.0,0.030754375674769695,0.10598078541436325
student_t,3.5,3.0,0.0305128130061698,0.10423750435999649
student_t,3.75,3.0,0.03031260989200013,0.10293820021994778
student_t,4.0,3.0,0.03015009797845483,0.10201826268926253
student_t,4.25,3.0,0.030022159819001817,0.10142572045735901
student_t,4.5,3.0,0.029926163788463456,0.10111813033326664
student_t,4.75,3.0,0.029859888657506814,0.10106035723241133
student_t,5.0,3.0,0.02982145031718963,0.10122296110459464
student_t,5.25,3.0,0.029809236342398793,0.10158100527376321
student_t,5.5,3.0,0.029821850370819754,0.1021131624568926
student_t,5.75,3.0,0.0298580663444002,0.10280103441607945
student_t,6.0,3.0,0.029916791741046972,0.10362862719626917
student_t,6.25,3.0,0.029997038563751906,0.10458194123951221
student_t,6.5,3.0,0.030097900790773215,0.10564864741934768
student_t,6.75,3.0,0.030218537074270743,0.10681782812505129
student_t,7.0,3.0,0.030358157622013524,0.10807976816611985
student_t,7.25,3.0,0.03051601436188025,0.10942578425285718
student_t,7.5,3.0,0.03069139364841861,0.11084808465894318
student_t,7.75,3.0,0.030883610913861877,0.11233965273306926
student_t,8.0,3.0,0.031092006788838476,0.11389414943345759
student_t,8.25,3.0,0.03131594432037465,0.11550583117175683
student_t,8.5,3.0,0.03155480699831984,0.11716948008248881
student_t,8.75,3.0,0.03180799736841004,0.11888034445865701
student_t,9.0,3.0,0.032074936063386204,0.12063408756829802
student_t,9.25,3.0,0.03235506112533437,0.12242674342992083
student_t,9.5,3.0,0.03264782752487789,0.12425467840522576
student_t,9.75,3.0,0.03295270680788403,0.12611455768579719
student_t,10.0,3.0,0.0332691868194955,0.12800331592169445
student_t,10.25,3.0,0.03359677146982655,0.12991813137517697
student_t,10.5,3.0,0.033934980516594826,0.1318564030904835
student_t,10.75,3.0,0.03428334934810859,0.13381573065687838
student_t,11.0,3.0,0.03464142875603673,0.13579389621178453
student_t,11.25,3.0,0.035008784691763,0.1377888483873274
student_t,11.5,3.0,0.03538499800325808,0.13979868794976438
student_t,11.75,3.0,0.03576966415160035,0.14182165491918908
student_t,12.0,3.0,0.03616239290777253,0.14385611698822282
student_t,1.0,5.0,0.03587702886433019,0.21729008846832615
student_t,1.25,5.0,0.035245479199163876,0.1907368677007557
student_t,1.5,5.0,0.03457908883945586,0.17125566612479426
student_t,1.75,5.0,0.033927766267994874,0.1564334418292952
student_t,2.0,5.0,0.033321279450824255,0.1448587861704671
student_t,2.25,5.0,0.032773136663297245,0.13564842848082614
student_t,2.5,5.0,0.03228664196712088,0.1282205707639479
student_t,2.75,5.0,0.03185961073835012,0.12217586236818873
student_t,3.0,5.0,0.031487381037149376,0.11723059289478645
student_t,3.25,5.0,0.031164541092942,0.11317718616557725
student_t,3.5,5.0,0.030885830468237632,0.10985984828070268
student_t,3.75,5.0,0.03064655030672761,0.10715900436074198
student_t,4.0,5.0,0.030442699256421204,0.1049810472498854
student_t,4.25,5.0,0.030270966467594924,0.1032514030379809
student_t,4.5,5.0,0.030128658009745228,0.10190972844427566
student_t,4.75,5.0,0.030013599220338173,0.10090651262398756
student_t,5.0,5.0,0.029924035370988682,0.10020062591229721
student_t,5.25,5.0,0.029858541394918732,0.09975752030822745
student_t,5.5,5.0,0.02981594490053511,0.09954788696852679
student_t,5.75,5.0,0.029795263209481178,0.09954663967610951
student_t,6.0,5.0,0.029795653430491596,0.09973213449620566
student_t,6.25,5.0,0.029816373848283877,0.10008556306724763
student_t,6.5,5.0,0.02985675471616464,0.10059047527472394
student_t,6.75,5.0,0.029916176627075113,0.1012323995558453
student_t,7.0,5.0,0.029994054848820128,0.10199853774890537
student_t,7.25,5.0,0.030089828261182634,0.10287751749353355
student_t,7.5,5.0,0.030202951781365735,0.10385918952685597
student_t,7.75,5.0,0.030332891388698175,0.10493446034828541
student_t,8.0,5.0,0.030479121051803264,0.1060951530061351
student_t,8.25,5.0,0.030641121020510156,0.10733389043991144
student_t,8.5,5.0,0.030818377073217624,0.10864399706336726
student_t,8.75,5.0,0.031010380412209732,0.11001941521389025
student_t,9.0,5.0,0.031216627978923637,0.11145463380719854
student_t,9.25,5.0,0.03143662302251526,0.1129446270821639
student_t,9.5,5.0,0.031669875801905896,0.11448480174169572
student_t,9.75,5.0,0.03191590433690997,0.1160709511230787
student_t,10.0,5.0,0.03217423515057008,0.11769921528772292
student_t,10.25,5.0,0.03244440396450009,0.11936604612276462
student_t,10.5,5.0,0.032725956323468745,0.12106817670787037
student_t,10.75,5.0,0.033018448135908714,0.12280259432932962
student_t,11.0,5.0,0.033321446124484476,0.12456651662717476
student_t,11.25,5.0,0.033634528186051595,0.1263573704450392
student_t,11.5,5.0,0.03395728366386353,0.1281727730208979
student_t,11.75,5.0,0.034289313537170525,0.13001051521291826
student_t,12.0,5.0,0.03463023053473884,0.13186854650086482
student_t,1.0,8.0,0.03613902847325275,0.2643073960020135
student_t,1.25,8.0,0.03555963521145387,0.22928532781009922
student_t,1.5,8.0,0.034912878764204305,0.20254023276859898
student_t,1.75,8.0,0.034260222243973605,0.18169058381479253
student_t,2.0,8.0,0.03364180557743067,0.16551189003580768
student_t,2.25,8.0,0.033077773411878564,0.15268625888899479
student_t,2.5,8.0,0.03257488181952899,0.14235667044480932
student_t,2.75,8.0,0.03213229737740581,0.13394060475020234
student_t,3.0,8.0,0.03174551780513632,0.12702751103510124
student_t,3.25,8.0,0.0314087205404039,0.12131917810087162
student_t,3.5,8.0,0.031116041232571053,0.11659338959466989
student_t,3.75,8.0,0.030862189347035218,0.11268089250282506
