state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible,incumbency_model_ready,open_seat,gap,dem_candidate_id,rep_candidate_id,prior_quality_differential,prior_quality_available,demographic_type
AR,2022,lower,71.0,3817.0,5577.0,-18.73536299765808,0,0.0,Klarner SLER contest file,-3.541732336024384,2020 block results aggregated to 2022 BAF,-7.177168,-10.718900336024385,0.36887051408045,0.4102653111827424,0.4013181984621018,2022,ACS 2022 5-year direct SLD tabulation,-2.647445649801756,-2.880328131819846,-8.016462661633696,True,True,1.0,-8.016462661633694,JOHN J PACK,BRANDON ACHOR,0.0,0,high_white_college
AR,2022,lower,73.0,7881.0,5266.0,19.89046930858751,1,1.0,Klarner SLER contest file,17.126111934766495,2020 block results aggregated to 2022 BAF,-7.177168,9.948943934766495,0.2516169544740974,0.6788012588660811,0.7383937855526332,2022,ACS 2022 5-year direct SLD tabulation,-1.8058971539089488,-5.299576249067222,9.941525373821014,True,True,0.0,9.941525373821014,ANDREW COLLINS,JON WICKLIFFE,0.0,0,high_white_college
AR,2022,lower,75.0,6498.0,5349.0,9.69865788807293,1,1.0,Klarner SLER contest file,9.271052778636198,2020 block results aggregated to 2022 BAF,-7.177168,2.0938847786361983,0.3475605877488709,0.6437684911242604,0.6797228883559819,2022,ACS 2022 5-year direct SLD tabulation,-2.494500728452388,-4.878485363176126,7.6047731094367315,True,True,0.0,7.6047731094367315,ASHLEY HUDSON,HEATHER TURCHI,0.0,0,high_white_college
AR,2022,lower,81.0,3043.0,5320.0,-27.227071625014947,0,0.0,Klarner SLER contest file,-22.95492854282415,2020 block results aggregated to 2022 BAF,-7.177168,-30.13209654282415,0.3233827764531013,0.2856947296372347,0.3080297539576578,2022,ACS 2022 5-year direct SLD tabulation,-2.3209725149103524,-2.210781293152775,2.905024917809204,True,True,1.0,2.905024917809204,ROY VAUGHN,R J HAWK,0.0,0,other
AR,2022,lower,84.0,3134.0,5495.0,-27.36122378027581,0,-1.0,Klarner SLER contest file,-24.48680251171355,2020 block results aggregated to 2022 BAF,-7.177168,-31.66397051171355,0.2749280514643643,0.2395115225526886,0.279058021339731,2022,ACS 2022 5-year direct SLD tabulation,-1.9732048132723885,-2.0028463009028346,4.302746731437736,True,True,0.0,4.30274673143774,MICHELLE GATESROBERTS,LES A WARREN,0.0,0,other
AR,2022,lower,87.0,1523.0,6026.0,-59.65028480593456,0,-1.0,Klarner SLER contest file,-54.08801465918078,2020 block results aggregated to 2022 BAF,-7.177168,-61.26518265918078,0.3676297781157116,0.1394220628559375,0.1734269959966765,2022,ACS 2022 5-year direct SLD tabulation,-2.6385406793391857,-1.2447146860034746,1.6148978532462197,True,True,0.0,1.6148978532462195,CHRIS WOLCOTT,DEANN VAUGHT,0.0,0,other
AR,2022,lower,91.0,3088.0,6153.0,-33.16740612487826,0,-1.0,Klarner SLER contest file,-26.04864715825311,2020 block results aggregated to 2022 BAF,-7.177168,-33.22581515825311,0.2492269037495168,0.2735080378771196,0.2967759414792739,2022,ACS 2022 5-year direct SLD tabulation,-1.788743358330112,-2.130010790354917,0.0584090333748505,True,True,0.0,0.058409033374850594,JUDY LADD,BRUCE COZART,0.0,0,other
AR,2022,lower,94.0,3023.0,5167.0,-26.178266178266178,0,-1.0,Klarner SLER contest file,-21.61641663921393,2020 block results aggregated to 2022 BAF,-7.177168,-28.793584639213933,0.4342921978242008,0.1976215098241985,0.2473810750472265,2022,ACS 2022 5-year direct SLD tabulation,-3.1169880648735235,-1.7754955356345523,2.615318460947755,True,True,0.0,2.615318460947755,CURLEY JACKSON,JEFFREY R WARDLAW,0.0,0,other
AR,2022,lower,98.0,4083.0,4879.0,-8.881945994197723,0,1.0,Klarner SLER contest file,-9.610686216477712,2020 block results aggregated to 2022 BAF,-7.177168,-16.78785421647771,0.5008330663248959,0.1435150725716412,0.1834012911994563,2022,ACS 2022 5-year direct SLD tabulation,-3.59456305696892,-1.3163018783554197,7.905908222279988,True,True,0.0,7.905908222279988,DAVID FIELDING,WADE ANDREWS,0.0,0,majority_nonwhite
AR,2022,upper,2.0,8466.0,17791.0,-35.51433903340062,0,0.0,Klarner SLER contest file,-32.6615304182159,2020 block results aggregated to 2022 BAF,-7.177168,-39.8386984182159,0.3698527842969916,0.1694280584765324,0.199763228330245,2022,ACS 2022 5-year direct SLD tabulation,-2.6544955681672704,-1.433734249948528,4.324359384815281,True,True,1.0,4.324359384815281,GARRY L SMITH,MATT STONE,0.0,0,other
