state,year,chamber,office,allocation_method,rows,allocated_dem_votes,allocated_rep_votes
TX,2008,senate,USS,whole_precinct,8400,3389189.0,4336883.0
TX,2010,house,GOV,whole_precinct,8400,2106543.0,2737804.0
TX,2010,senate,GOV,whole_precinct,8400,2106543.0,2737804.0
TX,2012,house,USP,legislative_turnout_share,8,1359.0,1611.0
TX,2012,house,USP,whole_precinct,4932,2053540.0,2575648.0
TX,2012,house,USS,legislative_turnout_share,8,1357.0,1574.0
TX,2012,house,USS,whole_precinct,4932,1979827.0,2509874.0
TX,2012,senate,USP,legislative_turnout_share,4,954.0,738.0
TX,2012,senate,USP,unallocatable,2,0.0,0.0
TX,2012,senate,USP,whole_precinct,6521,2534622.0,3362356.0
TX,2012,senate,USS,legislative_turnout_share,4,913.0,746.0
TX,2012,senate,USS,unallocatable,2,0.0,0.0
TX,2012,senate,USS,whole_precinct,6521,2444558.0,3271127.0
