district_result_id,build_run_id,result_source_file_id,assignment_source_file_id,contract_version,state_code,election_cycle,plan_cycle,chamber,district,geography_unit_id,dem_votes,rep_votes,other_votes,total_votes,two_party_dem_margin,allocated_result_geographies,allocation_method,allocation_status
PRESDIST-68D59CB5D02C1DCD5F036A36,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,46,,44383.080000000045,23437.710000000025,333.0399999999998,68153.83000000005,0.3088340610600378,2139,exact_2020_census_block_assignment,passed
PRESDIST-41651366748CF1130E5A69E2,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,47,,45843.61000000021,35148.1600000001,452.7699999999992,81444.53999999994,0.13205601013535168,2001,exact_2020_census_block_assignment,passed
PRESDIST-3685BAEB0C44F493FF405CEA,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,48,,39983.820000000094,48687.28000000007,516.5399999999917,89187.64000000033,-0.09815441558749086,4689,exact_2020_census_block_assignment,passed
PRESDIST-CE41F61FA762A7DC8C7CD8CB,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,49,,29844.209999999963,52488.25000000017,711.1599999999887,83043.62000000005,-0.27503174325169155,3656,exact_2020_census_block_assignment,passed
PRESDIST-49473722672D46B8DC801A85,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,5,,21583.79000000009,71664.70999999988,597.689999999987,93846.18999999916,-0.5370694434763005,9418,exact_2020_census_block_assignment,passed
PRESDIST-D6C58E092002DE08D26A978D,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,50,,35653.06000000003,48431.02000000008,804.3199999999974,84888.3999999999,-0.15196646023837132,2984,exact_2020_census_block_assignment,passed
PRESDIST-6A4B0AB79C0D1633059CA2DC,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,51,,39567.96000000023,44979.03000000005,563.299999999994,85110.28999999983,-0.06400074088976793,3665,exact_2020_census_block_assignment,passed
PRESDIST-AE1DA6A2E2235DE926B2E27A,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,52,,37895.639999999905,82250.92000000004,463.15999999999144,120609.72000000003,-0.3691764458341559,4816,exact_2020_census_block_assignment,passed
PRESDIST-9D90795DD51847E686392385,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,53,,34709.49000000005,64199.620000000046,591.5899999999988,99500.70000000029,-0.2981538303195729,3857,exact_2020_census_block_assignment,passed
PRESDIST-0FA90E5579552380F5285150,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,54,,39838.94000000012,52116.80999999998,636.7399999999923,92592.48999999982,-0.1335193285901083,3206,exact_2020_census_block_assignment,passed
PRESDIST-BF508956E11A6ABFAE50CFDE,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,55,,40075.700000000026,63218.01000000004,820.9699999999981,104114.68000000004,-0.22404374864645676,1808,exact_2020_census_block_assignment,passed
PRESDIST-0C4E8859011C577EFE0123BE,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,56,,33412.93999999993,51008.35999999992,707.5500000000001,85128.84999999985,-0.20842394040366619,3072,exact_2020_census_block_assignment,passed
PRESDIST-4A3AF9FCEDD4A5BD6311AA26,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,57,,50079.75000000002,64149.95000000006,804.1499999999978,115033.85000000006,-0.12317462096109882,2912,exact_2020_census_block_assignment,passed
PRESDIST-B811186EE5372EF4B8464457,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,58,,46635.45999999981,52007.119999999995,779.46,99422.04000000011,-0.054455793836700093,3339,exact_2020_census_block_assignment,passed
PRESDIST-B42ADB655AAE887668CD4C7D,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,59,,43114.11000000003,53321.80999999982,698.5699999999941,97134.48999999976,-0.10584956310884791,3347,exact_2020_census_block_assignment,passed
PRESDIST-10FDFD3DD5B6884A633075A2,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,6,,25613.530000000057,66096.21,1003.6299999999894,92713.37000000001,-0.44142181626509813,5677,exact_2020_census_block_assignment,passed
PRESDIST-377870936AA56AE3F433EDE3,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,60,,54441.98999999983,43262.26,935.8799999999968,98640.12999999987,0.11442419342044843,3843,exact_2020_census_block_assignment,passed
PRESDIST-CC6FDE3571F457EF6ABD1C9F,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,61,,50706.28999999984,56328.33999999994,767.6899999999974,107802.31999999967,-0.05252552374871674,3703,exact_2020_census_block_assignment,passed
PRESDIST-31A65CC199E0D034F30ABD6D,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,62,,57179.6900000002,21596.56000000007,654.4999999999934,79430.75000000001,0.45169870360673436,3156,exact_2020_census_block_assignment,passed
PRESDIST-81AF4DE94852C5AD6076BC72,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,63,,52423.449999999895,15479.21000000001,505.6500000000002,68408.31000000027,0.54407647653273,3715,exact_2020_census_block_assignment,passed
PRESDIST-7FEE5CA04B79DC10964E848B,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,64,,41610.40999999988,30219.619999999966,506.7500000000001,72336.77999999987,0.1585797750606527,2312,exact_2020_census_block_assignment,passed
PRESDIST-81DFD81B7D7882C13DF59E59,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,65,,53140.080000000075,48832.40999999998,920.6400000000008,102893.13000000009,0.04224345213106094,3028,exact_2020_census_block_assignment,passed
PRESDIST-307F9ABACA5E226DB577833B,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,66,,49129.750000000044,54768.39000000001,748.9100000000003,104647.0500000001,-0.054270846427086766,1697,exact_2020_census_block_assignment,passed
