county,precinct,source_page,source_line,reason
MARSHALL,ABSENTEE THD 65,29,ABSENTEE THD 65 0 0 0 0 0 0,missing_or_multiple_major_party_cells
MAURY,011S SPRING HILL,29,011S SPRING HILL 123 1 0 3 0 2 1,missing_or_multiple_major_party_cells
MAURY,025 HAMPSHIRE (TH 70,29,025 HAMPSHIRE (TH 70 0 0 0 0 0 0 0,missing_or_multiple_major_party_cells
MAURY,026 ST.CATHERINE (70,29,026 ST.CATHERINE (70 0 。 0 。 0 0 0,missing_or_multiple_major_party_cells
MCNAIRY,2-1 ADAMSVILLE,30,2-1 ADAMSVILLE 101 0 0 3 1 0 0,missing_or_multiple_major_party_cells
MCNAIRY,ABSENTEE,30,ABSENTEE 0 0 0 0 0 0 0,missing_or_multiple_major_party_cells
MONTGOMERY,05A,31,05A 80 1 0 2 1 1 0，,missing_or_multiple_major_party_cells
MONTGOMERY,60,31,60 150 1 4 7 1 1 0,missing_or_multiple_major_party_cells
PICKETT,01.BARNES,32,01.BARNES 6 0 0 0 0 0 0,missing_or_multiple_major_party_cells
RHEA,9-2 GRAYSVILLE,34,9-2 GRAYSVILLE 86 0 0 0 0 0 0,missing_or_multiple_major_party_cells
ROANE,10. OLIVER SPGS.,34,10. OLIVER SPGS. 57 1 2 0 0 0,missing_or_multiple_major_party_cells
ROANE,13. PAW PAW,34,13. PAW PAW 135 0 0 3 1 0 0,missing_or_multiple_major_party_cells
ROBERTSON,05-01 GREENBRIER UH7,35,05-01 GREENBRIER UH7 0 0 0 0 0 0 0,missing_or_multiple_major_party_cells
RUTHERFORD,ABSENTEE,36,ABSENTEE 。 。 0 。 0,missing_or_multiple_major_party_cells
SCOTT,5-2 PINE HILL,36,5-2 PINE HILL 62 1 0 2 0 1,missing_or_multiple_major_party_cells
SULLIVAN,02-HV HOLSTON TH 3,42,02-HV HOLSTON TH 3 127 2 0 5 1 2 0,missing_or_multiple_major_party_cells
SULLIVAN,06 CENTRAL HEIGHTS S,42,06 CENTRAL HEIGHTS S 141 1 0 6 1 1 0,missing_or_multiple_major_party_cells
SULLIVAN,ABSENTEE,43,ABSENTEE 0 0 0 0 0 0,missing_or_multiple_major_party_cells
