state,year,chamber,district,dvote,rvote,ovote,klarner_total_votes,dinc,rinc,uncont,dontuse,bigthird,legislative_turnout,_merge,vote_delta,reconciliation_status,model_eligible
TN,1998,senate,3.0,5083.0,21555.0,0.0,26638.0,0.0,1.0,0.0,0.0,0.0,25275,both,-1363.0,material_mismatch,False
TN,1998,senate,5.0,0.0,21031.0,0.0,21031.0,0.0,1.0,1.0,0.0,0.0,21015,both,-16.0,within_one_percent,True
TN,1998,senate,7.0,8751.0,16013.0,0.0,24764.0,0.0,0.0,0.0,0.0,0.0,24765,both,1.0,within_one_percent,True
TN,1998,senate,8.0,,,,,,,,,,28912,right_only,,missing_one_source,False
TN,1998,senate,9.0,11388.0,19962.0,0.0,31350.0,0.0,1.0,0.0,0.0,0.0,31092,both,-258.0,within_one_percent,True
TN,1998,senate,11.0,0.0,28205.0,0.0,28205.0,0.0,1.0,1.0,0.0,0.0,28957,both,752.0,material_mismatch,False
TN,1998,senate,13.0,0.0,19263.0,0.0,19263.0,0.0,1.0,1.0,0.0,0.0,19292,both,29.0,within_one_percent,True
TN,1998,senate,15.0,0.0,1531.0,30252.0,31783.0,0.0,0.0,1.0,1.0,1.0,32486,both,703.0,material_mismatch,False
TN,1998,senate,17.0,19322.0,14032.0,0.0,33354.0,1.0,0.0,0.0,0.0,0.0,32797,both,-557.0,material_mismatch,False
TN,1998,senate,19.0,16815.0,0.0,0.0,16815.0,1.0,0.0,1.0,0.0,0.0,15959,both,-856.0,material_mismatch,False
TN,1998,senate,21.0,29710.0,0.0,0.0,29710.0,1.0,0.0,1.0,0.0,0.0,29710,both,0.0,exact,True
TN,1998,senate,23.0,12989.0,26138.0,0.0,39127.0,0.0,0.0,0.0,0.0,0.0,39274,both,147.0,within_one_percent,True
TN,1998,senate,25.0,18185.0,14591.0,0.0,32776.0,1.0,0.0,0.0,0.0,0.0,32651,both,-125.0,within_one_percent,True
TN,1998,senate,27.0,13907.0,18231.0,2026.0,34164.0,0.0,1.0,0.0,0.0,0.0,34129,both,-35.0,within_one_percent,True
TN,1998,senate,29.0,18824.0,0.0,0.0,18824.0,1.0,0.0,1.0,0.0,0.0,18826,both,2.0,within_one_percent,True
TN,1998,senate,31.0,0.0,28444.0,0.0,28444.0,0.0,1.0,1.0,0.0,0.0,28430,both,-14.0,within_one_percent,True
TN,1998,senate,33.0,23653.0,0.0,0.0,23653.0,1.0,0.0,1.0,0.0,0.0,22460,both,-1193.0,material_mismatch,False
