state,year,county,county_raw,dem_total,rep_total,source_page,dem_votes,rep_votes,dem_coverage,rep_coverage
TN,1998,HENRY,HENRY,2364.0,4728.0,21.0,2364,4728,1.0,1.0
TN,1998,HICKMAN,HICKMAN,1403.0,1968.0,21.0,1370,1898,0.9764789736279401,0.9644308943089431
TN,1998,HOUSTON,HOUSTON,526.0,613.0,21.0,526,613,1.0,1.0
TN,1998,HUMPHREYS,HUMPHREYS,1506.0,2201.0,22.0,1506,2201,1.0,1.0
TN,1998,JACKSON,JACKSON,1040.0,1374.0,22.0,1040,1374,1.0,1.0
TN,1998,JEFFERSON,,,,,1149,4609,,
TN,1998,JOHNSON,JOHNSON,599.0,1879.0,22.0,599,1879,1.0,1.0
TN,1998,KNOX,KNOX,15498.0,48549.0,24.0,15460,48416,0.9975480707188025,0.9972604997013327
TN,1998,LAKE,,,,,455,277,,
TN,1998,LAUDERDALE,LAUDERDALE,1122.0,1704.0,25.0,1122,1704,1.0,1.0
TN,1998,LAWRENCE,LAWRENCE,2523.0,5350.0,25.0,2523,5350,1.0,1.0
TN,1998,LEWIS,LEWIS,679.0,1210.0,26.0,679,1210,1.0,1.0
TN,1998,LINCOLN,LINCOLN,1748.0,3487.0,26.0,1748,3466,1.0,0.993977631201606
TN,1998,LOUDON,LOUDON,1310.0,5628.0,27.0,1125,4766,0.8587786259541985,0.8468372423596304
TN,1998,MACON,MACON,634.0,2092.0,27.0,612,2092,0.9652996845425867,1.0
TN,1998,MADISON,,,,,4140,11734,,
TN,1998,MARION,MARION,2151.0,2900.0,28.0,2151,2900,1.0,1.0
TN,1998,MARSHALL,MARSHALL,1340.0,2484.0,29.0,1340,2484,1.0,1.0
TN,1998,MAURY,MAURY,2623.0,6290.0,29.0,2500,5937,0.9531071292413267,0.943879173290938
TN,1998,MCMINN,MCMINN,1876.0,6610.0,30.0,1876,6610,1.0,1.0
TN,1998,MCNAIRY,MCNAIRY,1064.0,2456.0,30.0,963,2121,0.9050751879699248,0.863599348534202
TN,1998,MEIGS,MEIGS,461.0,941.0,30.0,461,941,1.0,1.0
TN,1998,MONROE,MONROE,1468.0,3677.0,30.0,1468,3677,1.0,1.0
TN,1998,MONTGOMERY,MONTGOMERY,4934.0,16105.0,31.0,4704,15362,0.9533846777462505,0.953865259236262
TN,1998,MOORE,MOORE,216.0,693.0,31.0,216,693,1.0,1.0
TN,1998,MORGAN,MORGAN,1258.0,1279.0,31.0,1258,1279,1.0,1.0
TN,1998,OBION,OBION,2183.0,3920.0,32.0,2150,3871,0.9848831882730188,0.9875
TN,1998,OVERTON,OVERTON,1419.0,1532.0,32.0,1419,1532,1.0,1.0
TN,1998,PERRY,PERRY,577.0,679.0,32.0,577,679,1.0,1.0
TN,1998,PICKETT,PICKETT,370.0,895.0,33.0,364,862,0.9837837837837838,0.9631284916201117
TN,1998,POLK,POLK,1240.0,1766.0,33.0,1240,1766,1.0,1.0
TN,1998,PUTNAM,PUTNAM,3688.0,10083.0,34.0,3686,10063,0.9994577006507592,0.9980164633541605
TN,1998,RHEA,,,,,1018,3087,,
TN,1998,ROANE,ROANE,3519.0,8571.0,34.0,3429,8353,0.9744245524296675,0.9745653949364135
TN,1998,ROBERTSON,ROBERTSON,2563.0,5429.0,35.0,2563,5429,1.0,1.0
TN,1998,RUTHERFORD,RUTHERFORD,8088.0,19832.0,36.0,8088,19832,1.0,1.0
TN,1998,SCOTT,,,,,943,2233,,
TN,1998,SEQUATCHIE,SEQUATCHIE,655.0,1271.0,36.0,655,1271,1.0,1.0
TN,1998,SEVIER,SEVIER,1695.0,8143.0,37.0,1695,8143,1.0,1.0
TN,1998,SHELBY,SHELBY,59295.0,96414.0,42.0,58865,95755,0.9927481237878405,0.9931648930653225
TN,1998,SMITH,SMITH,1332.0,2036.0,42.0,1332,2036,1.0,1.0
TN,1998,STEWART,STEWART,936.0,1535.0,42.0,936,1535,1.0,1.0
TN,1998,SULLIVAN,SULLIVAN,6318.0,24186.0,43.0,6048,22956,0.9572649572649573,0.9491441329694865
TN,1998,SUMNER,SUMNER,5901.0,16527.0,44.0,5880,15906,0.99644128113879,0.9624251225267744
TN,1998,TIPTON,TIPTON,1735.0,5645.0,44.0,1735,5645,1.0,1.0
TN,1998,TROUSDALE,TROUSDALE,492.0,717.0,44.0,492,717,1.0,1.0
TN,1998,UNICOI,UNICOI,603.0,2507.0,45.0,603,2507,1.0,1.0
TN,1998,UNION,NOINN,612.0,1479.0,45.0,612,1479,1.0,1.0
TN,1998,VAN BUREN,VAN BUREN,580.0,575.0,45.0,580,575,1.0,1.0
TN,1998,WARREN,WARREN,2037.0,4110.0,45.0,2037,4110,1.0,1.0
TN,1998,WASHINGTON,WASHINGTON,3148.0,12395.0,46.0,2900,11348,0.9212198221092758,0.9155304558289633
TN,1998,WAYNE,WAYNE,724.0,1664.0,46.0,724,1664,1.0,1.0
TN,1998,WEAKLEY,WEAKLEY,1665.0,3451.0,47.0,1665,3451,1.0,1.0
TN,1998,WHITE,WHITE,1169.0,2338.0,47.0,1169,2338,1.0,1.0
TN,1998,WILLIAMSON,WILLIAMSON,5045.0,20776.0,47.0,5045,20776,1.0,1.0
TN,1998,WILSON,WILSON,4733.0,12354.0,48.0,4574,11966,0.9664060849355588,0.96859316820463
