state,year,county,precinct,county_raw,county_match_confidence,dem_votes,rep_votes,ocr_min_numeric_confidence,source_page,source_line,duplicate_ocr_rows
TN,1998,BEDFORD,901（ COURTHOUSE,BEDFORD,1.0,40,210,0.998534858226776,1,901（ COURTHOUSE 40 210 2 1 5 0 0,1
TN,1998,BEDFORD,902 SOUTH SIDE,BEDFORD,1.0,86,230,0.9969659745693208,1,902 SOUTH SIDE 86 230 2 0 1 3 1 0,1
TN,1998,BEDFORD,ABSENTEE,BEDFORD,1.0,246,490,0.9987829327583312,1,ABSENTEE 246 490 2 1 4 9 1 0,1
TN,1998,BENTON,01 HOLLADAY,BENTON,1.0,99,177,0.9989382823308308,1,01 HOLLADAY 99 177 0 3 2 0 1 0,1
TN,1998,BENTON,02 CHALK LEVEL,BENTON,1.0,55,123,0.9989439646402994,1,02 CHALK LEVEL 55 123 2 2 3 0 0 0,1
TN,1998,BENTON,02 DIVIDER,BENTON,1.0,26,55,0.9985343515872956,1,02 DIVIDER 26 55 0 0 0 。 0 0,1
TN,1998,BENTON,03SAWYERS MILL,BENTON,1.0,73,113,0.990528404712677,2,03SAWYERS MILL 73 113 2 0,1
TN,1998,BENTON,05 HIGH SCHOOL,BENTON,1.0,106,192,0.9924556215604148,2,05 HIGH SCHOOL 106 192 3 4 2 0 1 2,1
TN,1998,BENTON,06:HIGH SCHOOL,BENTON,1.0,89,177,0.7732218503952026,2,06:HIGH SCHOOL 89 177 1 3 3 0,1
TN,1998,BENTON,07.ELEMENTARY SCHOOL,BENTON,1.0,96,123,0.7853978276252747,2,07.ELEMENTARY SCHOOL 96 123 0 3 3 2 0,1
TN,1998,BENTON,09 COURTHOUSE,BENTON,1.0,82,117,0.7276558578014374,2,09 COURTHOUSE 82 117 1 1 3 0 0,1
TN,1998,BENTON,10-DUNBAR,BENTON,1.0,27,4,0.9724501967430116,2,10-DUNBAR 27 4 0 0 0 0,1
TN,1998,BENTON,10EVA,BENTON,1.0,73,152,0.9671792089939116,2,10EVA 73 152 2 3 0 0,1
TN,1998,BENTON,11 BIG SANDY,BENTON,1.0,81,165,0.9661020636558532,2,11 BIG SANDY 81 165 C 1,1
TN,1998,BENTON,12 BIG SANDY,BENTON,1.0,97,158,0.9931444227695464,2,12 BIG SANDY 97 158 3 3 7.,1
TN,1998,BENTON,ABSENTEE,BENTON,1.0,301,464,0.854774184525013,2,ABSENTEE 301 4.64 3 11,1
TN,1998,BENTON,C4 COURT HOUSE,BENTON,1.0,81,127,0.8944749236106873,2,C4 COURT HOUSE 81 127 2 1 2 3 0,1
TN,1998,BENTON,C8COURTHOUSE,BENTON,1.0,115,152,0.9965659976005554,2,C8COURTHOUSE 115 152 2 0 0,1
TN,1998,BLEDSOE,1-1DILL,BLEDSOE,1.0,39,47,0.9988947212696077,2,1-1DILL 39 47 0,1
TN,1998,BLEDSOE,1-2GRIFFITH,BLEDSOE,1.0,52,28,0.9595390856266022,2,1-2GRIFFITH 52 28 Q 0 0 D,1
TN,1998,BLEDSOE,1-3MT.CREST,BLEDSOE,1.0,75,141,0.6751291155815125,2,1-3MT.CREST 75 141: 0 3 3 0,1
