region,term,estimate,std_error,p_value,ci_low,ci_high,r_squared,precincts,p_value_bh
Madison County remainder,area_x_noncollege,0.0872226877902594,0.04463037428575217,0.05066165127899687,-0.0002528458098148556,0.17469822139033367,0.9147622301846356,116,0.13342881735311568
Madison County remainder,area_x_time,-0.009117205415434225,0.011069036039475042,0.4101285019023828,-0.030812516052805307,0.012578105221936857,0.9147622301846356,116,0.8202570038047657
Madison County remainder,area_x_college_time,0.05388242517036167,0.03285787990646925,0.10103363236552602,-0.01051901944631807,0.1182838697870414,0.9147622301846356,116,0.3367787745517534
Birmingham city,area,0.02730695319700066,0.01165676549647393,0.01915071877446625,0.0044596928239117595,0.05015421357008956,0.9209202138491019,271,0.09575359387233125
Birmingham city,area_x_college,0.3373943805915004,0.08285254537269379,4.6565743549100544e-05,0.17500339166102058,0.4997853695219802,0.9209202138491019,271,0.0002328287177455027
Birmingham city,area_x_noncollege,-0.0639033807299863,0.09565753029991418,0.5041058964541041,-0.2513921401178181,0.1235853786578455,0.9209202138491019,271,0.5601176627267823
Birmingham city,area_x_time,0.013806388922410345,0.004632354207682156,0.0028784777530776523,0.0047269746753533185,0.022885803169467374,0.9209202138491019,271,0.028784777530776524
Birmingham city,area_x_college_time,-0.008450988544265708,0.04339973998951894,0.8456087052306067,-0.09351447892372283,0.07661250183519142,0.9209202138491019,271,0.9802101079821359
Birmingham educated suburbs,area,0.02111921721391627,0.04735359619043254,0.6556046700258432,-0.07169383131933152,0.11393226574716406,0.91471173817122,137,0.9365781000369189
Birmingham educated suburbs,area_x_college,-0.029209125632015526,0.06495336976298129,0.6529312651398664,-0.15651773036745883,0.09809947910342778,0.91471173817122,137,0.6855203521239505
Birmingham educated suburbs,area_x_noncollege,0.08580123068104921,0.09440440157523815,0.36341929792449734,-0.09923139640641755,0.270833857768516,0.91471173817122,137,0.5191704256064248
Birmingham educated suburbs,area_x_time,0.010152601496426397,0.01714287558116431,0.5536936032966875,-0.023447434642655647,0.04375263763550844,0.91471173817122,137,0.8374990346532467
Birmingham educated suburbs,area_x_college_time,-0.029231171183668886,0.030450204827978705,0.337072164124128,-0.08891357264650715,0.03045123027916937,0.91471173817122,137,0.6296802004146357
Shelby County remainder,area,0.08355161770689978,0.051423470199426884,0.10421030706541186,-0.0172383838839769,0.18434161929777648,0.9153561969209628,143,0.3019459382891697
Shelby County remainder,area_x_college,-0.26274143219928486,0.0772797855834021,0.00067417235631539,-0.41420981194275297,-0.11127305245581676,0.9153561969209628,143,0.001685430890788475
Shelby County remainder,area_x_noncollege,-0.03881230056651089,0.055259448759701034,0.4824515909851691,-0.1471208201355249,0.06949621900250313,0.9153561969209628,143,0.5601176627267823
Shelby County remainder,area_x_time,-0.00022109149819946224,0.01362227735802165,0.9870507886536194,-0.026920755119921896,0.026478572123522975,0.9153561969209628,143,0.9870507886536194
Shelby County remainder,area_x_college_time,0.0007592454244812127,0.030607952897601605,0.9802101079821358,-0.05923234225481793,0.060750833103780356,0.9153561969209628,143,0.9802101079821359
Auburn city,area,-0.0681865606125941,0.11826428541029663,0.564236131558711,-0.2999845600167755,0.1636114387915873,0.9146675180632186,23,0.9365781000369189
Auburn city,area_x_college,0.2821269215110629,0.2516345416845513,0.2622124247623958,-0.21107678019065762,0.7753306232127835,0.9146675180632186,23,0.43702070793732634
Auburn city,area_x_noncollege,-0.3124045089379642,0.2136628437031692,0.1437034666627967,-0.7311836825961758,0.10637466472024748,0.9146675180632186,23,0.26596286757608556
Auburn city,area_x_time,0.07200848633428081,0.048074287189835745,0.13416998201678537,-0.022217116557797248,0.16623408922635885,0.9146675180632186,23,0.4472332733892846
Auburn city,area_x_college_time,-0.18746801404825095,0.09921935555638986,0.05883425163279722,-0.38193795093877503,0.007001922842273162,0.9146675180632186,23,0.2941712581639861
Tuscaloosa city,area,0.009008274992221621,0.0323892857852807,0.7809162895894897,-0.05447472514692854,0.07249127513137178,0.9147163964777326,55,0.9714008239824841
Tuscaloosa city,area_x_college,0.07584574484810214,0.07670635723905077,0.32277058145483517,-0.07449871534043737,0.22619020503664164,0.9147163964777326,55,0.46110083064976454
Tuscaloosa city,area_x_noncollege,0.06258128310033298,0.13578572906186032,0.6448828188664542,-0.20355874586091324,0.3287213120615792,0.9147163964777326,55,0.6448828188664542
Tuscaloosa city,area_x_time,0.00971539369463817,0.017850016715263248,0.5862493242572727,-0.0252706390672778,0.04470142645655414,0.9147163964777326,55,0.8374990346532467
Tuscaloosa city,area_x_college_time,-0.07711592104210141,0.03650368066261423,0.034639136757789526,-0.1486631351408253,-0.005568706943377522,0.9147163964777326,55,0.2941712581639861
Mobile city,area,-0.009611859101717912,0.012545210563648174,0.4435706451883371,-0.03420047180646833,0.014976753603032508,0.9146096342199503,154,0.8871412903766742
Mobile city,area_x_college,-0.03051590569550572,0.07535875987211199,0.6855203521239505,-0.17821907504484522,0.11718726365383378,0.9146096342199503,154,0.6855203521239505
Mobile city,area_x_noncollege,0.05656523284596355,0.040217210145217765,0.15957772054565134,-0.022260499038663263,0.13539096473059037,0.9146096342199503,154,0.26596286757608556
Mobile city,area_x_time,0.011733359210796657,0.007226464599747525,0.1044472784042167,-0.002430511404708492,0.025897229826301806,0.9146096342199503,154,0.4472332733892846
Mobile city,area_x_college_time,-0.041848709064014,0.04115317871975089,0.30920052214902116,-0.12250893935472575,0.038811521226697746,0.9146096342199503,154,0.6296802004146357
Black Belt,area,-0.05218245888781331,0.011745052987761392,8.874167072125484e-06,-0.07520276274382565,-0.02916215503180098,0.915189325356423,859,8.874167072125485e-05
Black Belt,area_x_college,-0.18782577058081407,0.15672772110445315,0.23075321490751788,-0.49501210394554224,0.1193605627839141,0.915189325356423,859,0.43702070793732634
Black Belt,area_x_noncollege,0.08114091300860615,0.025851954525797066,0.0016971289896515465,0.030471082138043906,0.1318107438791684,0.915189325356423,859,0.008485644948257733
Black Belt,area_x_time,0.0020405220512116073,0.006283256909199037,0.7453661489844343,-0.010274661490818505,0.01435570559324172,0.915189325356423,859,0.9317076862305429
Black Belt,area_x_college_time,0.008697922851182649,0.07115688793601477,0.9027122332288628,-0.1307695775034063,0.14816542320577158,0.915189325356423,859,0.9802101079821359
