cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status
2014,house,44,0.0,10360.0,10360.0,-100.0,False,R,2012_enacted,-37.4078043836218,3,-36.34952547956087,2,True,complete_core_expanded,-62.5921956163782,-63.65047452043913,0,,,,,False,False,True,open
2014,house,45,0.0,9609.0,9609.0,-100.0,False,R,2012_enacted,-46.32164938758289,3,-45.19928938693909,2,True,complete_core_expanded,-53.67835061241711,-54.80071061306091,1,Dickie Drake,R,wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,46,0.0,10778.0,10778.0,-100.0,False,R,2012_enacted,-36.84381432902873,3,-35.6110223328368,2,True,complete_core_expanded,-63.15618567097127,-64.3889776671632,0,,,,,False,False,True,open
2014,house,47,2642.0,7073.0,9715.0,-45.609881626351005,True,R,2012_enacted,-20.628737984949638,3,-19.54719308116893,2,True,complete_core_expanded,-24.98114364140137,-26.06268854518207,1,Jack Williams,R,wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,48,0.0,11450.0,11450.0,-100.0,False,R,2012_enacted,-47.99742831524509,3,-46.68072609042252,2,True,complete_core_expanded,-52.00257168475491,-53.31927390957748,0,,,,,False,False,True,open
2014,house,49,0.0,7755.0,7755.0,-100.0,False,R,2012_enacted,-43.41192285474014,3,-40.633690637768325,2,True,complete_core_expanded,-56.58807714525986,-59.36630936223168,1,April Weaver,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,50,0.0,9201.0,9201.0,-100.0,False,R,2012_enacted,-66.20246913629246,3,-64.56266562460445,2,True,complete_core_expanded,-33.797530863707536,-35.43733437539555,0,,,,,False,False,True,open
2014,house,51,0.0,10746.0,10746.0,-100.0,False,R,2012_enacted,-44.41838419937698,3,-43.85617460064783,2,True,complete_core_expanded,-55.58161580062302,-56.14382539935217,1,Allen Treadaway,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,52,7305.0,2207.0,9512.0,53.59545836837679,True,D,2012_enacted,35.60344539565794,3,35.993468728690495,2,True,complete_core_expanded,17.992012972718847,17.601989639686295,1,John W. Rogers  Jr.,D,prior_winner_match+wikipedia_incumbent_annotation,0.9166666666666666,True,False,False,incumbent_running
2014,house,53,4166.0,1190.0,5356.0,55.56385362210605,True,D,2012_enacted,-3.781918559207432,3,-4.3824896930988935,2,True,complete_core_expanded,59.345772181313485,59.94634331520494,0,,,,,False,False,True,open
2014,house,54,7601.0,0.0,7601.0,100.0,False,D,2012_enacted,21.879688560029063,3,22.639846503686076,2,True,complete_core_expanded,78.12031143997093,77.36015349631393,1,Patricia A. Todd,D,prior_winner_match+wikipedia_incumbent_annotation,0.9285714285714286,True,False,False,incumbent_running
2014,house,55,8453.0,0.0,8453.0,100.0,False,D,2012_enacted,54.38810871674699,3,54.37854127428368,2,True,complete_core_expanded,45.61189128325301,45.62145872571632,0,,,,,False,False,True,open
2014,house,56,7960.0,3680.0,11640.0,36.76975945017182,True,D,2012_enacted,22.611638742246623,3,22.975655754357632,2,True,complete_core_expanded,14.158120707925196,13.794103695814186,0,,,,,False,False,True,open
2014,house,57,10184.0,0.0,10184.0,100.0,False,D,2012_enacted,30.2453089988596,3,30.539235386450272,2,True,complete_core_expanded,69.7546910011404,69.46076461354973,1,Merika Coleman,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,58,8287.0,0.0,8287.0,100.0,False,D,2012_enacted,31.20398533823981,3,31.29990846893366,2,True,complete_core_expanded,68.79601466176018,68.70009153106633,1,Oliver Robinson,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,59,7949.0,0.0,7949.0,100.0,False,D,2012_enacted,38.88562681832568,3,38.98147723745727,2,True,complete_core_expanded,61.11437318167432,61.01852276254273,1,Mary Moore,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,60,9584.0,0.0,9584.0,100.0,False,D,2012_enacted,43.1356357001197,3,43.23008142707927,2,True,complete_core_expanded,56.8643642998803,56.76991857292073,1,"Juandalynn ""Lele"" Givan",D,prior_winner_match,0.9333333333333333,True,False,False,incumbent_running
2014,house,61,0.0,9008.0,9008.0,-100.0,False,R,2012_enacted,-24.878886410509057,3,-25.900123640152124,2,True,complete_core_expanded,-75.12111358949095,-74.09987635984788,1,Alan Harper,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,62,0.0,8416.0,8416.0,-100.0,False,R,2012_enacted,-17.699770912364833,2,-17.699770912364833,2,True,complete_core_limited_expanded,-82.30022908763516,-82.30022908763516,0,,,,,False,False,True,open
