specification,base_model,mean_mae,latest_mae,worst_mae,base_mean_mae,base_latest_mae,mean_delta_vs_base,latest_delta_vs_base,max_finance_adjustment,mean_finance_adjustment,max_total_change_vs_public,winner_changes_vs_public,sd2_margin,improves_both_holdouts,prospective_safe
public_80_20_total_ridge__finance_log10__a20__b0.5__cap2,public_80_20_total_ridge,10.827034485192149,9.498277814419412,12.155791155964886,10.804211693332284,9.578188079949948,0.022822791859864466,-0.07991026553053615,2.0,0.8702268998649814,2.0000000000000036,0,1.829678763280949,False,True
public_80_20_total_ridge__finance_log50__a100__b0.25__cap1,public_80_20_total_ridge,10.828006992131563,9.562279930898406,12.09373405336472,10.804211693332284,9.578188079949948,0.02379529879927844,-0.015908149051542253,1.0,0.5409014434317315,1.0000000000000036,0,1.8829285238102242,False,True
public_80_20_total_ridge__finance_log100__a100__b0.25__cap1,public_80_20_total_ridge,10.831761109715641,9.569333146448491,12.094189072982791,10.804211693332284,9.578188079949948,0.02754941638335673,-0.00885493350145694,1.0,0.5573374175853475,1.0000000000000036,0,1.9298739175426989,False,True
public_80_20_total_ridge__finance_log100__a20__b0.5__cap1,public_80_20_total_ridge,10.831859288255302,9.585684498451647,12.078034078058957,10.804211693332284,9.578188079949948,0.027647594923017493,0.007496418501698798,1.0,0.7418062266247497,1.0000000000000036,0,2.365739626761889,False,True
public_80_20_total_ridge__finance_log100__a5__b0.5__cap1,public_80_20_total_ridge,10.834395225505965,9.575894688096213,12.092895762915717,10.804211693332284,9.578188079949948,0.030183532173680305,-0.002293391853735116,1.0,0.7445449425870695,1.0000000000000036,0,2.365739626761889,False,True
public_80_20_total_ridge__finance_log10__a100__b0.25__cap2,public_80_20_total_ridge,10.838366590789867,9.50000202809674,12.176731153482995,10.804211693332284,9.578188079949948,0.03415489745758293,-0.07818605185320848,2.0,0.663955205699927,2.0000000000000036,0,1.7182171949678091,False,True
public_80_20_total_ridge__finance_log10__a100__b0.5__cap1,public_80_20_total_ridge,10.84758334968176,9.598532727585333,12.096633971778186,10.804211693332284,9.578188079949948,0.04337165634947482,0.020344647635385016,1.0,0.6158900405274559,1.0000000000000036,0,2.070694763173729,False,True
public_80_20_total_ridge__finance_log50__a100__b0.25__cap2,public_80_20_total_ridge,10.848836547496802,9.509615959631702,12.188057135361902,10.804211693332284,9.578188079949948,0.04462485416451756,-0.06857212031824567,2.0,0.7213502920644911,2.0000000000000036,0,1.8829285238102242,False,True
public_80_20_total_ridge__finance_log50__a100__b0.5__cap1,public_80_20_total_ridge,10.858198011260445,9.619762050742704,12.096633971778186,10.804211693332284,9.578188079949948,0.05398631792816033,0.04157397079275604,1.0,0.7247524335698544,1.0000000000000036,0,2.365739626761889,False,True
public_80_20_total_ridge__finance_log100__a100__b0.25__cap2,public_80_20_total_ridge,10.859968034724975,9.526268965296733,12.193667104153217,10.804211693332284,9.578188079949948,0.0557563413926907,-0.05191911465321475,2.0,0.7318141245806564,2.0000000000000036,0,1.9298739175426989,False,True
public_80_20_total_ridge__finance_log50__a5__b0.5__cap2,public_80_20_total_ridge,10.8601788735428,9.549164603493944,12.171193143591656,10.804211693332284,9.578188079949948,0.05596718021051572,-0.029023476456004005,2.0,1.086551460872557,2.0000000000000036,0,2.3047637689161027,False,True
public_80_20_total_ridge__finance_log100__a100__b0.5__cap1,public_80_20_total_ridge,10.865133727864542,9.6336334839509,12.096633971778186,10.804211693332284,9.578188079949948,0.06092203453225764,0.055445404000952436,1.0,0.75483535096413,1.0000000000000036,0,2.365739626761889,False,True
public_80_20_total_ridge__finance_log50__a20__b0.5__cap2,public_80_20_total_ridge,10.870282319533771,9.563202400433262,12.177362238634279,10.804211693332284,9.578188079949948,0.06607062620148696,-0.014985679516685835,2.0,1.0750307664735932,2.0000000000000036,0,2.3331292806615735,False,True
public_80_20_total_ridge__finance_log100__a5__b0.5__cap2,public_80_20_total_ridge,10.890640632821821,9.578865482475502,12.202415783168139,10.804211693332284,9.578188079949948,0.08642893948953656,0.0006774025255538163,2.0,1.119358466995831,2.0000000000000036,0,2.4622892253329525,False,True
public_80_20_total_ridge__finance_log100__a20__b0.5__cap2,public_80_20_total_ridge,10.890831010935674,9.588486595136441,12.193175426734905,10.804211693332284,9.578188079949948,0.08661931760338959,0.010298515186493162,2.0,1.1096761640647443,2.0000000000000036,0,2.474465386086807,False,True
public_80_20_total_ridge__finance_log10__a100__b0.5__cap2,public_80_20_total_ridge,10.899254759005185,9.566363486257245,12.232146031753123,10.804211693332284,9.578188079949948,0.09504306567290044,-0.011824593692702834,2.0,0.9412066354488035,2.0000000000000036,0,2.070694763173729,False,True
public_80_20_total_ridge__finance_log50__a100__b0.5__cap2,public_80_20_total_ridge,10.918445029241656,9.603332538413909,12.233557520069404,10.804211693332284,9.578188079949948,0.1142333359093719,0.025144458463961072,2.0,1.081802886863463,2.0000000000000036,0,2.4001174208585594,False,True
public_80_20_total_ridge__finance_log100__a100__b0.5__cap2,public_80_20_total_ridge,10.925953264409813,9.617438969514081,12.234467559305546,10.804211693332284,9.578188079949948,0.12174157107752848,0.03925088956413347,2.0,1.114674835170695,2.0000000000000036,0,2.4940082083235087,False,True
stable_bayesian_blend_25__finance_log50__a100__b0.25__cap4,stable_bayesian_blend_25,10.25028119444892,8.65261078790053,11.847951600997312,10.232885474436689,8.64658795410502,0.017395720012231664,0.006022833795510607,2.858922860022649,0.8472296568830745,4.536631426458685,0,0.9719691839716845,False,False
stable_bayesian_blend_25__finance_log10__a5__b0.5__cap4,stable_bayesian_blend_25,10.257650821225123,8.545156677913877,11.970144964536368,10.232885474436689,8.64658795410502,0.024765346788434783,-0.10143127619114267,4.0,1.3499667260419266,5.888293408800081,0,0.916685774634242,False,False
stable_bayesian_blend_25__finance_log100__a100__b0.25__cap4,stable_bayesian_blend_25,10.267702355093245,8.671049488277044,11.864355221909449,10.232885474436689,8.64658795410502,0.03481688065655675,0.024461534172024457,2.766842444155003,0.8497301084114732,4.468044567625723,0,1.0136202083131467,False,False
stable_bayesian_blend_25__finance_log10__a20__b0.5__cap4,stable_bayesian_blend_25,10.294163745202376,8.54469683621421,12.04363065419054,10.232885474436689,8.64658795410502,0.061278270765686926,-0.1018911178908084,4.0,1.3614516448529819,5.888293408800081,0,1.0000743838497375,False,False
stable_bayesian_blend_25__finance_log50__a5__b0.5__cap4,stable_bayesian_blend_25,10.349803862078211,8.611468423271303,12.088139300885121,10.232885474436689,8.64658795410502,0.11691838764152251,-0.03511953083371644,4.0,1.5051592498482869,5.888293408800081,0,1.4334158684336877,False,False
stable_bayesian_blend_25__finance_log50__a20__b0.5__cap4,stable_bayesian_blend_25,10.364591048891082,8.610365441232801,12.118816656549363,10.232885474436689,8.64658795410502,0.13170557445439357,-0.036222512872218005,4.0,1.5007799129968669,5.888293408800081,0,1.4596187245728318,False,False
stable_bayesian_blend_25__finance_log100__a5__b0.5__cap4,stable_bayesian_blend_25,10.405000233702147,8.650853440908065,12.159147026496228,10.232885474436689,8.64658795410502,0.17211475926545816,0.004265486803046059,4.0,1.5200249550201377,5.888293408800081,0,1.5734774629076806,False,False
stable_bayesian_blend_25__finance_log100__a20__b0.5__cap4,stable_bayesian_blend_25,10.417009695038384,8.66405357743834,12.169965812638429,10.232885474436689,8.64658795410502,0.18412422060169575,0.01746562333332058,4.0,1.517326433237986,5.888293408800081,0,1.5852161498189594,False,False
stable_bayesian_cap_1__finance_log100__a5__b0.25__cap4,stable_bayesian_cap_1,10.436208038920926,8.98626294735063,11.886153130491222,10.428644359921243,9.026190005081006,0.007563678999682466,-0.03992705773037564,3.8995629374505523,1.0134871911803867,4.899562937450554,0,0.9440157880704854,False,False
stable_bayesian_blend_25__finance_log10__a100__b0.5__cap4,stable_bayesian_blend_25,10.441366994405806,8.662890296291797,12.219843692519815,10.232885474436689,8.64658795410502,0.20848151996911746,0.016302342186778063,4.0,1.4047866682541776,5.888293408800081,0,1.222143574503643,False,False
stable_bayesian_cap_1__finance_log100__a20__b0.25__cap4,stable_bayesian_cap_1,10.454642231183577,9.009916259207978,11.899368203159177,10.428644359921243,9.026190005081006,0.02599787126233366,-0.016273745873027323,3.667082299895695,0.9787658051525236,4.6670822998956965,0,0.9500567267272673,False,False
stable_bayesian_cap_1__finance_log10__a5__b0.5__cap4,stable_bayesian_cap_1,10.458352932528687,8.879397379539135,12.03730848551824,10.428644359921243,9.026190005081006,0.02970857260744353,-0.14679262554187034,4.0,1.3443103256971634,5.0000000000000036,0,0.852100500953137,False,False
