cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance
2014,house,12.0,0.0,9455.0,9455.0,-100.0,False,R,2012_enacted,-45.23646271555133,3,-57.94896303962902,2,True,complete_core_expanded,-54.76353728444867,-42.05103696037098
2014,house,13.0,0.0,18964.0,18964.0,-100.0,False,R,2012_enacted,-51.26085231933338,2,,1,False,incomplete_core,-48.73914768066662,
2014,house,14.0,0.0,14202.0,14202.0,-100.0,False,R,2012_enacted,-53.20120078717829,3,-55.19119426826515,2,True,complete_core_expanded,-46.79879921282171,-44.80880573173485
2014,house,15.0,0.0,10178.0,10178.0,-100.0,False,R,2012_enacted,-47.532226872100416,3,-46.459970658549054,2,True,complete_core_expanded,-52.467773127899584,-53.540029341450946
2014,house,16.0,4322.0,11747.0,16069.0,-46.20698238844981,True,R,2012_enacted,-47.10655047050434,3,-46.7706481954509,2,True,complete_core_expanded,0.8995680820545289,0.5636658070010938
2014,house,17.0,4555.0,9496.0,14051.0,-35.164756956800225,True,R,2012_enacted,-44.660513456583026,3,-43.76451213533991,2,True,complete_core_expanded,9.4957564997828,8.599755178539688
2014,house,18.0,6700.0,4559.0,11259.0,19.015898392397194,True,D,2012_enacted,-24.36728843385004,3,-24.979322227962015,2,True,complete_core_expanded,43.38318682624723,43.995220620359206
2014,house,19.0,7615.0,0.0,7615.0,100.0,False,D,2012_enacted,26.560196698364475,3,25.01376658108119,2,True,complete_core_expanded,73.43980330163552,74.98623341891881
2014,house,20.0,0.0,12876.0,12876.0,-100.0,False,R,2012_enacted,-56.94472908344964,3,-56.15855981844694,2,True,complete_core_expanded,-43.05527091655036,-43.84144018155306
2014,house,21.0,4558.0,9428.0,13986.0,-34.82053482053482,True,R,2012_enacted,-39.139081184926134,3,-38.535303050133585,2,True,complete_core_expanded,4.318546364391317,3.714768229598768
2014,house,22.0,2998.0,8688.0,11686.0,-48.69074105767585,True,R,2012_enacted,-53.673929916727786,3,-52.52564629247641,2,True,complete_core_expanded,4.9831888590519355,3.8349052348005586
2014,house,23.0,4286.0,5716.0,10002.0,-14.297140571885622,True,R,2012_enacted,-37.335392585646765,3,-35.27458036090827,2,True,complete_core_expanded,23.038252013761145,20.977439789022647
2014,house,24.0,8676.0,13754.0,22430.0,-22.639322336156933,True,R,2012_enacted,-53.05631599815839,2,,1,False,incomplete_core,30.416993662001456,
2014,house,25.0,0.0,10432.0,10432.0,-100.0,False,R,2012_enacted,-43.14222661042324,3,-43.268308307464835,2,True,complete_core_expanded,-56.85777338957676,-56.731691692535165
2014,house,26.0,0.0,6478.0,6478.0,-100.0,False,R,2012_enacted,-59.794463635909715,3,-59.43406528047315,2,True,complete_core_expanded,-40.205536364090285,-40.56593471952685
2014,house,27.0,5139.0,7600.0,12739.0,-19.31862783577989,True,R,2012_enacted,-58.06292976553478,3,-57.72304867445741,2,True,complete_core_expanded,38.7443019297549,38.404420838677524
2014,house,28.0,6827.0,3704.0,10531.0,29.655303389991452,True,D,2012_enacted,-0.4682397775492834,3,1.5465474004387298,2,True,complete_core_expanded,30.123543167540735,28.108755989552723
2014,house,29.0,4941.0,9851.0,14792.0,-33.19361817198486,True,R,2012_enacted,-44.44811106433099,3,-42.43012467413235,2,True,complete_core_expanded,11.254492892346128,9.236506502147492
2014,house,30.0,0.0,9360.0,9360.0,-100.0,False,R,2012_enacted,-53.152751686087356,3,-50.764251366672795,2,True,complete_core_expanded,-46.847248313912644,-49.235748633327205
2014,house,31.0,0.0,21710.0,21710.0,-100.0,False,R,2012_enacted,-48.92078192029104,3,-45.424716259134954,2,True,complete_core_expanded,-51.07921807970896,-54.575283740865046
2014,house,32.0,11115.0,0.0,11115.0,100.0,False,D,2012_enacted,4.615077320343876,3,10.19412392431109,2,True,complete_core_expanded,95.38492267965613,89.80587607568891
2014,house,33.0,3370.0,11961.0,15331.0,-56.03678820690105,True,R,2012_enacted,-28.038256257143377,3,-25.862159765415992,2,True,complete_core_expanded,-27.998531949757673,-30.17462844148506
2014,house,34.0,0.0,1336.0,1336.0,-100.0,False,R,2012_enacted,-65.15896391785891,3,-63.52271177044406,2,True,complete_core_expanded,-34.84103608214109,-36.47728822955594
