specification,chamber,district,predicted_dem_margin
all_hybrid_stable_composition__elastic_30__1,house,80,-26.489661779014824
all_hybrid_stable_composition__elastic_30__1,house,82,29.216797178816897
all_hybrid_stable_composition__elastic_30__1,house,85,-28.84784646851874
all_hybrid_stable_composition__elastic_30__1,house,96,-36.16967488645637
all_hybrid_stable_composition__elastic_30__1,house,99,41.055238605214896
all_hybrid_stable_composition__elastic_30__1,house,101,-31.293664127591835
all_hybrid_stable_composition__elastic_30__1,senate,2,-6.439692258580143
all_hybrid_stable_composition__elastic_30__1,senate,3,-25.88791372213215
all_hybrid_stable_composition__elastic_30__1,senate,6,-35.46535743451294
all_hybrid_stable_composition__elastic_30__1,senate,7,-7.019490104754974
all_hybrid_stable_composition__elastic_30__1,senate,8,-39.51951215383676
all_hybrid_stable_composition__elastic_30__1,senate,11,-40.92031532323154
all_hybrid_stable_composition__elastic_30__1,senate,13,-47.09911185814436
all_hybrid_stable_composition__elastic_30__1,senate,14,-29.053134255774605
all_hybrid_stable_composition__elastic_30__1,senate,16,-26.734306793267365
all_hybrid_stable_composition__elastic_30__1,senate,22,-46.64016935614924
all_hybrid_stable_composition__elastic_30__1,senate,23,6.47763046807937
all_hybrid_stable_composition__elastic_30__1,senate,25,-35.49706280228394
all_hybrid_stable_composition__elastic_30__1,senate,28,11.428418834244281
all_hybrid_stable_composition__elastic_30__1,senate,29,-44.049777942244816
all_hybrid_stable_composition__elastic_30__1,senate,32,-42.57463185064949
total_control__extra_trees__1,house,2,-65.65039733117392
total_control__extra_trees__1,house,4,-37.16990689928726
total_control__extra_trees__1,house,5,-46.619917033325976
total_control__extra_trees__1,house,8,-25.788812412085644
total_control__extra_trees__1,house,10,31.618971238377778
total_control__extra_trees__1,house,15,-20.482345001429564
total_control__extra_trees__1,house,16,-75.02161133938026
total_control__extra_trees__1,house,19,63.028202107635465
total_control__extra_trees__1,house,20,-27.040117138567133
total_control__extra_trees__1,house,21,-22.892360468906773
total_control__extra_trees__1,house,25,-10.058337122956047
total_control__extra_trees__1,house,28,-27.651143369512557
total_control__extra_trees__1,house,32,13.702027425650384
total_control__extra_trees__1,house,37,-40.340184266998946
total_control__extra_trees__1,house,38,-43.16243611702482
total_control__extra_trees__1,house,40,-62.27413064241325
total_control__extra_trees__1,house,41,-47.58362929323788
total_control__extra_trees__1,house,43,-46.15930341239053
total_control__extra_trees__1,house,45,-46.04547569065455
total_control__extra_trees__1,house,47,-19.814078558023773
total_control__extra_trees__1,house,50,-52.98168705159983
total_control__extra_trees__1,house,63,-21.783618664756553
total_control__extra_trees__1,house,68,32.35096634935138
total_control__extra_trees__1,house,69,40.27251233702925
total_control__extra_trees__1,house,70,69.20858661357818
total_control__extra_trees__1,house,74,36.49443279436591
total_control__extra_trees__1,house,75,-31.813676024715654
total_control__extra_trees__1,house,80,-34.59532103890925
total_control__extra_trees__1,house,82,37.190129808178675
total_control__extra_trees__1,house,85,-26.35198743104363
total_control__extra_trees__1,house,96,-42.72343111981743
total_control__extra_trees__1,house,99,58.97793013398956
total_control__extra_trees__1,house,101,-32.91855454314501
total_control__extra_trees__1,senate,2,1.5413019582622889
total_control__extra_trees__1,senate,3,-35.66188833216629
total_control__extra_trees__1,senate,6,-47.19984721756381
total_control__extra_trees__1,senate,7,-9.541086187865357
total_control__extra_trees__1,senate,8,-47.97467023390725
total_control__extra_trees__1,senate,11,-44.19287894936619
total_control__extra_trees__1,senate,13,-47.73456263726858
total_control__extra_trees__1,senate,14,-39.53306820484822
total_control__extra_trees__1,senate,16,-23.551149009968256
total_control__extra_trees__1,senate,22,-53.83846675645888
total_control__extra_trees__1,senate,23,15.604847236014994
total_control__extra_trees__1,senate,25,-30.49200310964987
total_control__extra_trees__1,senate,28,13.770340251008326
total_control__extra_trees__1,senate,29,-53.11182566292469
total_control__extra_trees__1,senate,32,-50.94775466870336
all_hybrid__extra_trees__1,house,2,-65.76779992555359
all_hybrid__extra_trees__1,house,4,-37.6487251854515
all_hybrid__extra_trees__1,house,5,-46.36572562416298
all_hybrid__extra_trees__1,house,8,-27.663780971748544
all_hybrid__extra_trees__1,house,10,30.167472617124034
all_hybrid__extra_trees__1,house,15,-20.487070400131252
all_hybrid__extra_trees__1,house,16,-74.32579191675939
all_hybrid__extra_trees__1,house,19,61.94228301512905
all_hybrid__extra_trees__1,house,20,-27.949339615404895
all_hybrid__extra_trees__1,house,21,-22.57446814976541
all_hybrid__extra_trees__1,house,25,-10.50542402345297
all_hybrid__extra_trees__1,house,28,-27.233063816714203
all_hybrid__extra_trees__1,house,32,15.807851284360273
all_hybrid__extra_trees__1,house,37,-41.46836398186311
all_hybrid__extra_trees__1,house,38,-43.00873235369468
all_hybrid__extra_trees__1,house,40,-61.92024343778787
all_hybrid__extra_trees__1,house,41,-47.34844416700671
all_hybrid__extra_trees__1,house,43,-46.83738957132991
all_hybrid__extra_trees__1,house,45,-46.8597597354549
all_hybrid__extra_trees__1,house,47,-20.62423588369668
all_hybrid__extra_trees__1,house,50,-54.26928829900802
all_hybrid__extra_trees__1,house,63,-22.22671260850921
all_hybrid__extra_trees__1,house,68,32.09650823853591
all_hybrid__extra_trees__1,house,69,39.78670081842717
all_hybrid__extra_trees__1,house,70,68.24741366691387
all_hybrid__extra_trees__1,house,74,38.85205618295231
all_hybrid__extra_trees__1,house,75,-32.7203247949373
all_hybrid__extra_trees__1,house,80,-34.477716333483386
all_hybrid__extra_trees__1,house,82,39.47523763447918
all_hybrid__extra_trees__1,house,85,-23.74735431714329
all_hybrid__extra_trees__1,house,96,-43.07788045060452
all_hybrid__extra_trees__1,house,99,57.82125755786968
all_hybrid__extra_trees__1,house,101,-33.63806819463499
all_hybrid__extra_trees__1,senate,2,0.5933251910780868
all_hybrid__extra_trees__1,senate,3,-37.06056160388837
all_hybrid__extra_trees__1,senate,6,-48.159981322750156
all_hybrid__extra_trees__1,senate,7,-10.996422564272043
all_hybrid__extra_trees__1,senate,8,-49.148362712292155
all_hybrid__extra_trees__1,senate,11,-45.46417433616476
all_hybrid__extra_trees__1,senate,13,-48.3911232749688
all_hybrid__extra_trees__1,senate,14,-40.66912955514245
all_hybrid__extra_trees__1,senate,16,-24.602259654066245
all_hybrid__extra_trees__1,senate,22,-54.75725698804129
all_hybrid__extra_trees__1,senate,23,17.974193700517617
all_hybrid__extra_trees__1,senate,25,-30.828365193615085
all_hybrid__extra_trees__1,senate,28,16.09301150932231
all_hybrid__extra_trees__1,senate,29,-54.222448093412815
all_hybrid__extra_trees__1,senate,32,-51.62731437837742
all_hybrid_gap__extra_trees__1,house,2,-65.2468907158599
all_hybrid_gap__extra_trees__1,house,4,-38.35418137968671
all_hybrid_gap__extra_trees__1,house,5,-46.08099162093787
all_hybrid_gap__extra_trees__1,house,8,-28.126763871193305
all_hybrid_gap__extra_trees__1,house,10,29.668856966162238
all_hybrid_gap__extra_trees__1,house,15,-21.167638964374362
all_hybrid_gap__extra_trees__1,house,16,-73.83301584751709
all_hybrid_gap__extra_trees__1,house,19,61.64250115178325
all_hybrid_gap__extra_trees__1,house,20,-28.165711454756924
all_hybrid_gap__extra_trees__1,house,21,-23.482771618476463
all_hybrid_gap__extra_trees__1,house,25,-10.817993178690024
all_hybrid_gap__extra_trees__1,house,28,-26.80289871904612
all_hybrid_gap__extra_trees__1,house,32,16.308959906114882
all_hybrid_gap__extra_trees__1,house,37,-40.348536107594335
all_hybrid_gap__extra_trees__1,house,38,-43.18379769106371
all_hybrid_gap__extra_trees__1,house,40,-61.24633178339281
all_hybrid_gap__extra_trees__1,house,41,-47.16928698521177
all_hybrid_gap__extra_trees__1,house,43,-47.51862415993465
all_hybrid_gap__extra_trees__1,house,45,-46.414406885411324
all_hybrid_gap__extra_trees__1,house,47,-21.65217384343363
all_hybrid_gap__extra_trees__1,house,50,-54.70592840936753
all_hybrid_gap__extra_trees__1,house,63,-22.894974781967008
all_hybrid_gap__extra_trees__1,house,68,32.03028257156128
all_hybrid_gap__extra_trees__1,house,69,40.252876743870665
all_hybrid_gap__extra_trees__1,house,70,67.9171286015643
all_hybrid_gap__extra_trees__1,house,74,39.15644646262044
all_hybrid_gap__extra_trees__1,house,75,-33.47715763620724
all_hybrid_gap__extra_trees__1,house,80,-35.20398521116099
all_hybrid_gap__extra_trees__1,house,82,38.69777407580064
all_hybrid_gap__extra_trees__1,house,85,-23.68314334922583
all_hybrid_gap__extra_trees__1,house,96,-43.62104657317801
all_hybrid_gap__extra_trees__1,house,99,57.57992545377521
all_hybrid_gap__extra_trees__1,house,101,-34.53293845425959
all_hybrid_gap__extra_trees__1,senate,2,0.6462165791893111
all_hybrid_gap__extra_trees__1,senate,3,-36.587805514214764
all_hybrid_gap__extra_trees__1,senate,6,-47.53624210672666
all_hybrid_gap__extra_trees__1,senate,7,-10.40506806453067
all_hybrid_gap__extra_trees__1,senate,8,-49.237874046665546
all_hybrid_gap__extra_trees__1,senate,11,-45.02610525824524
all_hybrid_gap__extra_trees__1,senate,13,-48.260417534502125
all_hybrid_gap__extra_trees__1,senate,14,-40.323098979838846
all_hybrid_gap__extra_trees__1,senate,16,-24.65121951551465
all_hybrid_gap__extra_trees__1,senate,22,-54.54920895841161
all_hybrid_gap__extra_trees__1,senate,23,18.377352590220504
all_hybrid_gap__extra_trees__1,senate,25,-31.330558154448433
all_hybrid_gap__extra_trees__1,senate,28,16.45934482812344
all_hybrid_gap__extra_trees__1,senate,29,-53.76546243245205
all_hybrid_gap__extra_trees__1,senate,32,-52.00825602403595
all_hybrid_stable__extra_trees__1,house,2,-64.72855064838117
all_hybrid_stable__extra_trees__1,house,4,-38.00527374578627
all_hybrid_stable__extra_trees__1,house,5,-46.27868957219385
all_hybrid_stable__extra_trees__1,house,8,-27.00730447422883
all_hybrid_stable__extra_trees__1,house,10,30.413981935004195
all_hybrid_stable__extra_trees__1,house,15,-20.321836983134066
all_hybrid_stable__extra_trees__1,house,16,-74.06155630636044
all_hybrid_stable__extra_trees__1,house,19,62.39804202260986
all_hybrid_stable__extra_trees__1,house,20,-27.682632705755267
all_hybrid_stable__extra_trees__1,house,21,-22.717270359645866
all_hybrid_stable__extra_trees__1,house,25,-10.267329986920299
all_hybrid_stable__extra_trees__1,house,28,-26.6847845348539
all_hybrid_stable__extra_trees__1,house,32,14.729267660710201
all_hybrid_stable__extra_trees__1,house,37,-39.87217284263958
all_hybrid_stable__extra_trees__1,house,38,-43.56000440528017
all_hybrid_stable__extra_trees__1,house,40,-61.526778257931724
all_hybrid_stable__extra_trees__1,house,41,-46.537198243568774
all_hybrid_stable__extra_trees__1,house,43,-46.21716657873053
all_hybrid_stable__extra_trees__1,house,45,-46.585576998216396
all_hybrid_stable__extra_trees__1,house,47,-20.735013459042513
all_hybrid_stable__extra_trees__1,house,50,-53.95031223066606
all_hybrid_stable__extra_trees__1,house,63,-22.154911900281665
all_hybrid_stable__extra_trees__1,house,68,31.998592570944236
all_hybrid_stable__extra_trees__1,house,69,39.87979856219016
all_hybrid_stable__extra_trees__1,house,70,68.65171919303677
all_hybrid_stable__extra_trees__1,house,74,38.144742971262346
all_hybrid_stable__extra_trees__1,house,75,-33.075733825362
all_hybrid_stable__extra_trees__1,house,80,-34.77230039566742
all_hybrid_stable__extra_trees__1,house,82,38.40249763067419
all_hybrid_stable__extra_trees__1,house,85,-25.044420731696647
all_hybrid_stable__extra_trees__1,house,96,-42.58571546497973
all_hybrid_stable__extra_trees__1,house,99,58.66869696809074
all_hybrid_stable__extra_trees__1,house,101,-33.85768490200098
all_hybrid_stable__extra_trees__1,senate,2,1.6269491824703257
all_hybrid_stable__extra_trees__1,senate,3,-35.69802035641592
all_hybrid_stable__extra_trees__1,senate,6,-47.51200746724086
all_hybrid_stable__extra_trees__1,senate,7,-9.711857491417673
all_hybrid_stable__extra_trees__1,senate,8,-48.582412197836156
all_hybrid_stable__extra_trees__1,senate,11,-44.422582171124645
all_hybrid_stable__extra_trees__1,senate,13,-48.11938732378941
all_hybrid_stable__extra_trees__1,senate,14,-39.81051695608441
all_hybrid_stable__extra_trees__1,senate,16,-23.069552094241107
all_hybrid_stable__extra_trees__1,senate,22,-53.98356818441323
all_hybrid_stable__extra_trees__1,senate,23,16.729207735818157
all_hybrid_stable__extra_trees__1,senate,25,-30.81701809774065
all_hybrid_stable__extra_trees__1,senate,28,14.979349532433066
all_hybrid_stable__extra_trees__1,senate,29,-53.39525532236895
all_hybrid_stable__extra_trees__1,senate,32,-50.756137353376474
all_hybrid_stable_gap__extra_trees__1,house,2,-65.53835074838578
all_hybrid_stable_gap__extra_trees__1,house,4,-37.777395206910725
all_hybrid_stable_gap__extra_trees__1,house,5,-46.089444349142404
all_hybrid_stable_gap__extra_trees__1,house,8,-27.64724608820079
all_hybrid_stable_gap__extra_trees__1,house,10,29.624588841802424
all_hybrid_stable_gap__extra_trees__1,house,15,-20.685898718338734
all_hybrid_stable_gap__extra_trees__1,house,16,-74.62113668159503
all_hybrid_stable_gap__extra_trees__1,house,19,61.94896789957499
all_hybrid_stable_gap__extra_trees__1,house,20,-27.705235123622778
all_hybrid_stable_gap__extra_trees__1,house,21,-22.874842645354878
all_hybrid_stable_gap__extra_trees__1,house,25,-10.74143970881278
all_hybrid_stable_gap__extra_trees__1,house,28,-27.901200859263973
all_hybrid_stable_gap__extra_trees__1,house,32,14.694597758437721
all_hybrid_stable_gap__extra_trees__1,house,37,-40.14152556602175
all_hybrid_stable_gap__extra_trees__1,house,38,-43.63355639884964
all_hybrid_stable_gap__extra_trees__1,house,40,-61.96551974429723
all_hybrid_stable_gap__extra_trees__1,house,41,-47.087562954467955
all_hybrid_stable_gap__extra_trees__1,house,43,-46.55918443488384
all_hybrid_stable_gap__extra_trees__1,house,45,-46.2678719053521
all_hybrid_stable_gap__extra_trees__1,house,47,-21.18615469588742
all_hybrid_stable_gap__extra_trees__1,house,50,-53.6173764597081
all_hybrid_stable_gap__extra_trees__1,house,63,-22.478875499777082
all_hybrid_stable_gap__extra_trees__1,house,68,31.628347958320944
all_hybrid_stable_gap__extra_trees__1,house,69,39.496944948084355
all_hybrid_stable_gap__extra_trees__1,house,70,68.39483366377462
all_hybrid_stable_gap__extra_trees__1,house,74,39.824325539083176
all_hybrid_stable_gap__extra_trees__1,house,75,-33.11398890830456
all_hybrid_stable_gap__extra_trees__1,house,80,-34.875455370698226
all_hybrid_stable_gap__extra_trees__1,house,82,40.08788576814749
all_hybrid_stable_gap__extra_trees__1,house,85,-25.985455152779124
all_hybrid_stable_gap__extra_trees__1,house,96,-42.23373020060329
all_hybrid_stable_gap__extra_trees__1,house,99,57.73987973469494
all_hybrid_stable_gap__extra_trees__1,house,101,-33.99206645632355
all_hybrid_stable_gap__extra_trees__1,senate,2,1.3623672156129454
all_hybrid_stable_gap__extra_trees__1,senate,3,-36.00372444240883
all_hybrid_stable_gap__extra_trees__1,senate,6,-47.33172886507729
all_hybrid_stable_gap__extra_trees__1,senate,7,-10.123503169400943
all_hybrid_stable_gap__extra_trees__1,senate,8,-48.60264456927926
all_hybrid_stable_gap__extra_trees__1,senate,11,-44.52012395270145
all_hybrid_stable_gap__extra_trees__1,senate,13,-47.80585464389632
all_hybrid_stable_gap__extra_trees__1,senate,14,-39.46719324131525
all_hybrid_stable_gap__extra_trees__1,senate,16,-24.139906158239384
all_hybrid_stable_gap__extra_trees__1,senate,22,-54.33759277610855
all_hybrid_stable_gap__extra_trees__1,senate,23,17.71183805262283
all_hybrid_stable_gap__extra_trees__1,senate,25,-30.78447706905078
all_hybrid_stable_gap__extra_trees__1,senate,28,15.813608320123915
all_hybrid_stable_gap__extra_trees__1,senate,29,-53.469954919495606
all_hybrid_stable_gap__extra_trees__1,senate,32,-50.790757258750574
all_hybrid_stable_gap__elastic_30__1,house,2,-63.80236620470909
all_hybrid_stable_gap__elastic_30__1,house,4,-40.76497006700751
all_hybrid_stable_gap__elastic_30__1,house,5,-46.39575251728999
all_hybrid_stable_gap__elastic_30__1,house,8,-31.214148158869772
all_hybrid_stable_gap__elastic_30__1,house,10,15.566646831184478
all_hybrid_stable_gap__elastic_30__1,house,15,-22.87336818710238
all_hybrid_stable_gap__elastic_30__1,house,16,-67.99470723347224
all_hybrid_stable_gap__elastic_30__1,house,19,48.53354865141462
all_hybrid_stable_gap__elastic_30__1,house,20,-43.87842314198963
all_hybrid_stable_gap__elastic_30__1,house,21,-25.28524852902227
all_hybrid_stable_gap__elastic_30__1,house,25,-17.277965851599667
all_hybrid_stable_gap__elastic_30__1,house,28,-25.19690285484748
all_hybrid_stable_gap__elastic_30__1,house,32,3.365580457357675
all_hybrid_stable_gap__elastic_30__1,house,37,-37.46851396753473
all_hybrid_stable_gap__elastic_30__1,house,38,-37.69029631669193
all_hybrid_stable_gap__elastic_30__1,house,40,-60.54659600512686
all_hybrid_stable_gap__elastic_30__1,house,41,-46.60582807540301
all_hybrid_stable_gap__elastic_30__1,house,43,-54.69469848289721
all_hybrid_stable_gap__elastic_30__1,house,45,-54.99520863174275
all_hybrid_stable_gap__elastic_30__1,house,47,-19.496948732104684
all_hybrid_stable_gap__elastic_30__1,house,50,-52.77991880605869
all_hybrid_stable_gap__elastic_30__1,house,63,-30.949668600578065
all_hybrid_stable_gap__elastic_30__1,house,68,25.793674258224215
all_hybrid_stable_gap__elastic_30__1,house,69,37.533433324701306
all_hybrid_stable_gap__elastic_30__1,house,70,49.90172829204761
all_hybrid_stable_gap__elastic_30__1,house,74,37.588395843435514
all_hybrid_stable_gap__elastic_30__1,house,75,-35.261679494169556
all_hybrid_stable_gap__elastic_30__1,house,80,-31.163025287152095
all_hybrid_stable_gap__elastic_30__1,house,82,31.03916816216153
all_hybrid_stable_gap__elastic_30__1,house,85,-25.611399808619606
all_hybrid_stable_gap__elastic_30__1,house,96,-44.40225552626938
all_hybrid_stable_gap__elastic_30__1,house,99,44.322043801009094
all_hybrid_stable_gap__elastic_30__1,house,101,-34.701845432846994
all_hybrid_stable_gap__elastic_30__1,senate,2,-13.595954500420111
all_hybrid_stable_gap__elastic_30__1,senate,3,-34.85023108294962
all_hybrid_stable_gap__elastic_30__1,senate,6,-42.61328275142651
all_hybrid_stable_gap__elastic_30__1,senate,7,-11.777508720459908
all_hybrid_stable_gap__elastic_30__1,senate,8,-45.11644002548563
all_hybrid_stable_gap__elastic_30__1,senate,11,-41.05820095917882
all_hybrid_stable_gap__elastic_30__1,senate,13,-48.420096801257394
all_hybrid_stable_gap__elastic_30__1,senate,14,-39.56450237536193
all_hybrid_stable_gap__elastic_30__1,senate,16,-27.00549829582353
all_hybrid_stable_gap__elastic_30__1,senate,22,-47.93516962082224
all_hybrid_stable_gap__elastic_30__1,senate,23,15.516307969611455
all_hybrid_stable_gap__elastic_30__1,senate,25,-30.415223622551018
all_hybrid_stable_gap__elastic_30__1,senate,28,12.700811119800429
all_hybrid_stable_gap__elastic_30__1,senate,29,-49.09539474318893
all_hybrid_stable_gap__elastic_30__1,senate,32,-50.495456858626255
all_hybrid_stable_composition__extra_trees__1,house,2,-64.6194235729929
all_hybrid_stable_composition__extra_trees__1,house,4,-38.0372910886021
all_hybrid_stable_composition__extra_trees__1,house,5,-46.12106913941647
all_hybrid_stable_composition__extra_trees__1,house,8,-27.817332238582544
all_hybrid_stable_composition__extra_trees__1,house,10,29.88297777543188
all_hybrid_stable_composition__extra_trees__1,house,15,-21.10168501100434
all_hybrid_stable_composition__extra_trees__1,house,16,-73.67411217284443
all_hybrid_stable_composition__extra_trees__1,house,19,62.01504852536732
all_hybrid_stable_composition__extra_trees__1,house,20,-26.78291168420414
all_hybrid_stable_composition__extra_trees__1,house,21,-22.78590829948356
all_hybrid_stable_composition__extra_trees__1,house,25,-10.858609525315565
all_hybrid_stable_composition__extra_trees__1,house,28,-26.68743319782792
all_hybrid_stable_composition__extra_trees__1,house,32,15.73110811385356
all_hybrid_stable_composition__extra_trees__1,house,37,-43.04770999936648
all_hybrid_stable_composition__extra_trees__1,house,38,-42.81506948876564
all_hybrid_stable_composition__extra_trees__1,house,40,-61.30112617165211
all_hybrid_stable_composition__extra_trees__1,house,41,-45.65312177101518
all_hybrid_stable_composition__extra_trees__1,house,43,-46.92136654100086
all_hybrid_stable_composition__extra_trees__1,house,45,-45.86341369490938
all_hybrid_stable_composition__extra_trees__1,house,47,-21.5810561863298
all_hybrid_stable_composition__extra_trees__1,house,50,-55.513047382784336
all_hybrid_stable_composition__extra_trees__1,house,63,-22.62061056767826
all_hybrid_stable_composition__extra_trees__1,house,68,30.811979826941446
all_hybrid_stable_composition__extra_trees__1,house,69,39.99212982276745
all_hybrid_stable_composition__extra_trees__1,house,70,68.32017917715214
all_hybrid_stable_composition__extra_trees__1,house,74,40.06875539258214
all_hybrid_stable_composition__extra_trees__1,house,75,-34.08478498514851
all_hybrid_stable_composition__extra_trees__1,house,80,-34.48116876993314
all_hybrid_stable_composition__extra_trees__1,house,82,40.01762228055044
all_hybrid_stable_composition__extra_trees__1,house,85,-23.147915331692285
all_hybrid_stable_composition__extra_trees__1,house,96,-44.38664634756621
all_hybrid_stable_composition__extra_trees__1,house,99,57.64478118097561
all_hybrid_stable_composition__extra_trees__1,house,101,-34.340219278248725
all_hybrid_stable_composition__extra_trees__1,senate,2,0.21813569087679374
all_hybrid_stable_composition__extra_trees__1,senate,3,-37.87640898478295
all_hybrid_stable_composition__extra_trees__1,senate,6,-48.13680411320694
all_hybrid_stable_composition__extra_trees__1,senate,7,-11.84360517582788
all_hybrid_stable_composition__extra_trees__1,senate,8,-49.78034124974539
all_hybrid_stable_composition__extra_trees__1,senate,11,-46.142617595437684
all_hybrid_stable_composition__extra_trees__1,senate,13,-48.38930608554001
all_hybrid_stable_composition__extra_trees__1,senate,14,-41.492362976370934
all_hybrid_stable_composition__extra_trees__1,senate,16,-24.777000466123827
all_hybrid_stable_composition__extra_trees__1,senate,22,-55.1305135657432
all_hybrid_stable_composition__extra_trees__1,senate,23,19.07773614568682
all_hybrid_stable_composition__extra_trees__1,senate,25,-33.25338248328086
all_hybrid_stable_composition__extra_trees__1,senate,28,16.291118515441187
all_hybrid_stable_composition__extra_trees__1,senate,29,-54.938750043962465
all_hybrid_stable_composition__extra_trees__1,senate,32,-52.96637955821331
all_hybrid__ridge_5__1,house,2,-67.38168617133503
all_hybrid__ridge_5__1,house,4,-42.44864941504926
all_hybrid__ridge_5__1,house,5,-49.481551755683995
all_hybrid__ridge_5__1,house,8,-36.51858525373792
all_hybrid__ridge_5__1,house,10,8.780666711005262
all_hybrid__ridge_5__1,house,15,-24.91511820609908
all_hybrid__ridge_5__1,house,16,-71.95377794109116
all_hybrid__ridge_5__1,house,19,41.37241198653727
all_hybrid__ridge_5__1,house,20,-46.443910347875445
all_hybrid__ridge_5__1,house,21,-27.20634290468271
all_hybrid__ridge_5__1,house,25,-18.53601099581115
all_hybrid__ridge_5__1,house,28,-29.693467529429668
all_hybrid__ridge_5__1,house,32,-0.653480409656142
