chamber,district,pres_2024_dem_votes,pres_2024_rep_votes,pres_2024_two_party_votes,pres_2024_dem_margin,pres_2024_fallback_share,pres_2024_source_complete,cycle_x,pres_2020_dem_margin,nonwhite_share,white_college_share,dem_incumbent_i,rep_incumbent_i,log_fundraising_ratio_d_to_r,ftm_finance_complete,cycle_y,baseline_2024_pres_dem_margin,national_2024_dem_margin,votehub_2026_dem_margin,national_dem_swing_2024_2026,geographic_elasticity,poll_adjusted_dem_margin,uniform_poll_adjusted_dem_margin,demographic_swing_2024_2026,demographic_poll_adjusted_margin,low_elasticity_075_margin,high_elasticity_125_margin,poll_average_as_of,poll_staleness_days_at_download,polling_baseline_status,cycle,prior_pres_dem_margin,prior_pres_swing,federal_index_margin,federal_contested_coverage,national_environment_swing,national_environment_baseline,national_swing_x_nonwhite,national_swing_x_white_college,structural_2024_pres_margin,environment_adjustment,baseline_forecast_margin,incumbency_adjustment,demographic_residual_adjustment,cmo_adjustment,finance_adjustment,scenario_baseline_margin,scenario_national_environment_margin,scenario_national_environment_demographics_adjustment,scenario_national_environment_demographics_margin,scenario_national_environment_finance_adjustment,scenario_national_environment_finance_margin,scenario_incumbency_adjustment,scenario_incumbency_margin,scenario_incumbency_demographics_adjustment,scenario_incumbency_demographics_margin,scenario_finance_scenario_adjustment,scenario_finance_scenario_margin,scenario_federal_realign_finance_adjustment,scenario_federal_realign_finance_margin,cmo_scenario_adjustment,predicted_dem_margin,selected_specification,selection_reason,model_status,dem_win_probability,margin_80_low,margin_80_high,margin_95_low,margin_95_high,predicted_winner
house,25,13262.47210673196,14759.440221188628,28021.91232792059,-5.342134030464131,0.0,True,2026,-6.012050934634805,0.3386267237669815,0.6176055434364173,0,1,,0,2026,-5.342134030464131,-1.48,6.95797457992478,8.43797457992478,1.0,-1.0596962261872145,3.0958405494606493,4.282437804276917,-1.0596962261872145,0.9863469044794542,5.205334194441845,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-1.0596962261872145,0.6699169041706741,-1.0596962261872145,1.0,8.437974579924784,-1.0596962261872145,2.8573236872290018,5.211339875937121,-5.342134030464131,4.282437804276917,-1.0596962261872145,0.0,0.0,0.0,0.0,-1.0596962261872145,-1.0596962261872145,-43.265527566501824,-44.32522379268904,-11.68518674142829,-12.744882967615503,-18.60221234153149,-19.661908567718704,-38.37679333526419,-39.4364895614514,-14.921241989800667,-15.98093821598788,-11.24983178988212,-12.309528016069333,1.2008931720524934,-1.0596962261872145,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.48354,-34.06087781849017,31.572288246073434,-51.74867412173609,49.127572094576415,R
house,28,6439.373338151878,11226.724045862156,17666.097384014032,-27.09908478169224,0.0,True,2026,-30.169564450320863,0.3978862667387257,0.1833050589412327,0,1,,0,2026,-27.09908478169224,-1.48,6.95797457992478,8.43797457992478,1.0,-24.903459959047392,-18.66111020176746,2.1956248226448483,-24.903459959047392,-20.770603846748656,-16.551616556786264,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-24.903459959047392,3.0704796686286215,-24.903459959047392,1.0,8.437974579924784,-24.903459959047392,3.3573542044425393,1.5467234277177357,-27.09908478169224,2.1956248226448487,-24.903459959047392,0.0,0.0,0.0,0.0,-24.903459959047392,-24.903459959047392,-20.562733273825696,-45.46619323287309,-11.68518674142829,-36.58864670047568,-18.60221234153149,-43.50567230057888,-11.893115068621366,-36.79657502766876,-14.921241989800667,-39.82470194884806,-11.24983178988212,-36.15329174892951,0.0,-24.903459959047392,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.16414,-57.954402768292454,7.856912855705304,-74.85319498826827,25.499411815646383,R
house,32,7669.7659922740995,7429.594216559582,15099.36020883368,1.590608955563618,0.0,True,2026,-34.17614070770772,0.6237994089397858,0.1418976298926889,0,0,,0,2026,1.590608955563618,-1.48,6.95797457992478,8.43797457992478,1.0,3.158354962154016,10.028583535488398,1.567746006590398,3.158354962154016,7.919089890507204,12.138077180469594,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,3.158354962154016,35.766749663271334,3.158354962154016,1.0,8.437974579924784,3.158354962154016,5.263603555606018,1.197328593986084,1.590608955563618,1.567746006590398,3.158354962154016,0.0,0.0,0.0,0.0,3.158354962154016,3.158354962154016,-18.814698611253775,-15.656343649099759,-1.0817273338946825,2.0766276282593337,-3.985382934233364,-0.8270279720793479,2.8988922719380215,6.057247234092038,-2.716212523832981,0.44214243832103506,-8.111058931517434,-4.952703969363418,0.0,3.158354962154016,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.54788,-29.755078329036834,35.98832635372087,-47.164374218788446,53.13660084734574,D
house,37,6162.764194540998,16669.724568116526,22832.48876265752,-46.01758696914213,0.0,True,2026,-38.05063641167174,0.2993188508562711,0.2788341255941956,0,0,,0,2026,-46.01758696914213,-1.48,6.95797457992478,8.43797457992478,1.0,-43.14496715711068,-37.57961238921735,2.872619812031452,-43.14496715711068,-39.68910603419855,-35.47011874423615,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-43.14496715711068,-7.9669505574703905,-43.14496715711068,1.0,8.437974579924784,-43.14496715711068,2.525644854817513,2.3527952637793774,-46.01758696914213,2.872619812031452,-43.14496715711068,0.0,0.0,0.0,0.0,-43.14496715711068,-43.14496715711068,-12.99186990785904,-56.13683706496972,-1.0817273338946825,-44.22669449100536,-3.985382934233364,-47.13035009134404,-7.723125917291968,-50.868093074402644,-2.716212523832981,-45.86117968094366,-8.111058931517434,-51.25602608862811,0.0,-43.14496715711068,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.04606,-75.95481074428962,-10.36453910821135,-93.49208042847705,7.14296761685178,R
house,38,6105.41029627108,15507.451774008394,21612.862070279472,-43.50206579380506,0.0,True,2026,-28.307789124535372,0.3479146498870603,0.1815276729838888,0,1,,0,2026,-43.50206579380506,-1.48,6.95797457992478,8.43797457992478,1.0,-41.249322256764,-35.064091213880275,2.2527435370410576,-41.249322256764,-37.173584858861474,-32.95459756889908,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-41.249322256764,-15.194276669269687,-41.249322256764,1.0,8.437974579924784,-41.249322256764,2.9356949717304457,1.5317258901909527,-43.50206579380506,2.252743537041056,-41.249322256764,0.0,0.0,0.0,0.0,-41.249322256764,-41.249322256764,-18.338220061004495,-59.587542317768495,-11.68518674142829,-52.93450899819229,-18.60221234153149,-59.851534598295494,-12.157748207522847,-53.407070464286846,-14.921241989800667,-56.170564246564666,-11.24983178988212,-52.499154046646126,0.0,-41.249322256764,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.05232,-74.33962355079179,-8.487825706158153,-91.58070287493535,8.875492878676827,R
house,40,3934.482349301813,17257.962760668357,21192.44510997017,-62.86900988644486,0.0,True,2026,-53.46481826020125,0.1670773882250615,0.2256063997651462,0,1,,0,2026,-62.86900988644486,-1.48,6.95797457992478,8.43797457992478,1.0,-60.03455656406872,-54.43103530652007,2.8344533223761403,-60.03455656406872,-56.54052895150127,-52.32154166153888,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-60.03455656406872,-9.404191626243609,-60.03455656406872,1.0,8.437974579924784,-60.03455656406872,1.4097947547232934,1.9036610662866524,-62.86900988644486,2.8344533223761346,-60.03455656406872,0.0,0.0,0.0,0.0,-60.03455656406872,-60.03455656406872,-13.22114178123453,-73.25569834530326,-11.68518674142829,-71.71974330549702,-18.60221234153149,-78.6367689056002,-16.144352518508946,-76.17890908257766,-14.921241989800667,-74.95579855386939,-11.24983178988212,-71.28438835395085,-4.782570372039798,-60.03455656406872,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.00986,-92.8689855720247,-27.48645577078771,-100.0,-10.136140537719491,R
house,41,6812.871450696095,18846.71913208795,25659.590582784047,-46.89805023415222,0.0,True,2026,-42.06115142417759,0.2496679132691639,0.2796965236100102,0,1,,0,2026,-46.89805023415222,-1.48,6.95797457992478,8.43797457992478,1.0,-43.86971945352963,-38.46007565422744,3.02833078062259,-43.86971945352963,-40.56956929920864,-36.350582009246246,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-43.86971945352963,-4.836898809974635,-43.86971945352963,1.0,8.437974579924784,-43.86971945352963,2.1066915055880706,2.3600721563145983,-46.89805023415222,3.028330780622589,-43.86971945352963,0.0,0.0,0.0,0.0,-43.86971945352963,-43.86971945352963,-19.86796053298376,-63.73767998651339,-11.68518674142829,-55.55490619495792,-18.60221234153149,-62.471931795061124,-18.774418240717146,-62.64413769424678,-14.921241989800667,-58.7909614433303,-11.24983178988212,-55.11955124341175,1.2589552354466909,-43.86971945352963,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.04244,-76.99232329999923,-11.436411143324817,-94.26304797722415,5.763524417030852,R
house,43,7558.480466614166,19113.886578414746,26672.367045028903,-43.32351190388341,0.0,True,2026,-38.68184039714945,0.2105188170401579,0.6630678486426822,0,1,,0,2026,-43.32351190388341,-1.48,6.95797457992478,8.43797457992478,1.0,-38.35271371649463,-34.88553732395863,4.97079818738878,-38.35271371649463,-36.99503096893982,-32.77604367897743,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-38.35271371649463,-4.641671506733957,-38.35271371649463,1.0,8.437974579924784,-38.35271371649463,1.776352426780689,5.5949496516123665,-43.32351190388341,4.97079818738878,-38.35271371649463,0.0,0.0,0.0,0.0,-38.35271371649463,-38.35271371649463,-40.46716201563968,-78.8198757321343,-11.68518674142829,-50.037900457922916,-18.60221234153149,-56.95492605802612,-42.05466326338214,-80.40737697987677,-14.921241989800667,-53.2739557062953,-11.24983178988212,-49.60254550637674,4.329709362281631,-38.35271371649463,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.06762,-71.5136458290093,-5.510668070866826,-88.87983630193953,11.962033531565021,R
house,45,6946.150244837187,17771.453415945445,24717.60366078263,-43.79592504059715,0.0,True,2026,-36.60810634728006,0.1897829924203093,0.4506914119359534,0,1,-1.9317540755743585,1,2026,-43.79592504059715,-1.48,6.95797457992478,8.43797457992478,1.0,-39.790495057162886,-35.35795046067237,4.0054299834342615,-39.790495057162886,-37.46744410565356,-33.24845681569117,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-39.790495057162886,-7.187818693317091,-39.790495057162886,1.0,8.437974579924784,-39.790495057162886,1.6013840657446279,3.8029226773059843,-43.79592504059715,4.0054299834342615,-39.790495057162886,0.0,0.0,0.0,0.0,-39.790495057162886,-39.790495057162886,-27.254932907167778,-67.04542796433066,-16.232566473571318,-56.0230615307342,-18.60221234153149,-58.39270739869438,-29.47323577369286,-69.26373083085575,-26.02791348490571,-65.8184085420686,-11.27718479628787,-51.067679853450755,0.0,-39.790495057162886,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.05974,-72.70589693246954,-7.028903214454086,-89.83839215182648,10.620408185769072,R
house,47,8652.48291262484,11944.489350747912,20596.97226337275,-15.982962913326787,0.0,True,2026,9.56855278111013,0.3688413561652144,0.5965625,0,1,,0,2026,-15.982962913326787,-1.48,6.95797457992478,8.43797457992478,1.0,-11.72279270162599,-7.5449883334020065,4.260170211700798,-11.72279270162599,-9.654481978383204,-5.43549468842081,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-11.72279270162599,-25.551515694436915,-11.72279270162599,1.0,8.437974579924784,-11.72279270162599,3.112273987347063,5.033779210336379,-15.982962913326787,4.260170211700798,-11.72279270162599,0.0,0.0,0.0,0.0,-11.72279270162599,-11.72279270162599,-43.32624641353569,-55.04903911516168,-11.68518674142829,-23.40797944305428,-18.60221234153149,-30.325005043157482,-36.89046542974729,-48.61325813137328,-14.921241989800667,-26.644034691426654,-11.24983178988212,-22.972624491508107,-0.6752919789603329,-11.72279270162599,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.32078,-44.88342560233012,20.867922882674122,-62.142617550698674,37.762861241399925,R
