chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public
senate,7,full_total_ridge5,-21.981718476196946,-9.453156895869265,-12.52856158032768,False
senate,8,full_total_ridge5,-56.74327213036168,-51.84573512309653,-4.89753700726515,False
senate,11,full_total_ridge5,-52.32847024522474,-48.05910770915243,-4.269362536072315,False
senate,13,full_total_ridge5,-60.923684328913225,-48.03819977698762,-12.885484551925607,False
senate,14,full_total_ridge5,-50.47028011928009,-41.55322693125855,-8.91705318802154,False
senate,16,full_total_ridge5,-37.4902517755241,-22.20548101233912,-15.28477076318498,False
senate,22,full_total_ridge5,-53.750382103405286,-56.92023492844067,3.1698528250353846,False
senate,23,full_total_ridge5,23.61716786364069,9.392740797125253,14.224427066515439,False
senate,28,full_total_ridge5,20.92061364581899,7.768603045891093,13.152010599927895,False
senate,29,full_total_ridge5,-61.16930690577644,-56.59198046403853,-4.57732644173791,False
senate,32,full_total_ridge5,-61.274693973835085,-51.41751877474897,-9.857175199086115,False
house,2,public_80_20_total_ridge,-63.44556506213457,-63.44556506213457,0.0,False
house,4,public_80_20_total_ridge,-30.168234192443013,-30.168234192443013,0.0,False
house,5,public_80_20_total_ridge,-42.22783247880138,-42.22783247880138,0.0,False
house,8,public_80_20_total_ridge,-27.045765902606977,-27.045765902606977,0.0,False
house,10,public_80_20_total_ridge,5.179921085962886,5.179921085962886,0.0,False
house,15,public_80_20_total_ridge,-13.49899760982322,-13.49899760982322,0.0,False
house,16,public_80_20_total_ridge,-72.98027779212242,-72.98027779212242,0.0,False
house,19,public_80_20_total_ridge,36.191402249555054,36.191402249555054,0.0,False
house,20,public_80_20_total_ridge,-22.96397059610957,-22.96397059610957,0.0,False
house,21,public_80_20_total_ridge,-16.342279964211833,-16.342279964211833,0.0,False
house,25,public_80_20_total_ridge,-2.465418547051442,-2.465418547051442,0.0,False
house,28,public_80_20_total_ridge,-24.862708072052687,-24.862708072052687,0.0,False
house,32,public_80_20_total_ridge,3.422618194788681,3.422618194788681,0.0,False
house,37,public_80_20_total_ridge,-42.52828814659968,-42.52828814659968,0.0,False
house,38,public_80_20_total_ridge,-40.851162777982296,-40.851162777982296,0.0,False
house,40,public_80_20_total_ridge,-59.91772109645968,-59.91772109645968,0.0,False
house,41,public_80_20_total_ridge,-44.01924227829869,-44.01924227829869,0.0,False
house,43,public_80_20_total_ridge,-39.82294291486019,-39.82294291486019,0.0,False
house,45,public_80_20_total_ridge,-41.76377173462995,-41.76377173462995,0.0,False
house,47,public_80_20_total_ridge,-12.542237344054575,-12.542237344054575,0.0,False
house,50,public_80_20_total_ridge,-56.83020958474616,-56.83020958474616,0.0,False
house,63,public_80_20_total_ridge,-14.482754089763738,-14.482754089763738,0.0,False
house,68,public_80_20_total_ridge,4.266248801475497,4.266248801475497,0.0,False
house,69,public_80_20_total_ridge,13.2672920863345,13.2672920863345,0.0,False
house,70,public_80_20_total_ridge,42.14172683432893,42.14172683432893,0.0,False
house,74,public_80_20_total_ridge,32.583507459078504,32.583507459078504,0.0,False
house,75,public_80_20_total_ridge,-25.159556418806183,-25.159556418806183,0.0,False
house,80,public_80_20_total_ridge,-31.56460879094611,-31.56460879094611,0.0,False
house,82,public_80_20_total_ridge,35.01674433891714,35.01674433891714,0.0,False
house,85,public_80_20_total_ridge,-24.32486910931324,-24.32486910931324,0.0,False
house,96,public_80_20_total_ridge,-41.64407217615401,-41.64407217615401,0.0,False
house,99,public_80_20_total_ridge,31.823403903944776,31.823403903944776,0.0,False
house,101,public_80_20_total_ridge,-26.52085457872553,-26.52085457872553,0.0,False
senate,2,public_80_20_total_ridge,1.365739626761889,1.365739626761889,0.0,False
senate,3,public_80_20_total_ridge,-37.71958219015087,-37.71958219015087,0.0,False
senate,6,public_80_20_total_ridge,-51.33435722894423,-51.33435722894423,0.0,False
senate,7,public_80_20_total_ridge,-9.453156895869265,-9.453156895869265,0.0,False
senate,8,public_80_20_total_ridge,-51.84573512309653,-51.84573512309653,0.0,False
senate,11,public_80_20_total_ridge,-48.05910770915243,-48.05910770915243,0.0,False
senate,13,public_80_20_total_ridge,-48.03819977698762,-48.03819977698762,0.0,False
senate,14,public_80_20_total_ridge,-41.55322693125855,-41.55322693125855,0.0,False
senate,16,public_80_20_total_ridge,-22.20548101233912,-22.20548101233912,0.0,False
senate,22,public_80_20_total_ridge,-56.92023492844067,-56.92023492844067,0.0,False
senate,23,public_80_20_total_ridge,9.392740797125253,9.392740797125253,0.0,False
senate,28,public_80_20_total_ridge,7.768603045891093,7.768603045891093,0.0,False
senate,29,public_80_20_total_ridge,-56.59198046403853,-56.59198046403853,0.0,False
senate,32,public_80_20_total_ridge,-51.41751877474897,-51.41751877474897,0.0,False
house,2,stable_cvap_composition_elastic,-60.46440850270034,-63.44556506213457,2.9811565594342326,False
house,4,stable_cvap_composition_elastic,-26.054648575143823,-30.168234192443013,4.11358561729919,False
house,5,stable_cvap_composition_elastic,-41.21083530210728,-42.22783247880138,1.0169971766941046,False
house,8,stable_cvap_composition_elastic,-16.13170537497939,-27.045765902606977,10.914060527627587,False
house,10,stable_cvap_composition_elastic,22.87181128240208,5.179921085962886,17.691890196439196,False
house,15,stable_cvap_composition_elastic,-21.668775010636278,-13.49899760982322,-8.169777400813057,False
house,16,stable_cvap_composition_elastic,-68.7436275928004,-72.98027779212242,4.236650199322028,False
house,19,stable_cvap_composition_elastic,48.9643051684024,36.191402249555054,12.772902918847343,False
house,20,stable_cvap_composition_elastic,-35.59416051499869,-22.96397059610957,-12.630189918889123,False
house,21,stable_cvap_composition_elastic,-22.42626316607369,-16.342279964211833,-6.083983201861855,False
house,25,stable_cvap_composition_elastic,-8.142816608692016,-2.465418547051442,-5.677398061640574,False
house,28,stable_cvap_composition_elastic,-22.07558348917373,-24.862708072052687,2.787124582878956,False
house,32,stable_cvap_composition_elastic,-0.3216755938939908,3.422618194788681,-3.744293788682672,True
house,37,stable_cvap_composition_elastic,-38.362981161817785,-42.52828814659968,4.165306984781893,False
house,38,stable_cvap_composition_elastic,-40.78360430010034,-40.851162777982296,0.06755847788195268,False
house,40,stable_cvap_composition_elastic,-57.289565616587865,-59.91772109645968,2.6281554798718147,False
house,41,stable_cvap_composition_elastic,-41.89863255974746,-44.01924227829869,2.120609718551229,False
house,43,stable_cvap_composition_elastic,-52.12605904621215,-39.82294291486019,-12.303116131351956,False
house,45,stable_cvap_composition_elastic,-48.948851325329535,-41.76377173462995,-7.185079590699587,False
house,47,stable_cvap_composition_elastic,-22.54084188361059,-12.542237344054575,-9.998604539556014,False
house,50,stable_cvap_composition_elastic,-48.40716843053053,-56.83020958474616,8.423041154215625,False
house,63,stable_cvap_composition_elastic,-21.89962979864071,-14.482754089763738,-7.416875708876972,False
house,68,stable_cvap_composition_elastic,17.793627168845845,4.266248801475497,13.527378367370348,False
house,69,stable_cvap_composition_elastic,34.18683852340117,13.2672920863345,20.91954643706667,False
house,70,stable_cvap_composition_elastic,51.9827739037074,42.14172683432893,9.841047069378469,False
house,74,stable_cvap_composition_elastic,34.61439832749291,32.583507459078504,2.030890868414403,False
house,75,stable_cvap_composition_elastic,-38.5697000013158,-25.159556418806183,-13.410143582509619,False
house,80,stable_cvap_composition_elastic,-26.53563928271601,-31.56460879094611,5.028969508230102,False
house,82,stable_cvap_composition_elastic,46.7634450264269,35.01674433891714,11.746700687509758,False
house,85,stable_cvap_composition_elastic,-28.54224527639937,-24.32486910931324,-4.21737616708613,False
house,96,stable_cvap_composition_elastic,-36.43844533440608,-41.64407217615401,5.205626841747929,False
house,99,stable_cvap_composition_elastic,41.57182549391098,31.823403903944776,9.748421589966203,False
house,101,stable_cvap_composition_elastic,-31.37682588561264,-26.52085457872553,-4.85597130688711,False
senate,2,stable_cvap_composition_elastic,-6.581438740156804,1.365739626761889,-7.947178366918693,True
senate,3,stable_cvap_composition_elastic,-33.69230748079849,-37.71958219015087,4.027274709352376,False
senate,6,stable_cvap_composition_elastic,-43.21731237517407,-51.33435722894423,8.11704485377016,False
senate,7,stable_cvap_composition_elastic,-14.693130596009269,-9.453156895869265,-5.239973700140004,False
senate,8,stable_cvap_composition_elastic,-47.290247801042014,-51.84573512309653,4.555487322054518,False
senate,11,stable_cvap_composition_elastic,-48.42026672848071,-48.05910770915243,-0.36115901932828365,False
senate,13,stable_cvap_composition_elastic,-54.03839712763806,-48.03819977698762,-6.000197350650446,False
senate,14,stable_cvap_composition_elastic,-36.88255958816045,-41.55322693125855,4.670667343098103,False
