canonical_candidate_id,cycle,chamber,district,party,candidate,total_fundraising,finance_observation_status,source_name,source_measure,aggregation_status,match_score,match_margin
AL-1994-senate-4-R-HALE,1994,senate,4,R,Hale,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-5-D-WILSON,1994,senate,5,D,Wilson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-5-R-DAVIDSON,1994,senate,5,R,Davidson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-7-D-FREEMAN,1994,senate,7,D,Freeman,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-7-R-TONDERA,1994,senate,7,R,Tondera,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-9-D-MITCHEM,1994,senate,9,D,Mitchem,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-9-R-GOOD,1994,senate,9,R,Good,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-10-D-FLOYD,1994,senate,10,D,Floyd,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-10-R-SMITH,1994,senate,10,R,Smith,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-12-D-GHEE,1994,senate,12,D,Ghee,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-12-R-JAMES,1994,senate,12,R,James,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-14-D-OWENS,1994,senate,14,D,Owens,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-14-R-ARMISTEAD,1994,senate,14,R,Armistead,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-18-D-SMITHERMAN,1994,senate,18,D,Smitherman,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-18-R-HORN,1994,senate,18,R,Horn,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-22-D-LINDSEY,1994,senate,22,D,Lindsey,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-22-R-HUGHES,1994,senate,22,R,Hughes,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-23-D-SANDERS,1994,senate,23,D,Sanders,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-23-R-CURL,1994,senate,23,R,Curl,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-25-D-ANDERSON,1994,senate,25,D,Anderson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-25-R-DIXON,1994,senate,25,R,Dixon,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-27-D-LITTLE,1994,senate,27,D,Little,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-27-R-PONDER,1994,senate,27,R,Ponder,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-28-D-CLAY,1994,senate,28,D,Clay,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-28-R-SETTLER,1994,senate,28,R,Settler,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-32-D-KOONTZ,1994,senate,32,D,Koontz,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-32-R-LIPSOCOMB,1994,senate,32,R,Lipsocomb,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-34-D-SULLIVAN,1994,senate,34,D,Sullivan,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-34-R-MYERS,1994,senate,34,R,Myers,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-35-D-WINDOM,1994,senate,35,D,Windom,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-35-R-HEBERT,1994,senate,35,R,Hebert,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-1-D-STARKEY,1998,house,1,D,Starkey,57878.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,60.86956521739131,60.86956521739131
AL-1998-house-1-R-BEER,1998,house,1,R,Beer,71708.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,61.53846153846154,61.53846153846154
AL-1998-house-2-D-HAMILTON,1998,house,2,D,Hamilton,78255.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,55.172413793103445,19.458128078817737
AL-1998-house-2-R-TATUM,1998,house,2,R,Tatum,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-3-D-BLACK,1998,house,3,D,Black,40624.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,58.82352941176471,58.82352941176471
AL-1998-house-3-R-SMALLWOOD,1998,house,3,R,Smallwood,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-4-D-MANCUSO,1998,house,4,D,Mancuso,80478.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,66.66666666666667
AL-1998-house-4-R-PAPUCCI,1998,house,4,R,Papucci,69229.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,36.66666666666667
AL-1998-house-5-D-CARTER,1998,house,5,D,Carter,103956.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,43.13725490196079
AL-1998-house-5-R-ANDREWS,1998,house,5,R,Andrews,25112.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,70.0,47.77777777777778
AL-1998-house-6-D-SCHMITZ,1998,house,6,D,Schmitz,32424.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,77.77777777777779,77.77777777777779
AL-1998-house-6-R-JORGENSEN,1998,house,6,R,Jorgensen,62705.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,81.81818181818181,81.81818181818181
AL-1998-house-8-D-DUKES,1998,house,8,D,Dukes,47079.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,58.82352941176471,58.82352941176471
AL-1998-house-8-R-KEY,1998,house,8,R,Key,11660.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,46.15384615384615,46.15384615384615
AL-1998-house-9-D-GRANTLAND,1998,house,9,D,Grantland,53819.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,72.0,60.23529411764706
AL-1998-house-9-R-BALL,1998,house,9,R,Ball,59158.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,61.53846153846154,21.53846153846154
AL-1998-house-10-D-SMITH,1998,house,10,D,Smith,13685.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,71.42857142857143,71.42857142857143
AL-1998-house-10-R-HANEY,1998,house,10,R,Haney,48055.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,71.42857142857143,71.42857142857143
AL-1998-house-11-D-WHITE,1998,house,11,D,White,33600.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,47.61904761904761,47.61904761904761
AL-1998-house-11-R-ODEN,1998,house,11,R,Oden,62646.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,47.05882352941176,19.78609625668449
AL-1998-house-12-D-MORRISON,1998,house,12,D,Morrison,89281.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,76.19047619047619,76.19047619047619
AL-1998-house-12-R-HASTIMGS,1998,house,12,R,Hastimgs,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-13-D-HOGAN,1998,house,13,D,Hogan,42989.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,71.42857142857143,54.03726708074535
AL-1998-house-13-R-BRANCH,1998,house,13,R,Branch,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-14-D-GUIN,1998,house,14,D,Guin,130673.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,66.66666666666667
AL-1998-house-14-R-WALLACE,1998,house,14,R,Wallace,32108.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,51.85185185185186,51.85185185185186
AL-1998-house-16-D-THIGPEN,1998,house,16,D,Thigpen,41166.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,58.33333333333333,16.228070175438596
AL-1998-house-16-R-WALDON,1998,house,16,R,Waldon,19631.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,57.14285714285714,57.14285714285714
AL-1998-house-17-D-MILLICAN,1998,house,17,D,Millican,140686.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,76.19047619047619,76.19047619047619
AL-1998-house-17-R-JOHNSON,1998,house,17,R,Johnson,2761.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,70.0,70.0
AL-1998-house-18-D-MORROW,1998,house,18,D,Morrow,70747.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,50.0,50.0
AL-1998-house-18-R-BRITNELL,1998,house,18,R,Britnell,29455.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,66.66666666666667
AL-1998-house-20-D-WILBURN,1998,house,20,D,Wilburn,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-20-R-SANDERFORD,1998,house,20,R,Sanderford,67951.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,74.07407407407408,64.55026455026456
AL-1998-house-21-D-JONES,1998,house,21,D,Jones,72886.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,55.55555555555556,55.55555555555556
AL-1998-house-21-R-CLEMONS,1998,house,21,R,Clemons,47593.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,66.66666666666667
AL-1998-house-22-D-HALL,1998,house,22,D,Hall,27973.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,53.333333333333336,53.333333333333336
AL-1998-house-22-R-HOLLINGSWORTH,1998,house,22,R,Hollingsworth,3250.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,72.22222222222221,72.22222222222221
AL-1998-house-23-D-ROBINSON,1998,house,23,D,Robinson,50508.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,76.19047619047619,76.19047619047619
AL-1998-house-23-R-SHELTON,1998,house,23,R,Shelton,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-24-D-BURKE,1998,house,24,D,Burke,76462.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,62.5,62.5
AL-1998-house-24-R-GREESON,1998,house,24,R,Greeson,44112.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,73.6842105263158,56.29290617848971
AL-1998-house-25-D-HAWK,1998,house,25,D,Hawk,108009.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,53.333333333333336,53.333333333333336
AL-1998-house-25-R-FINLEY,1998,house,25,R,Finley,28628.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,63.1578947368421,38.1578947368421
AL-1998-house-26-D-MCDANIEL,1998,house,26,D,McDaniel,74205.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,72.72727272727273,72.72727272727273
AL-1998-house-26-R-JOHNSTON,1998,house,26,R,Johnston,5229.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,50.0,50.0
AL-1998-house-27-D-MURPHREE,1998,house,27,D,Murphree,62765.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,80.0,80.0
AL-1998-house-27-R-THOMAS,1998,house,27,R,Thomas,36472.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,39.393939393939405
AL-1998-house-28-D-FORD,1998,house,28,D,Ford,111998.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,66.66666666666667
AL-1998-house-28-R-STEPHENS,1998,house,28,R,Stephens,11456.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,72.72727272727273,72.72727272727273
AL-1998-house-29-D-PAGE,1998,house,29,D,Page,85908.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,40.0,23.333333333333336
AL-1998-house-29-R-MALONE,1998,house,29,R,Malone,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-30-D-GALLIHER,1998,house,30,D,Galliher,62825.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,69.56521739130434,69.56521739130434
AL-1998-house-30-R-HOLLAND,1998,house,30,R,Holland,31500.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,87.5,87.5
AL-1998-house-31-D-VENABLE,1998,house,31,D,Venable,6831.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,66.66666666666667,66.66666666666667
AL-1998-house-31-R-BOWEN,1998,house,31,R,Bowen,30729.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,62.5,62.5
AL-1998-house-32-D-BOYD,1998,house,32,D,Boyd,45454.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,34.78260869565217,11.253196930946284
AL-1998-house-32-R-BRADFORD,1998,house,32,R,Bradford,,unknown_unmatched,none,unknown,unmatched,,
AL-1998-house-35-D-HURST,1998,house,35,D,Hurst,50871.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,62.5,62.5
AL-1998-house-35-R-SIMS,1998,house,35,R,Sims,72088.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,50.0,50.0
AL-1998-house-38-D-FULLER,1998,house,38,D,Fuller,121736.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,70.58823529411764,70.58823529411764
AL-1998-house-38-R-INGRAM,1998,house,38,R,Ingram,26142.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,75.0,75.0
AL-1998-house-42-D-MARTIN,1998,house,42,D,Martin,48939.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,46.15384615384615,46.15384615384615
AL-1998-house-42-R-PARNELL,1998,house,42,R,Parnell,79361.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,70.0,70.0
AL-1998-house-49-D-BLAIR,1998,house,49,D,Blair,46452.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,50.0,50.0
AL-1998-house-49-R-THOMAS,1998,house,49,R,Thomas,135252.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,70.58823529411764,70.58823529411764
AL-1998-house-51-D-MULLINS,1998,house,51,D,Mullins,29987.0,observed_positive,DIME/FollowTheMoney recipient totals,total_receipts,accepted_candidate_match,60.86956521739131,60.86956521739131
