county_file,chamber,district,party,candidate_official,candidate_norm,votes_official_county
2018-General-Baldwin.xls,house,96,R,Matt Simpson,MATT SIMPSON,11605.0
2018-General-Barbour.xls,senate,28,D,Billy Beasley,BILLY BEASLEY,5305.0
2018-General-Barbour.xls,house,84,D,Berry Forte,BERRY FORTE,5083.0
2018-General-Bibb.xls,senate,14,D,Jerry McDonald,JERRY MCDONALD,1558.0
2018-General-Bibb.xls,senate,14,R,Cam Ward,CAM WARD,5298.0
2018-General-Bibb.xls,house,49,R,April Weaver,APRIL WEAVER,4371.0
2018-General-Bibb.xls,house,72,D,Ralph A. Howard,RALPH A HOWARD,761.0
2018-General-Blount.xls,senate,9,R,Clay Scofield,CLAY SCOFIELD,3079.0
2018-General-Blount.xls,senate,17,R,Shay Shelnutt,SHAY SHELNUTT,14405.0
2018-General-Blount.xls,house,11,R,Randall Shedd,RANDALL SHEDD,3672.0
2018-General-Blount.xls,house,13,R,Connie Cooner Rowe,CONNIE COONER ROWE,2012.0
2018-General-Blount.xls,house,27,D,Bill Jones,BILL JONES,73.0
2018-General-Blount.xls,house,27,R,Wes Kitchens,WES KITCHENS,636.0
2018-General-Blount.xls,house,34,R,David Standridge,DAVID STANDRIDGE,11166.0
2018-General-Bullock.xls,senate,28,D,Billy Beasley,BILLY BEASLEY,2971.0
2018-General-Bullock.xls,house,84,D,Berry Forte,BERRY FORTE,2913.0
2018-General-Butler.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,3360.0
2018-General-Butler.xls,house,90,D,Joanne Whetstone,JOANNE WHETSTONE,3257.0
2018-General-Butler.xls,house,90,R,Chris Sells,CHRIS SELLS,4870.0
2018-General-Calhoun.xls,senate,12,D,Jim Williams,JIM WILLIAMS,13015.0
2018-General-Calhoun.xls,senate,12,R,Del Marsh,DEL MARSH,23657.0
2018-General-Calhoun.xls,house,29,D,Jared Millican,JARED MILLICAN,242.0
2018-General-Calhoun.xls,house,29,R,Becky Nordgren,BECKY NORDGREN,1550.0
2018-General-Calhoun.xls,house,32,D,Barbara Bigsby Boyd,BARBARA BIGSBY BOYD,4161.0
2018-General-Calhoun.xls,house,32,R,James Allen Lloyd,JAMES ALLEN LLOYD,1945.0
2018-General-Calhoun.xls,house,35,R,Steve Hurst,STEVE HURST,3180.0
2018-General-Calhoun.xls,house,36,D,Nicki Arnold-Swindle,NICKI ARNOLD SWINDLE,2490.0
2018-General-Calhoun.xls,house,36,R,Randy Wood,RANDY WOOD,5490.0
2018-General-Calhoun.xls,house,39,R,Ginny Shaver,GINNY SHAVER,1511.0
2018-General-Calhoun.xls,house,40,D,Pamela Jean Howard,PAMELA JEAN HOWARD,3819.0
2018-General-Calhoun.xls,house,40,R,"Koven ""K.L."" Brown",KOVEN K L BROWN,11188.0
2018-General-Chambers.xls,senate,13,D,Darrell Turner,DARRELL TURNER,4699.0
2018-General-Chambers.xls,senate,13,R,Randy Price,RANDY PRICE,6520.0
2018-General-Chambers.xls,house,37,D,Charlotte A. Clark-Frieson,CHARLOTTE A CLARK FRIESON,2651.0
2018-General-Chambers.xls,house,37,R,Bob Fincher,BOB FINCHER,3195.0
2018-General-Chambers.xls,house,38,D,Brian McGee,BRIAN MCGEE,2117.0
2018-General-Chambers.xls,house,38,R,Debbie Hamby Wood,DEBBIE HAMBY WOOD,3250.0
2018-General-Cherokee.xls,senate,10,R,Andrew Jones,ANDREW JONES,6488.0
2018-General-Cherokee.xls,house,39,R,Ginny Shaver,GINNY SHAVER,7046.0
2018-General-Chilton.xls,senate,14,D,Jerry McDonald,JERRY MCDONALD,1691.0
2018-General-Chilton.xls,senate,14,R,Cam Ward,CAM WARD,8290.0
2018-General-Chilton.xls,senate,30,R,"Clyde Chambliss, Jr.",CLYDE CHAMBLISS,3051.0
2018-General-Chilton.xls,house,42,R,"James M. ""Jimmy"" Martin",JAMES M JIMMY MARTIN,8042.0
2018-General-Chilton.xls,house,49,R,April Weaver,APRIL WEAVER,1838.0
2018-General-Chilton.xls,house,81,D,"Jeremy ""J.J."" Jeffcoat",JEREMY J J JEFFCOAT,233.0
2018-General-Chilton.xls,house,81,R,Ed Oliver,ED OLIVER,1616.0
2018-General-Choctaw.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,3444.0
2018-General-Choctaw.xls,house,65,D,Elaine Beech,ELAINE BEECH,3383.0
2018-General-Choctaw.xls,house,65,R,Brett Easterbrook,BRETT EASTERBROOK,2756.0
2018-General-Clarke.xls,senate,22,R,Greg Albritton,GREG ALBRITTON,6395.0
2018-General-Clarke.xls,house,65,D,Elaine Beech,ELAINE BEECH,2831.0
2018-General-Clarke.xls,house,65,R,Brett Easterbrook,BRETT EASTERBROOK,3238.0
2018-General-Clarke.xls,house,68,D,"Thomas E. ""Action"" Jackson",THOMAS E ACTION JACKSON,2729.0
2018-General-Clay.xls,senate,13,D,Darrell Turner,DARRELL TURNER,1096.0
2018-General-Clay.xls,senate,13,R,Randy Price,RANDY PRICE,4204.0
2018-General-Clay.xls,house,33,D,Scott Brewer,SCOTT BREWER,223.0
2018-General-Clay.xls,house,33,R,Ron Johnson,RON JOHNSON,1210.0
2018-General-Clay.xls,house,35,R,Steve Hurst,STEVE HURST,3065.0
2018-General-Cleburne.xls,senate,13,D,Darrell Turner,DARRELL TURNER,571.0
2018-General-Cleburne.xls,senate,13,R,Randy Price,RANDY PRICE,3830.0
2018-General-Cleburne.xls,house,37,D,Charlotte A. Clark-Frieson,CHARLOTTE A CLARK FRIESON,203.0
2018-General-Cleburne.xls,house,37,R,Bob Fincher,BOB FINCHER,2015.0
2018-General-Cleburne.xls,house,39,R,Ginny Shaver,GINNY SHAVER,1917.0
2018-General-Coffee.xls,senate,31,R,Jimmy W. Holley,JIMMY W HOLLEY,12479.0
2018-General-Coffee.xls,house,90,D,Joanne Whetstone,JOANNE WHETSTONE,266.0
2018-General-Coffee.xls,house,90,R,Chris Sells,CHRIS SELLS,311.0
2018-General-Coffee.xls,house,91,R,Rhett Marques,RHETT MARQUES,11445.0
2018-General-Coffee.xls,house,92,R,"Mike Jones, Jr.",MIKE JONES,717.0
2018-General-Colbert.xls,senate,6,D,Johnny Mack Morrow,JOHNNY MACK MORROW,9545.0
2018-General-Colbert.xls,senate,6,R,Larry Stutts,LARRY STUTTS,11143.0
2018-General-Colbert.xls,house,3,D,Chad Young,CHAD YOUNG,6919.0
2018-General-Colbert.xls,house,3,R,Andrew Sorrell,ANDREW SORRELL,8875.0
2018-General-Colbert.xls,house,18,D,Eddie Britton,EDDIE BRITTON,1302.0
2018-General-Colbert.xls,house,18,R,Jamie Kiel,JAMIE KIEL,3666.0
2018-General-Conecuh.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,2429.0
2018-General-Conecuh.xls,house,68,D,"Thomas E. ""Action"" Jackson",THOMAS E ACTION JACKSON,1900.0
2018-General-Conecuh.xls,house,90,D,Joanne Whetstone,JOANNE WHETSTONE,654.0
2018-General-Conecuh.xls,house,90,R,Chris Sells,CHRIS SELLS,1313.0
2018-General-Coosa.xls,senate,30,R,"Clyde Chambliss, Jr.",CLYDE CHAMBLISS,2855.0
2018-General-Coosa.xls,house,33,D,Scott Brewer,SCOTT BREWER,801.0
2018-General-Coosa.xls,house,33,R,Ron Johnson,RON JOHNSON,1663.0
2018-General-Coosa.xls,house,81,D,"Jeremy ""J.J."" Jeffcoat",JEREMY J J JEFFCOAT,677.0
2018-General-Coosa.xls,house,81,R,Ed Oliver,ED OLIVER,1120.0
2018-General-Covington.xls,senate,31,R,Jimmy W. Holley,JIMMY W HOLLEY,10010.0
2018-General-Covington.xls,house,92,R,"Mike Jones, Jr.",MIKE JONES,9982.0
2018-General-Crenshaw.xls,senate,25,D,David A. Sadler,DAVID A SADLER,1409.0
2018-General-Crenshaw.xls,senate,25,R,Will Barfoot,WILL BARFOOT,3910.0
2018-General-Crenshaw.xls,house,90,D,Joanne Whetstone,JOANNE WHETSTONE,1521.0
2018-General-Crenshaw.xls,house,90,R,Chris Sells,CHRIS SELLS,3815.0
2018-General-Cullman.xls,senate,4,R,Garlan Gudger,GARLAN GUDGER,25691.0
2018-General-Cullman.xls,house,9,R,Scott Stadthagen,SCOTT STADTHAGEN,3539.0
2018-General-Cullman.xls,house,11,R,Randall Shedd,RANDALL SHEDD,7235.0
2018-General-Cullman.xls,house,12,R,Corey Harbison,COREY HARBISON,14687.0
2018-General-Dale.xls,senate,29,R,Donnie Chesteen,DONNIE CHESTEEN,6327.0
2018-General-Dale.xls,senate,31,R,Jimmy W. Holley,JIMMY W HOLLEY,4330.0
2018-General-Dale.xls,house,89,D,Joel Lee Williams,JOEL LEE WILLIAMS,765.0
2018-General-Dale.xls,house,89,R,Wes Allen,WES ALLEN,1991.0
2018-General-Dale.xls,house,93,R,Steve Clouse,STEVE CLOUSE,8885.0
2018-General-Dallas.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,9031.0
2018-General-Dallas.xls,house,67,D,Prince Chestnut,PRINCE CHESTNUT,10913.0
2018-General-DeKalb.xls,senate,8,R,Steve Livingston,STEVE LIVINGSTON,13585.0
2018-General-DeKalb.xls,senate,9,R,Clay Scofield,CLAY SCOFIELD,3100.0
2018-General-DeKalb.xls,senate,10,R,Andrew Jones,ANDREW JONES,979.0
2018-General-DeKalb.xls,house,23,R,Tommy Hanes,TOMMY HANES,361.0
2018-General-DeKalb.xls,house,24,R,Nathaniel Ledbetter,NATHANIEL LEDBETTER,12394.0
2018-General-DeKalb.xls,house,26,R,Kerry Rich,KERRY RICH,1363.0
2018-General-DeKalb.xls,house,27,D,Bill Jones,BILL JONES,189.0
2018-General-DeKalb.xls,house,27,R,Wes Kitchens,WES KITCHENS,820.0
2018-General-DeKalb.xls,house,29,D,Jared Millican,JARED MILLICAN,289.0
2018-General-DeKalb.xls,house,29,R,Becky Nordgren,BECKY NORDGREN,1664.0
2018-General-DeKalb.xls,house,39,R,Ginny Shaver,GINNY SHAVER,1111.0
2018-General-Elmore.xls,senate,25,D,David A. Sadler,DAVID A SADLER,2498.0
2018-General-Elmore.xls,senate,25,R,Will Barfoot,WILL BARFOOT,9422.0
2018-General-Elmore.xls,senate,30,R,"Clyde Chambliss, Jr.",CLYDE CHAMBLISS,12922.0
2018-General-Elmore.xls,house,31,R,Mike Holmes,MIKE HOLMES,14323.0
2018-General-Elmore.xls,house,75,R,Reed Ingram,REED INGRAM,4839.0
2018-General-Elmore.xls,house,88,D,Cory Creel,CORY CREEL,1677.0
2018-General-Elmore.xls,house,88,R,Will Dismukes,WILL DISMUKES,3083.0
2018-General-Escambia.xls,senate,22,R,Greg Albritton,GREG ALBRITTON,8293.0
2018-General-Escambia.xls,house,66,D,Susan E. Smith,SUSAN E SMITH,3530.0
2018-General-Escambia.xls,house,66,R,Alan Baker,ALAN BAKER,6859.0
2018-General-Escambia.xls,house,92,R,"Mike Jones, Jr.",MIKE JONES,1213.0
2018-General-Etowah.xls,senate,10,R,Andrew Jones,ANDREW JONES,18435.0
2018-General-Etowah.xls,house,28,D,Kyle Pierce,KYLE PIERCE,5731.0
2018-General-Etowah.xls,house,28,R,Gil F. Isbell,GIL F ISBELL,7091.0
2018-General-Etowah.xls,house,29,D,Jared Millican,JARED MILLICAN,2501.0
2018-General-Etowah.xls,house,29,R,Becky Nordgren,BECKY NORDGREN,8314.0
2018-General-Etowah.xls,house,30,D,Jared Vaughn,JARED VAUGHN,1942.0
2018-General-Etowah.xls,house,30,R,B. Craig Lipscomb,B CRAIG LIPSCOMB,8487.0
2018-General-Fayette.xls,senate,5,R,Greg J. Reed,GREG J REED,5711.0
2018-General-Fayette.xls,house,16,R,Kyle South,KYLE SOUTH,5968.0
2018-General-Franklin.xls,senate,6,D,Johnny Mack Morrow,JOHNNY MACK MORROW,4748.0
2018-General-Franklin.xls,senate,6,R,Larry Stutts,LARRY STUTTS,3935.0
2018-General-Franklin.xls,house,7,D,Kenneth A. Brackins,KENNETH A BRACKINS,498.0
2018-General-Franklin.xls,house,7,R,Proncey Robertson,PRONCEY ROBERTSON,1217.0
2018-General-Franklin.xls,house,18,D,Eddie Britton,EDDIE BRITTON,2109.0
2018-General-Franklin.xls,house,18,R,Jamie Kiel,JAMIE KIEL,4943.0
2018-General-Geneva.xls,senate,29,R,Donnie Chesteen,DONNIE CHESTEEN,7606.0
2018-General-Geneva.xls,house,87,R,Jeff Sorrells,JEFF SORRELLS,7910.0
2018-General-Greene.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,3597.0
2018-General-Greene.xls,house,71,D,"Artis ""A.J."" McCampbell",ARTIS A J MCCAMPBELL,912.0
2018-General-Greene.xls,house,72,D,Ralph A. Howard,RALPH A HOWARD,2668.0
2018-General-Hale.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,4601.0
2018-General-Hale.xls,house,72,D,Ralph A. Howard,RALPH A HOWARD,4725.0
2018-General-Henry.xls,senate,28,D,Billy Beasley,BILLY BEASLEY,3264.0
2018-General-Henry.xls,house,85,D,Dexter Grimsley,DEXTER GRIMSLEY,3259.0
2018-General-Henry.xls,house,85,R,J. Ron Wilson,J RON WILSON,3438.0
2018-General-Houston.xls,senate,28,D,Billy Beasley,BILLY BEASLEY,3446.0
2018-General-Houston.xls,senate,29,R,Donnie Chesteen,DONNIE CHESTEEN,20340.0
2018-General-Houston.xls,house,85,D,Dexter Grimsley,DEXTER GRIMSLEY,4056.0
2018-General-Houston.xls,house,85,R,J. Ron Wilson,J RON WILSON,2828.0
2018-General-Houston.xls,house,86,D,Kristy M. Kirkland,KRISTY M KIRKLAND,3238.0
2018-General-Houston.xls,house,86,R,Paul W. Lee,PAUL W LEE,11226.0
2018-General-Houston.xls,house,87,R,Jeff Sorrells,JEFF SORRELLS,5925.0
2018-General-Houston.xls,house,93,R,Steve Clouse,STEVE CLOUSE,3089.0
2018-General-Jackson.xls,senate,8,R,Steve Livingston,STEVE LIVINGSTON,12772.0
2018-General-Jackson.xls,house,22,R,Ritchie Whorton,RITCHIE WHORTON,2172.0
2018-General-Jackson.xls,house,23,R,Tommy Hanes,TOMMY HANES,10462.0
2018-General-Jefferson.xls,senate,5,R,Greg J. Reed,GREG J REED,5999.0
2018-General-Jefferson.xls,senate,15,R,Dan Roberts,DAN ROBERTS,20329.0
2018-General-Jefferson.xls,senate,16,D,Lindsey Deckard,LINDSEY DECKARD,17182.0
2018-General-Jefferson.xls,senate,16,R,"J.T. ""Jabo"" Waggoner",J T JABO WAGGONER,25912.0
2018-General-Jefferson.xls,senate,17,R,Shay Shelnutt,SHAY SHELNUTT,27561.0
2018-General-Jefferson.xls,senate,18,D,Rodger M. Smitherman,RODGER M SMITHERMAN,39819.0
2018-General-Jefferson.xls,senate,19,D,Priscilla Dunn,PRISCILLA DUNN,38668.0
2018-General-Jefferson.xls,senate,20,D,Linda Coleman-Madison,LINDA COLEMAN MADISON,36478.0
2018-General-Jefferson.xls,house,14,R,Tim Wadsworth,TIM WADSWORTH,1820.0
2018-General-Jefferson.xls,house,15,D,Suzanna Coleman,SUZANNA COLEMAN,6123.0
2018-General-Jefferson.xls,house,15,R,Allen Farley,ALLEN FARLEY,12036.0
2018-General-Jefferson.xls,house,16,R,Kyle South,KYLE SOUTH,3690.0
2018-General-Jefferson.xls,house,44,R,Danny Garrett,DANNY GARRETT,14597.0
2018-General-Jefferson.xls,house,45,D,Jenn Gray,JENN GRAY,4283.0
2018-General-Jefferson.xls,house,45,R,Dickie Drake,DICKIE DRAKE,4917.0
2018-General-Jefferson.xls,house,46,D,Felicia Stewart,FELICIA STEWART,8445.0
2018-General-Jefferson.xls,house,46,R,David Faulkner,DAVID FAULKNER,13341.0
2018-General-Jefferson.xls,house,47,D,Jim Toomey,JIM TOOMEY,7721.0
2018-General-Jefferson.xls,house,47,R,David Wheeler,DAVID WHEELER,9170.0
2018-General-Jefferson.xls,house,48,D,Alli Summerford,ALLI SUMMERFORD,6598.0
2018-General-Jefferson.xls,house,48,R,Jim Carns,JIM CARNS,12666.0
2018-General-Jefferson.xls,house,51,D,Veronica R. Johnson,VERONICA R JOHNSON,3174.0
2018-General-Jefferson.xls,house,51,R,Allen Treadaway,ALLEN TREADAWAY,15390.0
2018-General-Jefferson.xls,house,52,D,"John W. Rogers, Jr.",JOHN W ROGERS,13284.0
2018-General-Jefferson.xls,house,54,D,Neil Rafferty,NEIL RAFFERTY,13287.0
2018-General-Jefferson.xls,house,55,D,"Roderick ""Rod"" Hampton Scott",RODERICK ROD HAMPTON SCOTT,13109.0
2018-General-Jefferson.xls,house,56,D,"Louise ""Lulu"" Alexander",LOUISE LULU ALEXANDER,13769.0
2018-General-Jefferson.xls,house,57,D,Merika Coleman,MERIKA COLEMAN,12831.0
2018-General-Jefferson.xls,house,58,D,Rolanda Hollis,ROLANDA HOLLIS,12498.0
2018-General-Jefferson.xls,house,59,D,Mary Moore,MARY MOORE,12036.0
2018-General-Jefferson.xls,house,60,D,Juandalynn Givan,JUANDALYNN GIVAN,14432.0
2018-General-Lamar.xls,senate,21,D,Rick Burnham,RICK BURNHAM,860.0
2018-General-Lamar.xls,senate,21,R,Gerald Allen,GERALD ALLEN,4476.0
2018-General-Lamar.xls,house,16,R,Kyle South,KYLE SOUTH,2257.0
2018-General-Lamar.xls,house,17,R,Tracy Estes,TRACY ESTES,2298.0
2018-General-Lauderdale.xls,senate,1,D,Caroline Self,CAROLINE SELF,6845.0
2018-General-Lauderdale.xls,senate,1,R,Tim Melson,TIM MELSON,16830.0
2018-General-Lauderdale.xls,senate,6,D,Johnny Mack Morrow,JOHNNY MACK MORROW,4158.0
2018-General-Lauderdale.xls,senate,6,R,Larry Stutts,LARRY STUTTS,3001.0
2018-General-Lauderdale.xls,house,1,R,Phillip Pettus,PHILLIP PETTUS,7348.0
2018-General-Lauderdale.xls,house,2,D,Lora Kay Morrow,LORA KAY MORROW,4296.0
2018-General-Lauderdale.xls,house,2,R,Lynn Greer,LYNN GREER,11035.0
2018-General-Lauderdale.xls,house,3,D,Chad Young,CHAD YOUNG,288.0
2018-General-Lauderdale.xls,house,3,R,Andrew Sorrell,ANDREW SORRELL,205.0
2018-General-Lauderdale.xls,house,18,D,Eddie Britton,EDDIE BRITTON,475.0
2018-General-Lauderdale.xls,house,18,R,Jamie Kiel,JAMIE KIEL,1236.0
2018-General-Lawrence.xls,senate,4,R,Garlan Gudger,GARLAN GUDGER,7797.0
2018-General-Lawrence.xls,senate,6,D,Johnny Mack Morrow,JOHNNY MACK MORROW,1358.0
2018-General-Lawrence.xls,senate,6,R,Larry Stutts,LARRY STUTTS,337.0
2018-General-Lawrence.xls,house,3,D,Chad Young,CHAD YOUNG,1333.0
2018-General-Lawrence.xls,house,3,R,Andrew Sorrell,ANDREW SORRELL,368.0
2018-General-Lawrence.xls,house,7,D,Kenneth A. Brackins,KENNETH A BRACKINS,2679.0
2018-General-Lawrence.xls,house,7,R,Proncey Robertson,PRONCEY ROBERTSON,7448.0
2018-General-Lee.xls,senate,13,D,Darrell Turner,DARRELL TURNER,4704.0
2018-General-Lee.xls,senate,13,R,Randy Price,RANDY PRICE,11262.0
2018-General-Lee.xls,senate,27,D,Nancy Carlton Bendinger,NANCY CARLTON BENDINGER,15647.0
2018-General-Lee.xls,senate,27,R,Tom Whatley,TOM WHATLEY,17367.0
2018-General-Lee.xls,house,38,D,Brian McGee,BRIAN MCGEE,2827.0
2018-General-Lee.xls,house,38,R,Debbie Hamby Wood,DEBBIE HAMBY WOOD,7901.0
2018-General-Lee.xls,house,79,D,Mary Wynne Kling,MARY WYNNE KLING,7015.0
2018-General-Lee.xls,house,79,R,Joe Lovvorn,JOE LOVVORN,9717.0
2018-General-Lee.xls,house,80,D,"Christopher F. ""Apostle"" Davis",CHRISTOPHER F APOSTLE DAVIS,1861.0
2018-General-Lee.xls,house,80,R,Chris E. Blackshear,CHRIS E BLACKSHEAR,4733.0
2018-General-Lee.xls,house,82,D,Pebblin Walker Warren,PEBBLIN WALKER WARREN,4061.0
2018-General-Lee.xls,house,83,D,"Jeremy ""Mr. Eyg"" Gray",JEREMY MR EYG GRAY,4340.0
2018-General-Lee.xls,house,83,R,Michael J Holden II,MICHAEL J HOLDEN,3006.0
2018-General-Limestone.xls,senate,1,D,Caroline Self,CAROLINE SELF,4695.0
2018-General-Limestone.xls,senate,1,R,Tim Melson,TIM MELSON,12758.0
2018-General-Limestone.xls,senate,2,D,Amy Wasyluka,AMY WASYLUKA,2993.0
2018-General-Limestone.xls,senate,2,R,Tom Butler,TOM BUTLER,7690.0
2018-General-Limestone.xls,senate,3,R,Arthur Orr,ARTHUR ORR,3148.0
2018-General-Limestone.xls,house,2,D,Lora Kay Morrow,LORA KAY MORROW,502.0
2018-General-Limestone.xls,house,2,R,Lynn Greer,LYNN GREER,2021.0
2018-General-Limestone.xls,house,4,D,Jo Ann Cummings,JO ANN CUMMINGS,1992.0
2018-General-Limestone.xls,house,4,R,Parker Duncan Moore,PARKER DUNCAN MOORE,3112.0
2018-General-Limestone.xls,house,5,D,Brian D Williams,BRIAN D WILLIAMS,4725.0
2018-General-Limestone.xls,house,5,R,Danny F. Crawford,DANNY F CRAWFORD,12395.0
2018-General-Limestone.xls,house,6,R,Andy Whitt,ANDY WHITT,3721.0
2018-General-Limestone.xls,house,25,R,Mac McCutcheon,MAC MCCUTCHEON,2443.0
2018-General-Lowndes.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,3488.0
2018-General-Lowndes.xls,house,69,D,Kelvin Jamichael Lawrence,KELVIN JAMICHAEL LAWRENCE,3814.0
2018-General-Macon.xls,senate,28,D,Billy Beasley,BILLY BEASLEY,6269.0
2018-General-Macon.xls,house,82,D,Pebblin Walker Warren,PEBBLIN WALKER WARREN,6270.0
2018-General-Madison.xls,senate,1,D,Caroline Self,CAROLINE SELF,4290.0
2018-General-Madison.xls,senate,1,R,Tim Melson,TIM MELSON,3553.0
2018-General-Madison.xls,senate,2,D,Amy Wasyluka,AMY WASYLUKA,23918.0
2018-General-Madison.xls,senate,2,R,Tom Butler,TOM BUTLER,24307.0
2018-General-Madison.xls,senate,3,R,Arthur Orr,ARTHUR ORR,3230.0
2018-General-Madison.xls,senate,7,D,Deborah Barros,DEBORAH BARROS,24363.0
2018-General-Madison.xls,senate,7,R,Sam Givhan,SAM GIVHAN,30080.0
2018-General-Madison.xls,senate,8,R,Steve Livingston,STEVE LIVINGSTON,11556.0
2018-General-Madison.xls,senate,9,R,Clay Scofield,CLAY SCOFIELD,5776.0
2018-General-Madison.xls,house,6,R,Andy Whitt,ANDY WHITT,8172.0
2018-General-Madison.xls,house,10,D,J.B. King,J B KING,8565.0
2018-General-Madison.xls,house,10,R,Mike Ball,MIKE BALL,11240.0
2018-General-Madison.xls,house,19,D,Laura Hall,LAURA HALL,12675.0
2018-General-Madison.xls,house,20,D,Linda Meigs,LINDA MEIGS,8527.0
2018-General-Madison.xls,house,20,R,Howard Sanderford,HOWARD SANDERFORD,14589.0
2018-General-Madison.xls,house,21,D,Terry Jones,TERRY JONES,8391.0
2018-General-Madison.xls,house,21,R,Rex Reynolds,REX REYNOLDS,13311.0
2018-General-Madison.xls,house,22,R,Ritchie Whorton,RITCHIE WHORTON,11757.0
2018-General-Madison.xls,house,25,R,Mac McCutcheon,MAC MCCUTCHEON,12531.0
2018-General-Madison.xls,house,53,D,Anthony Daniels,ANTHONY DANIELS,8375.0
2018-General-Marengo.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,2051.0
2018-General-Marengo.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,2968.0
2018-General-Marengo.xls,house,68,D,"Thomas E. ""Action"" Jackson",THOMAS E ACTION JACKSON,2309.0
2018-General-Marengo.xls,house,71,D,"Artis ""A.J."" McCampbell",ARTIS A J MCCAMPBELL,1267.0
2018-General-Marengo.xls,house,72,D,Ralph A. Howard,RALPH A HOWARD,1658.0
2018-General-Marion.xls,senate,4,R,Garlan Gudger,GARLAN GUDGER,3033.0
2018-General-Marion.xls,senate,6,D,Johnny Mack Morrow,JOHNNY MACK MORROW,1987.0
2018-General-Marion.xls,senate,6,R,Larry Stutts,LARRY STUTTS,4267.0
2018-General-Marion.xls,house,17,R,Tracy Estes,TRACY ESTES,8325.0
2018-General-Marshall.xls,senate,9,R,Clay Scofield,CLAY SCOFIELD,23237.0
2018-General-Marshall.xls,house,9,R,Scott Stadthagen,SCOTT STADTHAGEN,388.0
2018-General-Marshall.xls,house,11,R,Randall Shedd,RANDALL SHEDD,931.0
2018-General-Marshall.xls,house,26,R,Kerry Rich,KERRY RICH,7585.0
2018-General-Marshall.xls,house,27,D,Bill Jones,BILL JONES,2194.0
2018-General-Marshall.xls,house,27,R,Wes Kitchens,WES KITCHENS,11789.0
2018-General-Marshall.xls,house,34,R,David Standridge,DAVID STANDRIDGE,2165.0
2018-General-Mobile.xls,senate,22,R,Greg Albritton,GREG ALBRITTON,2.0
2018-General-Mobile.xls,senate,33,D,Vivian Davis Figures,VIVIAN DAVIS FIGURES,34995.0
2018-General-Mobile.xls,senate,34,R,Jack Williams,JACK WILLIAMS,35093.0
2018-General-Mobile.xls,senate,35,D,Tom Holmes,TOM HOLMES,13896.0
2018-General-Mobile.xls,senate,35,R,David Sessions,DAVID SESSIONS,29046.0
2018-General-Mobile.xls,house,96,D,Maurice Horsey,MAURICE HORSEY,464.0
2018-General-Mobile.xls,house,96,R,Matt Simpson,MATT SIMPSON,2094.0
2018-General-Mobile.xls,house,97,D,Adline C. Clarke,ADLINE C CLARKE,8740.0
