cycle,chamber,district,statewide_index_margin_activity,raw_overperformance_activity,statewide_index_margin_geographic,raw_overperformance_geographic,statewide_index_margin_change,raw_overperformance_change
2014,house,64,-58.73865697824569,-41.26134302175431,-33.88282781455717,-66.11717218544283,24.855829163688526,-24.85582916368852
2014,house,65,-29.676376421730406,129.6763764217304,-19.060270339504573,119.06027033950456,10.616106082225834,-10.61610608222584
2014,house,66,-49.32020980188239,-50.67979019811761,-46.95186247402055,-53.04813752597945,2.3683473278618408,-2.3683473278618408
2014,house,67,30.27219859997515,69.72780140002484,33.50898059911482,66.49101940088518,3.2367819991396694,-3.236781999139666
2014,house,68,19.71793050386161,80.28206949613839,-8.414391406074914,108.41439140607493,-28.132321909936522,28.132321909936536
2014,house,69,36.1969452530122,0.6114414680128419,25.223980896763766,11.584405824261278,-10.972964356248436,10.972964356248436
2014,house,70,41.76868678443509,58.23131321556491,-14.898160698856294,114.89816069885627,-56.666847483291384,56.66684748329136
2014,house,71,36.83864819660939,63.16135180339061,36.82252941568455,63.17747058431545,-0.016118780924841758,0.016118780924841758
2014,house,72,37.819906799052,62.180093200948,23.579677947637563,76.42032205236244,-14.240228851414436,14.240228851414436
2014,house,73,-52.26051703563362,-47.73948296436638,20.38145224735996,-120.38145224735996,72.64196928299359,-72.64196928299359
2014,house,74,-22.126576567098507,-22.599419464041777,20.381452247359952,-65.10744827850024,42.508028814458456,-42.50802881445847
2014,house,75,-23.97719964748012,-76.02280035251988,-2.35385692119266,-97.64614307880734,21.62334272628746,-21.62334272628746
2014,house,76,55.81361306010612,44.18638693989388,20.38145224735996,79.61854775264004,-35.43216081274616,35.43216081274616
2014,house,77,31.02656034111321,-1.8122344457447497,20.38145224735996,8.832873648008505,-10.645108093753251,10.645108093753255
2014,house,78,62.51597656464245,-17.25391117803114,20.38145224735996,24.88061313925136,-42.13452431728249,42.1345243172825
2014,house,79,-20.85986581305748,2.3960208124808453,-20.296866235889016,1.833021235312384,0.5629995771684619,-0.5629995771684613
2014,house,80,-35.65421138171933,0.1889276018288086,-6.371758300588245,-29.09352547930228,29.282453081131084,-29.282453081131088
2014,house,81,-38.831579845627736,3.444451941240537,-30.30227950026649,-5.084848404120709,8.529300345361246,-8.529300345361246
2014,house,82,28.38428438292412,71.61571561707588,22.277267405547267,77.72273259445274,-6.107016977376851,6.107016977376858
2014,house,83,22.802222775316547,8.475090247532748,-9.917766314425998,41.195079337275295,-32.71998908974255,32.71998908974255
2014,house,84,24.055903234128284,2.046314041789873,19.906382291440128,6.195834984478029,-4.149520942688156,4.149520942688156
2014,house,85,-10.615032869858776,36.44818468863464,-30.93699969384579,56.77015151262166,-20.321966823987015,20.32196682398702
2014,house,86,-39.51014249326627,-60.48985750673373,-38.483235895418936,-61.51676410458106,1.0269065978473364,-1.0269065978473293
2014,house,87,-59.03396302933293,-40.96603697066707,-45.58782484137938,-54.41217515862062,13.44613818795355,-13.44613818795355
2014,house,88,-40.87721617869025,-59.12278382130975,-41.5291422048926,-58.4708577951074,-0.6519260262023536,0.6519260262023536
2014,house,89,-19.77855183134017,19.02090692034063,-18.41133449021096,17.653689579211413,1.3672173411292086,-1.3672173411292157
2014,house,90,-17.630529872520764,4.205147968877991,-11.281657887617396,-2.1437240160253754,6.348871984903369,-6.348871984903367
2014,house,91,-50.36695826201472,-49.63304173798528,-49.48904306704494,-50.51095693295506,0.8779151949697805,-0.8779151949697805
2014,house,92,-50.390513956612665,-49.609486043387335,-50.02114360085553,-49.97885639914447,0.36937035575713395,-0.36937035575713395
2014,house,93,-43.090300429555306,-10.351606890793924,-41.96006489212899,-11.48184242822024,1.1302355374263158,-1.1302355374263158
2014,house,94,-61.71764929593684,-38.28235070406316,-61.16406121890816,-38.83593878109184,0.5535880770286781,-0.5535880770286781
2014,house,95,-64.32884893925417,-35.67115106074583,-61.16406121890817,-38.83593878109183,3.1647877203460055,-3.1647877203460055
2014,house,96,-55.63177396333896,-44.36822603666104,-46.423215623743374,-53.57678437625663,9.208558339595584,-9.20855833959559
2014,house,97,33.697825032858894,66.3021749671411,-14.85256740752508,114.85256740752509,-48.55039244038397,48.55039244038399
2014,house,98,27.38418441550789,2.987760324130793,-14.852567407525084,45.224512147163765,-42.236751823032975,42.236751823032975
2014,house,99,38.65731924622013,61.34268075377987,-14.85256740752508,114.85256740752509,-53.50988665374521,53.50988665374522
2014,house,100,-53.82781640589095,-46.17218359410905,-14.852567407525084,-85.14743259247491,38.97524899836586,-38.97524899836586
2014,house,101,-45.68655745123718,-54.31344254876282,-14.85256740752508,-85.14743259247491,30.8339900437121,-30.83399004371209
2014,house,102,-58.16492029034257,-41.83507970965743,-14.85256740752508,-85.14743259247491,43.31235288281749,-43.312352882817486
2014,house,103,38.79317965399087,7.3817193424903,-14.85256740752508,61.02746640400625,-53.64574706151595,53.64574706151595
2014,house,104,-48.93429987179488,-51.06570012820512,-14.85256740752508,-85.14743259247491,34.0817324642698,-34.08173246426979
2014,house,105,-62.41208178069338,-37.58791821930662,-14.85256740752508,-85.14743259247491,47.5595143731683,-47.55951437316829
