cycle,chamber,district,incumbent_candidate,incumbent_party,incumbency_source,match_score
2014,senate,6,"Roger Bedford, Jr.",D,prior_winner_match,1.0
2014,senate,7,Paul L. Sanford,R,prior_winner_match,0.9230769230769231
2014,senate,9,Clay Scofield,R,prior_winner_match,1.0
2014,senate,10,Phil Williams,R,prior_winner_match,1.0
2014,senate,12,Del Marsh,R,prior_winner_match,1.0
2014,senate,13,Gerald Dial,R,prior_winner_match,1.0
2014,senate,14,Cam Ward,R,prior_winner_match,1.0
2014,senate,15,Slade Blackwell,R,prior_winner_match,1.0
2014,senate,16,"J.T. ""Jabo"" Waggoner",R,prior_winner_match,1.0
2014,senate,18,Rodger M. Smitherman,D,prior_winner_match,1.0
2014,senate,19,Priscilla Dunn,D,prior_winner_match,1.0
2014,senate,20,Linda Coleman,D,prior_winner_match,1.0
2014,senate,21,Gerald Allen,R,prior_winner_match,1.0
2014,senate,23,Hank Sanders,D,prior_winner_match,1.0
2014,senate,24,Bobby Singleton,D,prior_winner_match,1.0
2014,senate,25,Dick L. Brewbaker,R,prior_winner_match,0.9333333333333333
2014,senate,26,"Quinton T. Ross, Jr.",D,prior_winner_match,1.0
2014,senate,27,Tom Whatley,R,prior_winner_match,1.0
2014,senate,28,Billy Beasley,D,prior_winner_match,1.0
2014,senate,31,Jimmy W. Holley,R,prior_winner_match,1.0
2014,senate,32,Trip Pittman,R,prior_winner_match,1.0
2014,senate,33,Vivian Davis Figures,D,prior_winner_match,1.0
2014,senate,34,Rusty Glover,R,prior_winner_match,1.0
2018,house,1,Phillip Pettus,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,2,Lynn Greer,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,5,Danny F. Crawford,R,wikipedia_incumbent_annotation,0.9333333333333333
2018,house,8,Terri Collins,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,10,Mike Ball,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,11,Randall Shedd,R,wikipedia_incumbent_annotation,1.0
2018,house,12,Corey Harbison,R,wikipedia_incumbent_annotation,1.0
2018,house,14,Tim Wadsworth,R,wikipedia_incumbent_annotation,1.0
2018,house,15,Allen Farley,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,16,Kyle South,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,19,Laura Hall,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,20,Howard Sanderford,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,21,Rex Reynolds,R,wikipedia_incumbent_annotation,1.0
2018,house,22,Ritchie Whorton,R,wikipedia_incumbent_annotation,1.0
2018,house,23,Tommy Hanes,R,wikipedia_incumbent_annotation,1.0
2018,house,24,Nathaniel Ledbetter,R,wikipedia_incumbent_annotation,1.0
2018,house,25,Mac McCutcheon,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,26,Kerry Rich,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,29,Becky Nordgren,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,31,Mike Holmes,R,wikipedia_incumbent_annotation,1.0
2018,house,32,Barbara Bigsby Boyd,D,prior_winner_match,1.0
2018,house,33,Ron Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,34,David Standridge,R,wikipedia_incumbent_annotation,1.0
2018,house,35,Steve Hurst,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,36,Randy Wood,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,37,Bob Fincher,R,wikipedia_incumbent_annotation,1.0
2018,house,41,Corley Ellis,R,wikipedia_incumbent_annotation,1.0
2018,house,43,Arnold G. Mooney II,R,wikipedia_incumbent_annotation,0.9285714285714286
2018,house,44,Danny Garrett,R,wikipedia_incumbent_annotation,1.0
2018,house,45,Dickie Drake,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,46,David Faulkner,R,wikipedia_incumbent_annotation,1.0
2018,house,48,Jim Carns,R,wikipedia_incumbent_annotation,1.0
2018,house,49,April Weaver,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,50,Jim Hill,R,wikipedia_incumbent_annotation,1.0
2018,house,51,Allen Treadaway,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,52,"John W. Rogers, Jr.",D,prior_winner_match+wikipedia_incumbent_annotation,0.9166666666666666
2018,house,53,Anthony Daniels,D,wikipedia_incumbent_annotation,1.0
2018,house,56,"Louise ""Lulu"" Alexander",D,wikipedia_incumbent_annotation,0.8648648648648649
2018,house,57,Merika Coleman,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,58,Rolanda Hollis,D,wikipedia_incumbent_annotation,1.0
2018,house,59,Mary Moore,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,60,Juandalynn Givan,D,wikipedia_incumbent_annotation,1.0
2018,house,62,Rich Wingo,R,wikipedia_incumbent_annotation,1.0
2018,house,63,Bill Poole,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,64,Harry Shiver,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,65,Elaine Beech,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,66,Alan Baker,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,67,Prince Chestnut,D,wikipedia_incumbent_annotation,1.0
2018,house,68,"Thomas E. ""Action"" Jackson",D,prior_winner_match,1.0
2018,house,70,Christopher John England,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,71,"Artis ""A.J."" McCampbell",D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,72,Ralph A. Howard,D,prior_winner_match,1.0
2018,house,73,Matt Fridy,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,74,Dimitri Polizos,R,wikipedia_incumbent_annotation,1.0
2018,house,75,Reed Ingram,R,wikipedia_incumbent_annotation,1.0
2018,house,76,Thad McClammy,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,79,Joe Lovvorn,R,wikipedia_incumbent_annotation,1.0
2018,house,80,Chris E. Blackshear,R,wikipedia_incumbent_annotation,0.9411764705882353
2018,house,82,Pebblin Walker Warren,D,prior_winner_match,0.8648648648648649
2018,house,84,Berry Forte,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,85,Dexter Grimsley,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,86,Paul W. Lee,R,prior_winner_match+wikipedia_incumbent_annotation,0.8888888888888888
2018,house,90,Chris Sells,R,wikipedia_incumbent_annotation,1.0
2018,house,92,"Mike Jones, Jr.",R,prior_winner_match,1.0
2018,house,93,Steve Clouse,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,94,Joe Faust,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,95,Steve McMillan,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,97,Adline C. Clarke,D,wikipedia_incumbent_annotation,0.9285714285714286
2018,house,98,"Napoleon Bracy, Jr.",D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,100,Victor Gaston,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,house,101,Chris Pringle,R,wikipedia_incumbent_annotation,1.0
2018,house,103,Barbara Drummond,D,wikipedia_incumbent_annotation,1.0
2018,house,104,Margie Wilcox,R,wikipedia_incumbent_annotation,1.0
2018,senate,1,Tim Melson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,3,Arthur Orr,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,5,Greg J. Reed,R,prior_winner_match+wikipedia_incumbent_annotation,0.9
2018,senate,6,Larry Stutts,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,8,Steve Livingston,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,9,Clay Scofield,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,11,Jim McClendon,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,12,Del Marsh,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,14,Cam Ward,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,16,"J.T. ""Jabo"" Waggoner",R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,17,Shay Shelnutt,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,18,Rodger M. Smitherman,D,prior_winner_match+wikipedia_incumbent_annotation,0.9444444444444444
2018,senate,19,Priscilla Dunn,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,20,Linda Coleman-Madison,D,wikipedia_incumbent_annotation,1.0
2018,senate,21,Gerald Allen,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,22,Greg Albritton,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,24,Bobby Singleton,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,27,Tom Whatley,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,28,Billy Beasley,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,30,"Clyde Chambliss, Jr.",R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2018,senate,31,Jimmy W. Holley,R,prior_winner_match+wikipedia_incumbent_annotation,0.9230769230769231
2018,senate,33,Vivian Davis Figures,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,1,Phillip Pettus,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,4,Parker Duncan Moore,R,wikipedia_incumbent_annotation,1.0
2022,house,5,Danny F Crawford,R,prior_winner_match,0.9333333333333333
2022,house,6,Andy Whitt,R,prior_winner_match,1.0
2022,house,8,Terri Collins,R,prior_winner_match,1.0
2022,house,9,Scott Stadthagen,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,11,Randall Shedd,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,12,Corey Harbison,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,14,Timothy (Tim) Wadsworth,R,wikipedia_incumbent_annotation,1.0
2022,house,16,Kyle South,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,17,Tracy Estes,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,18,Jamie Kiel,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,19,Laura Hall,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,21,Rex Reynolds,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,22,Ritchie Whorton,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,24,Nathaniel Ledbetter,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,27,Wes Kitchens,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,30,Craig Lipscomb,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,33,Ben Robbins,R,wikipedia_incumbent_annotation,1.0
2022,house,34,David Standridge,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,35,Steve Hurst,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,36,Randy Wood,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,37,Bob Fincher,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,38,Debbie Hamby Wood,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,39,Ginny Shaver,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,41,Corley Ellis,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,43,Arnold Mooney,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,44,Danny Garrett,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,46,David Faulkner,R,prior_winner_match,1.0
2022,house,48,Jim Carns,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,49,Russell Bedsole,R,wikipedia_incumbent_annotation,1.0
2022,house,50,Jim Hill,R,prior_winner_match,1.0
2022,house,51,Allen Treadaway,R,prior_winner_match,1.0
2022,house,52,John W. Rogers Jr.,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,53,Anthony Daniels,D,prior_winner_match,1.0
2022,house,54,Neil Rafferty,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,58,Rolanda Hollis,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,59,Mary Moore,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,60,Juandalynn Givan,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,63,Cynthia Lee Almond,R,wikipedia_incumbent_annotation,0.875
2022,house,65,Brett Easterbrook,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,66,Alan Baker,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,67,Prince Chestnut,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,68,"Thomas E. ""Action"" Jackson",D,wikipedia_incumbent_annotation,1.0
2022,house,69,Kelvin J. Lawrence,D,prior_winner_match,0.9375
2022,house,70,Christopher John England,D,prior_winner_match,0.9333333333333333
2022,house,71,"Artis ""Aj"" Mccampbell",D,prior_winner_match,0.972972972972973
2022,house,75,Reed Ingram,R,prior_winner_match,1.0
2022,house,76,"Patrice ""Penni"" Mcclammy",D,wikipedia_incumbent_annotation,1.0
2022,house,77,Tashina Morris,D,prior_winner_match,1.0
2022,house,79,Joe Lovvorn,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,80,Chris E. Blackshear,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,81,Ed Oliver,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,82,Pebblin Walker Warren,D,wikipedia_incumbent_annotation,1.0
2022,house,83,Jeremy Gray,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,84,Berry Forte,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,85,Dexter Grimsley,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,86,Paul W. Lee,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,87,Jeff Sorrells,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,90,Chris Sells,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,91,Rhett Marques,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,93,Steve Clouse,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,96,Matt Simpson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,97,Adline Clarke,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,98,"Napoleon Bracy, Jr.",D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,99,Sam Jones,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,house,101,Chris Pringle,R,prior_winner_match,1.0
2022,house,102,Shane Stringer,R,prior_winner_match,1.0
2022,house,103,Barbara Drummond,D,prior_winner_match,1.0
2022,house,104,Margie Wilcox,R,prior_winner_match,1.0
2022,house,105,Chip Brown,R,prior_winner_match,1.0
2022,senate,1,Tim Melson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,2,Tom Butler,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,3,Arthur Orr,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,4,Garlan Gudger,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,5,Greg J Reed,R,prior_winner_match+wikipedia_incumbent_annotation,0.9
2022,senate,6,Larry Stutts,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,7,Sam Givhan,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,8,Steve Livingston,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,9,Clay Scofield,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,10,Andrew Jones,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,13,Randy Price,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,14,April Weaver,R,wikipedia_incumbent_annotation,1.0
2022,senate,15,Dan Roberts,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,16,"J.T. ""Jabo"" Waggoner",R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,17,Shay Shelnutt,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,18,Rodger M. Smitherman,D,prior_winner_match+wikipedia_incumbent_annotation,0.9444444444444444
2022,senate,20,Linda Coleman-Madison,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,21,Gerald Allen,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,22,Greg Albritton,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,24,Bobby Singleton,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,25,Will Barfoot,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,26,Kirk Hatcher,D,wikipedia_incumbent_annotation,1.0
2022,senate,28,Billy Beasley,D,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,29,Donnie Chesteen,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,30,"Clyde Chambliss, Jr.",R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,32,Chris Elliott,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,33,Vivian Davis Figures,D,prior_winner_match,1.0
2022,senate,34,Jack Williams,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
2022,senate,35,David Sessions,R,prior_winner_match+wikipedia_incumbent_annotation,1.0
