model,model_label,is_public_default,chamber,district,predicted_dem_margin
ramp_all_extra_trees,Extra Trees,False,senate,3,-41.41224207461316
ramp_all_extra_trees,Extra Trees,False,senate,6,-53.700058026239525
ramp_all_extra_trees,Extra Trees,False,senate,7,-14.482638286967056
ramp_all_extra_trees,Extra Trees,False,senate,8,-54.6346742312496
ramp_all_extra_trees,Extra Trees,False,senate,11,-50.9285410439523
ramp_all_extra_trees,Extra Trees,False,senate,13,-51.27926516056457
ramp_all_extra_trees,Extra Trees,False,senate,14,-45.25815621620013
ramp_all_extra_trees,Extra Trees,False,senate,16,-26.151466059874213
ramp_all_extra_trees,Extra Trees,False,senate,22,-57.64705526791554
ramp_all_extra_trees,Extra Trees,False,senate,23,33.623091739605684
ramp_all_extra_trees,Extra Trees,False,senate,28,31.65849158273099
ramp_all_extra_trees,Extra Trees,False,senate,29,-59.158283198173024
ramp_all_extra_trees,Extra Trees,False,senate,32,-55.76210867003101
ramp_all_gradient_boosting,Gradient boosting,False,house,2,-62.677062854393185
ramp_all_gradient_boosting,Gradient boosting,False,house,4,-36.017263072178764
ramp_all_gradient_boosting,Gradient boosting,False,house,5,-40.84196326863215
ramp_all_gradient_boosting,Gradient boosting,False,house,8,-24.838012387961456
ramp_all_gradient_boosting,Gradient boosting,False,house,10,22.139769711741867
ramp_all_gradient_boosting,Gradient boosting,False,house,15,-19.500440851209365
ramp_all_gradient_boosting,Gradient boosting,False,house,16,-65.30623610945828
ramp_all_gradient_boosting,Gradient boosting,False,house,19,53.00641826383196
ramp_all_gradient_boosting,Gradient boosting,False,house,20,-31.48865020320097
ramp_all_gradient_boosting,Gradient boosting,False,house,21,-22.359474657803702
ramp_all_gradient_boosting,Gradient boosting,False,house,25,-7.85723567548112
ramp_all_gradient_boosting,Gradient boosting,False,house,28,-19.36173818330967
ramp_all_gradient_boosting,Gradient boosting,False,house,32,24.240402681961896
ramp_all_gradient_boosting,Gradient boosting,False,house,37,-37.91532103790688
ramp_all_gradient_boosting,Gradient boosting,False,house,38,-35.70760048102628
ramp_all_gradient_boosting,Gradient boosting,False,house,40,-56.180566213404035
ramp_all_gradient_boosting,Gradient boosting,False,house,41,-42.80935835166117
ramp_all_gradient_boosting,Gradient boosting,False,house,43,-45.150253165788534
ramp_all_gradient_boosting,Gradient boosting,False,house,45,-47.158139084268505
ramp_all_gradient_boosting,Gradient boosting,False,house,47,-14.199861765600382
ramp_all_gradient_boosting,Gradient boosting,False,house,50,-52.23644773061395
ramp_all_gradient_boosting,Gradient boosting,False,house,63,-19.596940368334106
ramp_all_gradient_boosting,Gradient boosting,False,house,68,30.893969248608173
ramp_all_gradient_boosting,Gradient boosting,False,house,69,32.24923422174078
ramp_all_gradient_boosting,Gradient boosting,False,house,70,62.40181872727999
ramp_all_gradient_boosting,Gradient boosting,False,house,74,37.607676380552995
ramp_all_gradient_boosting,Gradient boosting,False,house,75,-31.05238934253765
ramp_all_gradient_boosting,Gradient boosting,False,house,80,-27.890358518921907
ramp_all_gradient_boosting,Gradient boosting,False,house,82,51.61254069645889
ramp_all_gradient_boosting,Gradient boosting,False,house,85,-20.427547361467287
ramp_all_gradient_boosting,Gradient boosting,False,house,96,-44.108288422638125
ramp_all_gradient_boosting,Gradient boosting,False,house,99,51.68856085896786
ramp_all_gradient_boosting,Gradient boosting,False,house,101,-32.592172019880785
ramp_all_gradient_boosting,Gradient boosting,False,senate,2,-4.326358119057877
ramp_all_gradient_boosting,Gradient boosting,False,senate,3,-36.21238173670457
ramp_all_gradient_boosting,Gradient boosting,False,senate,6,-45.97191769945702
ramp_all_gradient_boosting,Gradient boosting,False,senate,7,-15.301798830918951
ramp_all_gradient_boosting,Gradient boosting,False,senate,8,-47.953953197528634
ramp_all_gradient_boosting,Gradient boosting,False,senate,11,-44.26139685691467
ramp_all_gradient_boosting,Gradient boosting,False,senate,13,-46.872232887438756
ramp_all_gradient_boosting,Gradient boosting,False,senate,14,-39.970523136126566
ramp_all_gradient_boosting,Gradient boosting,False,senate,16,-27.698340740280628
ramp_all_gradient_boosting,Gradient boosting,False,senate,22,-50.187199620231176
ramp_all_gradient_boosting,Gradient boosting,False,senate,23,31.316644080894058
ramp_all_gradient_boosting,Gradient boosting,False,senate,28,27.671699347852005
ramp_all_gradient_boosting,Gradient boosting,False,senate,29,-52.76069660481663
ramp_all_gradient_boosting,Gradient boosting,False,senate,32,-57.40287323558121
ramp_all_spline_ridge,Spline ridge,False,house,2,-62.52774236721196
ramp_all_spline_ridge,Spline ridge,False,house,4,-34.28147288070185
ramp_all_spline_ridge,Spline ridge,False,house,5,-42.98857448692556
ramp_all_spline_ridge,Spline ridge,False,house,8,-28.696364109976606
