specification,chamber,district,public_margin,ensemble_margin,change,winner_changed
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,22,-56.92023492844067,-56.318044916954975,0.6021900114856962,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,23,9.392740797125253,22.084400680911777,12.691659883786524,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,28,7.768603045891093,20.56510855724442,12.796505511353327,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,29,-56.59198046403853,-57.88122685865617,-1.289246394617642,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,32,-51.41751877474897,-53.63783609724561,-2.2203173224966406,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,2,-63.44556506213457,-65.39496169639813,-1.9493966342635574,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,4,-30.168234192443013,-36.25296257916007,-6.084728386717057,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,5,-42.22783247880138,-45.80141262417855,-3.5735801453771714,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,8,-27.045765902606977,-31.68796407505799,-4.642198172451014,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,10,5.179921085962886,7.062091304960138,1.8821702189972518,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,15,-13.49899760982322,-19.11406674094639,-5.615069131123171,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,16,-72.98027779212242,-72.4394408266734,0.5408369654490173,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,19,36.191402249555054,38.95076548832263,2.759363238767577,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,20,-22.96397059610957,-34.699170887236306,-11.735200291126738,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,21,-16.342279964211833,-21.724870794335807,-5.3825908301239735,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,25,-2.465418547051442,-10.434451799146904,-7.969033252095462,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,28,-24.862708072052687,-27.172335044645088,-2.309626972592401,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,32,3.422618194788681,1.5762885635309498,-1.8463296312577313,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,37,-42.52828814659968,-42.51027538373795,0.018012762861729925,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,38,-40.851162777982296,-41.66242850453135,-0.8112657265490526,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,40,-59.91772109645968,-61.67174193660114,-1.7540208401414574,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,41,-44.01924227829869,-46.9025521236507,-2.8833098453520094,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,43,-39.82294291486019,-47.879394313803495,-8.056451398943302,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,45,-41.76377173462995,-49.90385628028885,-8.140084545658901,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,47,-12.542237344054575,-18.1363827280201,-5.5941453839655235,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,50,-56.83020958474616,-56.584542085614544,0.24566749913161345,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,63,-14.482754089763738,-23.506500181643,-9.02374609187926,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,68,4.266248801475497,11.017404177890302,6.751155376414806,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,69,13.2672920863345,21.994101328726604,8.726809242392104,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,70,42.14172683432893,43.42249002741677,1.280763193087843,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,74,32.583507459078504,32.62598461229945,0.042477153220943364,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,75,-25.159556418806183,-31.13746856201472,-5.977912143208538,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,80,-31.56460879094611,-33.2311375027903,-1.6665287118441867,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,82,35.01674433891714,38.0727271835148,3.055982844597658,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,85,-24.32486910931324,-27.09939342955559,-2.7745243202423495,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,96,-41.64407217615401,-44.644352676038274,-3.000280499884262,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,99,31.823403903944776,35.1312227698564,3.3078188659116243,False
public_0.5+all_hybrid__ridge_5__1_0.5,house,101,-26.52085457872553,-31.807356205322442,-5.2865016265969125,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,2,1.365739626761889,-7.532686432482761,-8.898426059244649,True
public_0.5+all_hybrid__ridge_5__1_0.5,senate,3,-37.71958219015087,-41.84557079028244,-4.125988600131571,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,6,-51.33435722894423,-52.93202382939356,-1.5976666004493296,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,7,-9.453156895869265,-15.65655715022707,-6.203400254357804,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,8,-51.84573512309653,-54.22147722032213,-2.375742097225597,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,11,-48.05910770915243,-50.17398545765394,-2.114877748501513,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,13,-48.03819977698762,-54.12397143544953,-6.0857716584619155,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,14,-41.55322693125855,-45.95316611112842,-4.399939179869868,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,16,-22.20548101233912,-29.68510648753466,-7.47962547519554,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,22,-56.92023492844067,-55.354673996256636,1.5655609321840345,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,23,9.392740797125253,16.335855492477577,6.943114695352325,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,28,7.768603045891093,14.180984085911176,6.412381040020082,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,29,-56.59198046403853,-58.8391450238037,-2.2471645597651744,False
public_0.5+all_hybrid__ridge_5__1_0.5,senate,32,-51.41751877474897,-56.21968401494009,-4.802165240191123,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,2,-63.44556506213457,-62.551218094304296,0.8943469678302733,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,4,-30.168234192443013,-28.934158507253255,1.234075685189758,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,5,-42.22783247880138,-41.922733325793146,0.30509915300823565,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,8,-27.045765902606977,-23.7715477443187,3.274218158288278,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,10,5.179921085962886,10.487488144894645,5.307567058931759,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,15,-13.49899760982322,-15.949930830067135,-2.4509332202439147,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,16,-72.98027779212242,-71.70928273232582,1.2709950597966042,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,19,36.191402249555054,40.02327312520926,3.8318708756542037,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,20,-22.96397059610957,-26.753027571776308,-3.789056975666739,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,21,-16.342279964211833,-18.16747492477039,-1.8251949605585551,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,25,-2.465418547051442,-4.168637965543613,-1.7032194184921714,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,28,-24.862708072052687,-24.026570697188998,0.8361373748636893,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,32,3.422618194788681,2.2993300581838794,-1.1232881366048018,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,37,-42.52828814659968,-41.278696051165106,1.249592095434572,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,38,-40.851162777982296,-40.83089523461771,0.020267543364589358,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,40,-59.91772109645968,-59.12927445249813,0.7884466439615494,False
