cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,acs_vintage,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,white_college_method,dem_candidate_spending,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,rep_finance_matched,finance_complete
2014,house,21,4558.0,9428.0,13986.0,-34.82053482053482,True,R,2012_enacted,-39.13908118492613,3,-38.53530305013359,2,True,complete_core_expanded,4.318546364391317,3.714768229598768,1,Jim Patterson,R,prior_winner_match,1.0,False,True,False,incumbent_running,7293.305407413452,14893.466155325972,22186.771562739425,-34.2553702616034,0.1541831441294325,True,,,,,,,,,,,,,,,2014,"State House District 21 (2014), Alabama",46647,33786,0.1749951765386841,0.4081572248860475,0.4079199637466448,28687,acs_c15002h_white_nh_bachelors_plus_direct,81356.79000000001,141994.11000000002,-0.5543294085167151,500.0,True,True,True
2014,house,22,2998.0,8688.0,11686.0,-48.69074105767585,True,R,2012_enacted,-53.673929916727786,3,-52.52564629247641,2,True,complete_core_expanded,4.983188859051936,3.834905234800559,0,,,,,False,False,True,open,5033.438096636842,14876.729196747428,19910.167293384267,-49.43851528249744,0.1351775882478785,True,,,,,,,,,,,,,,,2014,"State House District 22 (2014), Alabama",47008,33008,0.1176608236895847,0.2201587493940862,0.2156484022906712,29511,acs_c15002h_white_nh_bachelors_plus_direct,5467.24,81360.91,-2.6187370785951183,500.0,True,True,True
2014,house,23,4139.0,5493.0,9632.0,-14.057308970099667,True,R,2012_enacted,-37.105930225477564,3,-35.071368901623565,2,True,complete_core_expanded,23.048621255377896,21.014059931523896,1,John Robinson,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,5170.691701625301,12190.580894976454,17361.272596601753,-40.43418565252646,0.0502996561791092,True,,,,,,,,,,,,,,,2014,"State House District 23 (2014), Alabama",45002,31770,0.1103062086129504,0.1365439093484419,0.1384428223844282,28770,acs_c15002h_white_nh_bachelors_plus_direct,45107.45,97501.41,-0.7649107859534486,500.0,True,True,True
2014,house,24,4338.0,6877.0,11215.0,-22.639322336156933,True,R,2012_enacted,-53.67219658800622,2,,1,False,incomplete_core,31.03287425184929,,0,,,,,False,False,True,open,3459.693608887668,11822.992771206504,15282.686380094172,-54.724012220862605,0.2540019532079317,True,,,,,,,,,,,,,,,2014,"State House District 24 (2014), Alabama",46093,31069,0.1580934198251361,0.1183494801892561,0.1249409112395912,27501,acs_c15002h_white_nh_bachelors_plus_direct,68777.56999999999,208726.36,-1.1052955394957458,500.0,True,True,True
2014,house,25,0.0,10432.0,10432.0,-100.0,False,R,2012_enacted,-43.14222661042324,3,-43.26830830746484,2,True,complete_core_expanded,-56.85777338957676,-56.731691692535165,1,Mac McCutcheon,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,8920.55132996283,17545.167085003995,26465.718414966825,-32.58787696525856,0.1834727023541523,True,,,,,,,,,,,,,,,2014,"State House District 25 (2014), Alabama",45510,29929,0.2743133377279718,0.5221023087974874,0.5468336250617117,22281,acs_c15002h_white_nh_bachelors_plus_direct,0.0,18352.13,,500.0,False,True,False
2014,house,26,0.0,5679.0,5679.0,-100.0,False,R,2012_enacted,-60.51047394482134,3,-59.96772408412028,2,True,complete_core_expanded,-39.48952605517866,-40.03227591587972,1,Kerry Rich,R,prior_winner_match,1.0,False,True,False,incumbent_running,442.3087131184063,1748.6044415469626,2190.913154665369,-59.62334589332796,0.2119126514226252,True,,,,,,,,,,,,,,,2014,"State House District 26 (2014), Alabama",45856,28512,0.2871598046057222,0.1450968013468013,0.1716090542200386,22796,acs_c15002h_white_nh_bachelors_plus_direct,0.0,124292.79,,500.0,False,True,False
2014,house,27,4856.0,6996.0,11852.0,-18.05602429969625,True,R,2012_enacted,-58.45004513656634,3,-58.01023236737412,2,True,complete_core_expanded,40.39402083687008,39.95420806767786,0,,,,,False,False,True,open,431.1447200867542,1721.5214528638148,2152.666172950569,-59.9431880795709,0.2006154037677333,True,,,,,,,,,,,,,,,2014,"State House District 27 (2014), Alabama",45863,32211,0.0683775592525565,0.1845642792834746,0.1858523436986391,30422,acs_c15002h_white_nh_bachelors_plus_direct,40150.4,331338.36,-2.099639306844352,500.0,True,True,True
2014,house,28,6827.0,3704.0,10531.0,29.65530338999145,True,D,2012_enacted,-0.4682397775492834,3,1.5465474004387298,2,True,complete_core_expanded,30.12354316754073,28.108755989552723,1,Craig Ford,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,8091.542362675133,10795.04576994391,18886.588132619043,-14.314408660183329,0.2570296462500597,True,,,,,,,,,,,,,,,2014,"State House District 28 (2014), Alabama",46218,31418,0.365463672162361,0.1386148067986504,0.152438739789965,21425,acs_c15002h_white_nh_bachelors_plus_direct,0.0,51168.63,,500.0,False,True,False
2014,house,29,4476.0,8785.0,13261.0,-32.493778749717215,True,R,2012_enacted,-44.15493261963224,3,-42.06316276857257,2,True,complete_core_expanded,11.661153869915026,9.569384018855352,1,Becky Nordgren,R,prior_winner_match,1.0,False,True,False,incumbent_running,3280.987201476196,11995.378670440216,15276.365871916412,-57.044925095596746,0.2496197732996556,True,,,,,,,,,,,,,,,2014,"State House District 29 (2014), Alabama",46767,31846,0.1247246990399213,0.1269233184701375,0.1302382194400973,28755,acs_c15002h_white_nh_bachelors_plus_direct,42398.27,134472.65,-1.1462406665406693,500.0,True,True,True
2014,house,30,0.0,9360.0,9360.0,-100.0,False,R,2012_enacted,-53.15275168608736,3,-50.7642513666728,2,True,complete_core_expanded,-46.84724831391264,-49.235748633327205,0,,,,,False,False,True,open,3899.396711037054,18270.164089739497,22169.56080077655,-64.82206620078404,0.2672538572683889,True,,,,,,,,,,,,,,,2014,"State House District 30 (2014), Alabama",44645,30898,0.0944786650240788,0.1684575053401514,0.1652115513767629,28291,acs_c15002h_white_nh_bachelors_plus_direct,0.0,251503.11,,500.0,False,True,False
