cycle,chamber,district,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,map_vintage
2014,house,83,22.680009812253317,3,24.108862167780963,2,True,complete_core_expanded,2012_enacted
2014,house,84,23.984198332325235,3,26.276368921523147,2,True,complete_core_expanded,2012_enacted
2014,house,85,-14.333158997049267,3,-9.353869850866783,2,True,complete_core_expanded,2012_enacted
2014,house,86,-39.363607332637606,3,-32.24434962611717,2,True,complete_core_expanded,2012_enacted
2014,house,87,-58.94973306936614,3,-53.7766858285501,2,True,complete_core_expanded,2012_enacted
2014,house,88,-40.879630739451926,3,-37.57405743524071,2,True,complete_core_expanded,2012_enacted
2014,house,89,-20.446429487221433,3,-14.699813401348315,2,True,complete_core_expanded,2012_enacted
2014,house,90,-17.30276762789403,3,-13.676221242439379,2,True,complete_core_expanded,2012_enacted
2014,house,91,-50.34795569034848,3,-46.1550239401234,2,True,complete_core_expanded,2012_enacted
2014,house,92,-50.369662816168216,3,-46.824952165564135,2,True,complete_core_expanded,2012_enacted
2014,house,93,-44.0799146816049,3,-38.91844164770562,2,True,complete_core_expanded,2012_enacted
2014,house,94,-61.7303679753968,3,-59.682441819486776,2,True,complete_core_expanded,2012_enacted
2014,house,95,-64.17624595087882,3,-62.33412737130611,2,True,complete_core_expanded,2012_enacted
2014,house,96,-55.47007238416455,3,-53.63694882825129,2,True,complete_core_expanded,2012_enacted
2014,house,97,33.936171401599175,3,34.751206665648496,2,True,complete_core_expanded,2012_enacted
2014,house,98,26.388611388643856,3,26.42018849416757,2,True,complete_core_expanded,2012_enacted
2014,house,99,33.60918172352067,3,33.919306807841195,2,True,complete_core_expanded,2012_enacted
2014,house,100,-54.04390302158083,3,-52.61070369812286,2,True,complete_core_expanded,2012_enacted
2014,house,101,-42.29276950084968,3,-40.6394011324834,2,True,complete_core_expanded,2012_enacted
2014,house,102,-56.382632219416884,3,-55.31308364615295,2,True,complete_core_expanded,2012_enacted
2014,house,103,38.161763205757545,3,38.50455548863243,2,True,complete_core_expanded,2012_enacted
2014,house,104,-46.64158388126929,3,-44.808344402597186,2,True,complete_core_expanded,2012_enacted
2014,house,105,-54.31905399067938,3,-52.759302178005846,2,True,complete_core_expanded,2012_enacted
2014,senate,1,-35.258612293900306,3,-35.78429460971368,2,True,complete_core_expanded,2012_enacted
2014,senate,2,-36.47476640007212,3,-36.72853078122108,2,True,complete_core_expanded,2012_enacted
2014,senate,3,-43.98975145283641,3,-44.81644439259604,2,True,complete_core_expanded,2012_enacted
2014,senate,4,-45.13582810285391,3,-52.40694278609132,2,True,complete_core_expanded,2012_enacted
2014,senate,5,-49.17169864994701,3,-49.176090639036616,2,True,complete_core_expanded,2012_enacted
2014,senate,6,-18.02169008521737,3,-18.226109734468075,2,True,complete_core_expanded,2012_enacted
2014,senate,7,-28.209299060096352,3,-27.968991344138562,2,True,complete_core_expanded,2012_enacted
2014,senate,8,-47.01225055419258,3,-45.62749643759446,2,True,complete_core_expanded,2012_enacted
2014,senate,9,-59.59502526942356,3,-58.60899799670035,2,True,complete_core_expanded,2012_enacted
2014,senate,10,-33.14896537583818,3,-30.955807727633264,2,True,complete_core_expanded,2012_enacted
2014,senate,11,-51.42432941243275,3,-49.64721420849453,2,True,complete_core_expanded,2012_enacted
2014,senate,12,-31.609439358351093,3,-28.82259949766824,2,True,complete_core_expanded,2012_enacted
2014,senate,13,-32.0897180785552,3,-29.833548709186466,2,True,complete_core_expanded,2012_enacted
2014,senate,14,-48.430678688972726,3,-46.327884230964735,2,True,complete_core_expanded,2012_enacted
2014,senate,15,-49.109984881147994,3,-47.77626135377052,2,True,complete_core_expanded,2012_enacted
2014,senate,16,-53.60763967264811,3,-52.24703686804395,2,True,complete_core_expanded,2012_enacted
2014,senate,17,-63.476603790351284,3,-62.00786327824028,2,True,complete_core_expanded,2012_enacted
2014,senate,18,46.434738884463,3,46.899857007363245,2,True,complete_core_expanded,2012_enacted
