specification,train_start,test_cycle,scope,train_races,test_races,mae,rmse,r2
core_ftm_fundraising,2010,2018,senate,37,15,20.67444851535181,24.58686105718061,0.15601328970785822
core_transaction_expenditures,2010,2018,senate,37,15,17.23421920874196,20.839416955994874,0.3936818591185669
direct_prior_presidential,2014,2018,all,58,64,13.106621690402946,19.230200471124718,0.4327116834059216
chamber_uniform_offset,2014,2018,all,58,64,20.244752565336256,26.439408316542256,-0.07235771272634528
presidential_only,2014,2018,all,58,64,24.600566046744653,28.631729520806626,-0.2575677204798674
presidential_incumbency,2014,2018,all,58,64,17.630442405401304,22.31844515745247,0.23587556586891123
core_nonfinance,2014,2018,all,58,64,21.913850309742394,25.30857673079611,0.017411535940926592
core_ftm_fundraising,2014,2018,all,58,64,20.07118577181786,23.088629755542396,0.18222743799221108
core_transaction_expenditures,2014,2018,all,58,64,23.78645601050261,27.60127136310645,-0.1686767110632057
direct_prior_presidential,2014,2018,house,42,49,13.46650558445076,19.89230260421946,0.36290261868465656
chamber_uniform_offset,2014,2018,house,42,49,22.846710591039937,28.793665995352836,-0.33484128627144316
presidential_only,2014,2018,house,42,49,28.995173926808324,31.569849409628382,-0.6046514993556238
presidential_incumbency,2014,2018,house,42,49,21.250103406413427,25.01394722069746,-0.007395865197409757
core_nonfinance,2014,2018,house,42,49,24.99595374130558,28.35138976169226,-0.29414938622490694
core_ftm_fundraising,2014,2018,house,42,49,19.727209710085205,23.147013146780697,0.1373678853792215
core_transaction_expenditures,2014,2018,house,42,49,25.432676442958023,30.07570673314149,-0.45635546035867147
direct_prior_presidential,2014,2018,senate,16,15,11.93100096984676,16.887387025476187,0.6018430073259422
chamber_uniform_offset,2014,2018,senate,16,15,11.745023014704238,16.561044864583163,0.617082776226084
presidential_only,2014,2018,senate,16,15,16.11500398790345,25.153326756209236,0.11667545308773242
presidential_incumbency,2014,2018,senate,16,15,16.115003987903446,25.153326756209236,0.11667545308773242
core_nonfinance,2014,2018,senate,16,15,14.674866552231713,18.210339359215062,0.5370165013105632
core_ftm_fundraising,2014,2018,senate,16,15,15.33464515548269,18.068786865143828,0.5441862474458526
core_transaction_expenditures,2014,2018,senate,16,15,15.383706772267798,18.279565388394214,0.5334897764039193
direct_prior_presidential,2010,2022,all,185,33,12.03204312936364,15.203641909690255,0.8030749641171326
chamber_uniform_offset,2010,2022,all,185,33,17.770115984434657,20.513975867062296,0.6414866356742076
presidential_only,2010,2022,all,185,33,19.288594188147457,21.40319319062424,0.6097321174441013
presidential_incumbency,2010,2022,all,185,33,18.695449505584932,21.874532552639174,0.592353956740375
core_nonfinance,2010,2022,all,185,33,18.99752606710299,23.213555820060225,0.5409193273145815
core_ftm_fundraising,2010,2022,all,185,33,18.7618648636959,22.986899397722436,0.5498404590617054
core_transaction_expenditures,2010,2022,all,185,33,18.709069147920015,23.32434016198392,0.5365270394461827
direct_prior_presidential,2010,2022,house,133,25,12.197665527274362,16.075104262672216,0.7919215091069933
chamber_uniform_offset,2010,2022,house,133,25,18.9211437835715,22.054052005068048,0.6083515778136368
presidential_only,2010,2022,house,133,25,20.547265510405943,22.40842933502146,0.5956639853538264
presidential_incumbency,2010,2022,house,133,25,20.604684902638816,24.106420543719693,0.5320655174418621
core_nonfinance,2010,2022,house,133,25,21.98165757743305,26.036300827398748,0.4541439172966475
core_ftm_fundraising,2010,2022,house,133,25,22.236776684159903,26.479984252940156,0.43538158622411693
core_transaction_expenditures,2010,2022,house,133,25,20.97641570336531,25.481005930331655,0.4771793527185124
direct_prior_presidential,2010,2022,senate,52,8,11.514473135892626,12.081750572156364,0.8393147692267382
chamber_uniform_offset,2010,2022,senate,52,8,14.173154112132021,14.695388510513753,0.7622730741170157
presidential_only,2010,2022,senate,52,8,16.082187933190887,17.65502760496068,0.6568744706445641
presidential_incumbency,2010,2022,senate,52,8,15.938575687194213,18.086730073779602,0.6398890358570493
core_nonfinance,2010,2022,senate,52,8,12.422670021454607,15.880532800541687,0.7223828009480333
core_ftm_fundraising,2010,2022,senate,52,8,9.97751792425418,12.436761553458021,0.8297328583093126
core_transaction_expenditures,2010,2022,senate,52,8,13.922020896926476,16.873305875580147,0.6865873015592057
direct_prior_presidential,2014,2022,all,122,33,12.03204312936364,15.203641909690255,0.8030749641171326
chamber_uniform_offset,2014,2022,all,122,33,17.770115984434657,20.513975867062296,0.6414866356742076
presidential_only,2014,2022,all,122,33,24.801873840797064,28.305577468842674,0.31742605280602465
presidential_incumbency,2014,2022,all,122,33,19.831260890753637,23.178517750222724,0.5423041355173461
core_nonfinance,2014,2022,all,122,33,16.663126992659212,20.927483229886768,0.6268876072606391
core_ftm_fundraising,2014,2022,all,122,33,15.274013691267182,19.85167309978033,0.6642624638493648
core_transaction_expenditures,2014,2022,all,122,33,16.118469200040682,20.705228565778523,0.6347706022891375
direct_prior_presidential,2014,2022,house,91,25,12.197665527274362,16.075104262672216,0.7919215091069933
chamber_uniform_offset,2014,2022,house,91,25,18.9211437835715,22.054052005068048,0.6083515778136368
presidential_only,2014,2022,house,91,25,30.019589501382253,33.86504560662959,0.07652972192723861
presidential_incumbency,2014,2022,house,91,25,25.41709987835684,28.864802482016366,0.32910157452013533
core_nonfinance,2014,2022,house,91,25,35.93438129058202,38.692765285542336,-0.20553307550943312
core_ftm_fundraising,2014,2022,house,91,25,38.52953887933457,41.35490137764842,-0.3771256629773616
core_transaction_expenditures,2014,2022,house,91,25,22.08423619250888,26.804315467562255,0.4214658046410138
direct_prior_presidential,2014,2022,senate,31,8,11.514473135892626,12.081750572156364,0.8393147692267382
chamber_uniform_offset,2014,2022,senate,31,8,14.173154112132021,14.695388510513753,0.7622730741170157
presidential_only,2014,2022,senate,31,8,18.56262062750218,22.09017487048236,0.46282655217453383
presidential_incumbency,2014,2022,senate,31,8,14.832635059118957,17.313068535097894,0.6700376968492211
core_nonfinance,2014,2022,senate,31,8,11.432096222424867,15.288489370261244,0.7426966852234632
core_ftm_fundraising,2014,2022,senate,31,8,12.734489615425312,16.646207796054625,0.6949669809053802
core_transaction_expenditures,2014,2022,senate,31,8,12.238230612922521,16.000278202337217,0.7181803327447136
direct_prior_presidential,2018,2022,all,64,33,12.03204312936364,15.203641909690255,0.8030749641171326
chamber_uniform_offset,2018,2022,all,64,33,13.80205754117953,16.77946036782002,0.7601378907577083
presidential_only,2018,2022,all,64,33,16.34626182726289,18.27433325713453,0.7154957553777653
presidential_incumbency,2018,2022,all,64,33,15.105373976300132,17.91588108148432,0.7265474288495859
core_nonfinance,2018,2022,all,64,33,12.92179913813924,14.835623069565422,0.8124931015402379
core_ftm_fundraising,2018,2022,all,64,33,11.259711627509382,13.33659868817551,0.8484709728408538
core_transaction_expenditures,2018,2022,all,64,33,12.471078510710978,14.328825038980389,0.825085090958054
direct_prior_presidential,2018,2022,house,49,25,12.197665527274362,16.075104262672216,0.7919215091069933
chamber_uniform_offset,2018,2022,house,49,25,13.013861981167446,16.711221660182215,0.7751276843168542
presidential_only,2018,2022,house,49,25,17.24675332766017,19.241531578876227,0.7018746760488616
presidential_incumbency,2018,2022,house,49,25,16.152531449964656,19.228653903305638,0.7022735919540929
core_nonfinance,2018,2022,house,49,25,12.620147849501477,15.255557318206177,0.8125973410557326
core_ftm_fundraising,2018,2022,house,49,25,11.431483211003602,14.169281129673694,0.8383352902627278
core_transaction_expenditures,2018,2022,house,49,25,13.408844910847678,16.15643003954352,0.7898107980135262
direct_prior_presidential,2018,2022,senate,15,8,11.514473135892626,12.081750572156364,0.8393147692267382
chamber_uniform_offset,2018,2022,senate,15,8,16.26516866621729,16.990940024647806,0.6822020849110497
presidential_only,2018,2022,senate,15,8,16.096798693171642,16.800229534969954,0.6892961314744952
presidential_incumbency,2018,2022,senate,15,8,14.622527093818007,16.181368045619255,0.7117650089738714
core_nonfinance,2018,2022,senate,15,8,12.105837633153648,14.18387686706329,0.7785344727177923
core_ftm_fundraising,2018,2022,senate,15,8,13.011583621718119,14.816413224953227,0.7583413229799311
core_transaction_expenditures,2018,2022,senate,15,8,12.954313646252722,14.994344902815701,0.7525022685336193
