cycle,chamber,district,party,candidate,surname,search_results,committee_match_status,name_score,office_compatible,district_compatible,fcpa_record_id,committee_id,fcpa_candidate_name,fcpa_party,fcpa_office,fcpa_jurisdiction,fcpa_place,committee_status,registered_date,search_url,retrieved_at_utc
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,73.88888888888889,False,False,2992.0,27867,DON WALLACE,Republican,State Board of Education,DISTRICT 4,,Dissolved,02/20/2018,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,85.5,False,False,4943.0,29818,DONALD GRAHAM WALLACE,Republican,County Commissioner,HALE COUNTY,,Active,01/19/2022,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,75.86206896551724,True,True,505.0,25379,GERALD C WALLACE,Republican,State Representative,HOUSE DISTRICT 18,,Dissolved,10/24/2013,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,85.5,False,False,5145.0,30020,ODESSA NICHOLSON WALLACE,Democratic,County Board of Education,CONECUH COUNTY,,Active,01/31/2022,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,85.5,False,False,5370.0,30245,PATRICK CHRISTOPHER WALLACE,Libertarian,State Board of Education,DISTRICT 8,,Dissolved,05/24/2022,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,74.07407407407408,False,False,7000.0,31875,RICKEY WALLACE,,City Council,DISTRICT 5,,Active,06/11/2025,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,18,R,Gerry Wallace,WALLACE,17,surname_result_not_candidate,85.5,False,False,990.0,25864,STEPHEN COCHRAN WALLACE,Democratic,Circuit Court Judge,10TH JUDICIAL CIRCUIT,,Active,01/29/2021,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,20,R,Howard Sanderford,SANDERFORD,1,strong_name_office_district,95.0,True,True,52.0,24925,JAMES HOWARD SANDERFORD,Republican,State Representative,HOUSE DISTRICT 20,,Dissolved,06/06/2013,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22SANDERFORD%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,27,D,Jeff McLaughlin,MCLAUGHLIN,4,surname_result_not_candidate,81.08108108108108,False,False,8988.0,33863,Jeffrey Rex McLaughlin,Democratic,Attorney General,,,Active,01/23/2026,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22MCLAUGHLIN%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
2014,house,27,D,Jeff McLaughlin,MCLAUGHLIN,4,surname_result_not_candidate,81.08108108108108,True,True,794.0,25668,JEFFREY REX MCLAUGHLIN,Democratic,State Representative,HOUSE DISTRICT 27,,Active,02/12/2014,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22MCLAUGHLIN%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-16T16:55:35.947597+00:00
