state,year,chamber,district,party,candidate,candidate_actual_margin,candidate_expected_margin,candidate_quality_residual,model,fold_type,fold,baseline_allocation_quality,incumbency_balance
AL,2010,senate,1,D,"irons, tammy l",11.852137824534312,-14.810807767010898,26.66294559154521,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,1,R,"freeman, jerry",-11.852137824534312,14.810807767010898,-26.66294559154521,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,2,D,"butler, tom",-17.80431295669221,-11.838977112143361,-5.96533584454885,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,2,R,"holtzclaw, bill",17.80431295669221,11.838977112143361,5.96533584454885,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,4,D,"little, zeb",-15.529602741579112,-16.53071710838968,1.0011143668105689,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,4,R,"bussman, paul",15.529602741579112,16.53071710838968,-1.0011143668105689,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,5,D,"wadsworth, brett",-46.566622186248985,-30.437842898738943,-16.128779287510042,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,5,R,"reed, greg j",46.566622186248985,30.437842898738943,16.128779287510042,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,6,D,"bedford, roger, jr",6.823636987084238,-11.076113030196943,17.899750017281182,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,6,R,"bonner, jim",-6.823636987084238,11.076113030196943,-17.899750017281182,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,7,D,"enfinger, jeff",-9.780724562315823,-9.47492187216611,-0.3058026901497133,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,7,R,"sanford, paul l",9.780724562315823,9.47492187216611,0.3058026901497133,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,8,D,"barron, lowell",-1.445136512469534,-11.971175246952832,10.526038734483299,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,8,R,"mcgill, shadrack",1.445136512469534,11.971175246952832,-10.526038734483299,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,9,D,"mitchell, tim",-37.75325574642036,-38.557041197093824,0.8037854506734661,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,9,R,"scofield, clay",37.75325574642036,38.557041197093824,-0.8037854506734661,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,10,D,"means, larry",-7.398960432799406,-8.588606754278054,1.189646321478648,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,10,R,"williams, phil 2",7.398960432799406,8.588606754278054,-1.189646321478648,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,13,D,"varner, greg",-0.9585693955911178,-20.156580622590795,19.19801122699968,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,13,R,"dial, gerald",0.9585693955911178,20.156580622590795,-19.19801122699968,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,17,D,"hudson, t e (tommy)",-62.41675392670157,-54.614097946454976,-7.802655980246591,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,senate,17,R,"beason, scott",62.41675392670157,54.614097946454976,7.802655980246591,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,senate,22,D,"keahy, marc",10.835345675699848,-20.973544457626193,31.80889013332604,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,22,R,"joyner, danny b 1",-10.835345675699848,20.973544457626193,-31.80889013332604,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,25,D,"smith, doug (smitty)",-45.917066586682665,-26.818740808450542,-19.098325778232123,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,25,R,"brewbaker, dick l",45.917066586682665,26.818740808450542,19.098325778232123,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,senate,33,D,"davisfigures, vivian d 1",46.8161718256475,41.67753131669913,5.13864050894837,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,33,R,"moser, brad",-46.8161718256475,-41.67753131669913,-5.13864050894837,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,senate,35,D,"buzbee, scott a",-18.262273901808783,-24.455647582758814,6.193373680950032,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,senate,35,R,"brooks, ben",18.262273901808783,24.455647582758814,-6.193373680950032,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
FL,2010,house,3,D,"browncurry, claudia",-20.584976733879905,-31.590682706431224,11.005705972551318,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,3,R,"ford, clay v (clay)",20.584976733879905,31.590682706431224,-11.005705972551318,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,6,D,"mcdonald, john 2",-56.26360159732933,-55.60905810982036,-0.6545434875089668,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,6,R,"patronis, jimmy t, jr",56.26360159732933,55.60905810982036,0.6545434875089668,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,7,D,"pleat, david b",-48.57142857142857,-55.37833474400926,6.806906172580689,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,7,R,"coley, marti",48.57142857142857,55.37833474400926,-6.806906172580689,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,9,D,"rehwinkelvasilinda, michelle r",17.300656068634872,-8.485162915146667,25.78581898378154,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,9,R,"headleyperdue, kirk",-17.300656068634872,8.485162915146667,-25.78581898378154,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,10,D,"bembry, leonard l",18.9728083437411,-8.139747603685336,27.112555947426436,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,10,R,"feigin, david a",-18.9728083437411,8.139747603685336,-27.112555947426436,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,11,D,"boyd, debbie",-14.532764637456378,-21.574475259887002,7.0417106224306245,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,11,R,"porter, elizabeth w",14.532764637456378,21.574475259887002,-7.0417106224306245,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,15,D,"fullwood, reggie",33.4793597304128,22.90536281247261,10.573996917940192,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,15,R,"smith, randy 2",-33.4793597304128,-22.90536281247261,-10.573996917940192,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,18,D,"collins, tom",-47.27298334565684,-55.77570710518226,8.502723759525423,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,18,R,"renuart, ronald (doc)",47.27298334565684,55.77570710518226,-8.502723759525423,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,20,D,"courtney, doug",-31.560016244126007,-45.803677004929625,14.243660760803618,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,20,R,"proctor, william l (bill)",31.560016244126007,45.803677004929625,-14.243660760803618,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,22,D,"paugh, jon",-21.38970418494212,-24.486007186869053,3.096303001926934,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,22,R,"perry, warren k (keith)",21.38970418494212,24.486007186869053,-3.096303001926934,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,24,D,"hageloh, michael",-28.86289497558245,-29.75991133357021,0.8970163579877592,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,24,R,"baxley, dennis k",28.86289497558245,29.75991133357021,-0.8970163579877592,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,25,D,"wood, frank l",-27.601645911505067,-29.182390391443953,1.5807444799388861,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,25,R,"metz, larry",27.601645911505067,29.182390391443953,-1.5807444799388861,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,26,D,"huth, tim",-20.955850006158823,-28.860980728615345,7.905130722456523,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,26,R,"costello, fred",20.955850006158823,28.860980728615345,-7.905130722456523,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,30,D,"tidd, amy c",-22.534141414141413,-44.9721370411105,22.437995626969087,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,30,R,"workman, ritch",22.534141414141413,44.9721370411105,-22.437995626969087,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
