chamber,district,pres_2024_dem_votes,pres_2024_rep_votes,pres_2024_two_party_votes,pres_2024_dem_margin,pres_2024_fallback_share,pres_2024_source_complete,cycle_x,pres_2020_dem_margin,nonwhite_share,white_college_share,dem_incumbent_i,rep_incumbent_i,cycle_y,dem_candidate_spending,I_x,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,I_y,rep_finance_matched,finance_complete,baseline_2024_pres_dem_margin,poll_adjusted_dem_margin,polling_baseline_status,cycle,prior_pres_dem_margin,prior_pres_swing,pres_trend_available,predicted_dem_margin,margin_80_low,margin_80_high,margin_95_low,margin_95_high,predicted_winner,model_status
house,82,9978.296337769889,5231.284875776908,15209.581213546797,31.21066514155521,0.0,True,2026,36.782322258556775,0.5921728550829128,0.4768128691717984,1,0,2026,112798.68,0.0,0.0,,500.0,True,False,False,False,31.21066514155521,34.34460500605118,catalist_yougov_demographic_transfer_selected,2026,34.34460500605118,-5.571657117001564,1,33.181504529385776,-3.856636510131935,70.21964556890349,-23.92931823069494,90.2923272894665,D,experimental_not_release_calibrated
house,85,6629.613408460527,11384.382426872446,18013.99583533297,-26.394860206894407,0.0,True,2026,-23.591728669364024,0.5001076658053403,0.2441696312609407,0,1,2026,2050.46,0.0,0.0,1.6294209156184345,500.0,True,False,True,True,-26.394860206894407,-23.898475155162654,catalist_yougov_demographic_transfer_selected,2026,-23.898475155162654,-2.8031315375303834,1,-10.98596679590651,-48.02410783542422,26.0521742436112,-68.09678955598723,46.1248559641742,R,experimental_not_release_calibrated
house,96,7094.92242309616,18927.43771581159,26022.36013890775,-45.47056927024792,0.0,True,2026,-47.9517126166028,0.23168130489335,0.4453841289914638,0,0,2026,0.0,0.0,64953.42,,500.0,False,False,True,False,-45.47056927024792,-40.27451981003728,catalist_yougov_demographic_transfer_selected,2026,-40.27451981003728,2.4811433463548767,1,-34.97494246974049,-72.0130835092582,2.063198569777221,-92.0857652298212,22.135880290340225,R,experimental_not_release_calibrated
house,99,12314.400089438856,6847.52145111973,19161.921540558586,28.52990827014817,0.0,True,2026,6.908902583091974,0.6470653772449753,0.2957025920873124,1,0,2026,77999.63,0.0,0.0,,500.0,True,False,False,False,28.52990827014817,30.74424359703037,catalist_yougov_demographic_transfer_selected,2026,30.74424359703037,21.621005687056197,1,37.339445383555066,0.30130434403735507,74.37758642307278,-19.77137737652565,94.45026814363578,D,experimental_not_release_calibrated
house,101,6561.627073544088,12036.400893861775,18598.027967405866,-29.43738889904108,0.0,True,2026,-23.71857670672285,0.3499728088461887,0.4559117722492947,0,1,2026,3641.0,0.0,107100.08,-3.257484086658401,500.0,True,False,True,True,-29.43738889904108,-24.660245235040165,catalist_yougov_demographic_transfer_selected,2026,-24.660245235040165,-5.718812192318229,1,-27.4457951444517,-64.4839361839694,9.59234589506601,-84.55661790453242,29.665027615629015,R,experimental_not_release_calibrated
senate,2,36944.48499556213,37240.5032227858,74184.98821834792,-0.3990271270953039,0.0,True,2026,-1.8302212510198617,0.4117975268273061,0.5400624834853972,0,0,2026,4138.48,0.0,26199.1,-1.7502431306097277,500.0,True,False,True,True,-0.3990271270953039,4.623382380144506,catalist_yougov_demographic_transfer_selected,2026,4.623382380144506,1.4311941239245578,1,-8.545248855852009,-45.58338989536972,28.492892183665703,-65.65607161593272,48.56557390422871,R,experimental_not_release_calibrated
senate,3,20244.883384263023,47808.76782812434,68053.65121238737,-40.50316765200108,0.0,True,2026,-44.27862048620313,0.2906789061514038,0.3142739348338637,0,1,2026,5394.110000000001,0.0,10374.13,-0.61243302658606,500.0,True,False,True,True,-40.50316765200108,-36.67505341879768,catalist_yougov_demographic_transfer_selected,2026,-36.67505341879768,3.7754528342020492,1,-37.869343626489766,-74.90748466600748,-0.8312025869720543,-94.98016638657049,19.24147913359095,R,experimental_not_release_calibrated
senate,6,14878.91079885974,50133.55741170966,65012.4682105694,-54.22751601840953,0.0,True,2026,-48.64837817523416,0.250781148510519,0.1836048649056983,0,1,2026,1474.18,0.0,13281.73,-1.943190679708057,500.0,True,False,True,True,-54.22751601840953,-51.356809991868005,catalist_yougov_demographic_transfer_selected,2026,-51.356809991868005,-5.579137843175374,1,-44.61960812088719,-81.6577491604049,-7.581467081369482,-100.0,12.491214639193522,R,experimental_not_release_calibrated
senate,7,32247.539018783707,41199.82709482337,73447.36611360707,-12.188712202684604,0.0,True,2026,-11.944511146863166,0.3598314101753147,0.4856823790550508,0,1,2026,7174.19,0.0,8895.32,-0.2023489425114387,500.0,True,False,True,True,-12.188712202684604,-7.334049762811001,catalist_yougov_demographic_transfer_selected,2026,-7.334049762811001,-0.24420105582143847,1,-24.941794158468515,-61.97993519798622,12.096346881049197,-82.05261691854923,32.1690286016122,R,experimental_not_release_calibrated
senate,8,15988.676623203748,54831.13384992866,70819.81047313241,-54.8468810735676,0.0,True,2026,-53.71361829401295,0.1866039261818983,0.2198635675158582,0,1,2026,0.0,0.0,30845.56,-4.138219810814595,500.0,True,False,True,True,-54.8468810735676,-51.49948843139312,catalist_yougov_demographic_transfer_selected,2026,-51.49948843139312,-1.1332627795546486,1,-51.98485983539577,-89.02300087491348,-14.946718795878056,-100.0,5.1259629246849485,R,experimental_not_release_calibrated
senate,11,16024.670918231692,48912.111711591744,64936.78262982344,-50.64531912650671,0.0,True,2026,-48.295182280583376,0.2594775673516518,0.2013790509622014,0,1,2026,2900.73,0.0,39916.99,-2.475260126659024,500.0,True,False,True,True,-50.64531912650671,-47.84658534024272,catalist_yougov_demographic_transfer_selected,2026,-47.84658534024272,-2.3501368459233376,1,-43.173766978794845,-80.21190801831256,-6.1356259392771335,-100.0,13.93705578128587,R,experimental_not_release_calibrated
senate,13,17529.9071361809,51009.7732118581,68539.68034803901,-48.84742080159861,0.0,True,2026,-37.90003658082117,0.2976655884317967,0.2045646884586903,0,1,2026,2488.98,0.0,330979.88,-4.708634921889641,500.0,True,False,True,True,-48.84742080159861,-46.04139896393065,catalist_yougov_demographic_transfer_selected,2026,-46.04139896393065,-10.947384220777437,1,-38.23611133602478,-75.27425237554249,-1.1979702965070658,-95.34693409610549,18.87471142405594,R,experimental_not_release_calibrated
senate,14,17776.29837136958,46140.48175007669,63916.78012144627,-44.37674007484922,0.0,True,2026,-50.63784467051159,0.2660893094967973,0.3214746569355219,0,1,2026,0.0,0.0,20163.32,-3.72150732834009,500.0,True,False,True,True,-44.37674007484922,-40.31197896324427,catalist_yougov_demographic_transfer_selected,2026,-40.31197896324427,6.261104595662374,1,-41.28802871235017,-78.32616975186788,-4.2498876728324575,-98.39885147243089,15.822794047730547,R,experimental_not_release_calibrated
senate,16,25830.356689245127,43587.45016760199,69417.80685684712,-25.580026627714428,0.0,True,2026,-14.138714815535218,0.2817393716623899,0.6510971786833856,0,1,2026,1427.17,0.0,0.0,1.349199786132153,500.0,True,False,True,True,-25.580026627714428,-19.100970173139345,catalist_yougov_demographic_transfer_selected,2026,-19.100970173139345,-11.44131181217921,1,-34.73540721357635,-71.77354825309406,2.3027338259413597,-91.84622997365707,22.375415546504364,R,experimental_not_release_calibrated
senate,22,12312.254738409742,49914.07691071212,62226.33164912186,-60.42750902355822,0.0,True,2026,-47.457124876825056,0.2735078503809743,0.1894818780214678,0,0,2026,2270.5,0.0,76134.44,-3.320018774732819,500.0,True,False,True,True,-60.42750902355822,-57.730322635442135,catalist_yougov_demographic_transfer_selected,2026,-57.730322635442135,-12.970384146733167,1,-34.12516358240786,-71.16330462192556,2.9129774571098537,-91.23598634248857,22.985659177672858,R,experimental_not_release_calibrated
senate,23,35224.0,31577.0,66801.0,5.459499109294771,0.0,True,2026,12.438459696090694,0.6025704750408294,0.1908584062289724,1,0,2026,59160.42,0.0,0.0,,500.0,True,False,False,False,5.459499109294771,7.202803664104059,catalist_yougov_demographic_transfer_selected,2026,7.202803664104059,-6.978960586795924,1,28.37273753776025,-8.66540350175746,65.41087857727797,-28.738085222320464,85.48356029784097,D,experimental_not_release_calibrated
senate,28,28336.361491004045,26295.752315634465,54632.11380663851,3.735182538592566,0.0,True,2026,7.2179727126866595,0.6129003619476883,0.2098082334302806,1,0,2026,0.0,0.0,2482.41,-1.785878879067751,500.0,True,False,True,True,3.735182538592566,5.705203868288514,catalist_yougov_demographic_transfer_selected,2026,5.705203868288514,-3.4827901740940934,1,29.22814432545467,-7.80999671406304,66.26628536497239,-27.882678434626044,86.33896708553539,D,experimental_not_release_calibrated
senate,29,12605.132998656623,49343.88071770714,61949.01371636377,-59.30481458068155,0.0,True,2026,-54.669171107560345,0.2780465540848927,0.2247146428240771,0,1,2026,0.0,0.0,0.0,,500.0,False,False,True,False,-59.30481458068155,-56.33015441685064,catalist_yougov_demographic_transfer_selected,2026,-56.33015441685064,-4.635643473121206,1,-42.22503944643324,-79.26318048595095,-5.186898406915532,-99.33586220651395,14.885783313647472,R,experimental_not_release_calibrated
senate,32,18520.54656241317,63225.83546008151,81746.38202249468,-54.68778897806938,0.0,True,2026,-52.82160140084546,0.1715252924523262,0.4043846878479061,0,1,2026,1291.86,0.0,606711.73,-5.825623357575823,500.0,True,False,True,True,-54.68778897806938,-49.70475121932219,catalist_yougov_demographic_transfer_selected,2026,-49.70475121932219,-1.8661875772239185,1,-52.91278933301516,-89.95093037253287,-15.87464829349745,-100.0,4.198033427065553,R,experimental_not_release_calibrated
