chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public,cycle,dem_spending,rep_spending,dem_matched,rep_matched,log_gap_10k,log_gap_50k,log_gap_100k,finance_adjustment,combined_specification,total_change_vs_public
house,80,public_80_20_total_ridge,-31.3070828922009,-31.56460879094611,0.0,False,2026,917.04,9583.18,1,1,-0.5843461632365924,-0.15717567787718253,-0.08238510240312755,0.25752589874521137,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2575258987452109
house,82,public_80_20_total_ridge,36.19446790113899,35.01674433891714,0.0,False,2026,112798.68,0.0,1,0,2.5079611734755556,1.1804913399993149,0.7551763684526404,1.1777235622218485,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,1.1777235622218498
house,85,public_80_20_total_ridge,-24.037524666159513,-24.32486910931324,0.0,False,2026,2050.46,0.0,1,1,0.18651774048785819,0.04019062724987989,0.020297210851919774,0.2873444431537263,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.287344443153728
house,96,public_80_20_total_ridge,-41.65648651420897,-41.64407217615401,0.0,False,2026,0.0,64953.42,0,1,-2.0142817609338053,-0.8325039974045763,-0.5004929450271848,-0.012414338054959596,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,-0.012414338054959728
house,99,public_80_20_total_ridge,32.949272860611224,31.823403903944776,0.0,False,2026,77999.63,0.0,1,0,2.1747475169298673,0.9400043678622934,0.5766112856501481,1.1258689566664506,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,1.125868956666448
house,101,public_80_20_total_ridge,-26.440436635464284,-26.52085457872553,0.0,False,2026,3641.0,107100.08,1,1,-2.1499489902692273,-1.074569353447655,-0.6922691502566687,0.0804179432612444,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.08041794326124574
senate,2,public_80_20_total_ridge,1.591393343074213,1.365739626761889,0.0,False,2026,4138.48,26199.1,1,1,-0.940134098417875,-0.34180444316737035,-0.19213926665271508,0.2256537163123239,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.225653716312324
senate,3,public_80_20_total_ridge,-37.45153928323157,-37.71958219015087,0.0,False,2026,5394.110000000001,10374.13,1,1,-0.2802809901010239,-0.08608743151944315,-0.046169024480509746,0.2680429069193015,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2680429069192982
senate,6,public_80_20_total_ridge,-51.08487193893374,-51.33435722894423,0.0,False,2026,1474.18,13281.73,1,1,-0.7075696391187066,-0.20651633917349987,-0.11007351983722011,0.2494852900104894,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.24948529001049025
senate,7,public_80_20_total_ridge,-9.176333158217366,-9.453156895869265,0.0,False,2026,7174.19,8895.32,1,1,-0.09550659693110075,-0.02965905801696142,-0.015931599086041776,0.27682373765189877,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.27682373765189894
senate,8,public_80_20_total_ridge,-51.64235718243669,-51.84573512309653,0.0,False,2026,0.0,30845.56,1,1,-1.4072130320742668,-0.48051766257494355,-0.2688475104291739,0.20337794065983977,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.20337794065984127
senate,11,public_80_20_total_ridge,-47.866891744324164,-48.05910770915243,0.0,False,2026,2900.73,39916.99,1,1,-1.3530775268550999,-0.5304697729948512,-0.3072845811050975,0.1922159648282628,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.19221596482826442
senate,13,public_80_20_total_ridge,-48.17384727779076,-48.03819977698762,0.0,False,2026,2488.98,330979.88,1,1,-3.306976817139798,-1.9821433225307525,-1.4363061262760417,-0.13564750080314797,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,-0.13564750080314525
senate,14,public_80_20_total_ridge,-41.32511715058417,-41.55322693125855,0.0,False,2026,0.0,20163.32,1,1,-1.1040415236629946,-0.33880266192669656,-0.1836816314729341,0.2281097806743811,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.22810978067438015
senate,16,public_80_20_total_ridge,-21.91991564984373,-22.20548101233912,0.0,False,2026,1427.17,0.0,1,1,0.13340876010546263,0.028143626595408328,0.01417081799509372,0.28556536249539005,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2855653624953902
senate,22,public_80_20_total_ridge,-56.796651680524185,-56.92023492844067,0.0,False,2026,2270.5,76134.44,1,1,-1.9487113237661915,-0.8809161638599278,-0.5436263032539382,0.12358324791648544,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.12358324791648556
senate,23,public_80_20_total_ridge,10.486123475646195,9.392740797125253,0.0,False,2026,59160.42,0.0,1,0,1.9338436406770982,0.7807955379677998,0.46474243842113816,1.0933826785209433,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,1.0933826785209426
senate,28,public_80_20_total_ridge,8.0429324583777,7.768603045891093,0.0,False,2026,0.0,2482.41,1,1,-0.22173536027845697,-0.04845506040939058,-0.024520988107634898,0.2743294124866075,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.27432941248660736
senate,29,public_80_20_total_ridge,-56.45905359741715,-56.59198046403853,0.0,False,2026,0.0,0.0,0,1,0.0,0.0,0.0,0.13292686662137695,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.13292686662137498
senate,32,public_80_20_total_ridge,-51.700196924036675,-51.41751877474897,0.0,False,2026,1291.86,606711.73,1,1,-4.000319590253643,-2.549713089952201,-1.9426167931868132,-0.2826781492877013,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,-0.2826781492877046
house,2,public_80_20_total_ridge,-62.481021098194795,-63.44556506213457,0.0,False,2026,2130.07,0.0,1,0,0.19310240076142027,0.04171893614782096,0.02107701100264089,0.9645439639397742,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.964543963939775
house,4,public_80_20_total_ridge,-29.90821260615332,-30.168234192443013,0.0,False,2026,0.0,7658.18,1,1,-0.5686140391133083,-0.14250912194124715,-0.07379102193030607,0.26002158628969296,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.2600215862896924
house,5,public_80_20_total_ridge,-41.9479359094889,-42.22783247880138,0.0,False,2026,1966.32,2513.31,1,1,-0.04469684076366534,-0.010470844844913348,-0.005350081127631662,0.2798965693124851,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.2798965693124842
house,8,public_80_20_total_ridge,-27.006534185936218,-27.045765902606977,0.0,False,2026,0.0,38077.65,0,1,-1.570232319166513,-0.5661958063397082,-0.3226460220828485,0.039231716670757755,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.0392317166707592
house,10,public_80_20_total_ridge,6.313777352755758,5.179921085962886,0.0,False,2026,82963.44,0.0,1,0,2.2296212045883923,0.9780511977871461,0.6041161654735981,1.1338562667928722,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,1.133856266792872
house,15,public_80_20_total_ridge,-13.24260959692122,-13.49899760982322,0.0,False,2026,3556.6600000000003,12890.96,1,1,-0.5238641333087624,-0.16066227427849852,-0.08630349456205647,0.2563880129020011,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.25638801290200064
house,16,public_80_20_total_ridge,-72.7286584341949,-72.98027779212242,0.0,False,2026,1358.78,12324.41,1,1,-0.6756896854821661,-0.1935172576531,-0.10272470269303795,0.2516193579275178,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.2516193579275239
house,19,public_80_20_total_ridge,36.527806645058426,36.191402249555054,0.0,False,2026,20841.49,7.08,1,1,1.1255680189258501,0.348280250604135,0.18923870331475076,0.3364043955033691,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,0.3364043955033722
house,20,public_80_20_total_ridge,-23.290403623490015,-22.96397059610957,0.0,False,2026,0.0,386389.23,0,1,-3.6798115395669573,-2.1665115690328327,-1.5818390021489854,-0.3264330273804457,public_80_20_total_ridge__finance_log100__a100__b0.1__cap4,-0.3264330273804461
