cycle,chamber,district,candidate,candidate_code,party,votes
2014,house,91.0,Barry Moore,Barry Moore,R,7484.0
2014,house,92.0,"Mike Jones, Jr.","Mike Jones, Jr.",R,8081.0
2014,house,93.0,Jennifer Marsden,Jennifer Marsden,D,2773.0
2014,house,93.0,Steve Clouse,Steve Clouse,R,9139.0
2014,house,94.0,T. Joe Faust,T. Joe Faust,R,10738.0
2014,house,95.0,Steve McMillan,Steve McMillan,R,10336.0
2014,house,96.0,Randy Davis,Randy Davis,R,10007.0
2014,house,97.0,Adline C. Clarke,Adline C. Clarke,D,6168.0
2014,house,98.0,"Napoleon Bracy, Jr.","Napoleon Bracy, Jr.",D,6134.0
2014,house,98.0,Wayne E. Biggs,Wayne E. Biggs,R,3276.0
2014,house,99.0,James E. Buskey,James E. Buskey,D,7586.0
2014,house,100.0,Victor Gaston,Victor Gaston,R,7878.0
2014,house,101.0,Chris Pringle,Chris Pringle,R,7382.0
2014,house,102.0,Jack Williams,Jack Williams,R,6688.0
2014,house,103.0,Barbara A. Drummond,Barbara A. Drummond,D,5608.0
2014,house,103.0,Ralph Carmichael,Ralph Carmichael,R,2065.0
2014,house,104.0,Margie Wilcox,Margie Wilcox,R,7745.0
2014,house,105.0,David Sessions,David Sessions,R,6227.0
2014,senate,1.0,Mike Curtis,Mike Curtis,D,13704.0
2014,senate,1.0,Tim Melson,Tim Melson,R,22982.0
2014,senate,2.0,Bill Holtzclaw,Bill Holtzclaw,R,24936.0
2014,senate,3.0,Arthur Orr,Arthur Orr,R,26906.0
2014,senate,4.0,"Angelo ""Doc"" Mancuso","Angelo ""Doc"" Mancuso",D,8875.0
2014,senate,4.0,Paul Bussman,Paul Bussman,R,24750.0
2014,senate,5.0,Greg Reed,Greg Reed,R,29611.0
2014,senate,6.0,"Roger Bedford, Jr.","Roger Bedford, Jr.",D,17574.0
2014,senate,6.0,Larry Stutts,Larry Stutts,R,17641.0
2014,senate,7.0,Bryan Bennett,Bryan Bennett,D,12404.0
2014,senate,7.0,Paul L. Sanford,Paul L. Sanford,R,22873.0
2014,senate,8.0,Horace Clemmons,Horace Clemmons,D,9322.0
2014,senate,8.0,Steve Livingston,Steve Livingston,R,24332.0
2014,senate,9.0,Clay Scofield,Clay Scofield,R,22574.0
2014,senate,10.0,Larry Means,Larry Means,D,16216.0
2014,senate,10.0,Phil Williams,Phil Williams,R,17378.0
2014,senate,11.0,Ron Crumpton,Ron Crumpton,D,6981.0
2014,senate,11.0,Jim McClendon,Jim McClendon,R,24318.0
2014,senate,12.0,Taylor Stewart,Taylor Stewart,D,36062.0
2014,senate,12.0,Del Marsh,Del Marsh,R,47734.0
2014,senate,13.0,Darrell Turner,Darrell Turner,D,10424.0
2014,senate,13.0,Gerald Dial,Gerald Dial,R,16758.0
2014,senate,14.0,Cam Ward,Cam Ward,R,25724.0
2014,senate,15.0,Slade Blackwell,Slade Blackwell,R,29498.0
2014,senate,16.0,Cindy Bell,Cindy Bell,D,8284.0
2014,senate,16.0,"J.T. ""Jabo"" Waggoner","J.T. ""Jabo"" Waggoner",R,28107.0
2014,senate,17.0,Shay Shelnutt,Shay Shelnutt,R,31105.0
2014,senate,18.0,Rodger M. Smitherman,Rodger M. Smitherman,D,23195.0
2014,senate,19.0,Priscilla Dunn,Priscilla Dunn,D,27143.0
2014,senate,20.0,Linda Coleman,Linda Coleman,D,23368.0
2014,senate,21.0,Phil Poole,Phil Poole,D,12161.0
2014,senate,21.0,Gerald Allen,Gerald Allen,R,20179.0
2014,senate,22.0,Susan Smith,Susan Smith,D,11136.0
2014,senate,22.0,Greg Albritton,Greg Albritton,R,23065.0
2014,senate,23.0,Hank Sanders,Hank Sanders,D,29306.0
2014,senate,24.0,Bobby Singleton,Bobby Singleton,D,26859.0
2014,senate,25.0,Dick L. Brewbaker,Dick L. Brewbaker,R,29545.0
2014,senate,26.0,"Quinton T. Ross, Jr.","Quinton T. Ross, Jr.",D,25166.0
2014,senate,27.0,Haylee Moss,Haylee Moss,D,10358.0
2014,senate,27.0,Tom Whatley,Tom Whatley,R,19808.0
2014,senate,28.0,Billy Beasley,Billy Beasley,D,22147.0
2014,senate,28.0,John Savage,John Savage,R,8020.0
2014,senate,29.0,Melinda McClendon,Melinda McClendon,R,16145.0
2014,senate,30.0,"Chambliss, Jr.","Chambliss, Jr.",D,2020.0
2014,senate,30.0,"Clyde Chambliss, Jr.","Clyde Chambliss, Jr.",R,20896.0
2014,senate,31.0,Larry Greenwood,Larry Greenwood,D,8627.0
2014,senate,31.0,Jimmy W. Holley,Jimmy W. Holley,R,23066.0
2014,senate,32.0,Trip Pittman,Trip Pittman,R,27837.0
2014,senate,33.0,Vivian Davis Figures,Vivian Davis Figures,D,23012.0
2014,senate,34.0,Rusty Glover,Rusty Glover,R,22451.0
2014,senate,35.0,Beau Doolittle,Beau Doolittle,D,6862.0
2014,senate,35.0,Bill Hightower,Bill Hightower,R,19173.0
2018,house,1.0,Phillip Pettus,Phillip Pettus,R,7348.0
2018,house,2.0,Lora Kay Morrow,Lora Kay Morrow,D,4798.0
2018,house,2.0,Lynn Greer,Lynn Greer,R,13056.0
2018,house,3.0,Chad Young,Chad Young,D,8540.0
2018,house,3.0,Andrew Sorrell,Andrew Sorrell,R,9448.0
2018,house,4.0,Jo Ann Cummings,Jo Ann Cummings,D,4325.0
2018,house,4.0,Parker Duncan Moore,Parker Duncan Moore,R,11074.0
2018,house,5.0,Brian D Williams,Brian D Williams,D,4725.0
2018,house,5.0,Danny F. Crawford,Danny F. Crawford,R,12395.0
2018,house,6.0,Andy Whitt,Andy Whitt,R,11893.0
2018,house,7.0,Kenneth A. Brackins,Kenneth A. Brackins,D,3592.0
2018,house,7.0,Proncey Robertson,Proncey Robertson,R,10892.0
2018,house,8.0,Billy Jackson,Billy Jackson,D,5469.0
2018,house,8.0,Terri Collins,Terri Collins,R,8803.0
2018,house,9.0,Scott Stadthagen,Scott Stadthagen,R,13297.0
2018,house,10.0,J.B. King,J.B. King,D,8565.0
2018,house,10.0,Mike Ball,Mike Ball,R,11240.0
2018,house,11.0,Randall Shedd,Randall Shedd,R,13098.0
2018,house,12.0,Corey Harbison,Corey Harbison,R,14687.0
2018,house,13.0,Connie Cooner Rowe,Connie Cooner Rowe,R,13755.0
2018,house,14.0,Tim Wadsworth,Tim Wadsworth,R,13394.0
2018,house,15.0,Suzanna Coleman,Suzanna Coleman,D,6951.0
2018,house,15.0,Allen Farley,Allen Farley,R,14212.0
2018,house,16.0,Kyle South,Kyle South,R,14681.0
2018,house,17.0,Tracy Estes,Tracy Estes,R,12158.0
2018,house,18.0,Eddie Britton,Eddie Britton,D,3886.0
2018,house,18.0,Jamie Kiel,Jamie Kiel,R,9845.0
2018,house,19.0,Laura Hall,Laura Hall,D,12675.0
2018,house,20.0,Linda Meigs,Linda Meigs,D,8527.0
2018,house,20.0,Howard Sanderford,Howard Sanderford,R,14589.0
2018,house,21.0,Terry Jones,Terry Jones,D,8391.0
2018,house,21.0,Rex Reynolds,Rex Reynolds,R,13311.0
2018,house,22.0,Ritchie Whorton,Ritchie Whorton,R,13929.0
2018,house,23.0,Tommy Hanes,Tommy Hanes,R,10823.0
2018,house,24.0,Nathaniel Ledbetter,Nathaniel Ledbetter,R,12394.0
2018,house,25.0,Mac McCutcheon,Mac McCutcheon,R,14974.0
2018,house,26.0,Kerry Rich,Kerry Rich,R,8948.0
2018,house,27.0,Bill Jones,Bill Jones,D,2456.0
2018,house,27.0,Wes Kitchens,Wes Kitchens,R,13245.0
2018,house,28.0,Kyle Pierce,Kyle Pierce,D,5731.0
2018,house,28.0,Gil F. Isbell,Gil F. Isbell,R,7091.0
2018,house,29.0,Jared Millican,Jared Millican,D,3032.0
2018,house,29.0,Becky Nordgren,Becky Nordgren,R,11528.0
2018,house,30.0,Jared Vaughn,Jared Vaughn,D,2931.0
2018,house,30.0,B. Craig Lipscomb,B. Craig Lipscomb,R,13779.0
2018,house,31.0,Mike Holmes,Mike Holmes,R,14323.0
2018,house,32.0,Barbara Bigsby Boyd,Barbara Bigsby Boyd,D,7761.0
2018,house,32.0,James Allen Lloyd,James Allen Lloyd,R,4513.0
2018,house,33.0,Scott Brewer,Scott Brewer,D,4928.0
2018,house,33.0,Ron Johnson,Ron Johnson,R,10155.0
2018,house,34.0,David Standridge,David Standridge,R,13331.0
2018,house,35.0,Steve Hurst,Steve Hurst,R,11567.0
2018,house,36.0,Nicki Arnold-Swindle,Nicki Arnold-Swindle,D,4256.0
2018,house,36.0,Randy Wood,Randy Wood,R,11399.0
2018,house,37.0,Charlotte A. Clark-Frieson,Charlotte A. Clark-Frieson,D,4505.0
2018,house,37.0,Bob Fincher,Bob Fincher,R,11153.0
2018,house,38.0,Brian McGee,Brian McGee,D,4944.0
2018,house,38.0,Debbie Hamby Wood,Debbie Hamby Wood,R,11151.0
2018,house,39.0,Ginny Shaver,Ginny Shaver,R,11585.0
2018,house,40.0,Pamela Jean Howard,Pamela Jean Howard,D,3819.0
2018,house,40.0,"Koven ""K.L."" Brown","Koven ""K.L."" Brown",R,11188.0
2018,house,41.0,Emily Anne Marcum,Emily Anne Marcum,D,4610.0
2018,house,41.0,Corley Ellis,Corley Ellis,R,14088.0
2018,house,42.0,"James M. ""Jimmy"" Martin","James M. ""Jimmy"" Martin",R,12412.0
2018,house,43.0,Carin Mayo,Carin Mayo,D,5847.0
2018,house,43.0,Arnold G. Mooney II,Arnold G. Mooney II,R,15035.0
2018,house,44.0,Danny Garrett,Danny Garrett,R,14597.0
2018,house,45.0,Jenn Gray,Jenn Gray,D,7148.0
2018,house,45.0,Dickie Drake,Dickie Drake,R,13669.0
2018,house,46.0,Felicia Stewart,Felicia Stewart,D,8445.0
2018,house,46.0,David Faulkner,David Faulkner,R,13341.0
2018,house,47.0,Jim Toomey,Jim Toomey,D,7721.0
2018,house,47.0,David Wheeler,David Wheeler,R,9170.0
2018,house,48.0,Alli Summerford,Alli Summerford,D,7832.0
2018,house,48.0,Jim Carns,Jim Carns,R,14789.0
2018,house,49.0,April Weaver,April Weaver,R,10794.0
2018,house,50.0,Jim Hill,Jim Hill,R,14412.0
2018,house,51.0,Veronica R. Johnson,Veronica R. Johnson,D,3174.0
2018,house,51.0,Allen Treadaway,Allen Treadaway,R,15390.0
2018,house,52.0,"John W. Rogers, Jr.","John W. Rogers, Jr.",D,13284.0
2018,house,53.0,Anthony Daniels,Anthony Daniels,D,8375.0
2018,house,54.0,Neil Rafferty,Neil Rafferty,D,13287.0
2018,house,55.0,"Roderick ""Rod"" Hampton Scott","Roderick ""Rod"" Hampton Scott",D,13109.0
2018,house,56.0,"Louise ""Lulu"" Alexander","Louise ""Lulu"" Alexander",D,13769.0
2018,house,57.0,Merika Coleman,Merika Coleman,D,12831.0
2018,house,58.0,Rolanda Hollis,Rolanda Hollis,D,12498.0
2018,house,59.0,Mary Moore,Mary Moore,D,12036.0
2018,house,60.0,Juandalynn Givan,Juandalynn Givan,D,14432.0
2018,house,61.0,"Thomas ""Tommy"" Hyche","Thomas ""Tommy"" Hyche",D,6491.0
2018,house,61.0,Rodney Sullivan,Rodney Sullivan,R,12407.0
2018,house,62.0,Will Benton,Will Benton,D,5265.0
2018,house,62.0,Rich Wingo,Rich Wingo,R,11282.0
2018,house,63.0,Bill Poole,Bill Poole,R,10239.0
2018,house,64.0,Amber Selman-Lynn,Amber Selman-Lynn,D,4022.0
2018,house,64.0,Harry Shiver,Harry Shiver,R,13030.0
2018,house,65.0,Elaine Beech,Elaine Beech,D,9010.0
2018,house,65.0,Brett Easterbrook,Brett Easterbrook,R,10095.0
2018,house,66.0,Susan E. Smith,Susan E. Smith,D,4008.0
2018,house,66.0,Alan Baker,Alan Baker,R,10431.0
2018,house,67.0,Prince Chestnut,Prince Chestnut,D,11239.0
2018,house,68.0,"Thomas E. ""Action"" Jackson","Thomas E. ""Action"" Jackson",D,10382.0
2018,house,69.0,Kelvin Jamichael Lawrence,Kelvin Jamichael Lawrence,D,12867.0
2018,house,70.0,Christopher John England,Christopher John England,D,11541.0
2018,house,71.0,"Artis ""A.J."" McCampbell","Artis ""A.J."" McCampbell",D,12400.0
2018,house,72.0,Ralph A. Howard,Ralph A. Howard,D,12811.0
2018,house,73.0,Jack Jacobs,Jack Jacobs,D,5772.0
2018,house,73.0,Matt Fridy,Matt Fridy,R,12913.0
2018,house,74.0,Rayford Mack,Rayford Mack,D,6160.0
2018,house,74.0,Dimitri Polizos,Dimitri Polizos,R,9449.0
2018,house,75.0,Reed Ingram,Reed Ingram,R,13229.0
2018,house,76.0,Thad McClammy,Thad McClammy,D,11681.0
2018,house,77.0,Tashina Morris,Tashina Morris,D,10638.0
2018,house,78.0,Kirk Hatcher,Kirk Hatcher,D,9506.0
2018,house,79.0,Mary Wynne Kling,Mary Wynne Kling,D,7015.0
2018,house,79.0,Joe Lovvorn,Joe Lovvorn,R,9717.0
2018,house,80.0,"Christopher F. ""Apostle"" Davis","Christopher F. ""Apostle"" Davis",D,3407.0
2018,house,80.0,Chris E. Blackshear,Chris E. Blackshear,R,8506.0
2018,house,81.0,"Jeremy ""J.J."" Jeffcoat","Jeremy ""J.J."" Jeffcoat",D,4696.0
2018,house,81.0,Ed Oliver,Ed Oliver,R,12823.0
2018,house,82.0,Pebblin Walker Warren,Pebblin Walker Warren,D,11411.0
2018,house,83.0,"Jeremy ""Mr. Eyg"" Gray","Jeremy ""Mr. Eyg"" Gray",D,8940.0
2018,house,83.0,Michael J Holden II,Michael J Holden II,R,5142.0
2018,house,84.0,Berry Forte,Berry Forte,D,9962.0
2018,house,85.0,Dexter Grimsley,Dexter Grimsley,D,7315.0
2018,house,85.0,J. Ron Wilson,J. Ron Wilson,R,6266.0
2018,house,86.0,Kristy M. Kirkland,Kristy M. Kirkland,D,3238.0
2018,house,86.0,Paul W. Lee,Paul W. Lee,R,11226.0
2018,house,87.0,Jeff Sorrells,Jeff Sorrells,R,13835.0
2018,house,88.0,Cory Creel,Cory Creel,D,4793.0
2018,house,88.0,Will Dismukes,Will Dismukes,R,11500.0
2018,house,89.0,Joel Lee Williams,Joel Lee Williams,D,5348.0
2018,house,89.0,Wes Allen,Wes Allen,R,7804.0
2018,house,90.0,Joanne Whetstone,Joanne Whetstone,D,6051.0
2018,house,90.0,Chris Sells,Chris Sells,R,11063.0
2018,house,91.0,Rhett Marques,Rhett Marques,R,11445.0
2018,house,92.0,"Mike Jones, Jr.","Mike Jones, Jr.",R,11912.0
2018,house,93.0,Steve Clouse,Steve Clouse,R,11974.0
2018,house,94.0,Danielle Mashburn-Myrick,Danielle Mashburn-Myrick,D,6257.0
2018,house,94.0,Joe Faust,Joe Faust,R,15302.0
2018,house,95.0,Steve McMillan,Steve McMillan,R,17008.0
2018,house,96.0,Maurice Horsey,Maurice Horsey,D,5019.0
2018,house,96.0,Matt Simpson,Matt Simpson,R,13699.0
2018,house,97.0,Adline C. Clarke,Adline C. Clarke,D,8740.0
2018,house,97.0,Stephen McNair,Stephen McNair,R,4605.0
2018,house,98.0,"Napoleon Bracy, Jr.","Napoleon Bracy, Jr.",D,9674.0
2018,house,99.0,Sam Jones,Sam Jones,D,11794.0
2018,house,99.0,Charles W. Talbert,Charles W. Talbert,R,4270.0
2018,house,100.0,Victor Gaston,Victor Gaston,R,12086.0
2018,house,101.0,Chris Pringle,Chris Pringle,R,10274.0
2018,house,102.0,Shane Stringer,Shane Stringer,R,11048.0
2018,house,103.0,Barbara Drummond,Barbara Drummond,D,8818.0
2018,house,104.0,Arlene Cunningham Easley,Arlene Cunningham Easley,D,4695.0
2018,house,104.0,Margie Wilcox,Margie Wilcox,R,10152.0
2018,house,105.0,Chip Brown,Chip Brown,R,10176.0
2018,senate,1.0,Caroline Self,Caroline Self,D,15830.0
2018,senate,1.0,Tim Melson,Tim Melson,R,33141.0
2018,senate,2.0,Amy Wasyluka,Amy Wasyluka,D,26911.0
2018,senate,2.0,Tom Butler,Tom Butler,R,31997.0
2018,senate,3.0,Arthur Orr,Arthur Orr,R,37295.0
2018,senate,4.0,Garlan Gudger,Garlan Gudger,R,39817.0
2018,senate,5.0,Greg J. Reed,Greg J. Reed,R,42404.0
2018,senate,6.0,Johnny Mack Morrow,Johnny Mack Morrow,D,21796.0
2018,senate,6.0,Larry Stutts,Larry Stutts,R,22683.0
2018,senate,7.0,Deborah Barros,Deborah Barros,D,24363.0
2018,senate,7.0,Sam Givhan,Sam Givhan,R,30080.0
2018,senate,8.0,Steve Livingston,Steve Livingston,R,37913.0
2018,senate,9.0,Clay Scofield,Clay Scofield,R,35192.0
2018,senate,10.0,Andrew Jones,Andrew Jones,R,25902.0
2018,senate,11.0,Carl Carter,Carl Carter,D,11411.0
2018,senate,11.0,Jim McClendon,Jim McClendon,R,36192.0
2018,senate,12.0,Jim Williams,Jim Williams,D,15010.0
2018,senate,12.0,Del Marsh,Del Marsh,R,27416.0
2018,senate,13.0,Darrell Turner,Darrell Turner,D,12839.0
2018,senate,13.0,Randy Price,Randy Price,R,31614.0
2018,senate,14.0,Jerry McDonald,Jerry McDonald,D,13171.0
2018,senate,14.0,Cam Ward,Cam Ward,R,34953.0
2018,senate,15.0,Dan Roberts,Dan Roberts,R,44792.0
2018,senate,16.0,Lindsey Deckard,Lindsey Deckard,D,21851.0
2018,senate,16.0,"J.T. ""Jabo"" Waggoner","J.T. ""Jabo"" Waggoner",R,37068.0
2018,senate,17.0,Shay Shelnutt,Shay Shelnutt,R,45964.0
2018,senate,18.0,Rodger M. Smitherman,Rodger M. Smitherman,D,39819.0
2018,senate,19.0,Priscilla Dunn,Priscilla Dunn,D,38668.0
2018,senate,20.0,Linda Coleman-Madison,Linda Coleman-Madison,D,36478.0
2018,senate,21.0,Rick Burnham,Rick Burnham,D,16005.0
2018,senate,21.0,Gerald Allen,Gerald Allen,R,33368.0
2018,senate,22.0,Greg Albritton,Greg Albritton,R,34507.0
2018,senate,23.0,Malika Sanders-Fortier,Malika Sanders-Fortier,D,29920.0
2018,senate,24.0,Bobby Singleton,Bobby Singleton,D,37394.0
2018,senate,25.0,David A. Sadler,David A. Sadler,D,20866.0
2018,senate,25.0,Will Barfoot,Will Barfoot,R,33029.0
2018,senate,26.0,"David ""Coach"" Burkette","David ""Coach"" Burkette",D,31973.0
2018,senate,26.0,D. J. Johnson,D. J. Johnson,R,7863.0
2018,senate,27.0,Nancy Carlton Bendinger,Nancy Carlton Bendinger,D,20586.0
2018,senate,27.0,Tom Whatley,Tom Whatley,R,29741.0
2018,senate,28.0,Billy Beasley,Billy Beasley,D,28442.0
2018,senate,29.0,Donnie Chesteen,Donnie Chesteen,R,34273.0
2018,senate,30.0,"Clyde Chambliss, Jr.","Clyde Chambliss, Jr.",R,35256.0
2018,senate,31.0,Jimmy W. Holley,Jimmy W. Holley,R,33137.0
2018,senate,32.0,Jason Fisher,Jason Fisher,D,15193.0
2018,senate,32.0,Chris Elliott,Chris Elliott,R,45726.0
2018,senate,33.0,Vivian Davis Figures,Vivian Davis Figures,D,34995.0
2018,senate,34.0,Jack Williams,Jack Williams,R,35093.0
2018,senate,35.0,Tom Holmes,Tom Holmes,D,13896.0
2018,senate,35.0,David Sessions,David Sessions,R,29046.0
