finance_name_norm,finance_name,candidate_expenditures,expenditure_transactions,committee_count,cycle,finance_canonical
GEORGE CHUCK PATTERSON,"GEORGE ""CHUCK"" PATTERSON",29631.579999999998,97,1,2014,GEORGE CHUCK PATTERSON
GERALD ALLEN,GERALD ALLEN,570825.71,212,1,2014,GERALD ALLEN
GERALD DIAL,GERALD DIAL,763837.51,295,1,2014,GERALD DIAL
GERALD WALLACE,GERALD WALLACE,13045.779999999999,21,1,2014,GERALD WALLACE
GINGER FLETCHER,GINGER FLETCHER,26358.6,29,1,2014,GINGER FLETCHER
GINGER POYNTER,GINGER POYNTER,18113.56,30,1,2014,GINGER POYNTER
GREG REED,GREG REED,78363.51,118,1,2014,GREG REED
GREG SHAW,GREG SHAW,12234.06,28,1,2014,GREG SHAW
GREGORY ALBRITTON,GREGORY ALBRITTON,282480.73,59,1,2014,GREGORY ALBRITTON
GREGORY BURDINE,GREGORY BURDINE,49571.78,247,1,2014,GREGORY BURDINE
GREGORY WREN,GREGORY WREN,14189.86,42,1,2014,GREGORY WREN
GUY KELLY,GUY KELLY,10416.46,17,1,2014,GUY KELLY
GWENDOLYN KELLEY,GWENDOLYN KELLEY,14075.56,59,1,2014,GWENDOLYN KELLEY
HANDLEY HARDY,HANDLEY HARDY,4710.47,7,1,2014,HANDLEY HARDY
HARRI ANNE SMITH,HARRI ANNE SMITH,625396.83,327,1,2014,HARRI ANNE SMITH
HARRY D OLIVE,HARRY D'OLIVE,82125.0,51,1,2014,HARRY D OLIVE
HARRY SHIVER,HARRY SHIVER,35000.97,34,1,2014,HARRY SHIVER
HEATH JONES,HEATH JONES,2469.0,48,1,2014,HEATH JONES
HEATHER SELLERS,HEATHER SELLERS,23481.87,65,2,2014,HEATHER SELLERS
HENRY ALLRED,HENRY ALLRED,19887.53,27,1,2014,HENRY ALLRED
HENRY HASEEB,HENRY HASEEB,19528.0,48,1,2014,HENRY HASEEB
HENRY SANDERS,HENRY SANDERS,109968.42,238,1,2014,HENRY SANDERS
HENRY WHITE,HENRY WHITE,18907.73,31,1,2014,HENRY WHITE
HILDA ETIENNE,HILDA ETIENNE,14996.58,18,1,2014,HILDA ETIENNE
HOBBIE SEALY,HOBBIE SEALY,39862.39,78,1,2014,HOBBIE SEALY
