model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
state_chamber_incumbency,leave_state_out,NC,316,10.887855126030425,13.4766672011495,-4.968596150687226,0.8765822784810127,12.186015814267831
state_chamber_incumbency,leave_state_out,OK,98,15.945430087884596,21.291135490168816,13.304716008738584,0.7959183673469388,25.98952135184319
state_chamber_incumbency,leave_state_out,SC,36,17.912368402255105,21.31648411174833,16.9551643780903,0.8333333333333334,24.923570323090434
state_chamber_incumbency,leave_state_out,TN,302,12.249956468437933,15.374654964590368,-2.0497893507974108,0.8543046357615894,14.910798091167683
state_chamber_incumbency,leave_state_out,TX,426,12.881797585931677,15.807653026382303,-5.600155426032075,0.8544600938967136,15.859789216896923
state_chamber_lag,leave_state_out,AL,52,17.682586205371393,21.995201178872204,13.56374231164803,0.8076923076923077,14.423200423864202
state_chamber_lag,leave_state_out,AR,110,16.653301448048232,20.985700587895014,-15.455798494357174,0.8090909090909091,
state_chamber_lag,leave_state_out,FL,69,20.67337982002056,24.190405238776364,20.399708140966737,0.8695652173913043,24.190405238776364
state_chamber_lag,leave_state_out,GA,96,18.423296481155376,19.91509083042832,-17.635236470727346,0.78125,15.29936591492624
state_chamber_lag,leave_state_out,KY,66,18.168539122703606,23.207584277889453,0.14082081925028797,0.696969696969697,21.647607954225982
state_chamber_lag,leave_state_out,MO,812,15.937840377993451,19.204389137520234,-11.664522668233872,0.729064039408867,17.933811911976722
state_chamber_lag,leave_state_out,NC,316,11.260237257068972,14.282789440132447,-3.3789745701958576,0.8481012658227848,13.689969244226889
state_chamber_lag,leave_state_out,OK,98,18.675385350904893,24.488931926071835,11.936000682992912,0.7653061224489796,28.799245817070027
state_chamber_lag,leave_state_out,SC,36,17.543506032376516,22.023876880476482,16.413695477977576,0.8333333333333334,34.41202733485796
state_chamber_lag,leave_state_out,TN,302,14.75607386287236,17.98037895623806,-1.7231372694870655,0.7980132450331126,17.994712887412796
state_chamber_lag,leave_state_out,TX,426,13.71291067613361,16.61117267847807,-6.817717425919089,0.8051643192488263,16.66249271863247
symmetric_incumbency,leave_state_out,AL,52,17.445429722426606,21.3342100435008,15.178862663373055,0.8076923076923077,9.047264856040286
symmetric_incumbency,leave_state_out,AR,110,14.681953814564025,18.758286311416523,-13.266512982414193,0.8363636363636363,
symmetric_incumbency,leave_state_out,FL,69,25.693838779209976,27.846127168350097,25.36822637683281,0.8695652173913043,27.846127168350097
symmetric_incumbency,leave_state_out,GA,96,10.778189044728947,13.214486127527142,-9.013757699208709,0.8541666666666666,13.049432490473489
symmetric_incumbency,leave_state_out,KY,66,15.375303861482836,20.312488037969256,0.9648420247971298,0.7575757575757576,18.50950213849359
symmetric_incumbency,leave_state_out,MO,812,11.00522685254182,13.976313993518662,-5.921407882016045,0.8386699507389163,13.331461616134506
symmetric_incumbency,leave_state_out,NC,316,9.816065259231094,12.495835677643388,-0.9511682016529612,0.8765822784810127,11.54838263404066
symmetric_incumbency,leave_state_out,OK,98,18.50019577305418,23.7688440406351,17.227045882966475,0.8061224489795918,28.28012092358524
symmetric_incumbency,leave_state_out,SC,36,21.059440916787054,24.547868599829123,20.86328203413929,0.8333333333333334,28.66071600456516
symmetric_incumbency,leave_state_out,TN,302,12.209821073087573,15.5322308182661,2.9133408497314877,0.8576158940397351,16.196690116609943
symmetric_incumbency,leave_state_out,TX,426,12.08069661130798,14.916932259362287,-0.6391826938873364,0.8615023474178404,14.978167360626204
