model,model_label,is_public_default,chamber,district,predicted_dem_margin
ramp_all_extra_trees,Extra Trees,False,senate,13,-51.30229922095744
ramp_all_extra_trees,Extra Trees,False,senate,14,-45.00167917717362
ramp_all_extra_trees,Extra Trees,False,senate,16,-28.77865089906144
ramp_all_extra_trees,Extra Trees,False,senate,22,-54.02172502625499
ramp_all_extra_trees,Extra Trees,False,senate,23,36.98176144746624
ramp_all_extra_trees,Extra Trees,False,senate,28,35.002501215424324
ramp_all_extra_trees,Extra Trees,False,senate,29,-57.97794236979411
ramp_all_extra_trees,Extra Trees,False,senate,32,-56.86084847430162
ramp_all_gradient_boosting,Gradient boosting,False,house,2,-61.12946809315435
ramp_all_gradient_boosting,Gradient boosting,False,house,4,-36.13090549395239
ramp_all_gradient_boosting,Gradient boosting,False,house,5,-40.25193882326236
ramp_all_gradient_boosting,Gradient boosting,False,house,8,-27.693984082216442
ramp_all_gradient_boosting,Gradient boosting,False,house,10,21.888313566215555
ramp_all_gradient_boosting,Gradient boosting,False,house,15,-19.61408327298299
ramp_all_gradient_boosting,Gradient boosting,False,house,16,-62.55797913621169
ramp_all_gradient_boosting,Gradient boosting,False,house,19,54.050262982137696
ramp_all_gradient_boosting,Gradient boosting,False,house,20,-33.33713147199512
ramp_all_gradient_boosting,Gradient boosting,False,house,21,-22.473117079577328
ramp_all_gradient_boosting,Gradient boosting,False,house,25,-8.199923475802269
ramp_all_gradient_boosting,Gradient boosting,False,house,28,-17.371869297448328
ramp_all_gradient_boosting,Gradient boosting,False,house,32,26.192199166660835
ramp_all_gradient_boosting,Gradient boosting,False,house,37,-37.48516514346952
ramp_all_gradient_boosting,Gradient boosting,False,house,38,-33.71773159516494
ramp_all_gradient_boosting,Gradient boosting,False,house,40,-55.17584436438432
ramp_all_gradient_boosting,Gradient boosting,False,house,41,-42.219333906291375
ramp_all_gradient_boosting,Gradient boosting,False,house,43,-45.492940966109686
ramp_all_gradient_boosting,Gradient boosting,False,house,45,-48.914127886779625
ramp_all_gradient_boosting,Gradient boosting,False,house,47,-13.963972160472155
ramp_all_gradient_boosting,Gradient boosting,False,house,50,-51.752533777329454
ramp_all_gradient_boosting,Gradient boosting,False,house,63,-19.939628168655254
ramp_all_gradient_boosting,Gradient boosting,False,house,68,31.64793179984503
ramp_all_gradient_boosting,Gradient boosting,False,house,69,33.1002219324662
ramp_all_gradient_boosting,Gradient boosting,False,house,70,63.843589285006985
ramp_all_gradient_boosting,Gradient boosting,False,house,74,39.967144401202574
ramp_all_gradient_boosting,Gradient boosting,False,house,75,-31.166031764311278
ramp_all_gradient_boosting,Gradient boosting,False,house,80,-26.885636669902183
ramp_all_gradient_boosting,Gradient boosting,False,house,82,52.81159384943344
ramp_all_gradient_boosting,Gradient boosting,False,house,85,-18.172227108375516
ramp_all_gradient_boosting,Gradient boosting,False,house,96,-43.846913890921265
ramp_all_gradient_boosting,Gradient boosting,False,house,99,52.67995315339007
ramp_all_gradient_boosting,Gradient boosting,False,house,101,-32.70581444165441
ramp_all_gradient_boosting,Gradient boosting,False,senate,2,-5.435419101368407
ramp_all_gradient_boosting,Gradient boosting,False,senate,3,-35.62235729133478
ramp_all_gradient_boosting,Gradient boosting,False,senate,6,-44.100553617192936
ramp_all_gradient_boosting,Gradient boosting,False,senate,7,-15.415441252692577
ramp_all_gradient_boosting,Gradient boosting,False,senate,8,-46.94923134850892
ramp_all_gradient_boosting,Gradient boosting,False,senate,11,-43.256675007894955
ramp_all_gradient_boosting,Gradient boosting,False,senate,13,-47.44961413737078
ramp_all_gradient_boosting,Gradient boosting,False,senate,14,-39.91538419517971
ramp_all_gradient_boosting,Gradient boosting,False,senate,16,-28.041028540601776
ramp_all_gradient_boosting,Gradient boosting,False,senate,22,-50.34280677748763
ramp_all_gradient_boosting,Gradient boosting,False,senate,23,30.7086494038438
ramp_all_gradient_boosting,Gradient boosting,False,senate,28,28.303042774875557
ramp_all_gradient_boosting,Gradient boosting,False,senate,29,-51.75597475579691
ramp_all_gradient_boosting,Gradient boosting,False,senate,32,-57.67172409202365
ramp_all_spline_ridge,Spline ridge,False,house,2,-62.859601648174745
ramp_all_spline_ridge,Spline ridge,False,house,4,-34.66512852985247
ramp_all_spline_ridge,Spline ridge,False,house,5,-43.4286694299302
ramp_all_spline_ridge,Spline ridge,False,house,8,-28.736776742286246
ramp_all_spline_ridge,Spline ridge,False,house,10,14.19985582659489
ramp_all_spline_ridge,Spline ridge,False,house,15,-16.984832930605904
ramp_all_spline_ridge,Spline ridge,False,house,16,-70.11611012815371
ramp_all_spline_ridge,Spline ridge,False,house,19,48.35244564563328
ramp_all_spline_ridge,Spline ridge,False,house,20,-36.13803095330613
ramp_all_spline_ridge,Spline ridge,False,house,21,-20.007440921429613
ramp_all_spline_ridge,Spline ridge,False,house,25,-8.807351275412223
ramp_all_spline_ridge,Spline ridge,False,house,28,-23.23035038669101
ramp_all_spline_ridge,Spline ridge,False,house,32,8.493893213179712
ramp_all_spline_ridge,Spline ridge,False,house,37,-38.20518953246375
ramp_all_spline_ridge,Spline ridge,False,house,38,-38.35103329743812
ramp_all_spline_ridge,Spline ridge,False,house,40,-58.72476326101493
ramp_all_spline_ridge,Spline ridge,False,house,41,-44.409353005918916
ramp_all_spline_ridge,Spline ridge,False,house,43,-46.46764426422672
ramp_all_spline_ridge,Spline ridge,False,house,45,-50.17832174858199
ramp_all_spline_ridge,Spline ridge,False,house,47,-17.292251851058737
ramp_all_spline_ridge,Spline ridge,False,house,50,-51.61038030178612
ramp_all_spline_ridge,Spline ridge,False,house,63,-21.86456672474619
ramp_all_spline_ridge,Spline ridge,False,house,68,21.54838548835727
ramp_all_spline_ridge,Spline ridge,False,house,69,33.170164201011396
ramp_all_spline_ridge,Spline ridge,False,house,70,52.524738975213666
ramp_all_spline_ridge,Spline ridge,False,house,74,37.05298359406737
ramp_all_spline_ridge,Spline ridge,False,house,75,-29.576625413210156
ramp_all_spline_ridge,Spline ridge,False,house,80,-30.177878601967674
ramp_all_spline_ridge,Spline ridge,False,house,82,46.82777484940432
ramp_all_spline_ridge,Spline ridge,False,house,85,-22.898095311861468
ramp_all_spline_ridge,Spline ridge,False,house,96,-41.13562350976363
ramp_all_spline_ridge,Spline ridge,False,house,99,45.025815821355806
ramp_all_spline_ridge,Spline ridge,False,house,101,-29.925024910552697
ramp_all_spline_ridge,Spline ridge,False,senate,2,-6.189450537864277
ramp_all_spline_ridge,Spline ridge,False,senate,3,-39.373829325715704
ramp_all_spline_ridge,Spline ridge,False,senate,6,-49.588421116863614
ramp_all_spline_ridge,Spline ridge,False,senate,7,-13.735583040904329
ramp_all_spline_ridge,Spline ridge,False,senate,8,-51.089174428242536
ramp_all_spline_ridge,Spline ridge,False,senate,11,-46.86226057649933
