scenario,cycle,chamber,district,polling_federal_margin,generic_downballot_lag,incumbency_adjustment,fundraising_adjustment,expected_cmo_adjustment,adjustment_weight,predicted_dem_margin,dem_win_probability,finance_complete,finance_model_applied,model_used,fundraising_treatment,dem_fundraising,rep_fundraising,fundraising_gap_log50,fundraising_gap_structural_expectation,fundraising_gap_residualized,fundraising_gap_within_cycle_expectation,fundraising_gap_within_cycle_residualized,dem_finance_status,rep_finance_status,incumbency_balance,current_national_poll_margin,current_national_pollsters,poll_average_as_of,source_scenario,polling_error_adjustment,environment_baseline_margin,headline_dem_margin,selected_model
headline,2026,house,63,-8.18205819223839,1.8580715582535217,-8.70411237227359,-1.2359710493291844,-8.082011863349251,1.0,-16.26407005558764,0.018368992539448546,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,14515.73,236028.59,-1.4891827008208376,-0.7261790762271115,-0.7630036245937261,-1.329482692487566,-0.1597000083332715,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-8.18205819223839,-16.26407005558764,post2016_polling_cmo_within_cycle_finance
headline,2026,house,68,9.44688142031833,1.8580715582535217,8.70411237227359,-4.211014269981891,6.351169660545222,1.0,15.798051080863551,0.9797846466316192,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,67900.0,78775.0,-0.0882298879083236,0.4676057873661992,-0.5558356752745228,0.4558759100168204,-0.544105797925144,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,9.44688142031833,15.798051080863551,post2016_polling_cmo_within_cycle_finance
headline,2026,house,69,17.332860634907874,1.8580715582535217,8.70411237227359,3.343963563213066,13.906147493740178,1.0,31.23900812864805,0.9985673929417752,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,135030.31,15219.41,1.0427625254807693,0.6110330008171598,0.4317295246636095,0.6106884819980154,0.4320740434827539,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,17.332860634907874,31.23900812864805,post2016_polling_cmo_within_cycle_finance
headline,2026,house,70,48.01764103709803,1.8580715582535217,8.70411237227359,-0.8853931118652554,9.676790818661855,1.0,57.69443185575989,0.9999158989599012,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,112250.0,4080.16,1.0986709652739857,1.1691162050308612,-0.0704452397568755,1.2130727446844705,-0.1144017794104848,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,48.01764103709803,57.69443185575989,post2016_polling_cmo_within_cycle_finance
headline,2026,house,74,38.525345278325226,1.8580715582535217,0.0,5.30576109209264,7.163832650346162,1.0,45.68917792867138,0.9997455896991294,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,88629.13,4750.0,0.9290248691360812,0.5311994549520638,0.3978254141840174,0.2434666668776823,0.6855582022583988,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,38.525345278325226,45.68917792867138,post2016_polling_cmo_within_cycle_finance
headline,2026,house,75,-18.959038717299137,1.8580715582535217,-8.70411237227359,1.562292727838425,-5.283748086181642,1.0,-24.24278680348078,0.004179384970650005,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,4165.88,124800.0,-1.1715912733021367,-0.8465922534649437,-0.324999019837193,-1.3734553556285145,0.2018640823263777,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-18.959038717299137,-24.24278680348078,post2016_polling_cmo_within_cycle_finance
headline,2026,house,80,-25.420156274172147,1.8580715582535217,-8.70411237227359,-1.6880847676687614,-8.53412558168883,1.0,-33.95428185586098,0.0009912226393169045,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,2131.1,212880.0,-1.617935954638148,-0.9187835032979608,-0.6991524513401872,-1.3998182636046188,-0.2181176910335291,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-25.420156274172147,-33.95428185586098,post2016_polling_cmo_within_cycle_finance
headline,2026,house,82,40.24543724717232,2.3186339238809865,9.215757354528472,0.0,11.534391278409458,1.0,51.77982852558178,0.9998590463847078,False,False,polling_federal_plus_incumbency,within_cycle_orthogonal,181900.0,,,,,,,single_official_state_record_with_activity,unverified_live_summary_zero,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,40.24543724717232,51.77982852558178,post2016_polling_cmo_within_cycle_finance
headline,2026,house,85,-17.360088101277302,1.8580715582535217,-8.70411237227359,-1.953705842448932,-8.799746656469,1.0,-26.159834757746303,0.003057548876908345,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,4039.4,222893.96,-1.6193698846764295,-0.8287268853802693,-0.7906429992961604,-1.3669312539421616,-0.2524386307342681,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-17.360088101277302,-26.159834757746303,post2016_polling_cmo_within_cycle_finance
headline,2026,house,96,-36.43579716463081,1.8580715582535217,0.0,-3.170255155657115,-1.312183597403593,1.0,-37.74798076203441,0.0006149138354581944,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,2751.32,103964.7,-1.0711345596195394,-0.5765888188952137,-0.4945457407243256,-0.6615054060468697,-0.4096291535726697,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-36.43579716463081,-37.74798076203441,post2016_polling_cmo_within_cycle_finance
headline,2026,house,99,37.56468037576528,2.3186339238809865,9.215757354528472,0.0,11.534391278409458,1.0,49.099071654174736,0.9998186751498906,False,False,polling_federal_plus_incumbency,within_cycle_orthogonal,148550.0,,,,,,,single_official_state_record_with_activity,unverified_live_summary_zero,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,37.56468037576528,49.099071654174736,post2016_polling_cmo_within_cycle_finance
headline,2026,house,101,-20.402616793423974,1.8580715582535217,-8.70411237227359,-4.518995021244222,-11.36503583526429,1.0,-31.767652628688264,0.00133097497328671,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,15578.11,417073.9,-1.9632455380218856,-0.8627216157044741,-1.1005239223174117,-1.3793455001185675,-0.5839000379033181,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-20.402616793423974,-31.767652628688264,post2016_polling_cmo_within_cycle_finance
headline,2026,senate,2,8.635744978521801,3.05972879437574,0.0,-7.404117675089419,-4.344388880713679,1.0,4.291356097808122,0.7554725712994558,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,3831.8,315575.0,-1.915607085881125,-0.7368349132930184,-1.1787721725881064,-0.9589199085770416,-0.9566871773040834,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,8.635744978521801,4.291356097808122,post2016_polling_cmo_within_cycle_finance
headline,2026,senate,3,-31.468395546383977,3.05972879437574,-8.70411237227359,-0.2094901007035732,-5.853873678601423,1.0,-37.3222692249854,0.0006474673101554895,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,10529.07,428330.21,-2.067177564384179,-1.7107751880355493,-0.3564023763486297,-2.0401093164294584,-0.0270682479547206,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-31.468395546383977,-37.3222692249854,post2016_polling_cmo_within_cycle_finance
headline,2026,senate,6,-45.19274391279242,3.05972879437574,-8.70411237227359,4.352424876632028,-1.2919587012658216,1.0,-46.48470261405824,0.00023462645025721586,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,3199.3,196602.0,-1.533730462631141,-1.864119845982658,0.330389383351517,-2.09610794667118,0.5623774840400386,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-45.19274391279242,-46.48470261405824,post2016_polling_cmo_within_cycle_finance
