historical_war_run_id,state_code,cycle,chamber,geometry_source_id,geometry_sha256,geometry_features,matched_races,unmatched_races,unscored_features,duplicate_keys,invalid_geometries,unsimplified_features,dem_votes_before,dem_votes_after,rep_votes_before,rep_votes_after
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2016,upper,CENSUS-CB-2016-GA-SLDU-500K,3ba6156e675f32c1e84396d1704db55386efd7718500f62d0ff6d8cc259a12ed,56,13,0,43,0,0,0,481695,481695,514176,514176
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2018,lower,CENSUS-CB-2018-GA-SLDL-500K,a62290bafbff48dfc8119e0b3a3d92daef8b1eaa2b2677d754187a4df339271d,180,68,0,112,0,0,0,665611,665611,886998,886998
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2018,upper,CENSUS-CB-2018-GA-SLDU-500K,fd73402d4c6fe10c0694b2f671b097389583366826fdb406f993e18d4f4514e5,56,23,0,33,0,0,0,766669,766669,945149,945149
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2020,lower,CENSUS-CB-2020-GA-SLDL-500K,6f28d99a6dea6406bc406699a2e4631a8da247b731c5b8dbb5f624e876a2f166,180,86,0,94,0,0,0,1020239,1020239,1501169,1501169
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2020,upper,CENSUS-CB-2020-GA-SLDU-500K,a780a9f77caa4b7b4a60cb5787e2db26d823a53d7638cc68aa8cb00b4efa3096,56,28,0,28,0,0,0,1115644,1115644,1449562,1449562
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2022,lower,CENSUS-CB-2022-GA-SLDL-500K,254d22a0888c988ef5384ff3f21636ea4b9f8c2331340f5cfa40d230542b3b87,180,86,0,94,0,0,0,935054,935054,1020154,1020154
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2022,upper,CENSUS-CB-2022-GA-SLDU-500K,baf0892261de4b1a1238e509baee3437c0bac5c1148d8191cbf8fb27ef80db18,56,26,0,30,0,0,0,830507,830507,1040818,1040818
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2024,lower,CENSUS-CB-2024-GA-SLDL-500K,9c24a5b12111771abf2a9ea95d1b720583d3c9f1c24fcf293ad40ec4f06af3a8,180,89,0,91,0,0,0,1188768,1188768,1439303,1439303
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2024,upper,CENSUS-CB-2024-GA-SLDU-500K,6adba3d0ed550f8f3dbcf197ec288a751a26263c1973fb750465c30b6a7ff490,56,23,0,33,0,0,0,978528,978528,1202004,1202004
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2016,lower,CENSUS-CB-2016-KY-SLDL-500K,627019bcdcbfd9469b6bb35a56d0d8e32eb8654932db4843758c0223a33c7f93,100,64,0,36,0,0,0,546907,546907,637448,637448
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2016,upper,CENSUS-CB-2016-KY-SLDU-500K,7f2e650aa8112d2675234cce0ac230cedd04c1d1ddcc1cfb8169698ba0315421,38,6,0,32,0,0,0,134788,134788,162716,162716
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2018,lower,CENSUS-CB-2018-KY-SLDL-500K,e36d5b1db09ae8ecc2acc81ab8cae29c9f674fe82788ec38151cda9f70ce6805,100,85,0,15,0,0,0,625744,625744,725737,725737
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2018,upper,CENSUS-CB-2018-KY-SLDU-500K,62e51db5ac5a79e502e05ddad1f8ae120d2041114adb6790b825a37538cef056,38,16,0,22,0,0,0,301569,301569,409223,409223
