cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,feature_method,geography_validation
2026,2022,house,40,"State House District 40 (2022), Alabama",48289,31479,0.1670773882250615,0.2233870199180406,0.2256063997651462,27251,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,41,"State House District 41 (2022), Alabama",48933,33977,0.2496679132691639,0.2809547635164964,0.2796965236100102,26493,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,42,"State House District 42 (2022), Alabama",51041,34626,0.1780137536490272,0.1653381851787674,0.1757641921397379,29312,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,43,"State House District 43 (2022), Alabama",49131,35791,0.2105188170401579,0.6239836830488111,0.6630678486426822,28991,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,44,"State House District 44 (2022), Alabama",49542,34182,0.3074764845989262,0.35395822362647,0.3654441007512152,24893,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,45,"State House District 45 (2022), Alabama",48155,33794,0.1897829924203093,0.4385985677930993,0.4506914119359534,27480,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,46,"State House District 46 (2022), Alabama",50091,31217,0.164720209219221,0.7444020886055674,0.7657470067673087,26894,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,47,"State House District 47 (2022), Alabama",49463,32864,0.3688413561652144,0.5321932814021422,0.5965625,22400,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,48,"State House District 48 (2022), Alabama",43759,30848,0.1467812335748074,0.7046485995850622,0.7230186436901136,26926,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,49,"State House District 49 (2022), Alabama",50940,33077,0.2677659992147625,0.255192429785047,0.2573193230127537,24934,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,50,"State House District 50 (2022), Alabama",49115,34254,0.1520309477756286,0.213493314649384,0.2177359004013878,29398,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,51,"State House District 51 (2022), Alabama",45171,31066,0.1650616546014035,0.2417111955192171,0.2365258286055539,26792,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,52,"State House District 52 (2022), Alabama",49347,32396,0.7389912254037733,0.3230954438819607,0.6414066931366988,8815,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,53,"State House District 53 (2022), Alabama",50337,29674,0.6917376879829946,0.3010042461414032,0.3756995162667172,10543,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,54,"State House District 54 (2022), Alabama",45017,33619,0.6364484528067175,0.3420089830155566,0.6108901583628606,13829,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,55,"State House District 55 (2022), Alabama",44368,29932,0.7117291741795889,0.3756514766804757,0.6406546252868975,10021,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,56,"State House District 56 (2022), Alabama",48064,31267,0.7278628495339547,0.3044104007419964,0.473569294415077,8702,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,57,"State House District 57 (2022), Alabama",46268,31328,0.6850739171781792,0.1852017364657814,0.1779838196527588,11001,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,58,"State House District 58 (2022), Alabama",45682,29342,0.7550019701414123,0.2117783382182537,0.2473799126637554,9160,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,59,"State House District 59 (2022), Alabama",43693,29220,0.8185750577895773,0.166290212183436,0.1095869056897895,6415,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,60,"State House District 60 (2022), Alabama",47447,33577,0.7095706788627311,0.2216398129672097,0.2067415730337078,9790,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,61,"State House District 61 (2022), Alabama",45700,30287,0.2331728665207877,0.2811767424967808,0.3146790118398951,24409,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,62,"State House District 62 (2022), Alabama",48753,32359,0.2978688490964658,0.2090608486047158,0.2148735661592256,23451,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,63,"State House District 63 (2022), Alabama",49217,23143,0.3242985147408416,0.5565397744458368,0.671569215992316,16658,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,64,"State House District 64 (2022), Alabama",54821,37219,0.2381751518578646,0.2211773556516832,0.2318622762672496,29276,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,65,"State House District 65 (2022), Alabama",47159,32821,0.3573867130346275,0.1505438591145912,0.1773562590975254,21984,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,66,"State House District 66 (2022), Alabama",48794,35542,0.2831085789236381,0.1715997974227674,0.2022984102662325,26105,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,67,"State House District 67 (2022), Alabama",45631,30296,0.721198308167693,0.1582057037232637,0.2204566978848784,9503,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,68,"State House District 68 (2022), Alabama",46345,32293,0.5647642679900744,0.1236490880376552,0.1533792539043852,14663,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,69,"State House District 69 (2022), Alabama",48430,34130,0.5653107577947554,0.1727805449750952,0.2347842712382894,15691,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,70,"State House District 70 (2022), Alabama",48899,30558,0.6414037096873146,0.2794358269520257,0.4187489376168621,11766,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,71,"State House District 71 (2022), Alabama",48691,32135,0.6028424144092337,0.2224054768943519,0.275233437083148,13494,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,72,"State House District 72 (2022), Alabama",50390,34576,0.6378249652708871,0.1901318833873206,0.2482551594746716,13325,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,73,"State House District 73 (2022), Alabama",48738,33033,0.2874964093725635,0.4194290557926921,0.4491812422805689,25099,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,74,"State House District 74 (2022), Alabama",46516,31287,0.6651259781580532,0.3165532010100041,0.3757359648395389,12059,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,75,"State House District 75 (2022), Alabama",48350,32056,0.3341261633919338,0.5035562765160968,0.5167685668045315,22244,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,76,"State House District 76 (2022), Alabama",45319,29962,0.8045411416845032,0.362592617315266,0.5208953109505595,7059,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,77,"State House District 77 (2022), Alabama",45889,29431,0.7023033842533069,0.2800108728891305,0.5254826254826255,10360,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,78,"State House District 78 (2022), Alabama",46185,31078,0.7537945220309624,0.2666194735825986,0.3276119402985075,9380,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,79,"State House District 79 (2022), Alabama",51492,28567,0.3012312592247339,0.6491756222214443,0.7024646144709492,20206,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,80,"State House District 80 (2022), Alabama",51806,34925,0.3224529977222715,0.2338725841088045,0.2239181683781516,25027,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,81,"State House District 81 (2022), Alabama",46658,33050,0.3145441296240731,0.2124659606656581,0.2454134204574013,23874,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,82,"State House District 82 (2022), Alabama",44384,23422,0.5921728550829128,0.3052258560327897,0.4768128691717984,7957,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,83,"State House District 83 (2022), Alabama",47084,32788,0.6078710389941382,0.2276442600951567,0.3183431952662722,13520,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,84,"State House District 84 (2022), Alabama",48873,33697,0.620792666707589,0.1270142742677389,0.1852866931121529,13865,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,85,"State House District 85 (2022), Alabama",46440,32115,0.5001076658053403,0.1827806321033784,0.2441696312609407,17709,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,86,"State House District 86 (2022), Alabama",45649,32623,0.2814081359942167,0.1775434509395212,0.1862825006112967,24538,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,87,"State House District 87 (2022), Alabama",49107,34146,0.1829474413016474,0.2211093539506823,0.2338447558801943,28613,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,88,"State House District 88 (2022), Alabama",46366,31081,0.3147349350817409,0.3782696824426498,0.3792373835141583,22213,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,89,"State House District 89 (2022), Alabama",46385,27728,0.4077180122884553,0.2644258511252164,0.3127717548843411,17249,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
