specification,test_cycle,mae
demographics__ridge20__blend20,2022,10.969306287596812
demographics_regions__ridge100__blend10,2002,30.95392961410376
demographics_regions__ridge100__blend10,2006,41.39940964062882
demographics_regions__ridge100__blend10,2010,24.05192638271254
demographics_regions__ridge100__blend10,2014,22.647458638700943
demographics_regions__ridge100__blend10,2018,12.407195274453558
demographics_regions__ridge100__blend10,2022,10.308449520011845
demographics_regions__ridge100__blend20,2002,29.801049362994984
demographics_regions__ridge100__blend20,2006,39.85822027490859
demographics_regions__ridge100__blend20,2010,23.43604879171065
demographics_regions__ridge100__blend20,2014,22.304009855873723
demographics_regions__ridge100__blend20,2018,12.564266220364082
demographics_regions__ridge100__blend20,2022,10.964582191748981
demographics_regions__ridge20__blend10,2002,30.95549051594067
demographics_regions__ridge20__blend10,2006,41.39730878070482
demographics_regions__ridge20__blend10,2010,24.02457038247479
demographics_regions__ridge20__blend10,2014,22.622904448577916
demographics_regions__ridge20__blend10,2018,12.388889881677771
demographics_regions__ridge20__blend10,2022,10.237739148463497
demographics_regions__ridge20__blend20,2002,29.804196424185694
demographics_regions__ridge20__blend20,2006,39.85822027490859
demographics_regions__ridge20__blend20,2010,23.43604879171065
demographics_regions__ridge20__blend20,2014,22.29960957907953
demographics_regions__ridge20__blend20,2018,12.49276849197329
demographics_regions__ridge20__blend20,2022,10.907378822895636
demographics_regions_finance__ridge100__blend10,2002,30.946044779196587
demographics_regions_finance__ridge100__blend10,2006,41.3995932807098
demographics_regions_finance__ridge100__blend10,2010,24.049647287856743
demographics_regions_finance__ridge100__blend10,2014,22.6486385740276
demographics_regions_finance__ridge100__blend10,2018,12.384192753306493
demographics_regions_finance__ridge100__blend10,2022,10.217400303675964
demographics_regions_finance__ridge100__blend20,2002,29.783538395761685
demographics_regions_finance__ridge100__blend20,2006,39.85822027490859
demographics_regions_finance__ridge100__blend20,2010,23.43604879171065
demographics_regions_finance__ridge100__blend20,2014,22.304009855873723
demographics_regions_finance__ridge100__blend20,2018,12.564266220364082
demographics_regions_finance__ridge100__blend20,2022,10.952436685974892
demographics_regions_finance__ridge20__blend10,2002,30.917996890898902
demographics_regions_finance__ridge20__blend10,2006,41.39756802252012
demographics_regions_finance__ridge20__blend10,2010,24.01598323969812
demographics_regions_finance__ridge20__blend10,2014,22.63193913277839
demographics_regions_finance__ridge20__blend10,2018,12.321587119535351
demographics_regions_finance__ridge20__blend10,2022,9.918794047631179
demographics_regions_finance__ridge20__blend20,2002,29.754839767437918
demographics_regions_finance__ridge20__blend20,2006,39.85895197231361
demographics_regions_finance__ridge20__blend20,2010,23.43604879171065
demographics_regions_finance__ridge20__blend20,2014,22.309645762078745
demographics_regions_finance__ridge20__blend20,2018,12.421301937112341
demographics_regions_finance__ridge20__blend20,2022,10.654634431572617
demographics_regions_finance_incumbency__ridge100__blend10,2002,30.933678917458387
demographics_regions_finance_incumbency__ridge100__blend10,2006,41.39875214164567
demographics_regions_finance_incumbency__ridge100__blend10,2010,24.025177863367812
demographics_regions_finance_incumbency__ridge100__blend10,2014,22.636644218305825
demographics_regions_finance_incumbency__ridge100__blend10,2018,12.356250996750754
demographics_regions_finance_incumbency__ridge100__blend10,2022,10.2110037124176
demographics_regions_finance_incumbency__ridge100__blend20,2002,29.760522162450687
demographics_regions_finance_incumbency__ridge100__blend20,2006,39.85822027490859
demographics_regions_finance_incumbency__ridge100__blend20,2010,23.43604879171065
demographics_regions_finance_incumbency__ridge100__blend20,2014,22.304009855873723
demographics_regions_finance_incumbency__ridge100__blend20,2018,12.561788557281835
demographics_regions_finance_incumbency__ridge100__blend20,2022,10.923886996777147
demographics_regions_finance_incumbency__ridge20__blend10,2002,30.86315710246245
demographics_regions_finance_incumbency__ridge20__blend10,2006,41.393261958453394
demographics_regions_finance_incumbency__ridge20__blend10,2010,23.9203574972477
demographics_regions_finance_incumbency__ridge20__blend10,2014,22.58688764152506
demographics_regions_finance_incumbency__ridge20__blend10,2018,12.241777533228817
demographics_regions_finance_incumbency__ridge20__blend10,2022,9.966911878067066
demographics_regions_finance_incumbency__ridge20__blend20,2002,29.743221827095546
demographics_regions_finance_incumbency__ridge20__blend20,2006,39.92343910731401
demographics_regions_finance_incumbency__ridge20__blend20,2010,23.43604879171065
demographics_regions_finance_incumbency__ridge20__blend20,2014,22.252044760290737
demographics_regions_finance_incumbency__ridge20__blend20,2018,12.286399940890483
demographics_regions_finance_incumbency__ridge20__blend20,2022,10.563191908174248
