historical_war_run_id,state_code,cycle,chamber,scored_races,finance_complete_races,lag_context_races,mean_absolute_war,finance_coverage_rate
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2020,lower,86,83,86,3.50622796621883,0.9651162790697675
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2020,upper,28,27,28,1.968565143227547,0.9642857142857143
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2022,lower,86,80,86,2.6863741267604517,0.9302325581395349
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2022,upper,26,24,26,2.205801082001737,0.9230769230769231
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2024,lower,89,85,89,2.981539510816654,0.9550561797752809
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2024,upper,23,21,23,2.1072882719363584,0.9130434782608695
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2016,lower,64,64,0,18.683147229593704,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2016,upper,6,6,0,6.176672260970062,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2018,lower,85,78,0,9.556815522578148,0.9176470588235294
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2018,upper,16,16,0,8.123425087514505,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2020,lower,60,56,0,10.964411910373913,0.9333333333333333
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2020,upper,8,6,0,11.811767771013997,0.75
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2022,lower,46,44,0,5.983560389243409,0.9565217391304348
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2022,upper,8,7,0,4.0669450601590995,0.875
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2024,lower,42,42,0,6.961904714445152,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2024,upper,1,1,0,7.576511101900074,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2019,lower,15,14,0,12.803606731214622,0.9333333333333333
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2019,upper,4,4,0,3.8458170216124974,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2023,lower,12,12,0,5.768132628356612,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2023,upper,5,4,0,9.601602466702465,0.8
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2016,lower,66,0,0,10.085413663692309,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2016,upper,9,0,0,7.613656297714347,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2018,lower,117,0,0,5.4781366767747395,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2018,upper,16,0,0,6.2595852561536365,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2020,lower,80,0,0,4.398380965142374,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2020,upper,10,0,0,3.0538476517706905,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2022,lower,69,0,0,3.694354657525239,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2022,upper,11,0,0,2.8814832050508805,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2024,lower,103,0,0,3.717354884433517,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MO,2024,upper,6,0,0,4.068427002631152,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2019,lower,24,0,0,13.458360418206206,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2019,upper,16,0,0,6.19862214348451,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2023,lower,9,0,0,8.671081646807743,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,MS,2023,upper,7,0,0,7.09760073017893,0.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2016,lower,60,60,0,7.25624598417507,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2016,upper,32,32,0,6.0909926716128195,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2018,lower,117,117,0,8.173015374111515,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2018,upper,50,50,0,7.755251712753063,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2020,lower,107,107,0,4.556830881294234,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2020,upper,49,49,0,3.4924995411007558,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2022,lower,81,81,0,2.950911585689229,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2022,upper,35,35,0,2.437908863178021,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2024,lower,68,68,0,5.269478589937692,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,NC,2024,upper,23,23,0,4.491452261457804,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2016,lower,70,62,0,18.599051248210156,0.8857142857142857
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2016,upper,17,17,0,17.54491932919541,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2018,lower,73,73,0,9.163268271958433,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2018,upper,18,17,0,7.425791697378419,0.9444444444444444
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2020,lower,36,35,0,8.427296954065271,0.9722222222222222
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2020,upper,12,12,0,8.660013662380736,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2022,lower,29,27,0,3.977340963427064,0.9310344827586207
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2022,upper,7,7,0,6.371052422095462,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2024,lower,24,23,0,5.702449397887932,0.9583333333333334
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,OK,2024,upper,5,4,0,5.389732859976403,0.8
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2016,lower,32,30,0,10.611902379456149,0.9375
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2016,upper,7,7,0,15.229309057114731,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2018,lower,45,40,0,7.038015816057462,0.8888888888888888
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2020,lower,51,47,0,4.570518003081142,0.9215686274509803
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2020,upper,30,29,0,3.951293760668398,0.9666666666666667
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2022,lower,50,48,0,4.005964645353943,0.96
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2024,lower,42,42,0,4.023725964948229,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,SC,2024,upper,18,18,0,4.097648946571053,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2016,lower,51,51,0,8.056757518146124,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2016,upper,5,5,0,6.040448799348995,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2018,lower,73,73,73,5.094506092095857,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2018,upper,12,12,12,2.6047069612414897,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2020,lower,38,37,38,2.926081756261429,0.9736842105263158
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2020,upper,9,9,9,3.1999835573179363,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2022,lower,36,36,36,3.133914787689787,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2022,upper,8,8,8,2.359422706555646,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2024,lower,60,60,60,2.556820972698069,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TN,2024,upper,10,10,10,1.6110978500771762,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TX,2016,lower,52,51,0,5.215890273245931,0.9807692307692307
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,TX,2016,upper,4,4,0,3.158211359711496,1.0
