state,year,election_date,election_stage,race_id,chamber,district,office,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_candidate_count,rep_candidate_count,candidate_count,winner_name,winner_party,stage_total_votes,source_files,race_index_source,selected_final_stage,is_final_stage
LA,1995,19951021,first_round,8146,senate,15,State Senator -- 15th Senatorial District,,,,,3,2,5,Wilson Fields,D,36361.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8146.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8148,senate,17,State Senator -- 17th Senatorial District,,,,,2,0,2,Tom Greene,D,43140.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8148.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8149,senate,18,State Senator -- 18th Senatorial District,Louis J. Lambert,Kirk T. Harrison,37876.0,9655.0,1,1,2,Louis J. Lambert,D,47531.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8149.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8150,senate,19,State Senator -- 19th Senatorial District,,,,,3,0,3,Ron Landry,D,40939.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8150.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8151,senate,20,State Senator -- 20th Senatorial District,,,,,4,3,7,"Robert ""Bobby"" Bergeron",D,32322.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8151.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8152,senate,21,State Senator -- 21st Senatorial District,John Siracusa,"""Johnny"" Johnson",19187.0,17709.0,1,1,2,John Siracusa,D,36896.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8152.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8154,senate,23,State Senator -- 23rd Senatorial District,,"""Max"" Jordan",,22545.0,2,1,3,"""Max"" Jordan",R,36947.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8154.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8155,senate,24,State Senator -- 24th Senatorial District,"Donald R. ""Don"" Cravins",,25085.0,,1,0,2,"Donald R. ""Don"" Cravins",D,33986.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8155.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8157,senate,26,State Senator -- 26th Senatorial District,Armand Brinkhaus,Tommy Casanova III,15793.0,21543.0,1,1,2,Tommy Casanova III,R,37336.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8157.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8158,senate,27,State Senator -- 27th Senatorial District,,"James Ball, Jr.",,3345.0,3,1,4,"""Jim"" Cox",D,32760.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8158.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8159,senate,28,State Senator -- 28th Senatorial District,,,,,2,0,2,Don Hines,D,41344.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8159.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8160,senate,29,State Senator -- 29th Senatorial District,,,,,4,2,6,B. G. Dyess,D,31715.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8160.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8161,senate,30,State Senator -- 30th Senatorial District,James David Cain,Marion Garland Anthony,21278.0,7962.0,1,1,2,James David Cain,D,29240.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8161.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8162,senate,31,State Senator -- 31st Senatorial District,,,,,2,0,2,"""Mike"" Smith",D,37225.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8162.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8163,senate,32,State Senator -- 32nd Senatorial District,,,,,2,0,3,Noble E. Ellington,D,40449.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8163.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8165,senate,34,State Senator -- 34th Senatorial District,Charles D. Jones,"John W. Hogue, Jr.",17709.0,12401.0,1,1,2,Charles D. Jones,D,30110.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8165.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8167,senate,36,State Senator -- 36th Senatorial District,Foster Campbell,,20477.0,,1,0,2,Foster Campbell,D,24645.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8167.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8168,senate,37,State Senator -- 37th Senatorial District,,Max T. Malone,,10422.0,2,1,3,Max T. Malone,R,29058.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8168.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8169,senate,38,State Senator -- 38th Senatorial District,,,,,0,2,3,"""Ron"" Bean",R,30332.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8169.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8170,senate,39,State Senator -- 39th Senatorial District,,,,,3,0,3,Gregory Tarver,D,24425.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8170.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8028,house,2,State Representative --   2nd Representative District,,,,,3,0,3,Danny Mitchell,D,7293.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8028.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8029,house,3,State Representative --   3rd Representative District,,,,,4,0,4,"Ernest Baylor, Jr.",D,7617.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8029.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8030,house,4,State Representative --   4th Representative District,,,,,4,0,4,Cedric Bradford Glover,D,8770.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8030.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8032,house,6,State Representative --   6th Representative District,"""Jeff"" Rogers","B. L. ""Buddy"" Shaw",4759.0,9096.0,1,1,2,"B. L. ""Buddy"" Shaw",R,13855.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8032.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8033,house,7,State Representative --   7th Representative District,Beverly G. Bruce,,5559.0,,1,2,3,Beverly G. Bruce,D,12097.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8033.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8034,house,8,State Representative --   8th Representative District,Bob G. Burford,"Robert E. ""Bob"" Barton",3740.0,5416.0,1,1,2,"Robert E. ""Bob"" Barton",R,9156.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8034.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8036,house,10,State Representative --  10th Representative District,Everett G. Doerge,,8933.0,,1,2,3,Everett G. Doerge,D,14145.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8036.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8037,house,11,State Representative --  11th Representative District,,,,,2,0,2,Pinkie Carolyn Wilkerson,D,11758.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8037.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8039,house,13,State Representative --  13th Representative District,,,,,2,0,2,Rodney Alexander,D,14354.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8039.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8041,house,15,State Representative --  15th Representative District,Charles Anding,"""Mike"" Walsworth",6403.0,7745.0,1,1,2,"""Mike"" Walsworth",R,14148.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8041.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8044,house,18,State Representative --  18th Representative District,,"""Randy"" Loreno",,2261.0,2,1,3,"""Mike"" Russo",D,15860.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8044.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8046,house,20,State Representative --  20th Representative District,,,,,5,0,5,Billy Cobb,D,17866.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8046.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8047,house,21,State Representative --  21st Representative District,,Steve Fleming,,1941.0,2,1,4,"Bryant O. Hammett, Jr.",D,13845.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8047.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8048,house,22,State Representative --  22nd Representative District,,,,,2,0,2,Tommy Wright,D,16808.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8048.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8050,house,24,State Representative --  24th Representative District,Joe R. Salter,,12041.0,,1,0,2,Joe R. Salter,D,15872.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8050.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8051,house,25,State Representative --  25th Representative District,,,,,2,0,2,"""Charlie"" DeWitt",D,13605.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8051.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8052,house,26,State Representative --  26th Representative District,"Israel ""Bo"" Curtis","Willard ""Willie"" Harp",5736.0,2001.0,1,1,3,"Israel ""Bo"" Curtis",D,8503.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8052.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8053,house,27,State Representative --  27th Representative District,Rick Farrar,Randy Wiggins,6077.0,6360.0,1,1,2,Randy Wiggins,R,12437.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8053.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8054,house,28,State Representative --  28th Representative District,,,,,3,0,3,Charles Riddle III,D,16496.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8054.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8057,house,31,State Representative --  31st Representative District,,Kathy Delia McDaniel,,1196.0,2,1,3,Kay Iles,D,6046.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8057.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8059,house,33,State Representative --  33rd Representative District,,,,,2,0,2,"""Ronnie"" Johns",D,12635.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8059.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8060,house,34,State Representative --  34th Representative District,Elcie J. Guillory,,7866.0,,1,0,2,Elcie J. Guillory,D,9728.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8060.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8062,house,36,State Representative --  36th Representative District,,,,,2,0,2,Dan Flavin,D,15843.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8062.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8064,house,38,State Representative --  38th Representative District,,,,,2,0,2,Dirk Deville,D,15942.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8064.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8065,house,39,State Representative --  39th Representative District,,Hayden Cochran,,3915.0,2,1,3,"Raymond ""Lala"" Lalonde",D,14883.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8065.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8066,house,40,State Representative --  40th Representative District,,,,,2,0,2,"Charles I. ""Chuck"" Hudson",D,14343.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8066.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8067,house,41,State Representative --  41st Representative District,,Gregory L. Fruge,,6119.0,4,1,5,Gregory L. Fruge,R,14534.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8067.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8068,house,42,State Representative --  42nd Representative District,,,,,2,0,2,Gil Pinac,D,14137.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8068.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8069,house,43,State Representative --  43rd Representative District,"""Mike"" Michot",Carl Tritschler,12156.0,4803.0,1,1,3,"""Mike"" Michot",D,17522.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8069.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8070,house,44,State Representative --  44th Representative District,,,,,3,0,3,Wilfred Pierre,D,11344.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8070.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8072,house,46,State Representative --  46th Representative District,Sydnie M. Maraist Durand,"Michael ""Mike"" Fuselier",12288.0,5330.0,1,1,2,Sydnie M. Maraist Durand,D,17618.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8072.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8073,house,47,State Representative --  47th Representative District,,,,,4,0,4,"""Mickey"" Frith",D,16951.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8073.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8075,house,49,State Representative --  49th Representative District,,,,,4,0,4,Troy Hebert,D,15783.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8075.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8076,house,50,State Representative --  50th Representative District,,"M. D. ""Dick"" Shannon III",,3803.0,2,1,3,Jack D. Smith,D,13815.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8076.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8077,house,51,State Representative --  51st Representative District,,Joe Harrison,,1783.0,6,1,7,"D. A. ""Butch"" Gautreaux",D,11529.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8077.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8079,house,53,State Representative --  53rd Representative District,,,,,3,2,6,"Reggie P. Dupre, Jr.",D,11326.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8079.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8080,house,54,State Representative --  54th Representative District,Mitchell Theriot,Vhores F. Trosclair III,8541.0,5424.0,1,1,2,Mitchell Theriot,D,13965.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8080.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8082,house,56,State Representative --  56th Representative District,Joel T. Chaisson II,"Robert ""Bobby"" Riggs",10507.0,6012.0,1,1,2,Joel T. Chaisson II,D,16519.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8082.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8083,house,57,State Representative --  57th Representative District,,,,,5,0,5,Lloyd B. Johnson,D,15931.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8083.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8084,house,58,State Representative --  58th Representative District,,,,,3,0,3,"Roy Quezaire, Jr.",D,16615.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8084.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8085,house,59,State Representative --  59th Representative District,,,,,4,0,5,"John C. ""Juba"" Diez",D,19509.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8085.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8086,house,60,State Representative --  60th Representative District,,,,,2,0,2,Audrey A. McCain,D,16737.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8086.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8087,house,61,State Representative --  61st Representative District,Raymond A. Jetson,,7666.0,,1,0,2,Raymond A. Jetson,D,9258.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8087.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8088,house,62,State Representative --  62nd Representative District,John D. Travis,Rick Guillory,8999.0,6073.0,1,1,2,John D. Travis,D,15072.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8088.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8089,house,63,State Representative --  63rd Representative District,,,,,2,0,2,"Melvin ""Kip"" Holden",D,10653.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8089.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8090,house,64,State Representative --  64th Representative District,Herman L. Milton,"""Tony"" Perkins",5487.0,9476.0,1,1,2,"""Tony"" Perkins",R,14963.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8090.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8093,house,67,State Representative --  67th Representative District,,,,,3,0,3,Yvonne Dorsey,D,7265.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8093.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8094,house,68,State Representative --  68th Representative District,,,,,3,4,8,William Daniel,D,16320.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8094.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8095,house,69,State Representative --  69th Representative District,Tommy L. Reese,"Charles ""Chuck"" McMains",2602.0,12507.0,1,1,2,"Charles ""Chuck"" McMains",R,15109.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8095.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8096,house,70,State Representative --  70th Representative District,,Carl Crane,,8182.0,0,1,2,Carl Crane,R,14848.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8096.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8097,house,71,State Representative --  71st Representative District,Bernard Carrier,"Heulette ""Clo"" Fontenot",7776.0,8312.0,1,1,2,"Heulette ""Clo"" Fontenot",R,16088.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8097.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8098,house,72,State Representative --  72nd Representative District,,Andrew J. Gross,,1851.0,3,1,4,"Buster J. Guzzardo, Sr.",D,14863.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8098.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8099,house,73,State Representative --  73rd Representative District,,"Henry ""Tank"" Powell",,6605.0,2,1,3,"Henry ""Tank"" Powell",R,13407.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8099.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8100,house,74,State Representative --  74th Representative District,"R. H. ""Bill"" Strain","Richard M. ""Dick"" Donahue",8874.0,6458.0,1,1,2,"R. H. ""Bill"" Strain",D,15332.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8100.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8101,house,75,State Representative --  75th Representative District,,,,,2,0,2,Jerry Thomas,D,15259.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8101.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8102,house,76,State Representative --  76th Representative District,,,,,0,3,4,"""Tom"" Thornhill",R,12998.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8102.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8103,house,77,State Representative --  77th Representative District,"Jack ""Jay"" Blossman, Jr.",,5642.0,,1,2,3,Diane Winston,R,16363.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8103.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8104,house,78,State Representative --  78th Representative District,,,,,2,2,4,Shirley D. Bowler,R,14637.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8104.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8105,house,79,State Representative --  79th Representative District,,,,,0,2,2,"Daniel R. ""Danny"" Martiny",R,9783.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8105.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8106,house,80,State Representative --  80th Representative District,,,,,0,2,2,"Charles D. Lancaster, Jr.",R,11172.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8106.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8108,house,82,State Representative --  82nd Representative District,Alfred J. Ferry,Steve Scalise,2954.0,8182.0,1,1,3,Steve Scalise,R,11998.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8108.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8109,house,83,State Representative --  83rd Representative District,,,,,2,2,4,"John A. Alario, Jr.",D,10053.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8109.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
