state,year,chamber,district,dem_votes,rep_votes,legislative_dem_margin,dem_candidate,rep_candidate,dem_incumbent,rep_incumbent,incumbency_balance,outcome_eligible,dem_win,rep_win,uncont,dontuse,bigthird,dswitch,rswitch,outcome_source,outcome_source_path,candidate_source,incumbency_source,incumbency_quality,klarner_dem_votes,klarner_rep_votes,klarner_legislative_dem_margin,klarner_dem_candidate,klarner_rep_candidate,klarner_incumbency_balance,_merge,dem_vote_difference_texas_minus_klarner,rep_vote_difference_texas_minus_klarner,margin_difference_texas_minus_klarner,selected_outcome_source
TX,2014,house,144,5863.0,6015.0,-1.279676713251389,Mary Ann Perez,Gilbert Pena,1.0,0.0,1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,5863.0,6015.0,-1.279676713251389,"perez, mary a","pena, gilbert",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,145,,,,,,,,,,,,,,,,,,,,,,10255.0,0.0,100.0,"alvarado, carol",,1.0,right_only,,,,klarner_fallback
TX,2014,house,146,,,,,,,,,,,,,,,,,,,,,,21702.0,0.0,100.0,"miles, borris l",,1.0,right_only,,,,klarner_fallback
TX,2014,house,147,,,,,,,,,,,,,,,,,,,,,,25288.0,0.0,100.0,"coleman, garnet f",,1.0,right_only,,,,klarner_fallback
TX,2014,house,148,14207.0,9356.0,20.587361541399652,Jessica Cristina Farrar,Chris Carmona,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,14207.0,9356.0,20.587361541399652,"farrar, jessica c","carmona, chris",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,149,11954.0,9820.0,9.800679709745568,Hubert Vo,Al Hoang,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,11954.0,9820.0,9.800679709745568,"vo, hubert","hoang, al",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,150,10328.0,28133.0,-46.29364811107356,Amy Perez,Debbie Riddle,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,10328.0,28133.0,-46.29364811107356,"perez, amy","riddle, debbie",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,2,,,,,,,,,,,,,,,,,,,,,,0.0,99925.0,-100.0,,"hall, bob",0.0,right_only,,,,klarner_fallback
TX,2014,senate,3,,,,,,,,,,,,,,,,,,,,,,0.0,140069.0,-100.0,,"nichols, robert",-1.0,right_only,,,,klarner_fallback
TX,2014,senate,5,54286.0,112930.0,-35.070806621375944,Joel Shapiro,Charles Schwertner,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,54286.0,112930.0,-35.070806621375944,"shapiro, joel","schwertner, charles",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,7,45230.0,123551.0,-46.4039198724975,Jim Davis,Paul Bettencourt,0.0,0.0,0.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,45230.0,123551.0,-46.4039198724975,"davis, jim","bettencourt, paul",0.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,8,,,,,,,,,,,,,,,,,,,,,,0.0,114498.0,-100.0,,"taylor, van",0.0,right_only,,,,klarner_fallback
TX,2014,senate,9,47965.0,89331.0,-30.129064211630347,Gregory R. Perry,Kelly Hancock,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,47965.0,89331.0,-30.129064211630347,"perry, gregory r","hancock, kelly",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,10,80872.0,95532.0,-8.310469150359403,Libby Willis,Konni Burton,0.0,0.0,0.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,80872.0,95532.0,-8.310469150359403,"willis, libby","burton, konni",0.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,14,,,,,,,,,,,,,,,,,,,,,,154391.0,0.0,100.0,"watson, kirk",,1.0,right_only,,,,klarner_fallback
TX,2014,senate,15,74192.0,48249.0,21.188164095360214,John Whitmire,Ron Hale,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,74192.0,48249.0,21.188164095360214,"whitmire, john","hale, ron",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,16,,,,,,,,,,,,,,,,,,,,,,0.0,106546.0,-100.0,,"huffines, don",0.0,right_only,,,,klarner_fallback
TX,2014,senate,17,60934.0,113817.0,-30.261915525519168,Rita Lucido,Joan Huffman,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,60934.0,113817.0,-30.261915525519168,"lucido, rita","huffman, joan",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,23,99102.0,23520.0,61.63820521602975,Royce West,John Lawson,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,99102.0,23520.0,61.63820521602975,"west, royce","lawson, bishop j",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,25,75012.0,153536.0,-34.35777167159634,Daniel Boone,Donna Campbell,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,75012.0,153536.0,-34.35777167159634,"boone, daniel","campbell, donna",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,senate,30,,,,,,,,,,,,,,,,,,,,,,0.0,140240.0,-100.0,,"estes, craig",-1.0,right_only,,,,klarner_fallback
TX,2014,senate,31,,,,,,,,,,,,,,,,,,,,,,0.0,107885.0,-100.0,,"seliger, kel",-1.0,right_only,,,,klarner_fallback
