canonical_candidate_id,person_id,canonical_name,cycle,chamber,district,canonical_party,candidate_margin_overperformance,absolute_cmo,has_issue_evidence,manual_broad_search_logged,any_manual_search_logged,accepted_votesmart_identity,manual_identity_alias,legislative_source_checked_and_present,votesmart_questionnaire_checked_and_present,votesmart_rating_checked_and_present,votesmart_endorsement_checked_and_present,latest_manual_result,identity_status,final_research_status,exhaustion_basis,neutrality_imputed,prior_status,new_evidence_source_types,restated_at_utc
AL-2018-senate-23-D-MALIKA-SANDERS-FORTIER,ALPERSON-MALIKA-SANDERS-FORTIER,Malika Sanders-Fortier,2018,senate,23,D,75.83433406425803,75.83433406425803,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-105-R-COLLIER-JACK-SPENCER,ALPERSON-COLLIER-JACK-SPENCER,"Collier, ""Jack"" Spencer",2002,house,105,R,75.53573555595017,75.53573555595017,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-68-D-JACKSON,ALPERSON-JACKSON,Jackson,1994,house,68,D,73.84436146686701,73.84436146686701,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2018-senate-15-R-DAN-ROBERTS,ALPERSON-DAN-ROBERTS,Dan Roberts,2018,senate,15,R,70.79432383745167,70.79432383745167,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-senate-28-D-PENN-MYRON-C,ALPERSON-PENN-MYRON-C,"Penn, Myron C.",2002,senate,28,D,69.93717343811684,69.93717343811684,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-72-D-SINGLETON-BOBBY,ALPERSON-SINGLETON-BOBBY,"Singleton, Bobby",2002,house,72,D,68.70730232768182,68.70730232768182,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-69-D-JAMES-LOUIS-THOMAS,ALPERSON-JAMES-LOUIS-THOMAS,JAMES LOUIS THOMAS,2006,house,69,D,68.34194190383553,68.34194190383553,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-101-R-ISON-JAMIE,ALPERSON-ISON-JAMIE,"Ison, Jamie",2002,house,101,R,68.18959577057964,68.18959577057964,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-71-D-ARTIS-A-J-MCCAMPBELL,ALPERSON-ARTIS-A-J-MCCAMPBELL,ARTIS (A.J.) McCAMPBELL,2006,house,71,D,67.92164874683058,67.92164874683058,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-83-D-BANDY-GEORGE-TOOTIE,ALPERSON-BANDY-GEORGE-TOOTIE,"Bandy, George (Tootie)",2002,house,83,D,67.36362053132189,67.36362053132189,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-senate-34-R-MYERS-HAP,ALPERSON-MYERS-HAP,"Myers, Hap",2002,senate,34,R,67.21719663258737,67.21719663258737,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-98-D-JAMES-O-GORDON,ALPERSON-JAMES-O-GORDON,JAMES O. GORDON,2006,house,98,D,64.76697021220394,64.76697021220394,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2018-house-77-D-TASHINA-MORRIS,ALPERSON-TASHINA-MORRIS,Tashina Morris,2018,house,77,D,63.74262957509687,63.74262957509687,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2010-house-88-R-PAUL-BECKMAN,ALPERSON-PAUL-BECKMAN,PAUL BECKMAN,2010,house,88,R,62.899187364285766,62.899187364285766,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-75-R-GREG-WREN,ALPERSON-GREG-WREN,GREG WREN,2006,house,75,R,61.691834832179865,61.691834832179865,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2010-house-69-D-DAVID-COLSTON,ALPERSON-DAVID-COLSTON,DAVID COLSTON,2010,house,69,D,61.68426815189205,61.68426815189205,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-15-R-PAT-MOORE,ALPERSON-PAT-MOORE,PAT MOORE,2006,house,15,R,61.63059987025447,61.63059987025447,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2014-senate-29-R-MELINDA-MCCLENDON,ALPERSON-MELINDA-MCCLENDON,Melinda McClendon,2014,senate,29,R,60.52722444602824,60.52722444602824,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-81-R-PATTERSON-BENJIE,ALPERSON-PATTERSON-BENJIE,"Patterson, Benjie",2002,house,81,R,-59.74535361665579,59.74535361665579,False,True,True,False,False,False,False,False,False,searched_no_directional_evidence,full_name_official_roster,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-83-D-BANDY,ALPERSON-BANDY,Bandy,1994,house,83,D,59.619940135768864,59.619940135768864,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2010-house-67-D-DARRIO-MELTON,ALPERSON-DARRIO-MELTON,DARRIO MELTON,2010,house,67,D,59.02487915837887,59.02487915837887,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-87-R-WARREN-HARRIS-BECK,ALPERSON-WARREN-HARRIS-BECK,WARREN HARRIS BECK,2006,house,87,R,58.53524347070623,58.53524347070623,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-33-D-FIGURES,ALPERSON-FIGURES,Figures,1994,senate,33,D,58.533287167481575,58.533287167481575,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-26-D-LANGFORD,ALPERSON-LANGFORD,Langford,1994,senate,26,D,58.39527285431841,58.39527285431841,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
