canonical_candidate_id,person_id,candidate,cycle,chamber,district,party,candidate_cmo,cmo_tail,cmo_extremity,cmo_priority_valid,identity_researchable,missing_core_issues,missing_all_issues,prior_attempts,latest_result_status,social_query,economic_query,archive_query,search_url,priority_score,tail_rank
AL-1994-house-27-D-MURPHREE,ALPERSON-MURPHREE,Jim Murphree,1994,house,27,D,28.54577093299054,high,28.54577093299054,True,True,21,81,1,identity_resolved_no_evidence,"""Jim Murphree"" Alabama candidate 1994 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Jim Murphree"" Alabama candidate 1994 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Jim Murphree"" Alabama House Senate campaign 1994",https://www.google.com/search?q=%22Jim+Murphree%22+Alabama+candidate+1994+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.84577093299053,11
AL-1994-house-27-R-MARTIN,ALPERSON-MARTIN,Dennis Dink Martin,1994,house,27,R,-28.54577093299054,low,28.54577093299054,True,True,21,81,1,identity_resolved_no_issue_evidence,"""Dennis Dink Martin"" Alabama candidate 1994 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Dennis Dink Martin"" Alabama candidate 1994 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Dennis Dink Martin"" Alabama House Senate campaign 1994",https://www.google.com/search?q=%22Dennis+Dink+Martin%22+Alabama+candidate+1994+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.84577093299053,11
AL-2002-house-3-D-BLACK-MARCEL,ALPERSON-BLACK-MARCEL,Marcel Black,2002,house,3,D,28.963957144439554,high,28.963957144439554,True,True,19,78,1,directional_legislative_evidence_found,"""Marcel Black"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Marcel Black"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Marcel Black"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Marcel+Black%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.61395714443955,12
AL-2010-senate-22-R-DANNY-B-JOYNER,ALPERSON-DANNY-B-JOYNER,Danny B Joyner,2010,senate,22,R,-33.126295861983294,low,33.126295861983294,True,True,6,58,1,searched_no_evidence,"""Danny B Joyner"" Alabama candidate 2010 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Danny B Joyner"" Alabama candidate 2010 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Danny B Joyner"" Alabama House Senate campaign 2010",https://www.google.com/search?q=%22Danny+B+Joyner%22+Alabama+candidate+2010+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.52629586198329,12
AL-1998-house-2-D-HAMILTON,ALPERSON-HAMILTON,James H Hamilton,1998,house,2,D,28.8169480974968,high,28.8169480974968,True,True,19,79,1,identity_resolved_no_new_directional_evidence,"""James H Hamilton"" Alabama candidate 1998 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""James H Hamilton"" Alabama candidate 1998 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""James H Hamilton"" Alabama House Senate campaign 1998",https://www.google.com/search?q=%22James+H+Hamilton%22+Alabama+candidate+1998+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.51694809749681,13
AL-1998-house-5-R-ANDREWS,ALPERSON-ANDREWS,Andrews,1998,house,5,R,-36.2220125990595,low,36.2220125990595,True,False,21,81,1,identity_unresolved,"""Andrews"" Alabama candidate 1998 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Andrews"" Alabama candidate 1998 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Andrews"" Alabama House Senate campaign 1998",https://www.google.com/search?q=%22Andrews%22+Alabama+candidate+1998+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.522012599059494,13
AL-2006-house-102-R-CHAD-FINCHER,ALPERSON-CHAD-FINCHER,CHAD FINCHER,2006,house,102,R,28.160784420794336,high,28.160784420794336,True,True,21,81,1,evidence_found,"""CHAD FINCHER"" Alabama candidate 2006 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""CHAD FINCHER"" Alabama candidate 2006 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""CHAD FINCHER"" Alabama House Senate campaign 2006",https://www.google.com/search?q=%22CHAD+FINCHER%22+Alabama+candidate+2006+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.46078442079433,14
AL-1998-senate-4-R-HALE,ALPERSON-HALE,Hale,1998,senate,4,R,-28.101979019337808,low,28.101979019337808,True,True,21,81,1,searched_no_evidence,"""Hale"" Alabama candidate 1998 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Hale"" Alabama candidate 1998 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Hale"" Alabama House Senate campaign 1998",https://www.google.com/search?q=%22Hale%22+Alabama+candidate+1998+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.4019790193378,14
AL-2010-senate-13-D-GREG-VARNER,ALPERSON-GREG-VARNER,Greg Varner,2010,senate,13,D,28.6306273784636,high,28.6306273784636,True,True,19,79,1,searched_no_new_evidence,"""Greg Varner"" Alabama candidate 2010 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Greg Varner"" Alabama candidate 2010 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Greg Varner"" Alabama House Senate campaign 2010",https://www.google.com/search?q=%22Greg+Varner%22+Alabama+candidate+2010+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.3306273784636,15
AL-2002-senate-8-R-HAMMONDS-DAVID,ALPERSON-HAMMONDS-DAVID,Hammonds David,2002,senate,8,R,-28.05628736402721,low,28.05628736402721,True,True,21,81,1,searched_no_evidence,"""Hammonds David"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Hammonds David"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Hammonds David"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Hammonds+David%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.35628736402721,15
