county_norm,precinct_norm,office,district,district_activity,office_activity,activity_share
BALDWIN,LOXLEY TOWN HALL,State House,64.0,440,527,0.8349146110056926
BALDWIN,LOXLEY TOWN HALL,State House,66.0,87,527,0.1650853889943074
BALDWIN,LOXLEY TOWN HALL,State Senate,22.0,284,527,0.538899430740038
BALDWIN,LOXLEY TOWN HALL,State Senate,32.0,243,527,0.46110056925996207
BALDWIN,MAG SPGS WESLEYAN CHURCH,State House,94.0,1479,1506,0.9820717131474104
BALDWIN,MAG SPGS WESLEYAN CHURCH,State House,95.0,27,1506,0.017928286852589643
BALDWIN,MAG SPGS WESLEYAN CHURCH,State Senate,32.0,1506,1506,1.0
BALDWIN,MARLOW VOLUNTEER FIRE DEPARTMENT,State House,94.0,913,913,1.0
BALDWIN,MARLOW VOLUNTEER FIRE DEPARTMENT,State Senate,32.0,913,913,1.0
BALDWIN,MIFLIN COMMUNITY CENTER,State House,95.0,1209,1209,1.0
BALDWIN,MIFLIN COMMUNITY CENTER,State Senate,32.0,1209,1209,1.0
BALDWIN,NEW LIFE ASSEMBLY OF GOD,State House,64.0,300,1480,0.20270270270270271
BALDWIN,NEW LIFE ASSEMBLY OF GOD,State House,96.0,1180,1480,0.7972972972972973
BALDWIN,NEW LIFE ASSEMBLY OF GOD,State Senate,22.0,496,1480,0.33513513513513515
BALDWIN,NEW LIFE ASSEMBLY OF GOD,State Senate,32.0,984,1480,0.6648648648648648
BALDWIN,OLD DOUGLASVILLE SCHOOL,State House,64.0,190,190,1.0
BALDWIN,OLD DOUGLASVILLE SCHOOL,State Senate,22.0,190,190,1.0
BALDWIN,ORANGE BEACH COMMUNITY,State House,95.0,2355,2355,1.0
BALDWIN,ORANGE BEACH COMMUNITY,State Senate,32.0,2355,2355,1.0
BALDWIN,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,State House,95.0,324,324,1.0
BALDWIN,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,State Senate,32.0,324,324,1.0
BALDWIN,PERDIDO VOLUNTEER FIRE DEPARTMENT,State House,64.0,4,298,0.013422818791946308
BALDWIN,PERDIDO VOLUNTEER FIRE DEPARTMENT,State House,66.0,294,298,0.9865771812080537
BALDWIN,PERDIDO VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,298,298,1.0
BALDWIN,PINEGROVE VOLUNTEER FIRE DEPARTMENT 1,State House,64.0,273,471,0.5796178343949044
BALDWIN,PINEGROVE VOLUNTEER FIRE DEPARTMENT 1,State House,66.0,198,471,0.42038216560509556
BALDWIN,PINEGROVE VOLUNTEER FIRE DEPARTMENT 1,State Senate,22.0,471,471,1.0
BALDWIN,PROVISIONAL,State House,64.0,23,139,0.16546762589928057
BALDWIN,PROVISIONAL,State House,66.0,9,139,0.06474820143884892
BALDWIN,PROVISIONAL,State House,68.0,0,139,0.0
BALDWIN,PROVISIONAL,State House,94.0,35,139,0.2517985611510791
BALDWIN,PROVISIONAL,State House,95.0,33,139,0.23741007194244604
BALDWIN,PROVISIONAL,State House,96.0,39,139,0.2805755395683453
BALDWIN,PROVISIONAL,State Senate,22.0,26,150,0.17333333333333334
BALDWIN,PROVISIONAL,State Senate,32.0,124,150,0.8266666666666667
BALDWIN,PT CLEAR SAINT FRANCIS,State House,94.0,660,660,1.0
BALDWIN,PT CLEAR SAINT FRANCIS,State Senate,32.0,660,660,1.0
BALDWIN,RABUN VOLUNTEER FIRE DEPARTMENT,State House,64.0,254,254,1.0
BALDWIN,RABUN VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,254,254,1.0
BALDWIN,ROBERTSDALE CITY HALL,State House,64.0,975,1189,0.8200168208578638
BALDWIN,ROBERTSDALE CITY HALL,State House,66.0,90,1189,0.07569386038687972
BALDWIN,ROBERTSDALE CITY HALL,State House,94.0,124,1189,0.10428931875525652
BALDWIN,ROBERTSDALE CITY HALL,State Senate,22.0,657,1189,0.552565180824222
BALDWIN,ROBERTSDALE CITY HALL,State Senate,32.0,532,1189,0.447434819175778
BALDWIN,ROSINTON METHODIST,State House,64.0,493,703,0.701280227596017
BALDWIN,ROSINTON METHODIST,State House,66.0,210,703,0.29871977240398295
BALDWIN,ROSINTON METHODIST,State Senate,22.0,703,703,1.0
BALDWIN,SEMINOLE VOLUNTEER FIRE DEPARTMENT,State House,66.0,293,293,1.0
BALDWIN,SEMINOLE VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,293,293,1.0
BALDWIN,SILVERHILL TOWN HALL,State House,64.0,719,1038,0.6926782273603083
BALDWIN,SILVERHILL TOWN HALL,State House,94.0,319,1038,0.30732177263969174
BALDWIN,SILVERHILL TOWN HALL,State Senate,32.0,1038,1038,1.0
BALDWIN,SPANISH FT EAST PT,State House,96.0,1812,1812,1.0
BALDWIN,SPANISH FT EAST PT,State Senate,22.0,352,1812,0.19426048565121412
BALDWIN,SPANISH FT EAST PT,State Senate,32.0,1460,1812,0.8057395143487859
BALDWIN,SPANISH FT VOLUNTEER FIRE DEPARTMENT,State House,96.0,998,998,1.0
BALDWIN,SPANISH FT VOLUNTEER FIRE DEPARTMENT,State Senate,32.0,998,998,1.0
BALDWIN,STAPLETON VOLUNTEER FIRE DEPARTMENT,State House,64.0,496,496,1.0
BALDWIN,STAPLETON VOLUNTEER FIRE DEPARTMENT,State House,66.0,0,496,0.0
BALDWIN,STAPLETON VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,496,496,1.0
BALDWIN,STOCKTON CIVIC BUILDING,State House,64.0,268,268,1.0
BALDWIN,STOCKTON CIVIC BUILDING,State Senate,22.0,268,268,1.0
BALDWIN,STOCKTON CIVIC BUILDING,State Senate,32.0,0,268,0.0
BALDWIN,SUMMERDALE COMMUNITY,State House,66.0,219,849,0.2579505300353357
BALDWIN,SUMMERDALE COMMUNITY,State House,94.0,630,849,0.7420494699646644
BALDWIN,SUMMERDALE COMMUNITY,State House,95.0,0,849,0.0
BALDWIN,SUMMERDALE COMMUNITY,State Senate,22.0,142,849,0.16725559481743227
BALDWIN,SUMMERDALE COMMUNITY,State Senate,32.0,707,849,0.8327444051825678
BALDWIN,TENSAW VOLUNTEER FIRE DEPARTMENT,State House,64.0,8,82,0.0975609756097561
BALDWIN,TENSAW VOLUNTEER FIRE DEPARTMENT,State House,68.0,74,82,0.9024390243902439
BALDWIN,TENSAW VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,82,82,1.0
BALDWIN,VAUGHN COMMUNITY CENTER,State House,64.0,96,214,0.4485981308411215
BALDWIN,VAUGHN COMMUNITY CENTER,State House,68.0,118,214,0.5514018691588785
BALDWIN,VAUGHN COMMUNITY CENTER,State Senate,22.0,214,214,1.0
BALDWIN,WHITEHOUSE FORK,State House,64.0,392,392,1.0
BALDWIN,WHITEHOUSE FORK,State Senate,22.0,392,392,1.0
BARBOUR,ABSENTEE,State House,84.0,590,590,1.0
BARBOUR,ABSENTEE,State Senate,28.0,590,590,1.0
BARBOUR,BAKERHILL TOWN HALL,State House,84.0,217,217,1.0
BARBOUR,BAKERHILL TOWN HALL,State Senate,28.0,217,217,1.0
BARBOUR,BEVILL CENTER,State House,84.0,587,587,1.0
BARBOUR,BEVILL CENTER,State Senate,28.0,587,587,1.0
BARBOUR,BLUE SPRINGS CITY HALL,State House,84.0,154,154,1.0
BARBOUR,BLUE SPRINGS CITY HALL,State Senate,28.0,154,154,1.0
BARBOUR,CLAYTON COURTHOUSE,State House,84.0,581,581,1.0
BARBOUR,CLAYTON COURTHOUSE,State Senate,28.0,581,581,1.0
BARBOUR,CLIO CITY HALL,State House,84.0,315,315,1.0
BARBOUR,CLIO CITY HALL,State Senate,28.0,315,315,1.0
BARBOUR,ELAMVILLE VOLUNTEER FIRE,State House,84.0,183,183,1.0
BARBOUR,ELAMVILLE VOLUNTEER FIRE,State Senate,28.0,183,183,1.0
BARBOUR,EUFAULA COMMUNITY CENTER,State House,84.0,766,766,1.0
BARBOUR,EUFAULA COMMUNITY CENTER,State Senate,28.0,766,766,1.0
BARBOUR,EUFAULA WATER BOARD,State House,84.0,523,523,1.0
BARBOUR,EUFAULA WATER BOARD,State Senate,28.0,523,523,1.0
BARBOUR,FELLOWSHIP BAPTIST,State House,84.0,639,639,1.0
BARBOUR,FELLOWSHIP BAPTIST,State Senate,28.0,639,639,1.0
BARBOUR,GREENS CROSSROADS,State House,84.0,122,122,1.0
BARBOUR,GREENS CROSSROADS,State Senate,28.0,122,122,1.0
BARBOUR,LOUISVILLE CITY HALL,State House,84.0,387,387,1.0
BARBOUR,LOUISVILLE CITY HALL,State Senate,28.0,387,387,1.0
BARBOUR,MCCOO SCHOOL,State House,84.0,660,660,1.0
BARBOUR,MCCOO SCHOOL,State Senate,28.0,660,660,1.0
BARBOUR,MOUNT ANDREW COMMUNITY CENTER,State House,84.0,115,115,1.0
BARBOUR,MOUNT ANDREW COMMUNITY CENTER,State Senate,28.0,115,115,1.0
BARBOUR,PROVISIONAL,State House,84.0,10,10,1.0
BARBOUR,PROVISIONAL,State Senate,28.0,10,10,1.0
BARBOUR,SANFORD AVENUE GYM,State House,84.0,629,629,1.0
BARBOUR,SANFORD AVENUE GYM,State Senate,28.0,629,629,1.0
BARBOUR,SPRINGHILL VOLUNTEER FIRE DEPARTMENT,State House,84.0,227,227,1.0
BARBOUR,SPRINGHILL VOLUNTEER FIRE DEPARTMENT,State Senate,28.0,227,227,1.0
BARBOUR,TEXASVILLE COMMUNITY CENTER,State House,84.0,206,206,1.0
BARBOUR,TEXASVILLE COMMUNITY CENTER,State Senate,28.0,206,206,1.0
BIBB,ABSENTEE,State House,49.0,58,60,0.9666666666666667
BIBB,ABSENTEE,State House,72.0,2,60,0.03333333333333333
BIBB,ABSENTEE,State Senate,14.0,71,71,1.0
BIBB,ALTERNATIVE SCHOOL,State House,49.0,744,744,1.0
BIBB,ALTERNATIVE SCHOOL,State Senate,14.0,760,760,1.0
BIBB,BRENT CITY HALL,State House,49.0,19,370,0.051351351351351354
BIBB,BRENT CITY HALL,State House,72.0,351,370,0.9486486486486486
BIBB,BRENT CITY HALL,State Senate,14.0,222,222,1.0
BIBB,CENTREVILLE ROCK BUILDING,State House,49.0,385,483,0.7971014492753623
BIBB,CENTREVILLE ROCK BUILDING,State House,72.0,98,483,0.2028985507246377
BIBB,CENTREVILLE ROCK BUILDING,State Senate,14.0,515,515,1.0
BIBB,EOLINE FIRE DEPARTMENT,State House,49.0,189,251,0.7529880478087649
BIBB,EOLINE FIRE DEPARTMENT,State House,72.0,62,251,0.24701195219123506
BIBB,EOLINE FIRE DEPARTMENT,State Senate,14.0,335,335,1.0
BIBB,GREENPOND FIRE DEPARTMENT,State House,49.0,759,759,1.0
BIBB,GREENPOND FIRE DEPARTMENT,State Senate,14.0,766,766,1.0
BIBB,LAWLEY COMMUNITY CENTER,State House,49.0,245,245,1.0
BIBB,LAWLEY COMMUNITY CENTER,State Senate,14.0,247,247,1.0
BIBB,NATIONAL GUARD ARMORY,State House,49.0,474,567,0.8359788359788359
BIBB,NATIONAL GUARD ARMORY,State House,72.0,93,567,0.164021164021164
BIBB,NATIONAL GUARD ARMORY,State Senate,14.0,607,607,1.0
BIBB,PROVISIONAL,State House,49.0,0,0,
BIBB,PROVISIONAL,State House,72.0,0,0,
BIBB,PROVISIONAL,State Senate,14.0,0,0,
BIBB,SIX MILE COMMUNITY CENTER,State House,49.0,324,324,1.0
BIBB,SIX MILE COMMUNITY CENTER,State Senate,14.0,332,332,1.0
BIBB,TOTAL,State House,49.0,3265,3883,0.8408447077002318
BIBB,TOTAL,State House,72.0,618,3883,0.15915529229976821
BIBB,TOTAL,State Senate,14.0,3926,3926,1.0
BLOUNT,ABSENTEE,State House,11.0,33,38,0.868421052631579
BLOUNT,ABSENTEE,State House,13.0,5,38,0.13157894736842105
BLOUNT,ABSENTEE,State Senate,9.0,28,148,0.1891891891891892
BLOUNT,ABSENTEE,State Senate,17.0,120,148,0.8108108108108109
BLOUNT,ALLGOOD TOWN HALL,State Senate,17.0,276,276,1.0
BLOUNT,BLOUNT SPRINGS,State Senate,17.0,162,162,1.0
BLOUNT,BLOUNTSVILLE,State House,11.0,712,712,1.0
BLOUNT,BLOUNTSVILLE,State Senate,9.0,601,712,0.8441011235955056
BLOUNT,BLOUNTSVILLE,State Senate,17.0,111,712,0.15589887640449437
BLOUNT,BROOKSVILLE,State House,11.0,205,205,1.0
BLOUNT,BROOKSVILLE,State Senate,9.0,205,205,1.0
BLOUNT,CLEVELAND,State House,11.0,645,645,1.0
BLOUNT,CLEVELAND,State Senate,17.0,645,645,1.0
BLOUNT,DALLAS SELFVILLE,State Senate,17.0,685,685,1.0
BLOUNT,HAYDEN,State Senate,17.0,1401,1401,1.0
BLOUNT,HOLLY SPRINGS,State Senate,17.0,190,190,1.0
BLOUNT,LOCUST FORK,State Senate,17.0,824,824,1.0
BLOUNT,MOUNT HIGH,State House,13.0,878,878,1.0
BLOUNT,MOUNT HIGH,State Senate,17.0,890,890,1.0
BLOUNT,MURPHREE VALLEY,State Senate,17.0,287,287,1.0
BLOUNT,NECTAR,State House,11.0,505,505,1.0
BLOUNT,NECTAR,State Senate,17.0,513,513,1.0
BLOUNT,ONEONTA,State Senate,17.0,1200,1200,1.0
BLOUNT,PINE MOUNTAIN,State Senate,17.0,216,216,1.0
BLOUNT,PROFESSIONAL,State House,11.0,1,1,1.0
BLOUNT,PROFESSIONAL,State House,13.0,0,1,0.0
BLOUNT,PROFESSIONAL,State Senate,9.0,1,8,0.125
BLOUNT,PROFESSIONAL,State Senate,17.0,7,8,0.875
BLOUNT,REMLAP,State Senate,17.0,551,551,1.0
BLOUNT,ROCK SPRINGS,State Senate,9.0,233,233,1.0
BLOUNT,ROSA,State House,11.0,350,350,1.0
BLOUNT,ROSA,State Senate,17.0,351,351,1.0
BLOUNT,ROYAL,State House,11.0,192,192,1.0
BLOUNT,ROYAL,State Senate,9.0,194,194,1.0
BLOUNT,SAINT MOUNTAIN,State Senate,17.0,732,732,1.0
BLOUNT,SMOKE RISE,State House,13.0,271,271,1.0
BLOUNT,SMOKE RISE,State Senate,17.0,688,688,1.0
BLOUNT,SNEAD,State House,11.0,40,40,1.0
BLOUNT,SNEAD,State Senate,9.0,523,523,1.0
BLOUNT,SUGAR CREEK BANGOR,State Senate,17.0,294,294,1.0
BLOUNT,SUMMIT,State Senate,9.0,166,166,1.0
BLOUNT,SUSAN MOORE,State House,11.0,49,49,1.0
BLOUNT,SUSAN MOORE,State Senate,9.0,365,365,1.0
BLOUNT,TOTAL,State House,11.0,2732,3886,0.7030365414307771
BLOUNT,TOTAL,State House,13.0,1154,3886,0.29696345856922285
BLOUNT,TOTAL,State Senate,9.0,2316,12459,0.1858897182759451
BLOUNT,TOTAL,State Senate,17.0,10143,12459,0.8141102817240549
BULLOCK,ABERFOIL,State House,84.0,124,124,1.0
BULLOCK,ABERFOIL,State Senate,28.0,124,124,1.0
BULLOCK,ABSENTEE,State House,84.0,388,388,1.0
BULLOCK,ABSENTEE,State Senate,28.0,388,388,1.0
BULLOCK,CORINTH,State House,84.0,30,30,1.0
BULLOCK,CORINTH,State Senate,28.0,30,30,1.0
BULLOCK,CORNERSTONE,State House,84.0,164,164,1.0
BULLOCK,CORNERSTONE,State Senate,28.0,164,164,1.0
BULLOCK,FITZPATRICK,State House,84.0,157,157,1.0
BULLOCK,FITZPATRICK,State Senate,28.0,157,157,1.0
BULLOCK,GUERRYTON SEHOY PLANT RD,State House,84.0,43,43,1.0
BULLOCK,GUERRYTON SEHOY PLANT RD,State Senate,28.0,43,43,1.0
BULLOCK,INDIAN CREEK,State House,84.0,89,89,1.0
BULLOCK,INDIAN CREEK,State Senate,28.0,89,89,1.0
BULLOCK,INVERNESS,State House,84.0,71,71,1.0
BULLOCK,INVERNESS,State Senate,28.0,71,71,1.0
BULLOCK,MIDWAY,State House,84.0,334,334,1.0
BULLOCK,MIDWAY,State Senate,28.0,334,334,1.0
BULLOCK,PEACHBURG,State House,84.0,70,70,1.0
BULLOCK,PEACHBURG,State Senate,28.0,70,70,1.0
BULLOCK,PEROTE,State House,84.0,91,91,1.0
BULLOCK,PEROTE,State Senate,28.0,91,91,1.0
BULLOCK,POST OAK,State House,84.0,159,159,1.0
BULLOCK,POST OAK,State Senate,28.0,159,159,1.0
BULLOCK,PROVISIONAL,State House,84.0,3,3,1.0
BULLOCK,PROVISIONAL,State Senate,28.0,2,2,1.0
BULLOCK,SARDIS,State House,84.0,81,81,1.0
BULLOCK,SARDIS,State Senate,28.0,81,81,1.0
BULLOCK,THOMPSON,State House,84.0,72,72,1.0
BULLOCK,THOMPSON,State Senate,28.0,72,72,1.0
BULLOCK,THREE NOTCH US HWY 82 E,State House,84.0,71,71,1.0
BULLOCK,THREE NOTCH US HWY 82 E,State Senate,28.0,71,71,1.0
BULLOCK,UNION SPRINGS ARMORY,State House,84.0,1277,1277,1.0
BULLOCK,UNION SPRINGS ARMORY,State Senate,28.0,1276,1276,1.0
BUTLER,ABSENTEE,State House,90.0,241,241,1.0
BUTLER,ABSENTEE,State Senate,23.0,193,193,1.0
BUTLER,BOLLING VOTING HOUSE,State House,90.0,80,80,1.0
BUTLER,BOLLING VOTING HOUSE,State Senate,23.0,39,39,1.0
BUTLER,CALCULATED TOTALS,State House,90.0,5905,5905,1.0
BUTLER,CALCULATED TOTALS,State Senate,23.0,3298,3298,1.0
BUTLER,CENTER HILL VOTING HOUSE,State House,90.0,95,95,1.0
BUTLER,CENTER HILL VOTING HOUSE,State Senate,23.0,73,73,1.0
