result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note
23,BALDWIN,BAY MINETTE CIVIC CENTER,BAY MINETTE CIVIC CENTER,BAY MINETTE CIVIC CENTER,2014-General-Baldwin.xlsx,contest_rows,False,010030050,0050,Bay Minette Douglasville Community Center,BAY MINETTE DOUGLASVILLE COMMUNITY CENTER,review,85.5,0.0,2,BAY MINETTE CITY HALL AND CIVIC CENTER,85.5,FOLEY CIVIC CENTER,76.0,False,True,low_or_ambiguous_score,,
26,BALDWIN,BROMLEY VFD SUBST,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,2014-General-Baldwin.xlsx,contest_rows,False,010030060,0060,Bromley Crossroads Vol. Fire Dept. Substation,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,review,87.08,1.58,3,JOSEPHINE FIRE HOUSE,85.5,PERDIDO BEACH FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
27,BALDWIN,CLEAR SPG FELLOWSHIP,CLEAR SPG FELLOWSHIP,CLEAR SPG FELLOWSHIP,2014-General-Baldwin.xlsx,contest_rows,False,01003042B,042B,Point Clear St. Francis Church,POINT CLEAR SAINT FRANCIS CHURCH,review,85.5,1.06,2,CLEAR SPRINGS FELLOWSHIP HALL,84.44,LOXLEY ELLISVILLE COMMUNITY CENTER,42.35,False,True,low_or_ambiguous_score,,
28,BALDWIN,CROSSROADS DURANT,CROSSROADS DURANT,CROSSROADS DURANT,2014-General-Baldwin.xlsx,contest_rows,False,010030040,0040,Crossroads Durant Chapel Church,CROSSROADS DURANT CHAPEL CHURCH,review,90.0,4.5,1,BROMLEY CROSSROADS VOLUNTEER FIRE DEPARTMENT SUBSTATION,85.5,ROSINTON UNITED METHODIST CHURCH,48.0,False,True,low_or_ambiguous_score,,
34,BALDWIN,FAIRHOPE -3 CIRCLE CHURCH,FAIRHOPE 3 CIRCLE CHURCH,FAIRHOPE 3 CIRCLE CHURCH,2014-General-Baldwin.xlsx,contest_rows,False,010030450,0450,Spanish Fort Eastpointe Baptist Church,SPANISH FORT EASTPOINTE BAPTIST CHURCH,review,85.5,18.83,1,FAIRHOPE CIVIC CENTER,66.67,POINT CLEAR SAINT FRANCIS CHURCH,50.89,False,True,low_or_ambiguous_score,,
37,BALDWIN,FT_ MORGAN VFD #1,FT MORGAN VOLUNTEER FIRE DEPARTMENT 1,FT MORGAN VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030400,0400,Fort Morgan VFD Station #2,FORT MORGAN VOLUNTEER FIRE DEPARTMENT STATION 2,review,90.75,5.25,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
38,BALDWIN,GATESWOOD VFD,GATESWOOD VOLUNTEER FIRE DEPARTMENT,GATESWOOD VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030020,0020,Tensaw Volunteer Fire Dept,TENSAW VOLUNTEER FIRE DEPARTMENT,review,89.55,4.05,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
39,BALDWIN,GULF SHORES ACTIVITY,GULF SHORES ACTIVITY,GULF SHORES ACTIVITY,2014-General-Baldwin.xlsx,contest_rows,False,010030390,0390,Gulf Shores Adult Activity Center,GULF SHORES ADULT ACTIVITY CENTER,review,85.5,36.72,1,FAIRHOPE CIVIC CENTER,48.78,BELFOREST COMMUNITY CENTER,47.83,False,True,low_or_ambiguous_score,,
40,BALDWIN,JOSEPHINE VFD,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030340,0340,Josephine Fire House,JOSEPHINE FIRE HOUSE,review,85.5,0.0,3,SEMINOLE FIRE HOUSE,85.5,GATESWOOD FIRE STATION,85.5,False,True,low_or_ambiguous_score,,
45,BALDWIN,MAG SPGS WESLEYAN CH_,MAG SPGS WESLEYAN CHURCH,MAG SPGS WESLEYAN CHURCH,2014-General-Baldwin.xlsx,contest_rows,False,010030360,0360,Magnolia Springs Wesleyan Church,MAGNOLIA SPRINGS WESLEYAN CHURCH,review,85.71,0.21,2,SPANISH FORT EASTPOINTE BAPTIST CHURCH,85.5,POINT CLEAR SAINT FRANCIS CHURCH,50.89,False,True,low_or_ambiguous_score,,
48,BALDWIN,NEW LIFE ASSEMBLY OF GOD,NEW LIFE ASSEMBLY OF GOD,NEW LIFE ASSEMBLY OF GOD,2014-General-Baldwin.xlsx,contest_rows,False,010030130,0130,Rabun Fire House,RABUN FIRE HOUSE,review,43.45,0.82,2,WHITE HOUSE FORK VOLUNTEER FIRE DEPARTMENT,42.63,LITTLE RIVER FERGUSON STORE,40.98,False,True,low_or_ambiguous_score,,
49,BALDWIN,OLD DOUGLASVILLE SCHOOL,OLD DOUGLASVILLE SCHOOL,OLD DOUGLASVILLE SCHOOL,2014-General-Baldwin.xlsx,contest_rows,False,010030050,0050,Bay Minette Douglasville Community Center,BAY MINETTE DOUGLASVILLE COMMUNITY CENTER,review,85.5,34.52,1,DAPHNE HIGH SCHOOL,50.98,PERDIDO ELEMENTARY SCHOOL,50.0,False,True,low_or_ambiguous_score,,
51,BALDWIN,PERDIDO BEACH VFD,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,PERDIDO BEACH VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030340,0340,Josephine Fire House,JOSEPHINE FIRE HOUSE,review,85.5,0.0,3,PERDIDO BEACH FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
52,BALDWIN,PERDIDO VOL_ FIRE DEPT_,PERDIDO VOLUNTEER FIRE DEPARTMENT,PERDIDO VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,86.15,0.65,3,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
56,BALDWIN,RABUN VFD,RABUN VOLUNTEER FIRE DEPARTMENT,RABUN VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,85.71,0.0,3,TENSAW VOLUNTEER FIRE DEPARTMENT,85.71,FORT MORGAN VOLUNTEER FIRE DEPARTMENT STATION 2,85.5,False,True,low_or_ambiguous_score,,
58,BALDWIN,ROSINTON METHODIST,ROSINTON METHODIST,ROSINTON METHODIST,2014-General-Baldwin.xlsx,contest_rows,False,010030220,0220,Rosinton United Methodist Church,ROSINTON UNITED METHODIST CHURCH,review,85.5,36.64,1,POINT CLEAR SAINT FRANCIS CHURCH,48.86,SEMINOLE FIRE HOUSE,48.65,False,True,low_or_ambiguous_score,,
59,BALDWIN,SEMINOLE VFD,SEMINOLE VOLUNTEER FIRE DEPARTMENT,SEMINOLE VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030340,0340,Josephine Fire House,JOSEPHINE FIRE HOUSE,review,85.5,0.0,3,SEMINOLE FIRE HOUSE,85.5,GATESWOOD FIRE STATION,85.5,False,True,low_or_ambiguous_score,,
61,BALDWIN,SPANISH FT EAST PT,SPANISH FT EAST PT,SPANISH FT EAST PT,2014-General-Baldwin.xlsx,contest_rows,False,010030450,0450,Spanish Fort Eastpointe Baptist Church,SPANISH FORT EASTPOINTE BAPTIST CHURCH,review,85.5,0.0,2,SPANISH FORT FIRE DEPARTMENT,85.5,CLEAR SPRINGS FELLOWSHIP HALL,45.0,False,True,low_or_ambiguous_score,,
62,BALDWIN,SPANISH FT VFD,SPANISH FT VOLUNTEER FIRE DEPARTMENT,SPANISH FT VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030460,0460,Spanish Fort Fire Department,SPANISH FORT FIRE DEPARTMENT,review,85.69,0.19,3,JOSEPHINE FIRE HOUSE,85.5,PERDIDO BEACH FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
63,BALDWIN,STAPLETON VFD,STAPLETON VOLUNTEER FIRE DEPARTMENT,STAPLETON VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,86.57,0.0,3,TENSAW VOLUNTEER FIRE DEPARTMENT,86.57,JOSEPHINE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
64,BALDWIN,STOCKTON CIVIC BUILDING,STOCKTON CIVIC BUILDING,STOCKTON CIVIC BUILDING,2014-General-Baldwin.xlsx,contest_rows,False,010030150,0150,Bay Minette City Hall & Civic Center,BAY MINETTE CITY HALL AND CIVIC CENTER,review,85.5,28.36,1,STOCKTON FIRE HOUSE,57.14,FOLEY CIVIC CENTER,43.9,False,True,low_or_ambiguous_score,,
68,BALDWIN,WHITEHOUSE FORK,WHITEHOUSE FORK,WHITEHOUSE FORK,2014-General-Baldwin.xlsx,contest_rows,False,010030170,0170,White House Fork Vol. Fire Dept.,WHITE HOUSE FORK VOLUNTEER FIRE DEPARTMENT,review,85.5,32.17,1,PERDIDO BEACH FIRE HOUSE,53.33,RABUN FIRE HOUSE,49.03,False,True,low_or_ambiguous_score,,
71,BARBOUR,BEVILL CENTER,BEVILL CENTER,BEVILL CENTER,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,90.0,4.5,1,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,85.5,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,55.38,False,True,low_or_ambiguous_score,,
75,BARBOUR,ELAMVILLE VOL_ FIRE,ELAMVILLE VOLUNTEER FIRE,ELAMVILLE VOLUNTEER FIRE,2014-General-Barbour.xlsx,contest_rows,False,010050020,0020,Sutton's Restaurant/Elamville Volunteer Fire Department,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,review,90.0,4.5,1,SPRINGHILL VOLUNTEER FIRE DEPARTMENT,85.5,COWIKEE VOLUNTEER FIRE DEPARTMENT,70.0,False,True,low_or_ambiguous_score,,
76,BARBOUR,EUFAULA COMMUNITY CENTER,EUFAULA COMMUNITY CENTER,EUFAULA COMMUNITY CENTER,2014-General-Barbour.xlsx,contest_rows,False,010050080,0080,Green's Cross Roads/ Mt. Andrew Community Ctr.,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,review,85.5,0.0,2,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,85.5,CLIO CITY HALL,45.0,False,True,low_or_ambiguous_score,,
77,BARBOUR,EUFAULA WATER BOARD,EUFAULA WATER BOARD,EUFAULA WATER BOARD,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,85.5,46.53,1,BAKER HILL TOWN HALL,38.97,COWIKEE VOLUNTEER FIRE DEPARTMENT,37.89,False,True,low_or_ambiguous_score,,
78,BARBOUR,FELLOWSHIP BAPTIST,FELLOWSHIP BAPTIST,FELLOWSHIP BAPTIST,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,85.5,44.59,1,WHITE OAK METHODIST CHURCH,40.91,LOUISVILLE CITY HALL,40.0,False,True,low_or_ambiguous_score,,
79,BARBOUR,GREENS CROSSROADS,GREENS CROSSROADS,GREENS CROSSROADS,2014-General-Barbour.xlsx,contest_rows,False,010050080,0080,Green's Cross Roads/ Mt. Andrew Community Ctr.,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,review,79.41,39.41,1,CLAYTON COURTHOUSE,40.0,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,37.06,False,True,low_or_ambiguous_score,,
81,BARBOUR,MCCOO SCHOOL,MCCOO SCHOOL,MCCOO SCHOOL,2014-General-Barbour.xlsx,contest_rows,False,010050030,0030,Clio City Hall,CLIO CITY HALL,review,46.15,3.4,1,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,42.75,CLAYTON COURTHOUSE,40.91,False,True,low_or_ambiguous_score,,
82,BARBOUR,MT_ ANDREW COMMUNITY CENTER,MOUNT ANDREW COMMUNITY CENTER,MOUNT ANDREW COMMUNITY CENTER,2014-General-Barbour.xlsx,contest_rows,False,010050080,0080,Green's Cross Roads/ Mt. Andrew Community Ctr.,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,review,90.0,4.5,1,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,85.5,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,43.45,False,True,low_or_ambiguous_score,,
84,BARBOUR,SANFORD AVENUE GYM,SANFORD AVENUE GYM,SANFORD AVENUE GYM,2014-General-Barbour.xlsx,contest_rows,False,010050050,0050,Bevill Center/Chatthoochee Cts Com Ctr/Eufaula Com Ctr/Eufaula WB/Fellowship BC/Sanford AG,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,review,85.5,45.5,1,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,40.0,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,35.0,False,True,low_or_ambiguous_score,,
86,BARBOUR,TEXASVILLE COMMUNITY CENTER,TEXASVILLE COMMUNITY CENTER,TEXASVILLE COMMUNITY CENTER,2014-General-Barbour.xlsx,contest_rows,False,010050080,0080,Green's Cross Roads/ Mt. Andrew Community Ctr.,GREEN S CROSS ROADS MOUNT ANDREW COMMUNITY CENTER,review,85.5,0.0,2,BEVILL CENTER CHATTHOOCHEE CTS COM CENTER EUFAULA COM CENTER EUFAULA WB FELLOWSHIP BC SANFORD AG,85.5,SUTTON S RESTAURANT ELAMVILLE VOLUNTEER FIRE DEPARTMENT,53.33,False,True,low_or_ambiguous_score,,
88,BIBB,ALTERNATIVE SCHOOL,ALTERNATIVE SCHOOL,ALTERNATIVE SCHOOL,2014-General-Bibb.xlsx,precinct_rows,False,010072,2,Alternative School-2,ALTERNATIVE SCHOOL,review,100.0,0.0,3,ALTERNATIVE SCHOOL,100.0,ALTERNATIVE SCHOOL,100.0,False,True,low_or_ambiguous_score,,
89,BIBB,EOLINE FIRE DEPT,EOLINE FIRE DEPARTMENT,EOLINE FIRE DEPARTMENT,2014-General-Bibb.xlsx,precinct_rows,False,010073,3,Eoline Fire Dept-3,EOLINE FIRE DEPARTMENT,review,100.0,0.0,2,EOLINE FIRE DEPARTMENT,100.0,GREENPOND FIRE DEPARTMENT,80.85,False,True,low_or_ambiguous_score,,
90,BIBB,BRENT CITY HALL,BRENT CITY HALL,BRENT CITY HALL,2014-General-Bibb.xlsx,precinct_rows,False,010074,4,Brent City Hall-4,BRENT CITY HALL,review,100.0,0.0,2,BRENT CITY HALL,100.0,BRENT NATIONAL GUARD ARMORY,85.5,False,True,low_or_ambiguous_score,,
91,BIBB,CENTREVILLE ROCK BUILDING,CENTREVILLE ROCK BUILDING,CENTREVILLE ROCK BUILDING,2014-General-Bibb.xlsx,precinct_rows,False,0100714,14,Rock Building -14,ROCK BUILDING,review,90.0,0.0,2,ROCK BUILDING,90.0,BRENT CITY HALL,43.2,False,True,low_or_ambiguous_score,,
92,BIBB,SIX MILE COMMUNITY CENTER,SIX MILE COMMUNITY CENTER,SIX MILE COMMUNITY CENTER,2014-General-Bibb.xlsx,precinct_rows,False,0100710.01,10.01,Six Mile Comm Center-10.01,SIX MILE COMMUNITY CENTER,review,100.0,0.0,2,SIX MILE COMMUNITY CENTER,100.0,LAWLEY COMMUNITY CENTER,79.17,False,True,low_or_ambiguous_score,,
93,BIBB,LAWLEY COMMUNITY CENTER,LAWLEY COMMUNITY CENTER,LAWLEY COMMUNITY CENTER,2014-General-Bibb.xlsx,precinct_rows,False,010078,8,Lawley Comm Center-8,LAWLEY COMMUNITY CENTER,review,100.0,0.0,2,LAWLEY COMMUNITY CENTER,100.0,SIX MILE COMMUNITY CENTER,79.17,False,True,low_or_ambiguous_score,,
112,BLOUNT,ST. MOUNTAIN,SAINT MOUNTAIN,SAINT MOUNTAIN,2014-General-Blount.xlsx,precinct_rows,False,0100914,14,Straight Mountain,STRAIGHT MOUNTAIN,review,83.87,2.39,1,PINE MOUNTAIN,81.48,ROSA,60.0,False,True,low_or_ambiguous_score,,
124,BLOUNT,PROFESSIONAL,PROFESSIONAL,PROFESSIONAL,2014-General-Blount.xlsx,precinct_rows,False,010099,9,Royal,ROYAL,review,60.0,6.0,1,SNEAD,54.0,ONEONTA,52.63,False,True,low_or_ambiguous_score,,
147,CHEROKEE,CONGREGATIONAL METHODIST,CONGREGATIONAL METHODIST,CONGREGATIONAL METHODIST,2014-General-Cherokee.xlsx,contest_rows,False,010190131,0131,Ebenezer Methodist Church,EBENEZER METHODIST CHURCH,review,54.29,0.0,3,NEW HOPE METHODIST CHURCH,54.29,RECREATIONAL OUTREACH CENTER,53.85,False,True,low_or_ambiguous_score,,
148,CHEROKEE,DANIELS CHAPEL FELLOWSHIP,DANIELS CHAPEL FELLOWSHIP,DANIELS CHAPEL FELLOWSHIP,2014-General-Cherokee.xlsx,contest_rows,False,010190071,0071,Daniel's Chapel (Little River ),DANIEL S CHAPEL LITTLE RIVER,review,67.92,9.46,1,SHADY GROVE FELLOWSHIP HALL,58.46,TUCKER S CHAPEL VFW,54.55,False,True,low_or_ambiguous_score,,
149,CHEROKEE,EBENEZER FELLOWSHIP HALL,EBENEZER FELLOWSHIP HALL,EBENEZER FELLOWSHIP HALL,2014-General-Cherokee.xlsx,contest_rows,False,010190141,0141,Shady Grove Fellowship Hall,SHADY GROVE FELLOWSHIP HALL,review,73.08,15.93,1,EBENEZER METHODIST CHURCH,57.14,SAND ROCK TOWN HALL,46.51,False,True,low_or_ambiguous_score,,
150,CHEROKEE,FRIENDSHIP BAP FELLOWSHIP,FRIENDSHIP BAP FELLOWSHIP,FRIENDSHIP BAP FELLOWSHIP,2014-General-Cherokee.xlsx,contest_rows,False,010190011,0011,Friendship Baptist Church/Mt. Calvery Baptist Church,FRIENDSHIP BAPTIST CHURCH MOUNT CALVERY BAPTIST CHURCH,review,85.5,30.69,1,SHADY GROVE FELLOWSHIP HALL,54.81,DANIEL S CHAPEL LITTLE RIVER,43.02,False,True,low_or_ambiguous_score,,
151,CHEROKEE,GAYLESVILLE CITY HALL,GAYLESVILLE CITY HALL,GAYLESVILLE CITY HALL,2014-General-Cherokee.xlsx,contest_rows,False,010190051,0051,Gaylesville Town Hall,GAYLESVILLE TOWN HALL,review,85.71,37.25,1,VALLEY CHURCH,48.46,ELLISVILLE VOLUNTEER FIRE DEPARTMENT,46.29,False,True,low_or_ambiguous_score,,
153,CHEROKEE,LEESBURG FEMA BUILDING,LEESBURG FEMA BUILDING,LEESBURG FEMA BUILDING,2014-General-Cherokee.xlsx,contest_rows,False,010190111,0111,Leesburg Volunteer Fire Dept.,LEESBURG VOLUNTEER FIRE DEPARTMENT,review,85.5,43.79,1,ELLISVILLE VOLUNTEER FIRE DEPARTMENT,41.71,MCCORD S CROSSROAD VOLUNTEER FIRE DEPARTMENT ROCK RUN CHURCH,40.91,False,True,low_or_ambiguous_score,,
154,CHEROKEE,McCORDS CROSSROADS FIRE,MCCORDS CROSSROADS FIRE,MCCORDS CROSSROADS FIRE,2014-General-Cherokee.xlsx,contest_rows,False,010190181,0181,McCord's Crossroad Volunteer Fire Dept./ Rock Run Church,MCCORD S CROSSROAD VOLUNTEER FIRE DEPARTMENT ROCK RUN CHURCH,review,85.5,0.0,3,SPRING CREEK VOLUNTEER FIRE DEPARTMENT,85.5,BROOMTOWN VOLUNTEER FIRE DEPARTMENT,85.5,False,True,low_or_ambiguous_score,,
155,CHEROKEE,MELROSE BAPTIST CHURCH,MELROSE BAPTIST CHURCH,MELROSE BAPTIST CHURCH,2014-General-Cherokee.xlsx,contest_rows,False,010190151,0151,Mt. Weisner Volunteer Fire Dept./Melrose Baptist Church,MOUNT WEISNER VOLUNTEER FIRE DEPARTMENT MELROSE BAPTIST CHURCH,review,90.0,4.5,1,MCCORD S CROSSROAD VOLUNTEER FIRE DEPARTMENT ROCK RUN CHURCH,85.5,VALLEY CHURCH,85.5,False,True,low_or_ambiguous_score,,
