model_run_id,cycle,lag_context_available,n,missing_context_share,lag_available_fit_rows,headline_mean_abs_lag_component,no_lag_spec_n,no_lag_spec_mean_diff,no_lag_spec_mae,no_lag_spec_max_abs_diff,no_lag_spec_sign_change_share,no_lag_spec_spearman,lag_available_fit_n,lag_available_fit_mean_diff,lag_available_fit_mae,lag_available_fit_max_abs_diff,lag_available_fit_sign_change_share,lag_available_fit_spearman,missing_excluded_fit_n,missing_excluded_fit_mean_diff,missing_excluded_fit_mae,missing_excluded_fit_max_abs_diff,missing_excluded_fit_sign_change_share,missing_excluded_fit_spearman
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2020,missing,602,1.0,268,0.0,602,0.05149826456701873,0.18734754998456424,1.0685559521866776,0.009966777408637873,0.9990037705403915,0,,,,,,602,1.3432027066091976,2.8340876208967534,15.181602131100487,0.19269102990033224,0.8583702402190738
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2022,all,761,0.5597897503285151,335,0.9277654258505269,761,9.060353577046087e-15,0.5462826422112236,13.212725284008862,0.0657030223390276,0.9635593557237323,335,0.11165394461379921,0.3435448008141229,1.2592637370957807,0.04776119402985075,0.9883878298839421,761,1.3157775307568986,1.856376538995943,7.914523128346252,0.1616294349540079,0.8058936945247844
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2022,available,335,0.0,335,2.1075507136485103,335,0.04543121403675408,1.1266523915711126,13.212725284008862,0.12835820895522387,0.9048236150300678,335,0.11165394461379921,0.3435448008141229,1.2592637370957807,0.04776119402985075,0.9883878298839421,335,0.11165394461379921,0.3435448008141229,1.2592637370957807,0.04776119402985075,0.9883878298839421
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2022,missing,426,1.0,335,0.0,426,-0.03572642418381624,0.08988859048455013,0.4695317454824837,0.01643192488262911,0.9992802329890627,0,,,,,,426,2.262682228780228,3.046044689913571,7.914523128346252,0.2511737089201878,0.7684079404100592
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2023,all,90,1.0,0,0.0,90,-8.487038232690086e-16,4.490235344039522e-15,1.4210854715202004e-14,0.0,1.0,0,,,,,,0,,,,,
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2023,available,0,,0,,0,,,,,,0,,,,,,0,,,,,
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2023,missing,90,1.0,0,0.0,90,-8.487038232690086e-16,4.490235344039522e-15,1.4210854715202004e-14,0.0,1.0,0,,,,,,0,,,,,
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2024,all,770,0.5662337662337662,334,0.4818966780770594,770,-3.5111884539833524e-15,0.38182297499211754,5.19044053525178,0.045454545454545456,0.9840342400360211,334,0.05121978511033693,0.5599109393616618,2.33144908877925,0.04790419161676647,0.9762234305088896,770,-0.552155056169676,3.332728944311654,16.688958879135683,0.19220779220779222,0.7083064299753822
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2024,available,334,0.0,334,1.1109594075429212,334,0.04579399626009199,0.736980367485979,5.19044053525178,0.09281437125748503,0.9548539870641937,334,0.05121978511033693,0.5599109393616618,2.33144908877925,0.04790419161676647,0.9762234305088896,334,0.05121978511033693,0.5599109393616618,2.33144908877925,0.04790419161676647,0.9762234305088896
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2024,missing,436,1.0,334,0.0,436,-0.03508072190567301,0.10975286239360897,1.5587779883259736,0.009174311926605505,0.9991737110681742,0,,,,,,436,-1.0143733978841811,5.456860168287106,16.688958879135683,0.30275229357798167,0.6445790624726265
