state,year,chamber,district,dem_votes,rep_votes,dem_margin
GA,2014,house,124,8774.0,,
GA,2014,house,125,7052.0,4547.0,21.596689369773255
GA,2014,house,126,12053.0,,
GA,2014,house,127,9395.0,,
GA,2014,house,128,10634.0,,
GA,2014,house,129,,11505.0,
GA,2014,house,130,,11060.0,
GA,2014,house,131,,12151.0,
GA,2014,house,132,6015.0,5298.0,6.337841421373641
GA,2014,house,133,,13717.0,
GA,2014,house,134,,11271.0,
GA,2014,house,135,6279.0,,
GA,2014,house,136,10007.0,,
GA,2014,house,137,9324.0,5236.0,28.076923076923077
GA,2014,house,138,5253.0,5771.0,-4.698838896952105
GA,2014,house,139,8554.0,,
GA,2014,house,140,,10631.0,
GA,2014,house,141,,15542.0,
GA,2014,house,142,10907.0,,
GA,2014,house,143,10333.0,,
GA,2014,house,144,5664.0,10196.0,-28.575031525851198
GA,2014,house,146,,12662.0,
GA,2014,house,147,,9144.0,
GA,2014,house,148,,9763.0,
GA,2014,house,149,,8284.0,
GA,2014,house,150,,11045.0,
GA,2014,house,151,7051.0,8636.0,-10.10390769426914
GA,2014,house,152,,12593.0,
GA,2014,house,153,9597.0,,
GA,2014,house,154,11446.0,,
GA,2014,house,155,,10262.0,
GA,2014,house,156,,9202.0,
GA,2014,house,157,2806.0,6876.0,-42.03676926254906
GA,2014,house,158,,9338.0,
GA,2014,house,159,,10260.0,
GA,2014,house,160,,8027.0,
GA,2014,house,161,,11178.0,
GA,2014,house,162,8594.0,,
GA,2014,house,163,10001.0,,
GA,2014,house,164,,7555.0,
GA,2014,house,165,11156.0,,
GA,2014,house,166,,17260.0,
GA,2014,house,167,,9887.0,
GA,2014,house,168,6873.0,,
GA,2014,house,169,2755.0,7500.0,-46.27011214041931
GA,2014,house,170,,8812.0,
GA,2014,house,171,,9053.0,
GA,2014,house,172,,7435.0,
GA,2014,house,173,5021.0,7796.0,-21.650932355465397
GA,2014,house,174,2404.0,7106.0,-49.44269190325973
GA,2014,house,175,,11974.0,
GA,2014,house,176,,7938.0,
GA,2014,house,177,6582.0,,
GA,2014,house,178,,9786.0,
GA,2014,house,179,,10415.0,
GA,2014,house,180,,8534.0,
GA,2014,senate,1,,35707.0,
GA,2014,senate,2,31447.0,,
GA,2014,senate,3,,30485.0,
GA,2014,senate,4,,30345.0,
GA,2014,senate,5,17974.0,,
GA,2014,senate,6,17774.0,26671.0,-20.017999775002814
GA,2014,senate,7,,28015.0,
GA,2014,senate,8,13441.0,21345.0,-22.721784625998964
GA,2014,senate,9,18155.0,36764.0,-33.88444800524409
GA,2014,senate,10,41238.0,,
GA,2014,senate,11,,29867.0,
GA,2014,senate,12,34419.0,,
GA,2014,senate,13,,32601.0,
GA,2014,senate,14,,37011.0,
GA,2014,senate,15,27469.0,,
GA,2014,senate,16,,44647.0,
GA,2014,senate,17,,40436.0,
GA,2014,senate,18,,40313.0,
GA,2014,senate,19,,27053.0,
GA,2014,senate,20,13902.0,32726.0,-40.370592776872265
GA,2014,senate,21,,45359.0,
GA,2014,senate,22,32914.0,,
GA,2014,senate,23,17434.0,27374.0,-22.18353865381182
GA,2014,senate,24,15501.0,37836.0,-41.87524607683222
GA,2014,senate,25,,39607.0,
GA,2014,senate,26,31606.0,,
GA,2014,senate,27,,49624.0,
GA,2014,senate,28,13462.0,35409.0,-44.908023163021014
GA,2014,senate,29,15668.0,30394.0,-31.969953540879683
GA,2014,senate,30,11801.0,31122.0,-45.01316310602707
