model_run_id,state_code,cycle,chamber,races,mean_direct_overperformance,mean_war_target,candidate_repeat_races,model_source_fallbacks
WAR-POST2016-3E87657081BBBCB16754,FL,2022,upper,23,-0.8488260650432204,-7.723290606088045e-17,17,0
WAR-POST2016-3E87657081BBBCB16754,FL,2024,lower,86,-1.752875123847223,2.0655312086049424e-17,56,0
WAR-POST2016-3E87657081BBBCB16754,FL,2024,upper,17,-0.670615586967331,-1.240837498110469e-16,14,0
WAR-POST2016-3E87657081BBBCB16754,GA,2018,lower,68,-3.020523351362407,2.6122894697062506e-17,57,0
WAR-POST2016-3E87657081BBBCB16754,GA,2018,upper,23,-2.799388412102036,-7.723290606088045e-17,16,0
WAR-POST2016-3E87657081BBBCB16754,GA,2020,lower,86,-4.958155699715483,-6.196593625814827e-17,63,0
WAR-POST2016-3E87657081BBBCB16754,GA,2020,upper,28,-3.871015720806026,-1.2688263138573217e-16,22,0
WAR-POST2016-3E87657081BBBCB16754,GA,2022,lower,86,-7.7861932181668925,2.3753608898956835e-16,50,0
WAR-POST2016-3E87657081BBBCB16754,GA,2022,upper,26,-7.895424656839231,2.049642507000289e-16,17,0
WAR-POST2016-3E87657081BBBCB16754,GA,2024,lower,89,-4.42313450541819,-3.9918131222477537e-16,59,0
WAR-POST2016-3E87657081BBBCB16754,GA,2024,upper,23,-3.615092842142554,-1.544658121217609e-16,15,0
WAR-POST2016-3E87657081BBBCB16754,KY,2018,lower,85,12.578153502390425,-4.597629466683002e-16,51,1
WAR-POST2016-3E87657081BBBCB16754,KY,2018,upper,16,7.349592260744839,4.440892098500626e-16,8,0
WAR-POST2016-3E87657081BBBCB16754,KY,2020,lower,60,7.389325299948271,-2.3684757858670006e-16,48,0
WAR-POST2016-3E87657081BBBCB16754,KY,2020,upper,8,8.577999989793836,2.220446049250313e-16,1,0
WAR-POST2016-3E87657081BBBCB16754,KY,2022,lower,46,0.9237045497329247,-1.544658121217609e-16,36,0
WAR-POST2016-3E87657081BBBCB16754,KY,2022,upper,8,-1.0149659623840848,-5.551115123125783e-17,3,0
WAR-POST2016-3E87657081BBBCB16754,KY,2024,lower,42,3.8562977381066967,5.181040781584064e-16,31,0
WAR-POST2016-3E87657081BBBCB16754,KY,2024,upper,1,-2.7762195940937318,-6.478272743079488,0,0
WAR-POST2016-3E87657081BBBCB16754,LA,2019,lower,13,-16.056975885988567,-8.198570028001156e-16,3,0
WAR-POST2016-3E87657081BBBCB16754,LA,2019,upper,4,-13.271024171734332,0.0,0,0
WAR-POST2016-3E87657081BBBCB16754,LA,2023,lower,12,4.324199439092694,7.401486830834377e-17,3,0
WAR-POST2016-3E87657081BBBCB16754,LA,2023,upper,5,16.632382395920324,7.105427357601002e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,MO,2018,lower,117,-6.6632504970922035,-2.7328566760003855e-16,64,0
WAR-POST2016-3E87657081BBBCB16754,MO,2018,upper,16,-5.987792562713899,2.220446049250313e-16,7,0
WAR-POST2016-3E87657081BBBCB16754,MO,2020,lower,80,-2.8864614654273426,-1.1102230246251565e-16,71,0
WAR-POST2016-3E87657081BBBCB16754,MO,2020,upper,10,-2.149247351113685,-3.108624468950438e-16,3,0
WAR-POST2016-3E87657081BBBCB16754,MO,2022,lower,69,-5.718664668914231,-4.762695873754295e-16,61,0
WAR-POST2016-3E87657081BBBCB16754,MO,2022,upper,11,-8.222283756827492,3.2297397080004555e-16,11,0
WAR-POST2016-3E87657081BBBCB16754,MO,2024,lower,103,0.7850447268641539,6.898473162719419e-17,58,0
WAR-POST2016-3E87657081BBBCB16754,MO,2024,upper,6,3.796458769651643,0.0,3,0
WAR-POST2016-3E87657081BBBCB16754,MS,2019,lower,24,-12.837653999722646,1.4802973661668753e-16,2,0
WAR-POST2016-3E87657081BBBCB16754,MS,2019,upper,16,-12.476120486820305,4.440892098500626e-16,4,0
WAR-POST2016-3E87657081BBBCB16754,MS,2023,lower,9,-10.780184597926507,7.894919286223335e-16,2,0
WAR-POST2016-3E87657081BBBCB16754,MS,2023,upper,7,-4.794413697909233,5.075305255429287e-16,4,0
WAR-POST2016-3E87657081BBBCB16754,NC,2018,lower,117,6.355108503678232,2.429205934222565e-16,93,0
WAR-POST2016-3E87657081BBBCB16754,NC,2018,upper,50,5.324207006556296,-4.263256414560601e-16,35,0
WAR-POST2016-3E87657081BBBCB16754,NC,2020,lower,107,-0.6779878688384253,-2.0544313913624392e-16,101,0
WAR-POST2016-3E87657081BBBCB16754,NC,2020,upper,49,-0.9743616848320882,-9.063045098980869e-18,44,0
WAR-POST2016-3E87657081BBBCB16754,NC,2022,lower,81,-2.3344587503848726,1.3158198810372225e-16,61,0
WAR-POST2016-3E87657081BBBCB16754,NC,2022,upper,35,-1.7888053836446907,1.1419436824715895e-16,24,0
WAR-POST2016-3E87657081BBBCB16754,NC,2024,lower,68,-20.185022867541463,3.657205257588751e-16,55,0
WAR-POST2016-3E87657081BBBCB16754,NC,2024,upper,23,-20.47561944121718,6.178632484870436e-16,19,0
WAR-POST2016-3E87657081BBBCB16754,OK,2018,lower,73,-4.034760037011264,-3.6500483001375008e-16,31,0
WAR-POST2016-3E87657081BBBCB16754,OK,2018,upper,18,-7.702009848169902,-3.9474596431116675e-16,4,0
WAR-POST2016-3E87657081BBBCB16754,OK,2020,lower,36,0.7023701293587717,2.4671622769447924e-16,26,0
WAR-POST2016-3E87657081BBBCB16754,OK,2020,upper,12,-4.590831077455019,-1.1842378929335002e-15,2,0
WAR-POST2016-3E87657081BBBCB16754,OK,2022,lower,29,2.083960253081125,-3.062684205862501e-17,23,0
WAR-POST2016-3E87657081BBBCB16754,OK,2022,upper,7,-2.977698939163662,7.61295788314393e-16,3,0
WAR-POST2016-3E87657081BBBCB16754,OK,2024,lower,24,0.9050464038095946,1.8503717077085943e-16,22,0
WAR-POST2016-3E87657081BBBCB16754,OK,2024,upper,5,-4.61803556710486,-3.552713678800501e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,SC,2018,lower,45,-5.128010382801444,3.552713678800501e-16,23,0
WAR-POST2016-3E87657081BBBCB16754,SC,2020,lower,51,-3.276411174169532,6.966105252550002e-17,38,0
WAR-POST2016-3E87657081BBBCB16754,SC,2020,upper,30,-1.9373052234934711,0.0,12,0
WAR-POST2016-3E87657081BBBCB16754,SC,2022,lower,50,5.208535250293827,-1.5987211554602254e-16,33,0
WAR-POST2016-3E87657081BBBCB16754,SC,2024,lower,42,-2.7827973327144955,2.114710523095536e-17,25,0
WAR-POST2016-3E87657081BBBCB16754,SC,2024,upper,18,-1.7262363249825006,0.0,10,0
WAR-POST2016-3E87657081BBBCB16754,TN,2018,lower,73,-11.1729145248284,3.6500483001375008e-16,46,0
WAR-POST2016-3E87657081BBBCB16754,TN,2018,upper,12,-12.523008285131338,1.0362081563168128e-15,3,0
WAR-POST2016-3E87657081BBBCB16754,TN,2020,lower,38,-3.6444847571812273,4.440892098500626e-16,31,0
WAR-POST2016-3E87657081BBBCB16754,TN,2020,upper,9,-5.286803929409976,-3.9474596431116675e-16,6,0
WAR-POST2016-3E87657081BBBCB16754,TN,2022,lower,36,1.1388232459561023,2.9605947323337506e-16,30,0
WAR-POST2016-3E87657081BBBCB16754,TN,2022,upper,8,0.8496509166513793,0.0,2,0
WAR-POST2016-3E87657081BBBCB16754,TN,2024,lower,60,-1.3503073495988818,1.1842378929335003e-16,35,0
WAR-POST2016-3E87657081BBBCB16754,TN,2024,upper,10,-2.610640858928999,1.7763568394002506e-16,6,0
WAR-POST2016-3E87657081BBBCB16754,TX,2018,lower,94,5.838941114020105,5.196788625904988e-16,4,0
WAR-POST2016-3E87657081BBBCB16754,TX,2018,upper,13,7.2863551481878615,5.465713352000771e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,TX,2020,lower,94,-4.499927537623435,2.6456378459152665e-16,5,0
WAR-POST2016-3E87657081BBBCB16754,TX,2020,upper,13,-0.7210063330697826,-1.2810265668751805e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,TX,2022,lower,80,-0.20143275293672236,-4.4408920985006264e-17,2,0
WAR-POST2016-3E87657081BBBCB16754,TX,2022,upper,18,0.9107909566883462,-1.9737298215558337e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,TX,2024,lower,89,-1.188419679308192,-6.985672963933569e-17,2,1
WAR-POST2016-3E87657081BBBCB16754,TX,2024,upper,10,-0.6682317469610227,-4.4408920985006264e-17,0,0
WAR-POST2016-3E87657081BBBCB16754,VA,2019,lower,65,-10.855429283674123,7.105427357601002e-16,14,0
WAR-POST2016-3E87657081BBBCB16754,VA,2019,upper,20,-15.264365556261001,1.7763568394002505e-15,6,0
WAR-POST2016-3E87657081BBBCB16754,VA,2023,lower,38,-0.7585209196015675,-9.349246523159212e-17,12,0
WAR-POST2016-3E87657081BBBCB16754,VA,2023,upper,19,7.459309009374094,-3.739698609263685e-16,7,0
