LOGRECNO,chamber,district,NAME,total_population,white_nonhispanic_population,age25_population,college_population,white_age25_population,white_college_population,nonwhite_share,college_share,white_college_share,cycle,census_vintage,demographic_reference_year,demographic_age_years,source_population_coverage,allocation_method
0010891,senate,17,"State Senate District 17 (2010), Alabama",153875.0,133928.0,104269.0,15961.0,93382.0,14223.0,0.1296311941510967,0.15307521890494777,0.1523098669979225,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010892,senate,18,"State Senate District 18 (2010), Alabama",110628.0,33752.0,74107.0,21234.0,25594.0,13252.0,0.6949054488917814,0.28653163668749243,0.5177776041259671,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010893,senate,19,"State Senate District 19 (2010), Alabama",114357.0,29771.0,74024.0,9825.0,22305.0,2744.0,0.7396661332493857,0.13272722360315573,0.12302174400358663,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010894,senate,20,"State Senate District 20 (2010), Alabama",110666.0,22085.0,70484.0,10968.0,17671.0,2791.0,0.8004355447924385,0.1556097837807162,0.1579423914888801,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010895,senate,21,"State Senate District 21 (2010), Alabama",133383.0,94336.0,79215.0,16663.0,57854.0,13120.0,0.2927434530637337,0.21035157482799974,0.22677775089017183,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010896,senate,22,"State Senate District 22 (2010), Alabama",137678.0,90195.0,91249.0,13187.0,62753.0,10865.0,0.34488444050610845,0.1445166522372848,0.1731391327904642,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010897,senate,23,"State Senate District 23 (2010), Alabama",112790.0,38460.0,72371.0,9013.0,28332.0,5387.0,0.6590123237875698,0.1245388346160755,0.19013835945220953,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010898,senate,24,"State Senate District 24 (2010), Alabama",121180.0,42825.0,75062.0,12183.0,28480.0,7385.0,0.6466000990262419,0.16230582718286216,0.2593047752808989,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010899,senate,25,"State Senate District 25 (2010), Alabama",152902.0,103785.0,102263.0,36092.0,74293.0,28098.0,0.3212319001713516,0.35293312341707167,0.378205214488579,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010900,senate,26,"State Senate District 26 (2010), Alabama",122994.0,26185.0,74865.0,15655.0,19203.0,6541.0,0.7871034359399646,0.20910973084886128,0.34062386085507473,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010901,senate,27,"State Senate District 27 (2010), Alabama",137147.0,93983.0,82226.0,20145.0,58028.0,15836.0,0.31472799259189044,0.24499550020674726,0.27290273660991243,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010902,senate,28,"State Senate District 28 (2010), Alabama",128356.0,55117.0,81904.0,15760.0,37476.0,10307.0,0.570592726479479,0.19242039460832194,0.2750293521186893,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010903,senate,29,"State Senate District 29 (2010), Alabama",133869.0,104282.0,89634.0,16008.0,73017.0,13924.0,0.22101457394915924,0.17859294464154227,0.19069531752879468,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010904,senate,30,"State Senate District 30 (2010), Alabama",137614.0,90564.0,87480.0,15832.0,60410.0,13002.0,0.3418983533652099,0.1809785093735711,0.21522926667770237,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010905,senate,31,"State Senate District 31 (2010), Alabama",127388.0,89395.0,85792.0,14266.0,63486.0,12154.0,0.29824630263447105,0.1662859007832898,0.19144378288126515,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010906,senate,32,"State Senate District 32 (2010), Alabama",148902.0,130839.0,104544.0,28048.0,93859.0,26665.0,0.12130797437240604,0.26828895010713194,0.2840963573019103,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010907,senate,33,"State Senate District 33 (2010), Alabama",113832.0,36560.0,72945.0,12758.0,26267.0,7142.0,0.678824934991918,0.17489889642881623,0.27190010279057375,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010908,senate,34,"State Senate District 34 (2010), Alabama",151060.0,122766.0,99045.0,24915.0,83012.0,20867.0,0.1873030583873957,0.25155232470089356,0.25137329542716713,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0010909,senate,35,"State Senate District 35 (2010), Alabama",125992.0,71707.0,80206.0,13036.0,50667.0,9340.0,0.4308606895675916,0.1625314814353041,0.18434089249412833,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011023,house,1,"State House District 1 (2010), Alabama",46104.0,35943.0,30679.0,8009.0,25056.0,7339.0,0.22039302446642373,0.26105805273965904,0.29290389527458494,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011024,house,2,"State House District 2 (2010), Alabama",45658.0,42941.0,31297.0,5307.0,29785.0,5067.0,0.059507643786412046,0.16956896827171933,0.17011918751049185,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011025,house,3,"State House District 3 (2010), Alabama",42175.0,32158.0,29220.0,5124.0,22989.0,4112.0,0.2375103734439834,0.1753593429158111,0.1788681543346818,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011026,house,4,"State House District 4 (2010), Alabama",51217.0,43214.0,35219.0,8205.0,30493.0,7475.0,0.15625671163871369,0.23297083960362305,0.24513822844587282,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011027,house,5,"State House District 5 (2010), Alabama",46397.0,38070.0,30850.0,5941.0,26186.0,5356.0,0.17947281074207388,0.1925769854132901,0.2045367753761552,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011028,house,6,"State House District 6 (2010), Alabama",52020.0,31393.0,33034.0,10570.0,21378.0,6706.0,0.39652056901191846,0.31997336077980265,0.3136869679109365,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011029,house,7,"State House District 7 (2010), Alabama",40618.0,32500.0,27394.0,2865.0,22531.0,2200.0,0.19986213009010778,0.10458494560852742,0.09764324708179842,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011030,house,8,"State House District 8 (2010), Alabama",40907.0,23177.0,27154.0,4940.0,17535.0,3992.0,0.43342215268780404,0.18192531487073726,0.22765896777872827,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011031,house,9,"State House District 9 (2010), Alabama",43812.0,40653.0,29384.0,4366.0,27565.0,4217.0,0.07210353327855379,0.14858426354478627,0.15298385633956105,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011032,house,10,"State House District 10 (2010), Alabama",48769.0,35836.0,33103.0,13941.0,25548.0,11457.0,0.2651889519981956,0.4211400779385554,0.4484499765147957,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011033,house,11,"State House District 11 (2010), Alabama",44215.0,40520.0,29933.0,4712.0,28019.0,4568.0,0.08356892457310872,0.15741823405605854,0.16303222813091117,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011034,house,12,"State House District 12 (2010), Alabama",45658.0,42685.0,31336.0,3654.0,29738.0,3520.0,0.06511454728634636,0.11660709726831758,0.11836707243257785,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011035,house,13,"State House District 13 (2010), Alabama",40720.0,36065.0,28334.0,3414.0,25562.0,3147.0,0.11431728880157166,0.12049128255805745,0.12311243251701745,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011036,house,14,"State House District 14 (2010), Alabama",39376.0,37036.0,27433.0,2258.0,25926.0,2141.0,0.05942706216984961,0.0823096270914592,0.08258119262516393,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011037,house,15,"State House District 15 (2010), Alabama",48376.0,40047.0,34132.0,6437.0,28634.0,5129.0,0.1721721514800728,0.1885913512246572,0.17912272124048334,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011038,house,16,"State House District 16 (2010), Alabama",40058.0,34837.0,27330.0,3345.0,24171.0,3039.0,0.1303360127814669,0.12239297475301866,0.1257291795953829,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011039,house,17,"State House District 17 (2010), Alabama",42699.0,39795.0,30144.0,2917.0,28387.0,2820.0,0.06801096044403854,0.09676884288747346,0.09934124775425371,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011040,house,18,"State House District 18 (2010), Alabama",43654.0,36911.0,29642.0,3561.0,26010.0,3323.0,0.15446465386906127,0.1201335942244113,0.12775855440215303,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011041,house,19,"State House District 19 (2010), Alabama",43740.0,9807.0,25681.0,5060.0,7610.0,1445.0,0.7757887517146776,0.19703282582453954,0.18988173455978974,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011042,house,20,"State House District 20 (2010), Alabama",48706.0,43895.0,34963.0,20697.0,31880.0,19095.0,0.09877633145813658,0.5919686525755798,0.5989648682559598,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011043,house,21,"State House District 21 (2010), Alabama",47458.0,29549.0,32029.0,7625.0,21620.0,5780.0,0.3773652492730414,0.23806550313778138,0.26734505087881594,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011044,house,22,"State House District 22 (2010), Alabama",47587.0,42449.0,32096.0,5677.0,29238.0,5079.0,0.10797066425704505,0.17687562313060817,0.17371229222245024,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011045,house,23,"State House District 23 (2010), Alabama",42323.0,37661.0,29420.0,3898.0,26709.0,3729.0,0.11015287196087231,0.13249490142760026,0.13961585982253172,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011046,house,24,"State House District 24 (2010), Alabama",48208.0,41519.0,32713.0,3747.0,29287.0,3519.0,0.13875290408231,0.11454161953963256,0.12015570048144228,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011047,house,25,"State House District 25 (2010), Alabama",60814.0,45129.0,39291.0,18994.0,29710.0,14598.0,0.2579175847666656,0.48341859458909164,0.49134971390104343,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011048,house,26,"State House District 26 (2010), Alabama",51988.0,41276.0,33169.0,3816.0,28157.0,3527.0,0.2060475494344849,0.11504718261026863,0.12526192421067586,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011049,house,27,"State House District 27 (2010), Alabama",45223.0,41825.0,31207.0,5432.0,29333.0,5109.0,0.07513875682727811,0.17406351139167495,0.17417243377765657,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011050,house,28,"State House District 28 (2010), Alabama",41735.0,32160.0,27906.0,3837.0,22462.0,3298.0,0.2294237450581047,0.1374973124059342,0.14682575015581872,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011051,house,29,"State House District 29 (2010), Alabama",41936.0,29928.0,27592.0,3484.0,21149.0,2950.0,0.28634109118657003,0.12626848361844012,0.13948650054376094,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011052,house,30,"State House District 30 (2010), Alabama",43843.0,39948.0,30374.0,5646.0,28075.0,5211.0,0.088839723559063,0.1858826628037137,0.1856099732858415,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011053,house,31,"State House District 31 (2010), Alabama",44947.0,33298.0,31214.0,5565.0,23945.0,5009.0,0.25917191358711367,0.17828538476324726,0.2091877218626018,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011054,house,32,"State House District 32 (2010), Alabama",39457.0,13891.0,25537.0,2596.0,10200.0,1408.0,0.6479458651189902,0.10165642009633082,0.1380392156862745,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011055,house,33,"State House District 33 (2010), Alabama",43809.0,32541.0,31090.0,3736.0,23473.0,3222.0,0.2572074231322331,0.12016725635252493,0.137264090657351,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011056,house,34,"State House District 34 (2010), Alabama",49644.0,45018.0,33115.0,4303.0,30835.0,4066.0,0.09318346627991303,0.1299411142986562,0.13186314253283607,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011057,house,35,"State House District 35 (2010), Alabama",44358.0,34501.0,29898.0,4438.0,24247.0,3757.0,0.22221470760629425,0.14843802261020805,0.1549470037530416,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011058,house,36,"State House District 36 (2010), Alabama",44149.0,36657.0,30721.0,5270.0,26140.0,4435.0,0.16969806790640785,0.1715438950554995,0.16966335118592196,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011059,house,37,"State House District 37 (2010), Alabama",43724.0,33288.0,30448.0,3492.0,23972.0,3047.0,0.23867898636904217,0.11468733578560168,0.12710662439512765,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011060,house,38,"State House District 38 (2010), Alabama",46400.0,31004.0,30297.0,3420.0,20965.0,2775.0,0.3318103448275862,0.11288246361025844,0.1323634629143811,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011061,house,39,"State House District 39 (2010), Alabama",46554.0,41641.0,32664.0,3145.0,29685.0,2997.0,0.10553335910985095,0.0962833700710262,0.10096008084891359,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011062,house,40,"State House District 40 (2010), Alabama",48899.0,41778.0,30552.0,5065.0,27602.0,4454.0,0.14562669993251398,0.16578292746792353,0.1613651184696761,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011063,house,41,"State House District 41 (2010), Alabama",67929.0,58183.0,44875.0,14633.0,39408.0,12891.0,0.1434733324500581,0.32608356545961004,0.3271163215590743,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011064,house,42,"State House District 42 (2010), Alabama",47795.0,37872.0,31339.0,4065.0,26013.0,3599.0,0.20761585939951877,0.1297105842560388,0.1383538999730904,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011065,house,43,"State House District 43 (2010), Alabama",56123.0,46041.0,37301.0,19933.0,31579.0,17614.0,0.17964114534148212,0.5343824562344173,0.5577757370404383,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011066,house,44,"State House District 44 (2010), Alabama",46805.0,32268.0,30545.0,8219.0,23061.0,6710.0,0.3105864758038671,0.26907840890489443,0.2909674341962621,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011067,house,45,"State House District 45 (2010), Alabama",42677.0,25656.0,29133.0,8795.0,19650.0,6780.0,0.39883309510977805,0.3018913259877115,0.3450381679389313,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011068,house,46,"State House District 46 (2010), Alabama",50129.0,41679.0,31279.0,20536.0,26589.0,17872.0,0.16856510203674524,0.656542728348093,0.6721576591823687,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011069,house,47,"State House District 47 (2010), Alabama",47680.0,32837.0,32422.0,16964.0,23999.0,13558.0,0.3113045302013423,0.5232249706989082,0.5649402058419101,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011070,house,48,"State House District 48 (2010), Alabama",51572.0,44005.0,35262.0,21585.0,30581.0,19375.0,0.14672690607306293,0.6121320401565424,0.6335633236323207,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011071,house,49,"State House District 49 (2010), Alabama",52022.0,42773.0,34650.0,8716.0,28872.0,7552.0,0.1777901656991273,0.25154401154401157,0.26156830146855087,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011072,house,50,"State House District 50 (2010), Alabama",54092.0,46731.0,36973.0,5073.0,32576.0,4617.0,0.13608296975523182,0.13720823303491736,0.14173010805500982,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011073,house,51,"State House District 51 (2010), Alabama",46537.0,40256.0,31046.0,5872.0,27763.0,5042.0,0.1349678750241743,0.18913869741673645,0.18160861578359688,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011074,house,52,"State House District 52 (2010), Alabama",41951.0,12872.0,26690.0,8303.0,8951.0,5140.0,0.6931658363328645,0.31109029599100785,0.5742375153614121,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011075,house,53,"State House District 53 (2010), Alabama",34930.0,10603.0,23739.0,7414.0,7993.0,3908.0,0.6964500429430289,0.3123130713172417,0.48892781183535594,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011076,house,54,"State House District 54 (2010), Alabama",34344.0,13390.0,25029.0,6809.0,11071.0,5197.0,0.6101211274167249,0.27204442846298293,0.46942462288862796,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011077,house,55,"State House District 55 (2010), Alabama",39198.0,10075.0,24270.0,2574.0,7357.0,604.0,0.7429715801826624,0.10605686032138442,0.08209868152779666,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011078,house,56,"State House District 56 (2010), Alabama",40540.0,12701.0,27014.0,4025.0,9654.0,1896.0,0.686704489393192,0.1489968164655364,0.1963952765692977,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011079,house,57,"State House District 57 (2010), Alabama",36478.0,11768.0,24701.0,3889.0,8735.0,1028.0,0.6773945940018642,0.15744301850127526,0.11768746422438466,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011080,house,58,"State House District 58 (2010), Alabama",38765.0,8589.0,24843.0,4316.0,7140.0,1278.0,0.7784341545208306,0.17373103087388803,0.17899159663865546,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011081,house,59,"State House District 59 (2010), Alabama",34846.0,9541.0,22078.0,1930.0,7340.0,738.0,0.726195259140217,0.08741733852704049,0.1005449591280654,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011082,house,60,"State House District 60 (2010), Alabama",36904.0,10144.0,24938.0,4304.0,7567.0,1274.0,0.7251246477346629,0.17258801828534767,0.1683626271970398,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011083,house,61,"State House District 61 (2010), Alabama",40385.0,26750.0,26506.0,4967.0,18435.0,3741.0,0.337625355948991,0.18739153399230363,0.20292921074043938,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011084,house,62,"State House District 62 (2010), Alabama",56159.0,42684.0,35060.0,7749.0,26985.0,5755.0,0.23994373119179468,0.2210211066742727,0.21326662960904205,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011085,house,63,"State House District 63 (2010), Alabama",56896.0,38632.0,30607.0,11518.0,22014.0,9735.0,0.3210067491563554,0.3763191426797791,0.44221858817116383,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011086,house,64,"State House District 64 (2010), Alabama",41158.0,27885.0,27965.0,2906.0,19759.0,2648.0,0.3224889450410613,0.10391560879671018,0.1340148792955109,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011087,house,65,"State House District 65 (2010), Alabama",38760.0,26893.0,26083.0,3126.0,18643.0,2447.0,0.30616615067079467,0.11984817697350765,0.1312556991900445,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011088,house,66,"State House District 66 (2010), Alabama",40035.0,27244.0,26603.0,3490.0,19096.0,2853.0,0.31949544148869735,0.13118821185580573,0.1494030163385002,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011089,house,67,"State House District 67 (2010), Alabama",38476.0,11686.0,24498.0,3687.0,8781.0,1794.0,0.6962781993970267,0.15050208180259614,0.2043047488896481,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011090,house,68,"State House District 68 (2010), Alabama",36526.0,12324.0,23288.0,2488.0,9179.0,1674.0,0.6625965065980397,0.10683613878392305,0.18237280749536985,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011091,house,69,"State House District 69 (2010), Alabama",38443.0,13270.0,24691.0,2901.0,9566.0,1680.0,0.6548136201649195,0.11749220363695273,0.17562199456408112,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011092,house,70,"State House District 70 (2010), Alabama",38049.0,11423.0,21160.0,4129.0,6234.0,2108.0,0.6997818602328576,0.19513232514177695,0.3381456528713507,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011093,house,71,"State House District 71 (2010), Alabama",37269.0,12884.0,24185.0,3612.0,9191.0,2383.0,0.6542971370307762,0.14934876989869755,0.25927537808725926,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011094,house,72,"State House District 72 (2010), Alabama",39628.0,15364.0,25515.0,3005.0,10824.0,1969.0,0.6122943373372363,0.11777385851459926,0.18191056910569106,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011095,house,73,"State House District 73 (2010), Alabama",44502.0,20800.0,28802.0,13119.0,15566.0,8727.0,0.5326052761673632,0.4554892021387404,0.5606449955030194,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011096,house,74,"State House District 74 (2010), Alabama",42013.0,25913.0,27550.0,6823.0,19367.0,5432.0,0.3832147192535643,0.24765880217785843,0.28047710022202715,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011097,house,75,"State House District 75 (2010), Alabama",58594.0,39050.0,38691.0,14431.0,26797.0,10504.0,0.33354951018875656,0.37298079656767724,0.39198417733328356,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011098,house,76,"State House District 76 (2010), Alabama",44697.0,11943.0,27899.0,6978.0,8503.0,3286.0,0.7328008591180616,0.2501164916305244,0.38645184052687287,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011099,house,77,"State House District 77 (2010), Alabama",38459.0,9310.0,22474.0,4310.0,6855.0,2527.0,0.7579240229855171,0.1917771647236807,0.3686360320933625,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011100,house,78,"State House District 78 (2010), Alabama",30429.0,6172.0,19620.0,2781.0,4537.0,1064.0,0.7971671760491637,0.14174311926605504,0.23451620013224597,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011101,house,79,"State House District 79 (2010), Alabama",51591.0,41330.0,26833.0,13156.0,21521.0,11102.0,0.19889127948673213,0.4902918048671412,0.5158682217369082,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011102,house,80,"State House District 80 (2010), Alabama",51686.0,36520.0,32622.0,4958.0,24651.0,3480.0,0.29342568587238327,0.1519833241370854,0.14117074358038215,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011103,house,81,"State House District 81 (2010), Alabama",42952.0,29983.0,29777.0,4985.0,21895.0,4378.0,0.30194170236543116,0.1674110890956107,0.19995432747202557,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011104,house,82,"State House District 82 (2010), Alabama",43089.0,15459.0,23212.0,6743.0,7271.0,3255.0,0.6412309406112929,0.29049629501981733,0.44766882134506947,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011105,house,83,"State House District 83 (2010), Alabama",40895.0,14278.0,26227.0,3370.0,9804.0,1972.0,0.650861963565228,0.12849353719449422,0.2011423908608731,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011106,house,84,"State House District 84 (2010), Alabama",39627.0,16620.0,26577.0,3313.0,12696.0,2320.0,0.5805889923536982,0.12465665801256726,0.18273471959672338,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011107,house,85,"State House District 85 (2010), Alabama",41484.0,20317.0,27445.0,3445.0,14860.0,2586.0,0.5102449137016681,0.125523774822372,0.1740242261103634,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011108,house,86,"State House District 86 (2010), Alabama",47811.0,36863.0,32319.0,4696.0,26041.0,4081.0,0.22898496161971094,0.14530152541848448,0.15671441188894436,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
0011109,house,87,"State House District 87 (2010), Alabama",45355.0,38926.0,31285.0,5418.0,27482.0,5028.0,0.14174842905964058,0.1731820361195461,0.18295611673095116,2010,2010,2010,0,1.0,2006_2010_acs5_direct_sld
