chamber,district,voted_all,reg_all,voted_gender_male,reg_gender_male,voted_gender_female,reg_gender_female,voted_gender_unknown,reg_gender_unknown,voted_age_18_19,reg_age_18_19,voted_age_20_24,reg_age_20_24,voted_age_25_29,reg_age_25_29,voted_age_30_34,reg_age_30_34,voted_age_35_44,reg_age_35_44,voted_age_45_54,reg_age_45_54,voted_age_55_64,reg_age_55_64,voted_age_65_74,reg_age_65_74,voted_age_75_84,reg_age_75_84,voted_age_85over,reg_age_85over,voted_party_democratic,reg_party_democratic,voted_party_republican,reg_party_republican,voted_party_ind_npp,reg_party_ind_npp,voted_party_others,reg_party_others,voted_eur,reg_eur,voted_hisp,reg_hisp,voted_aa,reg_aa,voted_esa,reg_esa,voted_oth,reg_oth,voted_unk,reg_unk,voted_self_afam,reg_self_afam,voted_eur_party_democratic,reg_eur_party_democratic,voted_eur_party_republican,reg_eur_party_republican,voted_eur_party_ind_npp,reg_eur_party_ind_npp,voted_eur_party_others,reg_eur_party_others,voted_hisp_party_democratic,reg_hisp_party_democratic,voted_hisp_party_republican,reg_hisp_party_republican,voted_hisp_party_ind_npp,reg_hisp_party_ind_npp,voted_hisp_party_others,reg_hisp_party_others,voted_aa_party_democratic,reg_aa_party_democratic,voted_aa_party_republican,reg_aa_party_republican,voted_aa_party_ind_npp,reg_aa_party_ind_npp,voted_aa_party_others,reg_aa_party_others,voted_esa_party_democratic,reg_esa_party_democratic,voted_esa_party_republican,reg_esa_party_republican,voted_esa_party_ind_npp,reg_esa_party_ind_npp,voted_esa_party_others,reg_esa_party_others,voted_oth_party_democratic,reg_oth_party_democratic,voted_oth_party_republican,reg_oth_party_republican,voted_oth_party_ind_npp,reg_oth_party_ind_npp,voted_oth_party_others,reg_oth_party_others,voted_unk_party_democratic,reg_unk_party_democratic,voted_unk_party_republican,reg_unk_party_republican,voted_unk_party_ind_npp,reg_unk_party_ind_npp,voted_unk_party_others,reg_unk_party_others,voted_self_afam_party_democratic,reg_self_afam_party_democratic,voted_self_afam_party_republican,reg_self_afam_party_republican,voted_self_afam_party_ind_npp,reg_self_afam_party_ind_npp,voted_self_afam_party_others,reg_self_afam_party_others,l2_general_turnout_rate,cycle,status
house,49,21713,33086,9885,15717,11828,17368,0,623,244,391,1522,2783,1449,3025,1325,2668,3019,5053,3894,5562,4289,5747,3541,4526,1969,2580,460,748,4751,8024,16096,23129,866,1933,0,0,16609,24586,593,1302,2869,4700,116,204,106,170,1420,2746,2862,4687,1297,1886,14743,21382,569,1318,0,0,439,1115,154,186,0,1,0,0,2724,4514,140,177,5,9,0,0,61,139,54,64,1,1,0,0,57,110,49,60,0,0,0,0,173,260,956,1260,291,604,0,0,2718,4502,139,176,5,9,0,0,0.6562594450825122,2026,experimental_L2_derived_not_forecast_promoted
house,50,24355,37248,10857,17399,13497,19846,1,355,250,400,1395,2650,1573,2989,1634,3060,4174,6797,4199,6168,4385,6125,4048,5289,2153,2883,543,882,4320,7083,18988,27937,1047,2228,0,0,19288,28999,396,736,2806,4477,152,273,117,208,1596,2907,2795,4452,1125,1657,17474,25911,689,1431,0,0,271,577,125,158,0,1,0,0,2650,4284,156,192,0,1,0,0,91,206,61,67,0,0,0,0,53,129,64,77,0,2,0,0,130,230,1108,1532,358,793,0,0,2641,4262,154,189,0,1,0,0,0.6538606099656358,2026,experimental_L2_derived_not_forecast_promoted
house,51,24313,34052,10878,15648,13435,18404,0,501,238,353,1376,2308,1591,2685,1668,2741,3766,5603,3845,5253,4412,5658,4201,5163,2454,3112,762,1175,4576,6974,18886,25512,851,1566,0,0,19246,26471,426,741,2720,4081,157,275,153,230,1611,2755,2712,4068,1328,1864,17346,23572,572,1035,0,0,278,568,146,171,2,2,0,0,2642,3976,77,102,1,3,0,0,93,204,64,71,0,0,0,0,74,130,78,99,1,1,0,0,161,232,1175,1497,275,525,0,0,2635,3965,76,100,1,3,0,0,0.7139962410431105,2026,experimental_L2_derived_not_forecast_promoted
house,52,17342,31960,6490,14113,10852,17845,0,302,117,261,918,2215,1379,3398,1421,3616,2739,5982,2400,4380,2674,4216,3312,4476,1791,2440,587,968,13588,25755,3233,5179,521,1026,0,0,4634,7181,214,553,11704,22798,122,267,87,218,581,1243,11571,22497,1444,1886,2788,4587,402,708,0,0,186,512,28,41,0,0,0,0,11589,22639,115,158,0,1,0,0,103,241,19,26,0,0,0,0,66,186,21,32,0,0,0,0,200,291,262,335,119,317,0,0,11457,22341,114,155,0,1,0,0,0.5426157697121402,2026,experimental_L2_derived_not_forecast_promoted
house,53,13867,31701,5768,14573,8097,17122,2,385,110,225,1038,2669,1379,4462,1313,3777,2098,5843,1828,4295,2264,4191,2174,3518,1211,1853,452,855,8911,21939,4298,8121,658,1641,0,0,5393,10396,462,1412,7174,18244,126,267,89,224,623,1537,7022,17767,1193,1944,3705,7273,495,1179,0,0,375,1294,87,118,0,0,0,0,7006,18004,167,237,1,3,0,0,92,225,34,42,0,0,0,0,61,187,27,36,1,1,0,0,184,285,278,415,161,458,0,0,6865,17543,156,221,1,3,0,0,0.43743099586763823,2026,experimental_L2_derived_not_forecast_promoted
house,54,17503,31489,7247,14190,10256,17299,0,565,84,199,596,1602,1616,3327,2044,3967,3188,6179,2363,4407,2770,4497,2920,4332,1445,2119,474,849,12488,23011,4385,7316,630,1162,0,0,7347,11038,268,587,8768,18116,118,194,121,230,881,1889,8681,17930,2995,3657,3881,6594,471,787,0,0,245,551,23,36,0,0,0,0,8623,17902,145,212,0,2,0,0,95,158,23,36,0,0,0,0,93,195,28,35,0,0,0,0,437,548,285,403,159,373,0,0,8541,17723,140,205,0,2,0,0,0.5558448982184255,2026,experimental_L2_derived_not_forecast_promoted
house,55,16640,30962,6585,14117,10055,16839,0,835,117,254,982,2119,1658,3658,1553,3619,2422,5513,2022,3998,2512,4073,3308,4729,1668,2309,397,687,13318,24499,2594,4989,728,1474,0,0,5143,8614,241,556,10368,20076,154,355,128,288,606,1902,10271,19848,2301,3042,2251,4498,591,1074,0,0,219,522,22,34,0,0,0,0,10241,19910,127,164,0,2,0,0,134,328,20,27,0,0,0,0,111,261,16,25,1,2,0,0,312,436,158,241,136,396,0,0,10149,19688,122,158,0,2,0,0,0.5374329823654803,2026,experimental_L2_derived_not_forecast_promoted
house,56,17797,30404,6816,13167,10978,17233,3,569,146,306,968,2181,1204,2864,1249,2785,2676,5228,2984,4831,3158,4626,3213,4395,1701,2324,496,856,12794,22436,4621,7171,382,797,0,0,5123,8103,278,741,11515,20027,167,359,126,260,588,1479,11403,19797,807,1166,4080,6441,236,496,0,0,232,683,46,58,0,0,0,0,11397,19860,115,156,3,11,0,0,140,324,27,35,0,0,0,0,96,222,30,38,0,0,0,0,122,181,323,443,143,290,0,0,11292,19639,108,147,3,11,0,0,0.5853506117616103,2026,experimental_L2_derived_not_forecast_promoted
house,57,19994,32273,7920,14237,12072,18032,2,570,159,329,1140,2334,1154,2575,1309,2757,2681,5136,3123,4923,3682,5160,3936,5183,2125,2788,684,1083,13525,22456,6213,9209,256,608,0,0,6226,9600,159,437,12951,21174,35,69,37,83,586,1476,12809,20917,525,916,5534,8298,167,386,0,0,120,390,38,45,1,2,0,0,12769,20940,180,230,2,4,0,0,19,47,16,22,0,0,0,0,26,59,11,24,0,0,0,0,66,104,434,590,86,216,0,0,12646,20708,161,205,2,4,0,0,0.6195271589254175,2026,experimental_L2_derived_not_forecast_promoted
house,58,16691,29967,6143,12687,10548,17279,0,343,138,314,926,2376,1164,2914,1233,3006,2636,5422,2749,4631,3197,4691,2958,4069,1305,1855,383,685,12939,23512,3557,5943,195,512,0,0,4073,6844,276,740,11798,21404,46,100,50,129,448,1092,11697,21189,986,1441,2987,5132,100,271,0,0,226,673,48,64,2,3,0,0,11536,21035,257,363,5,6,0,0,30,81,16,19,0,0,0,0,33,100,17,29,0,0,0,0,128,182,232,336,88,232,0,0,11451,20844,241,339,5,6,0,0,0.5569793439450061,2026,experimental_L2_derived_not_forecast_promoted
