chamber,district,Projected_TotalPop_VAP_2026,Projected_HispanicOrLatino_VAP_2026,Projected_WhiteAloneNotHisp_VAP_2026,Projected_WhiteAlone_VAP_2026,Projected_BlackOrAfAmAlone_VAP_2026,Projected_AmIndianOrAKNativeAlone_VAP_2026,Projected_AsianAlone_VAP_2026,Projected_PacificIslanderAlone_VAP_2026,Projected_OtherRaceAlone_VAP_2026,Projected_TwoOrMoreRaces_VAP_2026,projected_vap_white_nh_share,projected_vap_nonwhite_share,projected_vap_black_share,projected_vap_hispanic_share,cycle,status
house,98,37165,538,14490,15269,20654,180,226,0,249,587,0.38988295439257364,0.6101170456074263,0.5557379254675098,0.014475985470200457,2026,experimental_RDH_population_projection
house,99,36207,783,13188,13824,20875,18,389,0,266,835,0.3642389593172591,0.635761040682741,0.5765459717734139,0.02162565249813572,2026,experimental_RDH_population_projection
house,100,34447,1339,26177,26616,5793,95,601,9,365,968,0.7599210381165269,0.2400789618834731,0.16817139373530351,0.038871309548001276,2026,experimental_RDH_population_projection
house,101,34552,1887,22518,23323,8331,41,994,30,630,1203,0.6517133595739755,0.34828664042602453,0.24111484139847186,0.0546133364204677,2026,experimental_RDH_population_projection
house,102,37922,827,29507,30377,5473,400,252,12,90,1318,0.7780971467749591,0.22190285322504089,0.14432255682717157,0.021807921523126418,2026,experimental_RDH_population_projection
house,103,36211,1703,11717,12743,20667,51,756,27,414,1553,0.3235757090386899,0.6764242909613101,0.5707381734831957,0.04702990803899368,2026,experimental_RDH_population_projection
house,104,36223,1694,22945,24255,8048,85,1680,37,359,1759,0.6334373188305773,0.3665626811694227,0.22217927835905363,0.04676586699058609,2026,experimental_RDH_population_projection
house,105,36068,1228,28753,29356,3964,96,1218,5,361,1068,0.797188643673062,0.20281135632693803,0.10990351558167905,0.034046800487967176,2026,experimental_RDH_population_projection
senate,1,127455,4946,107458,109849,10153,489,913,26,1375,4650,0.8431054097524616,0.15689459024753838,0.07965948766231219,0.03880585304617316,2026,experimental_RDH_population_projection
senate,2,133077,8671,78693,83774,36106,442,5015,50,1333,6357,0.5913343402691674,0.4086656597308326,0.2713166061753722,0.06515776580475965,2026,experimental_RDH_population_projection
senate,3,120357,10844,85324,89372,17813,1045,1919,6,3415,6787,0.7089242835896541,0.2910757164103459,0.14800136261289332,0.09009862326246085,2026,experimental_RDH_population_projection
senate,4,115612,4751,105325,107642,1788,277,393,21,1384,4107,0.9110213472649898,0.08897865273501016,0.015465522610109677,0.04109435006746705,2026,experimental_RDH_population_projection
senate,5,105296,2907,93183,94949,6827,76,299,21,883,2241,0.8849623917337791,0.11503760826622089,0.06483627108342198,0.02760788633946209,2026,experimental_RDH_population_projection
senate,6,118786,8749,89050,91237,15710,1715,397,37,4662,5028,0.7496674692303806,0.25033253076961937,0.13225464280302393,0.07365346084555419,2026,experimental_RDH_population_projection
senate,7,125924,7861,80847,83440,31350,568,2091,52,2862,5561,0.6420301134017343,0.3579698865982657,0.248959689971729,0.06242654299418697,2026,experimental_RDH_population_projection
senate,8,123073,7605,99537,102237,10586,858,717,26,3327,5322,0.8087639043494511,0.1912360956505489,0.08601399169598531,0.06179259463895412,2026,experimental_RDH_population_projection
senate,9,117523,16694,91476,97943,5729,1048,1227,92,5387,6097,0.7783667877777116,0.22163321222228838,0.048747904665469736,0.14204879044952903,2026,experimental_RDH_population_projection
