cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E
2014,2014,house,71,"State House District 71 (2014), Alabama",45290,30049,0.6729962464120115,0.17844187826549968,0.2764968389735961,10756
2014,2014,house,72,"State House District 72 (2014), Alabama",43011,27374,0.6768733579781916,0.11653393731277854,0.1838987341772152,9875
2014,2014,house,73,"State House District 73 (2014), Alabama",46719,30810,0.2011387230034889,0.3635507951963648,0.37679378419091414,25226
2014,2014,house,74,"State House District 74 (2014), Alabama",45637,31418,0.3418936389333217,0.3791775415366987,0.3753561565773901,22813
2014,2014,house,75,"State House District 75 (2014), Alabama",48840,32877,0.36949221949221944,0.3982419320497612,0.4543472077367972,21094
2014,2014,house,76,"State House District 76 (2014), Alabama",44373,28511,0.8233835891195096,0.247693872540423,0.4887535937764248,5913
2014,2014,house,77,"State House District 77 (2014), Alabama",45859,27789,0.7203166226912929,0.3365360394400662,0.5298270745932672,9773
2014,2014,house,78,"State House District 78 (2014), Alabama",45829,27436,0.7737895219184359,0.18380959323516546,0.23021682088109377,7241
2014,2014,house,79,"State House District 79 (2014), Alabama",49758,22572,0.25320551469110497,0.6222753854332802,0.6860169491525424,16520
2014,2014,house,80,"State House District 80 (2014), Alabama",46006,29965,0.24953266965178456,0.21648590021691974,0.2003820844831246,23555
2014,2014,house,81,"State House District 81 (2014), Alabama",45421,32144,0.23625635719160742,0.1715405674464908,0.19809218499550413,25579
2014,2014,house,82,"State House District 82 (2014), Alabama",45540,27543,0.6482872200263505,0.2371927531496206,0.3464736680012319,9741
2014,2014,house,83,"State House District 83 (2014), Alabama",50596,32307,0.635010672780457,0.14489120004952488,0.1847275031685678,12624
2014,2014,house,84,"State House District 84 (2014), Alabama",46420,32023,0.5956053425247738,0.1468944196358867,0.19707771581845132,14167
2014,2014,house,85,"State House District 85 (2014), Alabama",45326,30103,0.5545602965185545,0.11666611301199216,0.1631564916022394,15004
2014,2014,house,86,"State House District 86 (2014), Alabama",45634,31999,0.19428496296620945,0.1792556017375543,0.19202368904381723,26679
2014,2014,house,87,"State House District 87 (2014), Alabama",46951,32260,0.15776021809972096,0.1953812771233726,0.20461538461538462,27950
2014,2014,house,88,"State House District 88 (2014), Alabama",48060,31013,0.253766125676238,0.2773998000838358,0.2913447634786201,24205
2014,2014,house,89,"State House District 89 (2014), Alabama",45704,26445,0.4028312620339577,0.23252032520325203,0.2838867071284065,16806
2014,2014,house,90,"State House District 90 (2014), Alabama",45322,31589,0.3767265345748202,0.13026686504795973,0.1542868146151254,20773
2014,2014,house,91,"State House District 91 (2014), Alabama",45717,30899,0.27615547826847786,0.2444415676882747,0.2693916267839434,23193
2014,2014,house,92,"State House District 92 (2014), Alabama",44903,31349,0.17644700799501145,0.14823439344157707,0.14753791424826812,26705
2014,2014,house,93,"State House District 93 (2014), Alabama",46779,32363,0.25770110519677636,0.20372029787102555,0.21777777777777776,25200
2014,2014,house,94,"State House District 94 (2014), Alabama",48642,33697,0.1619382426709428,0.3248063625842063,0.34828702914607124,29335
2014,2014,house,95,"State House District 95 (2014), Alabama",47269,35289,0.15050032791046986,0.2667120065742866,0.28638929409526226,31534
2014,2014,house,96,"State House District 96 (2014), Alabama",50215,34009,0.17202031265558104,0.38433943956011646,0.41458706258116595,28491
2014,2014,house,97,"State House District 97 (2014), Alabama",46293,31517,0.6164646922860908,0.22740108512866072,0.3864705882352941,13600
2014,2014,house,98,"State House District 98 (2014), Alabama",44509,29518,0.614370127389966,0.12646520766989633,0.15017064846416384,11720
2014,2014,house,99,"State House District 99 (2014), Alabama",44982,29108,0.7059268151705127,0.1789198845678164,0.2278506356992692,9989
2014,2014,house,100,"State House District 100 (2014), Alabama",47047,30977,0.26348119965141237,0.38286470607224715,0.39069159036246254,23699
2014,2014,house,101,"State House District 101 (2014), Alabama",45354,28750,0.2686863341711867,0.38292173913043476,0.4218269359368731,22431
2014,2014,house,102,"State House District 102 (2014), Alabama",45323,29498,0.18196059395891706,0.12146586209234525,0.11181803721965962,25148
2014,2014,house,103,"State House District 103 (2014), Alabama",42728,25981,0.7192005242463958,0.1529579307955814,0.21137860304437006,9263
2014,2014,house,104,"State House District 104 (2014), Alabama",48105,32656,0.24061947822471674,0.23373958843704068,0.22083879423328964,25942
2014,2014,house,105,"State House District 105 (2014), Alabama",42119,28238,0.19072152710178303,0.11512855018060769,0.12154719903622752,23242
2014,2014,house,1,"State House District 1 (2014), Alabama",47403,30063,0.1932156192646035,0.19259554934637263,0.20433141267633617,25165
2014,2014,house,5,"State House District 5 (2014), Alabama",49802,32804,0.2309144211075861,0.21573588586757714,0.23224662289638517,26502
2014,2014,house,2,"State House District 2 (2014), Alabama",44509,32620,0.09092543081174598,0.2437155119558553,0.24459400926265285,30013
2014,2014,house,3,"State House District 3 (2014), Alabama",46146,32089,0.2803276557014692,0.1948331203839322,0.21117467741261953,23947
2014,2014,house,4,"State House District 4 (2014), Alabama",45238,31080,0.2237720500464212,0.2555019305019305,0.2722178374112076,25340
2014,2014,house,6,"State House District 6 (2014), Alabama",47417,32451,0.2813758778497163,0.31595328341191337,0.3251960907680047,23841
2014,2014,house,7,"State House District 7 (2014), Alabama",45064,30831,0.15054145215693238,0.12007395154227887,0.1148548026805659,26860
2014,2014,senate,1,"State Senate District 1 (2014), Alabama",139729,95890,0.18364834787338347,0.21731150276358327,0.21683023905465873,80902
2014,2014,senate,2,"State Senate District 2 (2014), Alabama",142462,92690,0.35999775378697474,0.4187398856403064,0.45469485080879035,62068
2014,2014,senate,3,"State Senate District 3 (2014), Alabama",138784,95118,0.25260836984090385,0.23676906579196366,0.2514881947695806,74755
2014,2014,senate,4,"State Senate District 4 (2014), Alabama",134655,92830,0.09406260443355241,0.13176774749542175,0.1325065274151436,85792
2014,2014,senate,5,"State Senate District 5 (2014), Alabama",134069,93207,0.10132842044022106,0.13457143776754965,0.13660139959001907,84882
2014,2014,senate,6,"State Senate District 6 (2014), Alabama",137305,92438,0.22940898000801135,0.15606136004673402,0.16784104100861208,74082
2014,2014,senate,7,"State Senate District 7 (2014), Alabama",139514,94915,0.3595123070086156,0.3507770110098509,0.4025633338330085,66710
2014,2014,senate,8,"State Senate District 8 (2014), Alabama",138587,95946,0.13890191720724165,0.18039313780668292,0.18314914851298708,84969
2014,2014,senate,9,"State Senate District 9 (2014), Alabama",140824,94155,0.16343094927001078,0.18393075248260846,0.1936838548517504,82867
2014,2014,senate,10,"State Senate District 10 (2014), Alabama",136812,94317,0.19012952080226886,0.14635749652766733,0.15242680513718918,79343
2014,2014,senate,11,"State Senate District 11 (2014), Alabama",138467,95050,0.20630186253764438,0.1641136244082062,0.1752214661702401,77890
2014,2014,senate,12,"State Senate District 12 (2014), Alabama",133229,89614,0.2610092397300888,0.16752962706719932,0.1732569190450134,69446
2014,2014,senate,13,"State Senate District 13 (2014), Alabama",138368,93833,0.25550705365402404,0.15821725832063346,0.16197907973070716,71892
2014,2014,senate,14,"State Senate District 14 (2014), Alabama",137841,90550,0.22496209400686296,0.27432357813362784,0.28936481231210526,72514
2014,2014,senate,15,"State Senate District 15 (2014), Alabama",138906,93858,0.21460556059493474,0.42352276843742676,0.4762974018940945,75709
2014,2014,senate,16,"State Senate District 16 (2014), Alabama",141359,95979,0.2500442136687441,0.5656654059742235,0.6071556445517113,75409
2014,2014,senate,17,"State Senate District 17 (2014), Alabama",133829,92288,0.12304507991541447,0.16801751040221913,0.16998700736249459,83124
2014,2014,senate,18,"State Senate District 18 (2014), Alabama",137007,91892,0.6480690767625013,0.3102119879858965,0.5224203133441383,35169
2014,2014,senate,19,"State Senate District 19 (2014), Alabama",133355,89430,0.6981890442803045,0.15510455104551046,0.14925658860315233,31342
2014,2014,senate,20,"State Senate District 20 (2014), Alabama",134054,89243,0.7100571411520731,0.20155082191320328,0.22536531747058064,30932
2014,2014,senate,21,"State Senate District 21 (2014), Alabama",135720,83698,0.2081564986737401,0.274235943511195,0.28062910260363894,68097
2014,2014,senate,22,"State Senate District 22 (2014), Alabama",136534,92452,0.2728038437312318,0.14312291783844588,0.15890701304652927,69827
2014,2014,senate,23,"State Senate District 23 (2014), Alabama",131574,86492,0.6663930563789198,0.12384960458770754,0.19117647058823528,32844
2014,2014,senate,24,"State Senate District 24 (2014), Alabama",140410,89138,0.6693611566127768,0.17154300074042497,0.2774113141015898,32897
2014,2014,senate,25,"State Senate District 25 (2014), Alabama",136207,94604,0.3046466040658703,0.3772779163671726,0.39490473693410244,68652
2014,2014,senate,26,"State Senate District 26 (2014), Alabama",136139,82064,0.8250023872659561,0.20341440826671867,0.2912243053986899,17708
2014,2014,senate,27,"State Senate District 27 (2014), Alabama",141923,85194,0.28743755416669603,0.3145174542808179,0.35595328476585847,61907
2014,2014,senate,28,"State Senate District 28 (2014), Alabama",141852,92306,0.6522925302427882,0.1437176348233051,0.18188196334858137,35633
2014,2014,senate,29,"State Senate District 29 (2014), Alabama",139408,95942,0.22433432801560882,0.1884159179504284,0.20060770706459463,77669
2014,2014,senate,30,"State Senate District 30 (2014), Alabama",136155,91085,0.28037897983915394,0.18193994620409507,0.2054438638443598,67746
2014,2014,senate,31,"State Senate District 31 (2014), Alabama",139054,91199,0.2728436434766349,0.20824789745501596,0.22988522258773506,69613
2014,2014,senate,32,"State Senate District 32 (2014), Alabama",145417,103090,0.1613910340606669,0.3150063051702396,0.33713845741831816,89616
2014,2014,senate,33,"State Senate District 33 (2014), Alabama",136296,87352,0.7386937254211422,0.1744207344994963,0.31004399939311184,26364
2014,2014,senate,34,"State Senate District 34 (2014), Alabama",136467,89579,0.21833849941744154,0.2493218276605008,0.24786207652669665,72968
2014,2014,senate,35,"State Senate District 35 (2014), Alabama",135366,90464,0.2870809509034765,0.2231384860275911,0.2281584187624456,67795
2018,2018,house,76,"State House District 76 (2018), Alabama",44100,27788,0.8883219954648526,0.2114941701453865,0.3865546218487395,3927
2018,2018,house,3,"State House District 3 (2018), Alabama",46264,32942,0.27453311430053606,0.2025985064659098,0.22256568778979907,24586
2018,2018,house,73,"State House District 73 (2018), Alabama",49692,32717,0.2486516944377365,0.3666289696488064,0.3869667063476825,26041
2018,2018,house,88,"State House District 88 (2018), Alabama",48532,31368,0.30598368087035355,0.29880770211680696,0.3261343804537522,22920
2018,2018,house,85,"State House District 85 (2018), Alabama",45530,30817,0.5070722600483197,0.16163156699224454,0.21649976156413925,16776
2018,2018,house,63,"State House District 63 (2018), Alabama",47883,24399,0.19762755048764702,0.5437517931062749,0.5867618035524518,19761
2018,2018,house,46,"State House District 46 (2018), Alabama",47607,30122,0.1501459869346945,0.7137972246198792,0.7415033680342927,26128
2018,2018,house,17,"State House District 17 (2018), Alabama",44269,31130,0.08897874359032276,0.12920012849341472,0.13443518550534214,28921
2018,2018,house,75,"State House District 75 (2018), Alabama",52684,36674,0.3696378407106522,0.45151878715166055,0.4691223359624098,23836
2018,2018,house,31,"State House District 31 (2018), Alabama",44699,31513,0.21130226626993898,0.23615650683844763,0.25362006043244517,25483
2018,2018,house,56,"State House District 56 (2018), Alabama",47644,32211,0.7276047351187978,0.23451615907609202,0.28358939230844504,10219
2018,2018,house,94,"State House District 94 (2018), Alabama",52279,37050,0.13684270930966547,0.38642375168690957,0.39752323856238836,33027
2018,2018,house,102,"State House District 102 (2018), Alabama",44924,30416,0.20632623987178345,0.11681351920042084,0.10624041333656252,24774
2018,2018,house,87,"State House District 87 (2018), Alabama",47417,32983,0.1601535314338739,0.19658612012248733,0.20675594924250412,28449
2018,2018,house,43,"State House District 43 (2018), Alabama",47943,33839,0.18315499655841316,0.5712934779396555,0.5795562431871726,28439
2018,2018,house,69,"State House District 69 (2018), Alabama",43215,29737,0.674881406918894,0.19322729259844637,0.2860025683360851,10902
2018,2018,house,40,"State House District 40 (2018), Alabama",46265,30658,0.16658381065600347,0.23670820014351882,0.2355724101678369,26633
2018,2018,house,103,"State House District 103 (2018), Alabama",40504,26661,0.7005727829350188,0.20948201492817223,0.32748789671866596,9295
2018,2018,house,19,"State House District 19 (2018), Alabama",49142,32149,0.6203858206829189,0.2641139693303058,0.3000146028037383,13696
2018,2018,house,62,"State House District 62 (2018), Alabama",47806,31295,0.26931765887127135,0.20977791979549448,0.2067628418945964,23984
2018,2018,house,47,"State House District 47 (2018), Alabama",45892,31363,0.40190011330950925,0.5138539042821159,0.5909793316592621,20708
2018,2018,house,35,"State House District 35 (2018), Alabama",44081,30661,0.2374946121911935,0.13861256971396888,0.14088272798321747,24311
2018,2018,house,1,"State House District 1 (2018), Alabama",44657,29252,0.20601473453210029,0.19865308354984273,0.20538149954534182,24194
2018,2018,house,67,"State House District 67 (2018), Alabama",41043,27309,0.7172721292303195,0.15134204840894944,0.2128064480017911,8933
2018,2018,house,89,"State House District 89 (2018), Alabama",45596,26648,0.3944205632072989,0.23183728610027018,0.27772245328334605,17071
2018,2018,house,101,"State House District 101 (2018), Alabama",45418,30443,0.3076973887005152,0.4107348158854252,0.44606060606060605,22275
2018,2018,house,60,"State House District 60 (2018), Alabama",44882,30360,0.7337462679916225,0.19449934123847168,0.16007172743574416,8365
2018,2018,house,95,"State House District 95 (2018), Alabama",51975,40084,0.11615199615199612,0.29767488274623294,0.30841147193884566,36367
2018,2018,house,80,"State House District 80 (2018), Alabama",49706,33359,0.30614010381040513,0.19197218142030636,0.18929334394504252,23873
2018,2018,house,74,"State House District 74 (2018), Alabama",45751,30979,0.4400559550610915,0.35591852545272606,0.37035323152861327,19449
2018,2018,house,30,"State House District 30 (2018), Alabama",46271,32880,0.11570962373841065,0.1904501216545012,0.19089589031844123,29613
2018,2018,house,100,"State House District 100 (2018), Alabama",51107,33421,0.2761852583794784,0.3614793094162353,0.3759831572257091,25174
2018,2018,house,16,"State House District 16 (2018), Alabama",43925,31299,0.14761525327262381,0.12741621138055528,0.13185587327557358,26893
2018,2018,house,52,"State House District 52 (2018), Alabama",42088,29794,0.6449819425964646,0.3591327112841512,0.6431900114305812,11373
2018,2018,house,96,"State House District 96 (2018), Alabama",53274,35973,0.21411945789691034,0.37828371278458844,0.42201048771292454,29177
2018,2018,house,78,"State House District 78 (2018), Alabama",42424,27622,0.7784508768621535,0.20527116066903192,0.22597293904310226,7169
2018,2018,house,34,"State House District 34 (2018), Alabama",45209,30871,0.15366409343272358,0.1317093712545755,0.13530880517000807,27234
2018,2018,house,53,"State House District 53 (2018), Alabama",44813,27097,0.7184745497958182,0.20994944089751633,0.26625868685820975,9641
2018,2018,house,105,"State House District 105 (2018), Alabama",43210,29227,0.2060402684563758,0.14462654394908817,0.15382361558745972,23891
2018,2018,house,42,"State House District 42 (2018), Alabama",46076,31390,0.18751627745464017,0.17645747053201657,0.18330980272446293,26207
2018,2018,house,14,"State House District 14 (2018), Alabama",42433,30495,0.05293050220347373,0.10562387276602722,0.10630152105680682,28993
2018,2018,house,59,"State House District 59 (2018), Alabama",45898,29123,0.8581201795285198,0.14404422621295884,0.10009233610341643,5415
2018,2018,house,37,"State House District 37 (2018), Alabama",44255,31528,0.3107671449553723,0.14621923369703121,0.17141343224268116,22647
2018,2018,house,9,"State House District 9 (2018), Alabama",45463,31622,0.10971559289972066,0.16969198659161344,0.16785751268509888,28971
2018,2018,house,33,"State House District 33 (2018), Alabama",44633,30780,0.29695516770102837,0.1136127355425601,0.13599893019523937,22434
2018,2018,house,99,"State House District 99 (2018), Alabama",45495,31553,0.6833278382239807,0.21126358824834407,0.24797889541315632,11751
2018,2018,house,58,"State House District 58 (2018), Alabama",47512,30889,0.7622074423303586,0.2058337919647771,0.24526534859521332,9610
2018,2018,house,104,"State House District 104 (2018), Alabama",49078,33244,0.31286931007783525,0.23893033329322586,0.23314687027887795,24491
2018,2018,house,28,"State House District 28 (2018), Alabama",45554,30912,0.3571804890898713,0.12755564182194618,0.14166905649555492,20922
2018,2018,house,57,"State House District 57 (2018), Alabama",44230,30266,0.7005200090436355,0.17845106720412343,0.1475860664086372,9818
2018,2018,house,8,"State House District 8 (2018), Alabama",45373,31540,0.36290304806823437,0.20279010779961953,0.2380542206909058,22058
2018,2018,house,22,"State House District 22 (2018), Alabama",49827,34521,0.13145483372468747,0.25535181483734537,0.25066517754492,30443
2018,2018,house,5,"State House District 5 (2018), Alabama",50468,35096,0.23474280732345243,0.2338728060177798,0.24560711468120203,27886
2018,2018,house,27,"State House District 27 (2018), Alabama",45188,32506,0.07864919890236344,0.21949793884205993,0.2249476028294472,30536
2018,2018,house,97,"State House District 97 (2018), Alabama",43016,29115,0.6166775153431281,0.230534088957582,0.36680477699244457,12309
2018,2018,house,86,"State House District 86 (2018), Alabama",46121,32324,0.2595563842934888,0.15771562925380522,0.1670989107449228,25063
2018,2018,house,49,"State House District 49 (2018), Alabama",45602,29874,0.24595412481908685,0.18852513891678382,0.18812093182596779,23352
2018,2018,house,79,"State House District 79 (2018), Alabama",53469,26514,0.30039836166750833,0.5580825224409746,0.6405873328950252,18252
2018,2018,house,64,"State House District 64 (2018), Alabama",50846,33905,0.22605514691421158,0.19109275918006194,0.1943775978998031,27426
2018,2018,house,6,"State House District 6 (2018), Alabama",48825,34212,0.2909575012800819,0.379662106863089,0.3663709677419355,24800
2018,2018,house,20,"State House District 20 (2018), Alabama",45201,32690,0.14300568571491779,0.5972468644845519,0.6060648309515511,28690
2018,2018,house,50,"State House District 50 (2018), Alabama",48426,33004,0.15407012761739558,0.19140104229790328,0.19407168634595845,28541
2018,2018,house,72,"State House District 72 (2018), Alabama",42829,28446,0.6645964183146933,0.12922730788160022,0.19830442408887156,10262
2018,2018,house,21,"State House District 21 (2018), Alabama",47888,35026,0.1782283661877715,0.43519100097070745,0.4367753189451722,29237
2018,2018,house,65,"State House District 65 (2018), Alabama",43114,29885,0.40907825764252914,0.12340639116613686,0.14669834242211544,18521
2018,2018,house,68,"State House District 68 (2018), Alabama",42985,29723,0.5568221472606723,0.12320425259899741,0.17739992915338293,14115
2018,2018,house,24,"State House District 24 (2018), Alabama",45660,31164,0.1557380639509417,0.1380118084969837,0.1436626891734575,27488
2018,2018,house,84,"State House District 84 (2018), Alabama",47024,32754,0.5978861857774753,0.1473102521829395,0.20731022870773116,14254
2018,2018,house,25,"State House District 25 (2018), Alabama",49350,33139,0.29450861195542044,0.5371013005823954,0.5473570568450774,24083
2018,2018,house,91,"State House District 91 (2018), Alabama",46469,31567,0.2901934623082054,0.24864573763740616,0.26417514752415977,23386
2018,2018,house,70,"State House District 70 (2018), Alabama",51241,32634,0.6854862317284987,0.25314089599803885,0.3904405652535328,12030
2018,2018,house,12,"State House District 12 (2018), Alabama",46380,31601,0.08697714532125911,0.16996297585519446,0.16964164055048372,29356
2018,2018,house,45,"State House District 45 (2018), Alabama",48836,33827,0.25395200262101725,0.43834806515505365,0.45487994537799187,26363
2018,2018,house,26,"State House District 26 (2018), Alabama",47075,29525,0.297886351566649,0.16162574089754445,0.18568060021436228,23325
2018,2018,house,71,"State House District 71 (2018), Alabama",44522,28197,0.6428956470958178,0.24332375784657942,0.3611945573422866,11318
2018,2018,house,44,"State House District 44 (2018), Alabama",46521,31812,0.24287955976870657,0.30073557148245944,0.3006502463054187,25375
2018,2018,house,41,"State House District 41 (2018), Alabama",49480,33870,0.20699272433306382,0.2809565987599646,0.2930572648953884,27626
2018,2018,house,11,"State House District 11 (2018), Alabama",45173,31685,0.07677152281229938,0.10967334700962601,0.11352332302728861,29756
2018,2018,house,32,"State House District 32 (2018), Alabama",42363,29733,0.5983051247550929,0.12487808159284297,0.15654562099481234,13108
2018,2018,house,61,"State House District 61 (2018), Alabama",46692,32634,0.3081470059110768,0.22740087025801312,0.2728858261017526,23508
2018,2018,house,18,"State House District 18 (2018), Alabama",43837,29580,0.2013367703081872,0.12846517917511832,0.140127133890377,25013
2018,2018,house,29,"State House District 29 (2018), Alabama",45085,31509,0.15980924919596318,0.15808181789330034,0.1662162649082982,27753
